Sep 16 18:45:19.636017 np0000001823 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Sep 16 18:45:19.656066 np0000001823 memory_tracker.sh[58470]: [[[
Sep 16 18:45:19.657057 np0000001823 memory_tracker.sh[58486]: Wed Sep 16 18:45:19 UTC 2026
Sep 16 18:45:19.657287 np0000001823 memory_tracker.sh[58470]: ---
Sep 16 18:45:19.735428 np0000001823 memory_tracker.sh[58490]: [iscsid (pid:48988)]=14172KB; [multipathd (pid:283)]=288928KB; [ovs-vswitchd (pid:43723)]=532464KB
Sep 16 18:45:19.745746 np0000001823 memory_tracker.sh[58470]: ]]]
Sep 16 18:45:39.757023 np0000001823 memory_tracker.sh[58470]: [[[
Sep 16 18:45:39.760272 np0000001823 memory_tracker.sh[61030]: Wed Sep 16 18:45:39 UTC 2026
Sep 16 18:45:39.760758 np0000001823 memory_tracker.sh[58470]: ---
Sep 16 18:45:39.760758 np0000001823 memory_tracker.sh[58470]: memory_tracker low_point: 6600436
Sep 16 18:45:39.760758 np0000001823 memory_tracker.sh[58470]: ---
Sep 16 18:45:39.761931 np0000001823 memory_tracker.sh[61031]: MemTotal:        8131776 kB
Sep 16 18:45:39.761931 np0000001823 memory_tracker.sh[61031]: MemFree:          216948 kB
Sep 16 18:45:39.761931 np0000001823 memory_tracker.sh[61031]: MemAvailable:    6600608 kB
Sep 16 18:45:39.761931 np0000001823 memory_tracker.sh[61031]: Buffers:          212412 kB
Sep 16 18:45:39.761931 np0000001823 memory_tracker.sh[61031]: Cached:          6171388 kB
Sep 16 18:45:39.761931 np0000001823 memory_tracker.sh[61031]: SwapCached:            0 kB
Sep 16 18:45:39.761931 np0000001823 memory_tracker.sh[61031]: Active:          1343776 kB
Sep 16 18:45:39.761931 np0000001823 memory_tracker.sh[61031]: Inactive:        5677956 kB
Sep 16 18:45:39.761931 np0000001823 memory_tracker.sh[61031]: Active(anon):     811680 kB
Sep 16 18:45:39.761931 np0000001823 memory_tracker.sh[61031]: Inactive(anon):      788 kB
Sep 16 18:45:39.761931 np0000001823 memory_tracker.sh[61031]: Active(file):     532096 kB
Sep 16 18:45:39.761931 np0000001823 memory_tracker.sh[61031]: Inactive(file):  5677168 kB
Sep 16 18:45:39.761931 np0000001823 memory_tracker.sh[61031]: Unevictable:      101968 kB
Sep 16 18:45:39.761931 np0000001823 memory_tracker.sh[61031]: Mlocked:          100768 kB
Sep 16 18:45:39.761931 np0000001823 memory_tracker.sh[61031]: SwapTotal:       8388604 kB
Sep 16 18:45:39.761931 np0000001823 memory_tracker.sh[61031]: SwapFree:        8388080 kB
Sep 16 18:45:39.761931 np0000001823 memory_tracker.sh[61031]: Zswap:               308 kB
Sep 16 18:45:39.761931 np0000001823 memory_tracker.sh[61031]: Zswapped:             68 kB
Sep 16 18:45:39.761931 np0000001823 memory_tracker.sh[61031]: Dirty:            103468 kB
Sep 16 18:45:39.761931 np0000001823 memory_tracker.sh[61031]: Writeback:             0 kB
Sep 16 18:45:39.761931 np0000001823 memory_tracker.sh[61031]: AnonPages:        739900 kB
Sep 16 18:45:39.761931 np0000001823 memory_tracker.sh[61031]: Mapped:           175268 kB
Sep 16 18:45:39.761931 np0000001823 memory_tracker.sh[61031]: Shmem:            154672 kB
Sep 16 18:45:39.761931 np0000001823 memory_tracker.sh[61031]: KReclaimable:     479836 kB
Sep 16 18:45:39.761931 np0000001823 memory_tracker.sh[61031]: Slab:             568676 kB
Sep 16 18:45:39.761931 np0000001823 memory_tracker.sh[61031]: SReclaimable:     479836 kB
Sep 16 18:45:39.761931 np0000001823 memory_tracker.sh[61031]: SUnreclaim:        88840 kB
Sep 16 18:45:39.761931 np0000001823 memory_tracker.sh[61031]: KernelStack:        7008 kB
Sep 16 18:45:39.761931 np0000001823 memory_tracker.sh[61031]: PageTables:         8524 kB
Sep 16 18:45:39.761931 np0000001823 memory_tracker.sh[61031]: SecPageTables:         0 kB
Sep 16 18:45:39.761931 np0000001823 memory_tracker.sh[61031]: NFS_Unstable:          0 kB
Sep 16 18:45:39.761931 np0000001823 memory_tracker.sh[61031]: Bounce:                0 kB
Sep 16 18:45:39.761931 np0000001823 memory_tracker.sh[61031]: WritebackTmp:          0 kB
Sep 16 18:45:39.761931 np0000001823 memory_tracker.sh[61031]: CommitLimit:    12454492 kB
Sep 16 18:45:39.761931 np0000001823 memory_tracker.sh[61031]: Committed_AS:    2422428 kB
Sep 16 18:45:39.761931 np0000001823 memory_tracker.sh[61031]: VmallocTotal:   34359738367 kB
Sep 16 18:45:39.761931 np0000001823 memory_tracker.sh[61031]: VmallocUsed:       68420 kB
Sep 16 18:45:39.761931 np0000001823 memory_tracker.sh[61031]: VmallocChunk:          0 kB
Sep 16 18:45:39.761931 np0000001823 memory_tracker.sh[61031]: Percpu:             2384 kB
Sep 16 18:45:39.761931 np0000001823 memory_tracker.sh[61031]: HardwareCorrupted:     0 kB
Sep 16 18:45:39.761931 np0000001823 memory_tracker.sh[61031]: AnonHugePages:         0 kB
Sep 16 18:45:39.761931 np0000001823 memory_tracker.sh[61031]: ShmemHugePages:        0 kB
Sep 16 18:45:39.761931 np0000001823 memory_tracker.sh[61031]: ShmemPmdMapped:        0 kB
Sep 16 18:45:39.761931 np0000001823 memory_tracker.sh[61031]: FileHugePages:         0 kB
Sep 16 18:45:39.761931 np0000001823 memory_tracker.sh[61031]: FilePmdMapped:         0 kB
Sep 16 18:45:39.761931 np0000001823 memory_tracker.sh[61031]: Unaccepted:            0 kB
Sep 16 18:45:39.761931 np0000001823 memory_tracker.sh[61031]: HugePages_Total:       0
Sep 16 18:45:39.761931 np0000001823 memory_tracker.sh[61031]: HugePages_Free:        0
Sep 16 18:45:39.761931 np0000001823 memory_tracker.sh[61031]: HugePages_Rsvd:        0
Sep 16 18:45:39.761931 np0000001823 memory_tracker.sh[61031]: HugePages_Surp:        0
Sep 16 18:45:39.761931 np0000001823 memory_tracker.sh[61031]: Hugepagesize:       2048 kB
Sep 16 18:45:39.761931 np0000001823 memory_tracker.sh[61031]: Hugetlb:               0 kB
Sep 16 18:45:39.761931 np0000001823 memory_tracker.sh[61031]: DirectMap4k:      218996 kB
Sep 16 18:45:39.761931 np0000001823 memory_tracker.sh[61031]: DirectMap2M:     8169472 kB
Sep 16 18:45:39.765985 np0000001823 memory_tracker.sh[58470]: ---
Sep 16 18:45:39.786457 np0000001823 memory_tracker.sh[61033]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Sep 16 18:45:39.786457 np0000001823 memory_tracker.sh[61033]:      57785    4.9          405320          1   00:00:03       39 do_poll.constprop.0       /usr/sbin/mysqld
Sep 16 18:45:39.786457 np0000001823 memory_tracker.sh[61033]:      24628    1.6          133280          1   00:00:06       24 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Sep 16 18:45:39.786457 np0000001823 memory_tracker.sh[61033]:      43723    0.9           74612          1   00:00:00        8 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Sep 16 18:45:39.786457 np0000001823 memory_tracker.sh[61033]:      56922    0.9           73988          1   00:00:01        1 skb_wait_for_more_packets /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Sep 16 18:45:39.786457 np0000001823 memory_tracker.sh[61033]:      16264    0.4           39848      16262   00:00:00        4 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 16 18:45:39.786457 np0000001823 memory_tracker.sh[61033]:      59655    0.3           27744          1   00:00:00        8 futex_wait_queue          /opt/stack/bin/etcd --name np0000001823 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000001823=http://10.19.119.201:2380 --initial-advertise-peer-urls http://10.19.119.201:2380 --advertise-client-urls http://10.19.119.201:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://10.19.119.201:2379 --log-level=debug
Sep 16 18:45:39.787873 np0000001823 memory_tracker.sh[61033]:        283    0.3           27292          1   00:00:05        7 futex_wait_queue          /sbin/multipathd -d -s
Sep 16 18:45:39.787873 np0000001823 memory_tracker.sh[61033]:      53457    0.3           26192          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Sep 16 18:45:39.787873 np0000001823 memory_tracker.sh[61033]:       7140    0.3           26000       7139   00:00:01        2 do_wait                   /usr/bin/python3
Sep 16 18:45:39.787873 np0000001823 memory_tracker.sh[61033]:       2307    0.2           20656          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Sep 16 18:45:39.787873 np0000001823 memory_tracker.sh[61033]:      23214    0.2           20284          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Sep 16 18:45:39.787873 np0000001823 memory_tracker.sh[61033]:        936    0.2           20136          1   00:00:00        2 inet_csk_accept           /usr/bin/python3
Sep 16 18:45:39.787873 np0000001823 memory_tracker.sh[61033]:        670    0.2           19504          1   00:00:00        1 ep_poll                   /usr/sbin/unbound -d -p
Sep 16 18:45:39.787873 np0000001823 memory_tracker.sh[61033]:      46401    0.1           15584          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Sep 16 18:45:39.787873 np0000001823 memory_tracker.sh[61033]:      53492    0.1           15480          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Sep 16 18:45:39.787873 np0000001823 memory_tracker.sh[61033]:      48988    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Sep 16 18:45:39.787873 np0000001823 memory_tracker.sh[61033]:          1    0.1           13916          0   00:00:18        1 -                         /sbin/init nofb
Sep 16 18:45:39.787873 np0000001823 memory_tracker.sh[61033]:      16262    0.1           13064          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 16 18:45:39.787873 np0000001823 memory_tracker.sh[61033]:        352    0.1           12904          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Sep 16 18:45:39.787873 np0000001823 memory_tracker.sh[61033]:       9621    0.1           12244       7145   00:00:02        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-09-16-183754
Sep 16 18:45:39.787873 np0000001823 memory_tracker.sh[61033]:       9626    0.1           12080       7145   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-09-16-183754.summary.2026-09-16-183754
Sep 16 18:45:39.789129 np0000001823 memory_tracker.sh[61033]:        801    0.1           11132          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Sep 16 18:45:39.789129 np0000001823 memory_tracker.sh[61033]:       7145    0.1           10724       7143   00:00:12        1 do_wait                   bash ./stack.sh
Sep 16 18:45:39.789129 np0000001823 memory_tracker.sh[61033]:      59965    0.1            9464          1   00:00:00        1 do_select                 /usr/sbin/apache2 -k start
Sep 16 18:45:39.789129 np0000001823 memory_tracker.sh[61033]:      56043    0.1            9356       7145   00:00:00        1 do_wait                   bash ./stack.sh
Sep 16 18:45:39.789129 np0000001823 memory_tracker.sh[61033]:        428    0.1            8996          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-logind
Sep 16 18:45:39.789129 np0000001823 memory_tracker.sh[61033]:      44326    0.1            8868          1   00:00:00        1 do_poll.constprop.0       ovsdb-server -vconsole:off -vfile:info --log-file=/var/log/ovn/ovsdb-server-sb.log --remote=punix:/var/run/ovn/ovnsb_db.sock --pidfile=/var/run/ovn/ovnsb_db.pid --unixctl=/var/run/ovn/ovnsb_db.ctl --remote=db:OVN_Southbound,SB_Global,connections --private-key=db:OVN_Southbound,SSL,private_key --certificate=db:OVN_Southbound,SSL,certificate --ca-cert=db:OVN_Southbound,SSL,ca_cert --ssl-protocols=db:OVN_Southbound,SSL,ssl_protocols --ssl-ciphers=db:OVN_Southbound,SSL,ssl_ciphers /var/lib/ovn/ovnsb_db.db
