Sep 16 18:55:49.282540 np0000001831 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Sep 16 18:55:49.300646 np0000001831 memory_tracker.sh[65906]: [[[
Sep 16 18:55:49.301720 np0000001831 memory_tracker.sh[65923]: Wed Sep 16 18:55:49 UTC 2026
Sep 16 18:55:49.302444 np0000001831 memory_tracker.sh[65906]: ---
Sep 16 18:55:49.378557 np0000001831 memory_tracker.sh[65928]: [iscsid (pid:55856)]=14172KB; [multipathd (pid:284)]=288928KB; [ovs-vswitchd (pid:49649)]=532468KB
Sep 16 18:55:49.386256 np0000001831 memory_tracker.sh[65906]: ]]]
Sep 16 18:56:09.402698 np0000001831 memory_tracker.sh[65906]: [[[
Sep 16 18:56:09.404634 np0000001831 memory_tracker.sh[69004]: Wed Sep 16 18:56:09 UTC 2026
Sep 16 18:56:09.404777 np0000001831 memory_tracker.sh[65906]: ---
Sep 16 18:56:09.404777 np0000001831 memory_tracker.sh[65906]: memory_tracker low_point: 6483728
Sep 16 18:56:09.404777 np0000001831 memory_tracker.sh[65906]: ---
Sep 16 18:56:09.408373 np0000001831 memory_tracker.sh[69005]: MemTotal:        8131780 kB
Sep 16 18:56:09.408373 np0000001831 memory_tracker.sh[69005]: MemFree:          167404 kB
Sep 16 18:56:09.408373 np0000001831 memory_tracker.sh[69005]: MemAvailable:    6483224 kB
Sep 16 18:56:09.408373 np0000001831 memory_tracker.sh[69005]: Buffers:          211428 kB
Sep 16 18:56:09.408373 np0000001831 memory_tracker.sh[69005]: Cached:          6104732 kB
Sep 16 18:56:09.408373 np0000001831 memory_tracker.sh[69005]: SwapCached:            0 kB
Sep 16 18:56:09.408373 np0000001831 memory_tracker.sh[69005]: Active:          1453080 kB
Sep 16 18:56:09.408373 np0000001831 memory_tracker.sh[69005]: Inactive:        5689488 kB
Sep 16 18:56:09.408373 np0000001831 memory_tracker.sh[69005]: Active(anon):     875448 kB
Sep 16 18:56:09.408373 np0000001831 memory_tracker.sh[69005]: Inactive(anon):   125764 kB
Sep 16 18:56:09.408373 np0000001831 memory_tracker.sh[69005]: Active(file):     577632 kB
Sep 16 18:56:09.408373 np0000001831 memory_tracker.sh[69005]: Inactive(file):  5563724 kB
Sep 16 18:56:09.408373 np0000001831 memory_tracker.sh[69005]: Unevictable:      101972 kB
Sep 16 18:56:09.408373 np0000001831 memory_tracker.sh[69005]: Mlocked:          100772 kB
Sep 16 18:56:09.408373 np0000001831 memory_tracker.sh[69005]: SwapTotal:       8388604 kB
Sep 16 18:56:09.408373 np0000001831 memory_tracker.sh[69005]: SwapFree:        8388080 kB
Sep 16 18:56:09.408373 np0000001831 memory_tracker.sh[69005]: Zswap:               308 kB
Sep 16 18:56:09.408373 np0000001831 memory_tracker.sh[69005]: Zswapped:             68 kB
Sep 16 18:56:09.408373 np0000001831 memory_tracker.sh[69005]: Dirty:            152200 kB
Sep 16 18:56:09.408373 np0000001831 memory_tracker.sh[69005]: Writeback:             0 kB
Sep 16 18:56:09.408373 np0000001831 memory_tracker.sh[69005]: AnonPages:        928428 kB
Sep 16 18:56:09.408373 np0000001831 memory_tracker.sh[69005]: Mapped:           189708 kB
Sep 16 18:56:09.408373 np0000001831 memory_tracker.sh[69005]: Shmem:            154768 kB
Sep 16 18:56:09.408373 np0000001831 memory_tracker.sh[69005]: KReclaimable:     479904 kB
Sep 16 18:56:09.408373 np0000001831 memory_tracker.sh[69005]: Slab:             569052 kB
Sep 16 18:56:09.408373 np0000001831 memory_tracker.sh[69005]: SReclaimable:     479904 kB
Sep 16 18:56:09.408373 np0000001831 memory_tracker.sh[69005]: SUnreclaim:        89148 kB
Sep 16 18:56:09.408373 np0000001831 memory_tracker.sh[69005]: KernelStack:        7064 kB
Sep 16 18:56:09.408373 np0000001831 memory_tracker.sh[69005]: PageTables:         9568 kB
Sep 16 18:56:09.408373 np0000001831 memory_tracker.sh[69005]: SecPageTables:         0 kB
Sep 16 18:56:09.408373 np0000001831 memory_tracker.sh[69005]: NFS_Unstable:          0 kB
Sep 16 18:56:09.408373 np0000001831 memory_tracker.sh[69005]: Bounce:                0 kB
Sep 16 18:56:09.408373 np0000001831 memory_tracker.sh[69005]: WritebackTmp:          0 kB
Sep 16 18:56:09.408373 np0000001831 memory_tracker.sh[69005]: CommitLimit:    12454492 kB
Sep 16 18:56:09.408373 np0000001831 memory_tracker.sh[69005]: Committed_AS:    2603316 kB
Sep 16 18:56:09.408373 np0000001831 memory_tracker.sh[69005]: VmallocTotal:   34359738367 kB
Sep 16 18:56:09.408373 np0000001831 memory_tracker.sh[69005]: VmallocUsed:       86848 kB
Sep 16 18:56:09.408373 np0000001831 memory_tracker.sh[69005]: VmallocChunk:          0 kB
Sep 16 18:56:09.408373 np0000001831 memory_tracker.sh[69005]: Percpu:             2432 kB
Sep 16 18:56:09.408373 np0000001831 memory_tracker.sh[69005]: HardwareCorrupted:     0 kB
Sep 16 18:56:09.408373 np0000001831 memory_tracker.sh[69005]: AnonHugePages:         0 kB
Sep 16 18:56:09.408373 np0000001831 memory_tracker.sh[69005]: ShmemHugePages:        0 kB
Sep 16 18:56:09.408373 np0000001831 memory_tracker.sh[69005]: ShmemPmdMapped:        0 kB
Sep 16 18:56:09.408373 np0000001831 memory_tracker.sh[69005]: FileHugePages:         0 kB
Sep 16 18:56:09.408373 np0000001831 memory_tracker.sh[69005]: FilePmdMapped:         0 kB
Sep 16 18:56:09.408373 np0000001831 memory_tracker.sh[69005]: Unaccepted:            0 kB
Sep 16 18:56:09.408373 np0000001831 memory_tracker.sh[69005]: HugePages_Total:       0
Sep 16 18:56:09.408373 np0000001831 memory_tracker.sh[69005]: HugePages_Free:        0
Sep 16 18:56:09.408373 np0000001831 memory_tracker.sh[69005]: HugePages_Rsvd:        0
Sep 16 18:56:09.408373 np0000001831 memory_tracker.sh[69005]: HugePages_Surp:        0
Sep 16 18:56:09.408373 np0000001831 memory_tracker.sh[69005]: Hugepagesize:       2048 kB
Sep 16 18:56:09.408373 np0000001831 memory_tracker.sh[69005]: Hugetlb:               0 kB
Sep 16 18:56:09.408373 np0000001831 memory_tracker.sh[69005]: DirectMap4k:      208756 kB
Sep 16 18:56:09.408373 np0000001831 memory_tracker.sh[69005]: DirectMap2M:     8179712 kB
Sep 16 18:56:09.409642 np0000001831 memory_tracker.sh[65906]: ---
Sep 16 18:56:09.428876 np0000001831 memory_tracker.sh[69007]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Sep 16 18:56:09.428876 np0000001831 memory_tracker.sh[69007]:      65197    4.9          405340          1   00:00:02       39 do_poll.constprop.0       /usr/sbin/mysqld
Sep 16 18:56:09.428876 np0000001831 memory_tracker.sh[69007]:      27851    1.5          129864          1   00:00:05       24 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Sep 16 18:56:09.428876 np0000001831 memory_tracker.sh[69007]:      68840    1.4          117312      68838   00:00:02        1 -                         keystoneuWSGI worker 1
Sep 16 18:56:09.428876 np0000001831 memory_tracker.sh[69007]:      68841    1.4          117184      68838   00:00:02        1 -                         keystoneuWSGI worker 2
Sep 16 18:56:09.428876 np0000001831 memory_tracker.sh[69007]:      49649    0.9           74616          1   00:00:00        8 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Sep 16 18:56:09.428876 np0000001831 memory_tracker.sh[69007]:      64199    0.9           73928          1   00:00:01        1 skb_wait_for_more_packets /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Sep 16 18:56:09.428876 np0000001831 memory_tracker.sh[69007]:      17973    0.4           39952      17968   00:00:00        4 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 16 18:56:09.429198 np0000001831 memory_tracker.sh[69007]:      67169    0.3           27792          1   00:00:00        9 futex_wait_queue          /opt/stack/bin/etcd --name np0000001831 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000001831=http://10.19.119.245:2380 --initial-advertise-peer-urls http://10.19.119.245:2380 --advertise-client-urls http://10.19.119.245:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://10.19.119.245:2379 --log-level=debug
Sep 16 18:56:09.429198 np0000001831 memory_tracker.sh[69007]:        284    0.3           27292          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Sep 16 18:56:09.429198 np0000001831 memory_tracker.sh[69007]:      60462    0.3           26224          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Sep 16 18:56:09.429198 np0000001831 memory_tracker.sh[69007]:       7803    0.3           26060       7802   00:00:01        2 do_wait                   /usr/bin/python3
Sep 16 18:56:09.429198 np0000001831 memory_tracker.sh[69007]:       2213    0.2           20912          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Sep 16 18:56:09.429198 np0000001831 memory_tracker.sh[69007]:        846    0.2           20080          1   00:00:00        2 inet_csk_accept           /usr/bin/python3
Sep 16 18:56:09.429198 np0000001831 memory_tracker.sh[69007]:      25856    0.2           20048          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Sep 16 18:56:09.429198 np0000001831 memory_tracker.sh[69007]:        674    0.2           19448          1   00:00:00        1 ep_poll                   /usr/sbin/unbound -d -p
Sep 16 18:56:09.429198 np0000001831 memory_tracker.sh[69007]:      68838    0.2           19396          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Sep 16 18:56:09.429198 np0000001831 memory_tracker.sh[69007]:      52649    0.1           15516          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Sep 16 18:56:09.429198 np0000001831 memory_tracker.sh[69007]:      60505    0.1           15508          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Sep 16 18:56:09.429198 np0000001831 memory_tracker.sh[69007]:      55856    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Sep 16 18:56:09.429198 np0000001831 memory_tracker.sh[69007]:          1    0.1           13872          0   00:00:17        1 ep_poll                   /sbin/init nofb
Sep 16 18:56:09.429198 np0000001831 memory_tracker.sh[69007]:      17968    0.1           13284          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 16 18:56:09.429507 np0000001831 memory_tracker.sh[69007]:        358    0.1           12908          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Sep 16 18:56:09.429507 np0000001831 memory_tracker.sh[69007]:      10456    0.1           12192       7808   00:00:01        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-09-16-184931
Sep 16 18:56:09.429507 np0000001831 memory_tracker.sh[69007]:      10461    0.1           12096       7808   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-09-16-184931.summary.2026-09-16-184931
Sep 16 18:56:09.429507 np0000001831 memory_tracker.sh[69007]:        712    0.1           11404          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Sep 16 18:56:09.429507 np0000001831 memory_tracker.sh[69007]:      68907    0.1           11092      68906   00:00:00        1 do_poll.constprop.0       curl -g -k --noproxy * -s -o /dev/null -w %{http_code} http://10.19.119.245/identity/v3/
Sep 16 18:56:09.429507 np0000001831 memory_tracker.sh[69007]:       7808    0.1           10752       7806   00:00:08        1 do_wait                   bash ./stack.sh
Sep 16 18:56:09.429507 np0000001831 memory_tracker.sh[69007]:      67506    0.1            9488          1   00:00:00        1 do_select                 /usr/sbin/apache2 -k start
Sep 16 18:56:09.429507 np0000001831 memory_tracker.sh[69007]:      63227    0.1            9360       7808   00:00:00        1 do_wait                   bash ./stack.sh
Sep 16 18:56:09.429507 np0000001831 memory_tracker.sh[69007]:        425    0.1            9048          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-logind
