Sep 04 16:39:27.920801 np0000000946 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Sep 04 16:39:27.935911 np0000000946 memory_tracker.sh[65835]: [[[
Sep 04 16:39:27.938287 np0000000946 memory_tracker.sh[65853]: Fri Sep  4 16:39:27 UTC 2026
Sep 04 16:39:27.938402 np0000000946 memory_tracker.sh[65835]: ---
Sep 04 16:39:28.022967 np0000000946 memory_tracker.sh[65858]: [iscsid (pid:55656)]=14172KB; [multipathd (pid:278)]=288928KB; [ovs-vswitchd (pid:49312)]=532464KB
Sep 04 16:39:28.033067 np0000000946 memory_tracker.sh[65835]: ]]]
Sep 04 16:39:48.053184 np0000000946 memory_tracker.sh[65835]: [[[
Sep 04 16:39:48.054858 np0000000946 memory_tracker.sh[68885]: Fri Sep  4 16:39:48 UTC 2026
Sep 04 16:39:48.055204 np0000000946 memory_tracker.sh[65835]: ---
Sep 04 16:39:48.055204 np0000000946 memory_tracker.sh[65835]: memory_tracker low_point: 6534708
Sep 04 16:39:48.055204 np0000000946 memory_tracker.sh[65835]: ---
Sep 04 16:39:48.060173 np0000000946 memory_tracker.sh[68886]: MemTotal:        8131796 kB
Sep 04 16:39:48.060173 np0000000946 memory_tracker.sh[68886]: MemFree:          228888 kB
Sep 04 16:39:48.060173 np0000000946 memory_tracker.sh[68886]: MemAvailable:    6534204 kB
Sep 04 16:39:48.060173 np0000000946 memory_tracker.sh[68886]: Buffers:          211316 kB
Sep 04 16:39:48.060173 np0000000946 memory_tracker.sh[68886]: Cached:          6131924 kB
Sep 04 16:39:48.060173 np0000000946 memory_tracker.sh[68886]: SwapCached:            0 kB
Sep 04 16:39:48.060173 np0000000946 memory_tracker.sh[68886]: Active:          1369760 kB
Sep 04 16:39:48.060173 np0000000946 memory_tracker.sh[68886]: Inactive:        5716280 kB
Sep 04 16:39:48.060173 np0000000946 memory_tracker.sh[68886]: Active(anon):     808464 kB
Sep 04 16:39:48.060173 np0000000946 memory_tracker.sh[68886]: Inactive(anon):   108960 kB
Sep 04 16:39:48.060173 np0000000946 memory_tracker.sh[68886]: Active(file):     561296 kB
Sep 04 16:39:48.060173 np0000000946 memory_tracker.sh[68886]: Inactive(file):  5607320 kB
Sep 04 16:39:48.060173 np0000000946 memory_tracker.sh[68886]: Unevictable:      101968 kB
Sep 04 16:39:48.060173 np0000000946 memory_tracker.sh[68886]: Mlocked:          100768 kB
Sep 04 16:39:48.060173 np0000000946 memory_tracker.sh[68886]: SwapTotal:       8388604 kB
Sep 04 16:39:48.060173 np0000000946 memory_tracker.sh[68886]: SwapFree:        8388080 kB
Sep 04 16:39:48.060173 np0000000946 memory_tracker.sh[68886]: Zswap:               308 kB
Sep 04 16:39:48.060173 np0000000946 memory_tracker.sh[68886]: Zswapped:             68 kB
Sep 04 16:39:48.060173 np0000000946 memory_tracker.sh[68886]: Dirty:            135688 kB
Sep 04 16:39:48.060173 np0000000946 memory_tracker.sh[68886]: Writeback:             0 kB
Sep 04 16:39:48.060173 np0000000946 memory_tracker.sh[68886]: AnonPages:        844784 kB
Sep 04 16:39:48.060173 np0000000946 memory_tracker.sh[68886]: Mapped:           181936 kB
Sep 04 16:39:48.060173 np0000000946 memory_tracker.sh[68886]: Shmem:            154760 kB
Sep 04 16:39:48.060173 np0000000946 memory_tracker.sh[68886]: KReclaimable:     479004 kB
Sep 04 16:39:48.060173 np0000000946 memory_tracker.sh[68886]: Slab:             568636 kB
Sep 04 16:39:48.060173 np0000000946 memory_tracker.sh[68886]: SReclaimable:     479004 kB
Sep 04 16:39:48.060173 np0000000946 memory_tracker.sh[68886]: SUnreclaim:        89632 kB
Sep 04 16:39:48.060173 np0000000946 memory_tracker.sh[68886]: KernelStack:        7028 kB
Sep 04 16:39:48.060173 np0000000946 memory_tracker.sh[68886]: PageTables:         9392 kB
Sep 04 16:39:48.060173 np0000000946 memory_tracker.sh[68886]: SecPageTables:         0 kB
Sep 04 16:39:48.060173 np0000000946 memory_tracker.sh[68886]: NFS_Unstable:          0 kB
Sep 04 16:39:48.060173 np0000000946 memory_tracker.sh[68886]: Bounce:                0 kB
Sep 04 16:39:48.060173 np0000000946 memory_tracker.sh[68886]: WritebackTmp:          0 kB
Sep 04 16:39:48.060173 np0000000946 memory_tracker.sh[68886]: CommitLimit:    12454500 kB
Sep 04 16:39:48.060173 np0000000946 memory_tracker.sh[68886]: Committed_AS:    2545012 kB
Sep 04 16:39:48.060173 np0000000946 memory_tracker.sh[68886]: VmallocTotal:   34359738367 kB
Sep 04 16:39:48.060173 np0000000946 memory_tracker.sh[68886]: VmallocUsed:       86816 kB
Sep 04 16:39:48.060173 np0000000946 memory_tracker.sh[68886]: VmallocChunk:          0 kB
Sep 04 16:39:48.060173 np0000000946 memory_tracker.sh[68886]: Percpu:             2432 kB
Sep 04 16:39:48.060173 np0000000946 memory_tracker.sh[68886]: HardwareCorrupted:     0 kB
Sep 04 16:39:48.060173 np0000000946 memory_tracker.sh[68886]: AnonHugePages:         0 kB
Sep 04 16:39:48.060173 np0000000946 memory_tracker.sh[68886]: ShmemHugePages:        0 kB
Sep 04 16:39:48.060173 np0000000946 memory_tracker.sh[68886]: ShmemPmdMapped:        0 kB
Sep 04 16:39:48.060173 np0000000946 memory_tracker.sh[68886]: FileHugePages:         0 kB
Sep 04 16:39:48.060173 np0000000946 memory_tracker.sh[68886]: FilePmdMapped:         0 kB
Sep 04 16:39:48.060173 np0000000946 memory_tracker.sh[68886]: Unaccepted:            0 kB
Sep 04 16:39:48.060173 np0000000946 memory_tracker.sh[68886]: HugePages_Total:       0
Sep 04 16:39:48.060173 np0000000946 memory_tracker.sh[68886]: HugePages_Free:        0
Sep 04 16:39:48.060173 np0000000946 memory_tracker.sh[68886]: HugePages_Rsvd:        0
Sep 04 16:39:48.060173 np0000000946 memory_tracker.sh[68886]: HugePages_Surp:        0
Sep 04 16:39:48.060173 np0000000946 memory_tracker.sh[68886]: Hugepagesize:       2048 kB
Sep 04 16:39:48.060173 np0000000946 memory_tracker.sh[68886]: Hugetlb:               0 kB
Sep 04 16:39:48.060173 np0000000946 memory_tracker.sh[68886]: DirectMap4k:      206708 kB
Sep 04 16:39:48.060173 np0000000946 memory_tracker.sh[68886]: DirectMap2M:     8181760 kB
Sep 04 16:39:48.061294 np0000000946 memory_tracker.sh[65835]: ---
Sep 04 16:39:48.074340 np0000000946 memory_tracker.sh[68888]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Sep 04 16:39:48.074340 np0000000946 memory_tracker.sh[68888]:      65104    4.9          405168          1   00:00:03       39 do_poll.constprop.0       /usr/sbin/mysqld
Sep 04 16:39:48.074340 np0000000946 memory_tracker.sh[68888]:      27380    1.6          133024          1   00:00:05       24 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Sep 04 16:39:48.074340 np0000000946 memory_tracker.sh[68888]:      49312    0.9           74612          1   00:00:00        8 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Sep 04 16:39:48.074340 np0000000946 memory_tracker.sh[68888]:      64142    0.9           73936          1   00:00:01        1 skb_wait_for_more_packets /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Sep 04 16:39:48.074340 np0000000946 memory_tracker.sh[68888]:      68812    0.8           71568      68811   00:00:00        1 -                         keystoneuWSGI worker 1
Sep 04 16:39:48.074340 np0000000946 memory_tracker.sh[68888]:      68813    0.8           71004      68811   00:00:00        1 -                         keystoneuWSGI worker 2
Sep 04 16:39:48.074340 np0000000946 memory_tracker.sh[68888]:      18434    0.4           39952      18429   00:00:00        4 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 04 16:39:48.074855 np0000000946 memory_tracker.sh[68888]:      67073    0.3           27732          1   00:00:00        9 futex_wait_queue          /opt/stack/bin/etcd --name np0000000946 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000000946=http://10.19.119.154:2380 --initial-advertise-peer-urls http://10.19.119.154:2380 --advertise-client-urls http://10.19.119.154:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://10.19.119.154:2379 --log-level=debug
Sep 04 16:39:48.074855 np0000000946 memory_tracker.sh[68888]:        278    0.3           27292          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Sep 04 16:39:48.074855 np0000000946 memory_tracker.sh[68888]:      60326    0.3           26240          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Sep 04 16:39:48.074855 np0000000946 memory_tracker.sh[68888]:       7792    0.3           26132       7791   00:00:01        2 do_wait                   /usr/bin/python3
Sep 04 16:39:48.074855 np0000000946 memory_tracker.sh[68888]:       2200    0.2           20996          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Sep 04 16:39:48.074855 np0000000946 memory_tracker.sh[68888]:      25405    0.2           20320          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Sep 04 16:39:48.074855 np0000000946 memory_tracker.sh[68888]:        845    0.2           20168          1   00:00:00        2 inet_csk_accept           /usr/bin/python3
Sep 04 16:39:48.074855 np0000000946 memory_tracker.sh[68888]:        672    0.2           19396          1   00:00:00        1 ep_poll                   /usr/sbin/unbound -d -p
Sep 04 16:39:48.074855 np0000000946 memory_tracker.sh[68888]:      68811    0.2           19372          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Sep 04 16:39:48.074855 np0000000946 memory_tracker.sh[68888]:      52384    0.1           15624          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Sep 04 16:39:48.074855 np0000000946 memory_tracker.sh[68888]:      60361    0.1           15476          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Sep 04 16:39:48.074855 np0000000946 memory_tracker.sh[68888]:      55656    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Sep 04 16:39:48.074855 np0000000946 memory_tracker.sh[68888]:          1    0.1           13816          0   00:00:18        1 ep_poll                   /sbin/init nofb
Sep 04 16:39:48.074855 np0000000946 memory_tracker.sh[68888]:      18429    0.1           13072          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 04 16:39:48.075134 np0000000946 memory_tracker.sh[68888]:        350    0.1           12924          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Sep 04 16:39:48.075134 np0000000946 memory_tracker.sh[68888]:      10102    0.1           12212       7796   00:00:02        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-09-04-163300
Sep 04 16:39:48.075134 np0000000946 memory_tracker.sh[68888]:      10107    0.1           12080       7796   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-09-04-163300.summary.2026-09-04-163300
Sep 04 16:39:48.075134 np0000000946 memory_tracker.sh[68888]:        711    0.1           11164          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Sep 04 16:39:48.075134 np0000000946 memory_tracker.sh[68888]:      68874    0.1           11064      68873   00:00:00        1 do_poll.constprop.0       curl -g -k --noproxy * -s -o /dev/null -w %{http_code} http://10.19.119.154/identity/v3/
Sep 04 16:39:48.075134 np0000000946 memory_tracker.sh[68888]:       7796    0.1           10760       7794   00:00:09        1 do_wait                   bash ./stack.sh
Sep 04 16:39:48.075134 np0000000946 memory_tracker.sh[68888]:      67408    0.1            9532          1   00:00:00        1 do_select                 /usr/sbin/apache2 -k start
Sep 04 16:39:48.075134 np0000000946 memory_tracker.sh[68888]:      63107    0.1            9368       7796   00:00:00        1 do_wait                   bash ./stack.sh
Sep 04 16:39:48.075134 np0000000946 memory_tracker.sh[68888]:        427    0.1            9052          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-logind
