Sep 11 13:50:12.743868 np0000001786 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Sep 11 13:50:12.759082 np0000001786 memory_tracker.sh[50039]: [[[
Sep 11 13:50:12.760368 np0000001786 memory_tracker.sh[50052]: Fri Sep 11 13:50:12 UTC 2026
Sep 11 13:50:12.760736 np0000001786 memory_tracker.sh[50039]: ---
Sep 11 13:50:12.833937 np0000001786 memory_tracker.sh[50056]: [iscsid (pid:40975)]=14172KB; [multipathd (pid:281)]=288928KB; [ovs-vswitchd (pid:35540)]=532472KB
Sep 11 13:50:12.843847 np0000001786 memory_tracker.sh[50039]: ]]]
Sep 11 13:50:32.863219 np0000001786 memory_tracker.sh[50039]: [[[
Sep 11 13:50:32.865608 np0000001786 memory_tracker.sh[52476]: Fri Sep 11 13:50:32 UTC 2026
Sep 11 13:50:32.866111 np0000001786 memory_tracker.sh[50039]: ---
Sep 11 13:50:32.866111 np0000001786 memory_tracker.sh[50039]: memory_tracker low_point: 6634672
Sep 11 13:50:32.866111 np0000001786 memory_tracker.sh[50039]: ---
Sep 11 13:50:32.868422 np0000001786 memory_tracker.sh[52477]: MemTotal:        8131784 kB
Sep 11 13:50:32.868422 np0000001786 memory_tracker.sh[52477]: MemFree:          180444 kB
Sep 11 13:50:32.868422 np0000001786 memory_tracker.sh[52477]: MemAvailable:    6633664 kB
Sep 11 13:50:32.868422 np0000001786 memory_tracker.sh[52477]: Buffers:          187128 kB
Sep 11 13:50:32.868422 np0000001786 memory_tracker.sh[52477]: Cached:          6313444 kB
Sep 11 13:50:32.868422 np0000001786 memory_tracker.sh[52477]: SwapCached:            0 kB
Sep 11 13:50:32.868422 np0000001786 memory_tracker.sh[52477]: Active:          1222852 kB
Sep 11 13:50:32.868422 np0000001786 memory_tracker.sh[52477]: Inactive:        6013240 kB
Sep 11 13:50:32.868422 np0000001786 memory_tracker.sh[52477]: Active(anon):     782948 kB
Sep 11 13:50:32.868422 np0000001786 memory_tracker.sh[52477]: Inactive(anon):   127252 kB
Sep 11 13:50:32.868422 np0000001786 memory_tracker.sh[52477]: Active(file):     439904 kB
Sep 11 13:50:32.868422 np0000001786 memory_tracker.sh[52477]: Inactive(file):  5885988 kB
Sep 11 13:50:32.868422 np0000001786 memory_tracker.sh[52477]: Unevictable:      101976 kB
Sep 11 13:50:32.868422 np0000001786 memory_tracker.sh[52477]: Mlocked:          100776 kB
Sep 11 13:50:32.868422 np0000001786 memory_tracker.sh[52477]: SwapTotal:       8388604 kB
Sep 11 13:50:32.868422 np0000001786 memory_tracker.sh[52477]: SwapFree:        8387824 kB
Sep 11 13:50:32.868422 np0000001786 memory_tracker.sh[52477]: Zswap:               304 kB
Sep 11 13:50:32.868422 np0000001786 memory_tracker.sh[52477]: Zswapped:             64 kB
Sep 11 13:50:32.868422 np0000001786 memory_tracker.sh[52477]: Dirty:              4468 kB
Sep 11 13:50:32.868422 np0000001786 memory_tracker.sh[52477]: Writeback:             0 kB
Sep 11 13:50:32.868422 np0000001786 memory_tracker.sh[52477]: AnonPages:        837500 kB
Sep 11 13:50:32.868422 np0000001786 memory_tracker.sh[52477]: Mapped:           176136 kB
Sep 11 13:50:32.868422 np0000001786 memory_tracker.sh[52477]: Shmem:            154816 kB
Sep 11 13:50:32.868422 np0000001786 memory_tracker.sh[52477]: KReclaimable:     432968 kB
Sep 11 13:50:32.868422 np0000001786 memory_tracker.sh[52477]: Slab:             517884 kB
Sep 11 13:50:32.868422 np0000001786 memory_tracker.sh[52477]: SReclaimable:     432968 kB
Sep 11 13:50:32.868422 np0000001786 memory_tracker.sh[52477]: SUnreclaim:        84916 kB
Sep 11 13:50:32.868422 np0000001786 memory_tracker.sh[52477]: KernelStack:        6448 kB
Sep 11 13:50:32.868422 np0000001786 memory_tracker.sh[52477]: PageTables:         9212 kB
Sep 11 13:50:32.868422 np0000001786 memory_tracker.sh[52477]: SecPageTables:         0 kB
Sep 11 13:50:32.868422 np0000001786 memory_tracker.sh[52477]: NFS_Unstable:          0 kB
Sep 11 13:50:32.868422 np0000001786 memory_tracker.sh[52477]: Bounce:                0 kB
Sep 11 13:50:32.868422 np0000001786 memory_tracker.sh[52477]: WritebackTmp:          0 kB
Sep 11 13:50:32.868422 np0000001786 memory_tracker.sh[52477]: CommitLimit:    12454496 kB
Sep 11 13:50:32.868422 np0000001786 memory_tracker.sh[52477]: Committed_AS:    2535668 kB
Sep 11 13:50:32.868422 np0000001786 memory_tracker.sh[52477]: VmallocTotal:   34359738367 kB
Sep 11 13:50:32.868422 np0000001786 memory_tracker.sh[52477]: VmallocUsed:       18732 kB
Sep 11 13:50:32.868422 np0000001786 memory_tracker.sh[52477]: VmallocChunk:          0 kB
Sep 11 13:50:32.868422 np0000001786 memory_tracker.sh[52477]: Percpu:             2496 kB
Sep 11 13:50:32.868422 np0000001786 memory_tracker.sh[52477]: HardwareCorrupted:     0 kB
Sep 11 13:50:32.868422 np0000001786 memory_tracker.sh[52477]: AnonHugePages:         0 kB
Sep 11 13:50:32.868422 np0000001786 memory_tracker.sh[52477]: ShmemHugePages:        0 kB
Sep 11 13:50:32.868422 np0000001786 memory_tracker.sh[52477]: ShmemPmdMapped:        0 kB
Sep 11 13:50:32.868422 np0000001786 memory_tracker.sh[52477]: FileHugePages:         0 kB
Sep 11 13:50:32.868422 np0000001786 memory_tracker.sh[52477]: FilePmdMapped:         0 kB
Sep 11 13:50:32.868422 np0000001786 memory_tracker.sh[52477]: Unaccepted:            0 kB
Sep 11 13:50:32.868422 np0000001786 memory_tracker.sh[52477]: HugePages_Total:       0
Sep 11 13:50:32.868422 np0000001786 memory_tracker.sh[52477]: HugePages_Free:        0
Sep 11 13:50:32.868422 np0000001786 memory_tracker.sh[52477]: HugePages_Rsvd:        0
Sep 11 13:50:32.868422 np0000001786 memory_tracker.sh[52477]: HugePages_Surp:        0
Sep 11 13:50:32.868422 np0000001786 memory_tracker.sh[52477]: Hugepagesize:       2048 kB
Sep 11 13:50:32.868422 np0000001786 memory_tracker.sh[52477]: Hugetlb:               0 kB
Sep 11 13:50:32.868422 np0000001786 memory_tracker.sh[52477]: DirectMap4k:      165748 kB
Sep 11 13:50:32.868422 np0000001786 memory_tracker.sh[52477]: DirectMap2M:     8222720 kB
Sep 11 13:50:32.870434 np0000001786 memory_tracker.sh[50039]: ---
Sep 11 13:50:32.887170 np0000001786 memory_tracker.sh[52479]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Sep 11 13:50:32.887170 np0000001786 memory_tracker.sh[52479]:      49398    4.9          405056          1   00:00:03       39 do_poll.constprop.0       /usr/sbin/mysqld
Sep 11 13:50:32.887170 np0000001786 memory_tracker.sh[52479]:      18239    1.6          132272          1   00:00:10       24 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Sep 11 13:50:32.887170 np0000001786 memory_tracker.sh[52479]:      35540    0.9           74620          1   00:00:02        8 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Sep 11 13:50:32.887170 np0000001786 memory_tracker.sh[52479]:      48607    0.9           73996          1   00:00:01        1 skb_wait_for_more_packets /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Sep 11 13:50:32.887170 np0000001786 memory_tracker.sh[52479]:      52408    0.7           64000      52407   00:00:00        1 -                         keystoneuWSGI worker 1
Sep 11 13:50:32.887170 np0000001786 memory_tracker.sh[52479]:      52409    0.7           62368      52407   00:00:00        1 -                         keystoneuWSGI worker 2
Sep 11 13:50:32.887170 np0000001786 memory_tracker.sh[52479]:      11654    0.4           39780      11652   00:00:00        4 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 11 13:50:32.887995 np0000001786 memory_tracker.sh[52479]:      51136    0.3           27676          1   00:00:00        9 futex_wait_queue          /opt/stack/bin/etcd --name np0000001786 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000001786=http://10.19.119.3:2380 --initial-advertise-peer-urls http://10.19.119.3:2380 --advertise-client-urls http://10.19.119.3:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://10.19.119.3:2379 --log-level=debug
Sep 11 13:50:32.887995 np0000001786 memory_tracker.sh[52479]:        281    0.3           27292          1   00:00:06        7 futex_wait_queue          /sbin/multipathd -d -s
Sep 11 13:50:32.887995 np0000001786 memory_tracker.sh[52479]:      45310    0.3           26428          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Sep 11 13:50:32.887995 np0000001786 memory_tracker.sh[52479]:       2389    0.3           26212       2388   00:00:01        2 do_wait                   /usr/bin/python3
Sep 11 13:50:32.887995 np0000001786 memory_tracker.sh[52479]:      38906    0.2           20828          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Sep 11 13:50:32.887995 np0000001786 memory_tracker.sh[52479]:       1255    0.2           19856          1   00:00:01        1 inet_csk_accept           /usr/bin/python3
Sep 11 13:50:32.887995 np0000001786 memory_tracker.sh[52479]:        869    0.2           19496          1   00:00:00        1 ep_poll                   /usr/sbin/unbound -d -p
Sep 11 13:50:32.887995 np0000001786 memory_tracker.sh[52479]:      52407    0.2           19376          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Sep 11 13:50:32.887995 np0000001786 memory_tracker.sh[52479]:      17191    0.2           18472          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Sep 11 13:50:32.887995 np0000001786 memory_tracker.sh[52479]:      45348    0.1           15576          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Sep 11 13:50:32.887995 np0000001786 memory_tracker.sh[52479]:      38857    0.1           15508          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Sep 11 13:50:32.887995 np0000001786 memory_tracker.sh[52479]:      40975    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Sep 11 13:50:32.887995 np0000001786 memory_tracker.sh[52479]:          1    0.1           13916          0   00:00:16        1 ep_poll                   /sbin/init nofb
Sep 11 13:50:32.887995 np0000001786 memory_tracker.sh[52479]:      11652    0.1           13020          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 11 13:50:32.888649 np0000001786 memory_tracker.sh[52479]:        328    0.1           12936          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Sep 11 13:50:32.888649 np0000001786 memory_tracker.sh[52479]:       4556    0.1           12236       2392   00:00:02        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-09-11-122252
Sep 11 13:50:32.888649 np0000001786 memory_tracker.sh[52479]:       4561    0.1           12080       2392   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-09-11-122252.summary.2026-09-11-122252
Sep 11 13:50:32.888649 np0000001786 memory_tracker.sh[52479]:       1116    0.1           11364          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Sep 11 13:50:32.888649 np0000001786 memory_tracker.sh[52479]:      52470    0.1           11104      52469   00:00:00        1 do_poll.constprop.0       curl -g -k --noproxy * -s -o /dev/null -w %{http_code} http://10.19.119.3/identity/v3/
Sep 11 13:50:32.888649 np0000001786 memory_tracker.sh[52479]:       2392    0.1           10784       2390   00:00:11        1 do_wait                   bash ./stack.sh
Sep 11 13:50:32.888649 np0000001786 memory_tracker.sh[52479]:      51434    0.1            9484          1   00:00:00        1 do_select                 /usr/sbin/apache2 -k start
Sep 11 13:50:32.888649 np0000001786 memory_tracker.sh[52479]:      47776    0.1            9440       2392   00:00:00        1 do_wait                   bash ./stack.sh
Sep 11 13:50:32.888649 np0000001786 memory_tracker.sh[52479]:        455    0.1            9064          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-logind
