Sep 01 15:25:13.783893 np0000000865 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Sep 01 15:25:13.800017 np0000000865 memory_tracker.sh[51358]: [[[
Sep 01 15:25:13.800437 np0000000865 memory_tracker.sh[51371]: Tue Sep  1 15:25:13 UTC 2026
Sep 01 15:25:13.800652 np0000000865 memory_tracker.sh[51358]: ---
Sep 01 15:25:13.871737 np0000000865 memory_tracker.sh[51374]: [iscsid (pid:39536)]=14172KB; [multipathd (pid:276)]=288928KB; [ovs-vswitchd (pid:35143)]=532464KB
Sep 01 15:25:13.880029 np0000000865 memory_tracker.sh[51358]: ]]]
Sep 01 15:25:33.896426 np0000000865 memory_tracker.sh[51358]: [[[
Sep 01 15:25:33.899267 np0000000865 memory_tracker.sh[53693]: Tue Sep  1 15:25:33 UTC 2026
Sep 01 15:25:33.900199 np0000000865 memory_tracker.sh[51358]: ---
Sep 01 15:25:33.900199 np0000000865 memory_tracker.sh[51358]: memory_tracker low_point: 6523864
Sep 01 15:25:33.900199 np0000000865 memory_tracker.sh[51358]: ---
Sep 01 15:25:33.902133 np0000000865 memory_tracker.sh[53694]: MemTotal:        8131788 kB
Sep 01 15:25:33.902133 np0000000865 memory_tracker.sh[53694]: MemFree:          129888 kB
Sep 01 15:25:33.902133 np0000000865 memory_tracker.sh[53694]: MemAvailable:    6524208 kB
Sep 01 15:25:33.902133 np0000000865 memory_tracker.sh[53694]: Buffers:          197648 kB
Sep 01 15:25:33.902133 np0000000865 memory_tracker.sh[53694]: Cached:          6231752 kB
Sep 01 15:25:33.902133 np0000000865 memory_tracker.sh[53694]: SwapCached:            0 kB
Sep 01 15:25:33.902133 np0000000865 memory_tracker.sh[53694]: Active:          1419440 kB
Sep 01 15:25:33.902133 np0000000865 memory_tracker.sh[53694]: Inactive:        5854172 kB
Sep 01 15:25:33.902133 np0000000865 memory_tracker.sh[53694]: Active(anon):     895944 kB
Sep 01 15:25:33.902133 np0000000865 memory_tracker.sh[53694]: Inactive(anon):   125876 kB
Sep 01 15:25:33.902133 np0000000865 memory_tracker.sh[53694]: Active(file):     523496 kB
Sep 01 15:25:33.902133 np0000000865 memory_tracker.sh[53694]: Inactive(file):  5728296 kB
Sep 01 15:25:33.902133 np0000000865 memory_tracker.sh[53694]: Unevictable:      101968 kB
Sep 01 15:25:33.902133 np0000000865 memory_tracker.sh[53694]: Mlocked:          100768 kB
Sep 01 15:25:33.902133 np0000000865 memory_tracker.sh[53694]: SwapTotal:       8388604 kB
Sep 01 15:25:33.902133 np0000000865 memory_tracker.sh[53694]: SwapFree:        8388080 kB
Sep 01 15:25:33.902133 np0000000865 memory_tracker.sh[53694]: Zswap:               372 kB
Sep 01 15:25:33.902133 np0000000865 memory_tracker.sh[53694]: Zswapped:             72 kB
Sep 01 15:25:33.902133 np0000000865 memory_tracker.sh[53694]: Dirty:             11432 kB
Sep 01 15:25:33.902133 np0000000865 memory_tracker.sh[53694]: Writeback:             0 kB
Sep 01 15:25:33.902133 np0000000865 memory_tracker.sh[53694]: AnonPages:        946084 kB
Sep 01 15:25:33.902133 np0000000865 memory_tracker.sh[53694]: Mapped:           195312 kB
Sep 01 15:25:33.902133 np0000000865 memory_tracker.sh[53694]: Shmem:            157896 kB
Sep 01 15:25:33.902133 np0000000865 memory_tracker.sh[53694]: KReclaimable:     448168 kB
Sep 01 15:25:33.902133 np0000000865 memory_tracker.sh[53694]: Slab:             537272 kB
Sep 01 15:25:33.902133 np0000000865 memory_tracker.sh[53694]: SReclaimable:     448168 kB
Sep 01 15:25:33.902133 np0000000865 memory_tracker.sh[53694]: SUnreclaim:        89104 kB
Sep 01 15:25:33.902133 np0000000865 memory_tracker.sh[53694]: KernelStack:        6780 kB
Sep 01 15:25:33.902133 np0000000865 memory_tracker.sh[53694]: PageTables:        10396 kB
Sep 01 15:25:33.902133 np0000000865 memory_tracker.sh[53694]: SecPageTables:         0 kB
Sep 01 15:25:33.902133 np0000000865 memory_tracker.sh[53694]: NFS_Unstable:          0 kB
Sep 01 15:25:33.902133 np0000000865 memory_tracker.sh[53694]: Bounce:                0 kB
Sep 01 15:25:33.902133 np0000000865 memory_tracker.sh[53694]: WritebackTmp:          0 kB
Sep 01 15:25:33.902133 np0000000865 memory_tracker.sh[53694]: CommitLimit:    12454496 kB
Sep 01 15:25:33.902133 np0000000865 memory_tracker.sh[53694]: Committed_AS:    2670096 kB
Sep 01 15:25:33.902133 np0000000865 memory_tracker.sh[53694]: VmallocTotal:   34359738367 kB
Sep 01 15:25:33.902133 np0000000865 memory_tracker.sh[53694]: VmallocUsed:       20944 kB
Sep 01 15:25:33.902133 np0000000865 memory_tracker.sh[53694]: VmallocChunk:          0 kB
Sep 01 15:25:33.902133 np0000000865 memory_tracker.sh[53694]: Percpu:             2528 kB
Sep 01 15:25:33.902133 np0000000865 memory_tracker.sh[53694]: HardwareCorrupted:     0 kB
Sep 01 15:25:33.902133 np0000000865 memory_tracker.sh[53694]: AnonHugePages:         0 kB
Sep 01 15:25:33.902133 np0000000865 memory_tracker.sh[53694]: ShmemHugePages:        0 kB
Sep 01 15:25:33.902133 np0000000865 memory_tracker.sh[53694]: ShmemPmdMapped:        0 kB
Sep 01 15:25:33.902133 np0000000865 memory_tracker.sh[53694]: FileHugePages:         0 kB
Sep 01 15:25:33.902133 np0000000865 memory_tracker.sh[53694]: FilePmdMapped:         0 kB
Sep 01 15:25:33.902133 np0000000865 memory_tracker.sh[53694]: Unaccepted:            0 kB
Sep 01 15:25:33.902133 np0000000865 memory_tracker.sh[53694]: HugePages_Total:       0
Sep 01 15:25:33.902133 np0000000865 memory_tracker.sh[53694]: HugePages_Free:        0
Sep 01 15:25:33.902133 np0000000865 memory_tracker.sh[53694]: HugePages_Rsvd:        0
Sep 01 15:25:33.902133 np0000000865 memory_tracker.sh[53694]: HugePages_Surp:        0
Sep 01 15:25:33.902133 np0000000865 memory_tracker.sh[53694]: Hugepagesize:       2048 kB
Sep 01 15:25:33.902133 np0000000865 memory_tracker.sh[53694]: Hugetlb:               0 kB
Sep 01 15:25:33.902133 np0000000865 memory_tracker.sh[53694]: DirectMap4k:      182132 kB
Sep 01 15:25:33.902133 np0000000865 memory_tracker.sh[53694]: DirectMap2M:     8206336 kB
Sep 01 15:25:33.906048 np0000000865 memory_tracker.sh[51358]: ---
Sep 01 15:25:33.935868 np0000000865 memory_tracker.sh[53696]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Sep 01 15:25:33.935868 np0000000865 memory_tracker.sh[53696]:      50707    4.9          406284          1   00:00:02       39 do_poll.constprop.0       /usr/sbin/mysqld
Sep 01 15:25:33.935868 np0000000865 memory_tracker.sh[53696]:      18364    1.6          134640          1   00:00:05       24 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Sep 01 15:25:33.935868 np0000000865 memory_tracker.sh[53696]:      53625    1.4          118268      53623   00:00:02        1 -                         keystoneuWSGI worker 2
Sep 01 15:25:33.935868 np0000000865 memory_tracker.sh[53696]:      53624    1.4          118108      53623   00:00:02        1 -                         keystoneuWSGI worker 1
Sep 01 15:25:33.935868 np0000000865 memory_tracker.sh[53696]:      35143    0.9           74612          1   00:00:00        8 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Sep 01 15:25:33.935868 np0000000865 memory_tracker.sh[53696]:      49987    0.9           73976          1   00:00:01        1 skb_wait_for_more_packets /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Sep 01 15:25:33.935868 np0000000865 memory_tracker.sh[53696]:      11574    0.4           39724      11572   00:00:00        4 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 01 15:25:33.938021 np0000000865 memory_tracker.sh[53696]:      52478    0.3           27492          1   00:00:00        8 futex_wait_queue          /opt/stack/bin/etcd --name np0000000865 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000000865=http://10.19.119.116:2380 --initial-advertise-peer-urls http://10.19.119.116:2380 --advertise-client-urls http://10.19.119.116:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://10.19.119.116:2379 --log-level=debug
Sep 01 15:25:33.938021 np0000000865 memory_tracker.sh[53696]:        276    0.3           27292          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Sep 01 15:25:33.938021 np0000000865 memory_tracker.sh[53696]:      48820    0.3           26412          1   00:00:00        1 ep_poll                   /usr/sbin/smbd --foreground --no-process-group
Sep 01 15:25:33.938021 np0000000865 memory_tracker.sh[53696]:      44072    0.3           26256          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Sep 01 15:25:33.938021 np0000000865 memory_tracker.sh[53696]:       1933    0.3           26172       1932   00:00:01        2 do_wait                   /usr/bin/python3
Sep 01 15:25:33.938021 np0000000865 memory_tracker.sh[53696]:       4795    0.2           20904          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Sep 01 15:25:33.938021 np0000000865 memory_tracker.sh[53696]:        862    0.2           20236          1   00:00:00        2 inet_csk_accept           /usr/bin/python3
Sep 01 15:25:33.938021 np0000000865 memory_tracker.sh[53696]:      17231    0.2           20092          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Sep 01 15:25:33.938021 np0000000865 memory_tracker.sh[53696]:        673    0.2           19384          1   00:00:00        1 ep_poll                   /usr/sbin/unbound -d -p
Sep 01 15:25:33.938021 np0000000865 memory_tracker.sh[53696]:      53623    0.2           19384          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Sep 01 15:25:33.938021 np0000000865 memory_tracker.sh[53696]:      48891    0.2           18696          1   00:00:00        1 ep_poll                   /usr/sbin/nmbd --foreground --no-process-group
Sep 01 15:25:33.938021 np0000000865 memory_tracker.sh[53696]:      44108    0.1           15668          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Sep 01 15:25:33.938021 np0000000865 memory_tracker.sh[53696]:      37461    0.1           15508          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Sep 01 15:25:33.938021 np0000000865 memory_tracker.sh[53696]:      39536    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Sep 01 15:25:33.939417 np0000000865 memory_tracker.sh[53696]:          1    0.1           13844          0   00:00:20        1 ep_poll                   /sbin/init nofb
Sep 01 15:25:33.939417 np0000000865 memory_tracker.sh[53696]:      11572    0.1           13224          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 01 15:25:33.939417 np0000000865 memory_tracker.sh[53696]:        323    0.1           12992          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Sep 01 15:25:33.939417 np0000000865 memory_tracker.sh[53696]:       4199    0.1           12196       1936   00:00:02        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-09-01-151629
Sep 01 15:25:33.939417 np0000000865 memory_tracker.sh[53696]:       4204    0.1           12064       1936   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-09-01-151629.summary.2026-09-01-151629
Sep 01 15:25:33.939417 np0000000865 memory_tracker.sh[53696]:       1936    0.1           11436       1934   00:00:11        1 do_wait                   bash ./stack.sh
Sep 01 15:25:33.939417 np0000000865 memory_tracker.sh[53696]:        727    0.1           11356          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Sep 01 15:25:33.939417 np0000000865 memory_tracker.sh[53696]:      53686    0.1           10984      53685   00:00:00        1 do_poll.constprop.0       curl -g -k --noproxy * -s -o /dev/null -w %{http_code} http://10.19.119.116/identity/v3/
Sep 01 15:25:33.939417 np0000000865 memory_tracker.sh[53696]:      46536    0.1           10036       1936   00:00:00        1 do_wait                   bash ./stack.sh
Sep 01 15:25:33.939417 np0000000865 memory_tracker.sh[53696]:      52738    0.1            9504          1   00:00:00        1 do_select                 /usr/sbin/apache2 -k start
