10.19.119.4 - - [02/Sep/2026:21:59:07 +0000] "GET /identity/v3/ HTTP/1.1" 200 502 "-" "curl/8.5.0"
10.19.119.4 - - [02/Sep/2026:21:59:15 +0000] "GET /identity HTTP/1.1" 300 575 "-" "openstacksdk/4.20.0 keystoneauth1/5.17.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.4 - - [02/Sep/2026:21:59:15 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1431 "-" "openstacksdk/4.20.0 keystoneauth1/5.17.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.4 - - [02/Sep/2026:21:59:16 +0000] "GET /identity/v3/projects/admin HTTP/1.1" 404 338 "-" "openstacksdk/4.20.0 keystoneauth1/5.17.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.4 - - [02/Sep/2026:21:59:16 +0000] "GET /identity/v3/projects?name=admin HTTP/1.1" 200 700 "-" "openstacksdk/4.20.0 keystoneauth1/5.17.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.4 - - [02/Sep/2026:21:59:16 +0000] "GET /identity/v3/projects/2229bfb81dfc470a9610ded56a055f41 HTTP/1.1" 200 591 "-" "openstacksdk/4.20.0 keystoneauth1/5.17.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.4 - - [02/Sep/2026:21:59:17 +0000] "GET /identity HTTP/1.1" 300 575 "-" "openstacksdk/4.20.0 keystoneauth1/5.17.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.4 - - [02/Sep/2026:21:59:17 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1431 "-" "openstacksdk/4.20.0 keystoneauth1/5.17.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.4 - - [02/Sep/2026:21:59:17 +0000] "GET /identity/v3/users/admin HTTP/1.1" 404 335 "-" "openstacksdk/4.20.0 keystoneauth1/5.17.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.4 - - [02/Sep/2026:21:59:17 +0000] "GET /identity/v3/users?name=admin HTTP/1.1" 200 600 "-" "openstacksdk/4.20.0 keystoneauth1/5.17.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.4 - - [02/Sep/2026:21:59:17 +0000] "GET /identity HTTP/1.1" 300 575 "-" "openstacksdk/4.20.0 keystoneauth1/5.17.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.4 - - [02/Sep/2026:21:59:17 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1295 "-" "openstacksdk/4.20.0 keystoneauth1/5.17.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.4 - - [02/Sep/2026:21:59:17 +0000] "GET /identity/v3/roles/admin HTTP/1.1" 404 335 "-" "openstacksdk/4.20.0 keystoneauth1/5.17.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.4 - - [02/Sep/2026:21:59:17 +0000] "GET /identity/v3/roles?name=admin HTTP/1.1" 200 587 "-" "openstacksdk/4.20.0 keystoneauth1/5.17.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.4 - - [02/Sep/2026:21:59:17 +0000] "GET /identity/v3/users/b43740ef5ea94637a137266f41993867 HTTP/1.1" 200 494 "-" "openstacksdk/4.20.0 keystoneauth1/5.17.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.4 - - [02/Sep/2026:21:59:17 +0000] "GET /identity/v3/domains/default HTTP/1.1" 200 446 "-" "openstacksdk/4.20.0 keystoneauth1/5.17.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.4 - - [02/Sep/2026:21:59:17 +0000] "PUT /identity/v3/domains/default/users/b43740ef5ea94637a137266f41993867/roles/030114f1e621490eb98a9f588466e2cd HTTP/1.1" 204 201 "-" "openstacksdk/4.20.0 keystoneauth1/5.17.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.4 - - [02/Sep/2026:21:59:18 +0000] "GET /identity HTTP/1.1" 300 575 "-" "openstacksdk/4.20.0 keystoneauth1/5.17.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.4 - - [02/Sep/2026:21:59:18 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1295 "-" "openstacksdk/4.20.0 keystoneauth1/5.17.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.4 - - [02/Sep/2026:21:59:18 +0000] "POST /identity/v3/domains HTTP/1.1" 409 442 "-" "openstacksdk/4.20.0 keystoneauth1/5.17.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.4 - - [02/Sep/2026:21:59:18 +0000] "GET /identity/v3/domains/Default HTTP/1.1" 404 339 "-" "openstacksdk/4.20.0 keystoneauth1/5.17.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.4 - - [02/Sep/2026:21:59:18 +0000] "GET /identity/v3/domains?name=Default HTTP/1.1" 200 556 "-" "openstacksdk/4.20.0 keystoneauth1/5.17.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.4 - - [02/Sep/2026:21:59:18 +0000] "GET /identity HTTP/1.1" 300 575 "-" "openstacksdk/4.20.0 keystoneauth1/5.17.0 python-requests/2.34.2 CPython/3.12.3"
