Sep 03 09:43:03.086072 np0000000919 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Sep 03 09:43:03.101605 np0000000919 memory_tracker.sh[48198]: [[[
Sep 03 09:43:03.102707 np0000000919 memory_tracker.sh[48211]: Thu Sep  3 09:43:03 UTC 2026
Sep 03 09:43:03.102938 np0000000919 memory_tracker.sh[48198]: ---
Sep 03 09:43:03.177801 np0000000919 memory_tracker.sh[48216]: [iscsid (pid:39130)]=14172KB; [multipathd (pid:280)]=288928KB; [ovs-vswitchd (pid:34783)]=532468KB
Sep 03 09:43:03.187972 np0000000919 memory_tracker.sh[48198]: ]]]
Sep 03 09:43:23.202414 np0000000919 memory_tracker.sh[48198]: [[[
Sep 03 09:43:23.204836 np0000000919 memory_tracker.sh[50641]: Thu Sep  3 09:43:23 UTC 2026
Sep 03 09:43:23.205075 np0000000919 memory_tracker.sh[48198]: ---
Sep 03 09:43:23.205075 np0000000919 memory_tracker.sh[48198]: memory_tracker low_point: 6648344
Sep 03 09:43:23.205075 np0000000919 memory_tracker.sh[48198]: ---
Sep 03 09:43:23.206613 np0000000919 memory_tracker.sh[50642]: MemTotal:        8131800 kB
Sep 03 09:43:23.206613 np0000000919 memory_tracker.sh[50642]: MemFree:          199292 kB
Sep 03 09:43:23.206613 np0000000919 memory_tracker.sh[50642]: MemAvailable:    6646580 kB
Sep 03 09:43:23.206613 np0000000919 memory_tracker.sh[50642]: Buffers:          187316 kB
Sep 03 09:43:23.206613 np0000000919 memory_tracker.sh[50642]: Cached:          6307020 kB
Sep 03 09:43:23.206613 np0000000919 memory_tracker.sh[50642]: SwapCached:            0 kB
Sep 03 09:43:23.206613 np0000000919 memory_tracker.sh[50642]: Active:          1245672 kB
Sep 03 09:43:23.206613 np0000000919 memory_tracker.sh[50642]: Inactive:        5964288 kB
Sep 03 09:43:23.206613 np0000000919 memory_tracker.sh[50642]: Active(anon):     764488 kB
Sep 03 09:43:23.206613 np0000000919 memory_tracker.sh[50642]: Inactive(anon):   125768 kB
Sep 03 09:43:23.206613 np0000000919 memory_tracker.sh[50642]: Active(file):     481184 kB
Sep 03 09:43:23.206613 np0000000919 memory_tracker.sh[50642]: Inactive(file):  5838520 kB
Sep 03 09:43:23.206613 np0000000919 memory_tracker.sh[50642]: Unevictable:      101972 kB
Sep 03 09:43:23.206613 np0000000919 memory_tracker.sh[50642]: Mlocked:          100772 kB
Sep 03 09:43:23.206613 np0000000919 memory_tracker.sh[50642]: SwapTotal:       8388604 kB
Sep 03 09:43:23.206613 np0000000919 memory_tracker.sh[50642]: SwapFree:        8388080 kB
Sep 03 09:43:23.206613 np0000000919 memory_tracker.sh[50642]: Zswap:               388 kB
Sep 03 09:43:23.206613 np0000000919 memory_tracker.sh[50642]: Zswapped:             68 kB
Sep 03 09:43:23.206613 np0000000919 memory_tracker.sh[50642]: Dirty:            123904 kB
Sep 03 09:43:23.206613 np0000000919 memory_tracker.sh[50642]: Writeback:             0 kB
Sep 03 09:43:23.206613 np0000000919 memory_tracker.sh[50642]: AnonPages:        817480 kB
Sep 03 09:43:23.206613 np0000000919 memory_tracker.sh[50642]: Mapped:           176640 kB
Sep 03 09:43:23.206613 np0000000919 memory_tracker.sh[50642]: Shmem:            154760 kB
Sep 03 09:43:23.206613 np0000000919 memory_tracker.sh[50642]: KReclaimable:     433024 kB
Sep 03 09:43:23.206613 np0000000919 memory_tracker.sh[50642]: Slab:             518116 kB
Sep 03 09:43:23.206613 np0000000919 memory_tracker.sh[50642]: SReclaimable:     433024 kB
Sep 03 09:43:23.206613 np0000000919 memory_tracker.sh[50642]: SUnreclaim:        85092 kB
Sep 03 09:43:23.206613 np0000000919 memory_tracker.sh[50642]: KernelStack:        6496 kB
Sep 03 09:43:23.206613 np0000000919 memory_tracker.sh[50642]: PageTables:         8896 kB
Sep 03 09:43:23.206613 np0000000919 memory_tracker.sh[50642]: SecPageTables:         0 kB
Sep 03 09:43:23.206613 np0000000919 memory_tracker.sh[50642]: NFS_Unstable:          0 kB
Sep 03 09:43:23.206613 np0000000919 memory_tracker.sh[50642]: Bounce:                0 kB
Sep 03 09:43:23.206613 np0000000919 memory_tracker.sh[50642]: WritebackTmp:          0 kB
Sep 03 09:43:23.206613 np0000000919 memory_tracker.sh[50642]: CommitLimit:    12454504 kB
Sep 03 09:43:23.206613 np0000000919 memory_tracker.sh[50642]: Committed_AS:    2513124 kB
Sep 03 09:43:23.206613 np0000000919 memory_tracker.sh[50642]: VmallocTotal:   34359738367 kB
Sep 03 09:43:23.206613 np0000000919 memory_tracker.sh[50642]: VmallocUsed:       19200 kB
Sep 03 09:43:23.206613 np0000000919 memory_tracker.sh[50642]: VmallocChunk:          0 kB
Sep 03 09:43:23.206613 np0000000919 memory_tracker.sh[50642]: Percpu:             2384 kB
Sep 03 09:43:23.206613 np0000000919 memory_tracker.sh[50642]: HardwareCorrupted:     0 kB
Sep 03 09:43:23.206613 np0000000919 memory_tracker.sh[50642]: AnonHugePages:         0 kB
Sep 03 09:43:23.206613 np0000000919 memory_tracker.sh[50642]: ShmemHugePages:        0 kB
Sep 03 09:43:23.206613 np0000000919 memory_tracker.sh[50642]: ShmemPmdMapped:        0 kB
Sep 03 09:43:23.206613 np0000000919 memory_tracker.sh[50642]: FileHugePages:         0 kB
Sep 03 09:43:23.206613 np0000000919 memory_tracker.sh[50642]: FilePmdMapped:         0 kB
Sep 03 09:43:23.206613 np0000000919 memory_tracker.sh[50642]: Unaccepted:            0 kB
Sep 03 09:43:23.206613 np0000000919 memory_tracker.sh[50642]: HugePages_Total:       0
Sep 03 09:43:23.206613 np0000000919 memory_tracker.sh[50642]: HugePages_Free:        0
Sep 03 09:43:23.206613 np0000000919 memory_tracker.sh[50642]: HugePages_Rsvd:        0
Sep 03 09:43:23.206613 np0000000919 memory_tracker.sh[50642]: HugePages_Surp:        0
Sep 03 09:43:23.206613 np0000000919 memory_tracker.sh[50642]: Hugepagesize:       2048 kB
Sep 03 09:43:23.206613 np0000000919 memory_tracker.sh[50642]: Hugetlb:               0 kB
Sep 03 09:43:23.206613 np0000000919 memory_tracker.sh[50642]: DirectMap4k:      169844 kB
Sep 03 09:43:23.206613 np0000000919 memory_tracker.sh[50642]: DirectMap2M:     8218624 kB
Sep 03 09:43:23.208358 np0000000919 memory_tracker.sh[48198]: ---
Sep 03 09:43:23.224380 np0000000919 memory_tracker.sh[50644]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Sep 03 09:43:23.224380 np0000000919 memory_tracker.sh[50644]:      47555    4.9          405220          1   00:00:03       39 do_poll.constprop.0       /usr/sbin/mysqld
Sep 03 09:43:23.224380 np0000000919 memory_tracker.sh[50644]:      17573    1.6          131208          1   00:00:05       24 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Sep 03 09:43:23.224380 np0000000919 memory_tracker.sh[50644]:      34783    0.9           74616          1   00:00:00        8 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Sep 03 09:43:23.224380 np0000000919 memory_tracker.sh[50644]:      46798    0.9           74032          1   00:00:01        1 skb_wait_for_more_packets /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Sep 03 09:43:23.224380 np0000000919 memory_tracker.sh[50644]:      50574    0.6           53556      50572   00:00:00        1 -                         keystoneuWSGI worker 2
Sep 03 09:43:23.224380 np0000000919 memory_tracker.sh[50644]:      50573    0.6           53516      50572   00:00:00        1 -                         keystoneuWSGI worker 1
Sep 03 09:43:23.224380 np0000000919 memory_tracker.sh[50644]:      10973    0.4           39764      10971   00:00:00        4 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 03 09:43:23.224890 np0000000919 memory_tracker.sh[50644]:      49341    0.3           27448          1   00:00:00        9 futex_wait_queue          /opt/stack/bin/etcd --name np0000000919 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000000919=http://10.19.119.73:2380 --initial-advertise-peer-urls http://10.19.119.73:2380 --advertise-client-urls http://10.19.119.73:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://10.19.119.73:2379 --log-level=debug
Sep 03 09:43:23.224890 np0000000919 memory_tracker.sh[50644]:        280    0.3           27292          1   00:00:02        7 futex_wait_queue          /sbin/multipathd -d -s
Sep 03 09:43:23.224890 np0000000919 memory_tracker.sh[50644]:      43503    0.3           26260          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Sep 03 09:43:23.224890 np0000000919 memory_tracker.sh[50644]:       2350    0.3           26160       2349   00:00:01        2 do_wait                   /usr/bin/python3
Sep 03 09:43:23.224890 np0000000919 memory_tracker.sh[50644]:       2216    0.2           21012          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Sep 03 09:43:23.224890 np0000000919 memory_tracker.sh[50644]:      16534    0.2           20360          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Sep 03 09:43:23.224890 np0000000919 memory_tracker.sh[50644]:        882    0.2           20120          1   00:00:00        2 inet_csk_accept           /usr/bin/python3
Sep 03 09:43:23.224890 np0000000919 memory_tracker.sh[50644]:        672    0.2           19480          1   00:00:00        1 ep_poll                   /usr/sbin/unbound -d -p
Sep 03 09:43:23.224890 np0000000919 memory_tracker.sh[50644]:      50572    0.2           19288          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Sep 03 09:43:23.224890 np0000000919 memory_tracker.sh[50644]:      43538    0.1           15476          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Sep 03 09:43:23.224890 np0000000919 memory_tracker.sh[50644]:      37102    0.1           15464          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Sep 03 09:43:23.224890 np0000000919 memory_tracker.sh[50644]:      39130    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Sep 03 09:43:23.224890 np0000000919 memory_tracker.sh[50644]:          1    0.1           13844          0   00:00:16        1 ep_poll                   /sbin/init nofb
Sep 03 09:43:23.224890 np0000000919 memory_tracker.sh[50644]:      10971    0.1           13152          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 03 09:43:23.225187 np0000000919 memory_tracker.sh[50644]:        351    0.1           12976          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Sep 03 09:43:23.225187 np0000000919 memory_tracker.sh[50644]:       4517    0.1           12216       2353   00:00:02        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-09-03-093427
Sep 03 09:43:23.225187 np0000000919 memory_tracker.sh[50644]:       4522    0.1           12080       2353   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-09-03-093427.summary.2026-09-03-093427
Sep 03 09:43:23.225187 np0000000919 memory_tracker.sh[50644]:        746    0.1           11412          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Sep 03 09:43:23.225187 np0000000919 memory_tracker.sh[50644]:      50635    0.1           11096      50634   00:00:00        1 do_poll.constprop.0       curl -g -k --noproxy * -s -o /dev/null -w %{http_code} http://10.19.119.73/identity/v3/
Sep 03 09:43:23.225187 np0000000919 memory_tracker.sh[50644]:       2353    0.1           10720       2351   00:00:11        1 do_wait                   bash ./stack.sh
Sep 03 09:43:23.225187 np0000000919 memory_tracker.sh[50644]:      49615    0.1            9612          1   00:00:00        1 do_select                 /usr/sbin/apache2 -k start
Sep 03 09:43:23.225187 np0000000919 memory_tracker.sh[50644]:      45966    0.1            9356       2353   00:00:00        1 do_wait                   bash ./stack.sh
Sep 03 09:43:23.225187 np0000000919 memory_tracker.sh[50644]:        426    0.1            9028          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-logind
