Sep 02 21:58:46.426309 np0000000910 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Sep 02 21:58:46.444344 np0000000910 memory_tracker.sh[48136]: [[[
Sep 02 21:58:46.446052 np0000000910 memory_tracker.sh[48152]: Wed Sep  2 21:58:46 UTC 2026
Sep 02 21:58:46.446625 np0000000910 memory_tracker.sh[48136]: ---
Sep 02 21:58:46.521044 np0000000910 memory_tracker.sh[48156]: [iscsid (pid:39072)]=14172KB; [multipathd (pid:279)]=288928KB; [ovs-vswitchd (pid:34652)]=532476KB
Sep 02 21:58:46.531885 np0000000910 memory_tracker.sh[48136]: ]]]
Sep 02 21:59:06.550714 np0000000910 memory_tracker.sh[48136]: [[[
Sep 02 21:59:06.552643 np0000000910 memory_tracker.sh[50470]: Wed Sep  2 21:59:06 UTC 2026
Sep 02 21:59:06.552864 np0000000910 memory_tracker.sh[48136]: ---
Sep 02 21:59:06.552864 np0000000910 memory_tracker.sh[48136]: memory_tracker low_point: 6675416
Sep 02 21:59:06.552864 np0000000910 memory_tracker.sh[48136]: ---
Sep 02 21:59:06.555258 np0000000910 memory_tracker.sh[50471]: MemTotal:        8131784 kB
Sep 02 21:59:06.555258 np0000000910 memory_tracker.sh[50471]: MemFree:          276796 kB
Sep 02 21:59:06.555258 np0000000910 memory_tracker.sh[50471]: MemAvailable:    6675084 kB
Sep 02 21:59:06.555258 np0000000910 memory_tracker.sh[50471]: Buffers:          187968 kB
Sep 02 21:59:06.555258 np0000000910 memory_tracker.sh[50471]: Cached:          6259200 kB
Sep 02 21:59:06.555258 np0000000910 memory_tracker.sh[50471]: SwapCached:            0 kB
Sep 02 21:59:06.555258 np0000000910 memory_tracker.sh[50471]: Active:          1154964 kB
Sep 02 21:59:06.555258 np0000000910 memory_tracker.sh[50471]: Inactive:        5928992 kB
Sep 02 21:59:06.555258 np0000000910 memory_tracker.sh[50471]: Active(anon):     685556 kB
Sep 02 21:59:06.555258 np0000000910 memory_tracker.sh[50471]: Inactive(anon):   125812 kB
Sep 02 21:59:06.555258 np0000000910 memory_tracker.sh[50471]: Active(file):     469408 kB
Sep 02 21:59:06.555258 np0000000910 memory_tracker.sh[50471]: Inactive(file):  5803180 kB
Sep 02 21:59:06.555258 np0000000910 memory_tracker.sh[50471]: Unevictable:      101980 kB
Sep 02 21:59:06.555258 np0000000910 memory_tracker.sh[50471]: Mlocked:          100780 kB
Sep 02 21:59:06.555258 np0000000910 memory_tracker.sh[50471]: SwapTotal:       8388604 kB
Sep 02 21:59:06.555258 np0000000910 memory_tracker.sh[50471]: SwapFree:        8388080 kB
Sep 02 21:59:06.555258 np0000000910 memory_tracker.sh[50471]: Zswap:               332 kB
Sep 02 21:59:06.555258 np0000000910 memory_tracker.sh[50471]: Zswapped:             68 kB
Sep 02 21:59:06.555258 np0000000910 memory_tracker.sh[50471]: Dirty:            123396 kB
Sep 02 21:59:06.555258 np0000000910 memory_tracker.sh[50471]: Writeback:             0 kB
Sep 02 21:59:06.555258 np0000000910 memory_tracker.sh[50471]: AnonPages:        738828 kB
Sep 02 21:59:06.555258 np0000000910 memory_tracker.sh[50471]: Mapped:           170464 kB
Sep 02 21:59:06.555258 np0000000910 memory_tracker.sh[50471]: Shmem:            154716 kB
Sep 02 21:59:06.555258 np0000000910 memory_tracker.sh[50471]: KReclaimable:     431140 kB
Sep 02 21:59:06.555258 np0000000910 memory_tracker.sh[50471]: Slab:             516064 kB
Sep 02 21:59:06.555258 np0000000910 memory_tracker.sh[50471]: SReclaimable:     431140 kB
Sep 02 21:59:06.555258 np0000000910 memory_tracker.sh[50471]: SUnreclaim:        84924 kB
Sep 02 21:59:06.555258 np0000000910 memory_tracker.sh[50471]: KernelStack:        6384 kB
Sep 02 21:59:06.555258 np0000000910 memory_tracker.sh[50471]: PageTables:         8700 kB
Sep 02 21:59:06.555258 np0000000910 memory_tracker.sh[50471]: SecPageTables:         0 kB
Sep 02 21:59:06.555258 np0000000910 memory_tracker.sh[50471]: NFS_Unstable:          0 kB
Sep 02 21:59:06.555258 np0000000910 memory_tracker.sh[50471]: Bounce:                0 kB
Sep 02 21:59:06.555258 np0000000910 memory_tracker.sh[50471]: WritebackTmp:          0 kB
Sep 02 21:59:06.555258 np0000000910 memory_tracker.sh[50471]: CommitLimit:    12454496 kB
Sep 02 21:59:06.555258 np0000000910 memory_tracker.sh[50471]: Committed_AS:    2425152 kB
Sep 02 21:59:06.555258 np0000000910 memory_tracker.sh[50471]: VmallocTotal:   34359738367 kB
Sep 02 21:59:06.555258 np0000000910 memory_tracker.sh[50471]: VmallocUsed:       18664 kB
Sep 02 21:59:06.555258 np0000000910 memory_tracker.sh[50471]: VmallocChunk:          0 kB
Sep 02 21:59:06.555258 np0000000910 memory_tracker.sh[50471]: Percpu:             2432 kB
Sep 02 21:59:06.555258 np0000000910 memory_tracker.sh[50471]: HardwareCorrupted:     0 kB
Sep 02 21:59:06.555258 np0000000910 memory_tracker.sh[50471]: AnonHugePages:         0 kB
Sep 02 21:59:06.555258 np0000000910 memory_tracker.sh[50471]: ShmemHugePages:        0 kB
Sep 02 21:59:06.555258 np0000000910 memory_tracker.sh[50471]: ShmemPmdMapped:        0 kB
Sep 02 21:59:06.555258 np0000000910 memory_tracker.sh[50471]: FileHugePages:         0 kB
Sep 02 21:59:06.555258 np0000000910 memory_tracker.sh[50471]: FilePmdMapped:         0 kB
Sep 02 21:59:06.555258 np0000000910 memory_tracker.sh[50471]: Unaccepted:            0 kB
Sep 02 21:59:06.555258 np0000000910 memory_tracker.sh[50471]: HugePages_Total:       0
Sep 02 21:59:06.555258 np0000000910 memory_tracker.sh[50471]: HugePages_Free:        0
Sep 02 21:59:06.555258 np0000000910 memory_tracker.sh[50471]: HugePages_Rsvd:        0
Sep 02 21:59:06.555258 np0000000910 memory_tracker.sh[50471]: HugePages_Surp:        0
Sep 02 21:59:06.555258 np0000000910 memory_tracker.sh[50471]: Hugepagesize:       2048 kB
Sep 02 21:59:06.555258 np0000000910 memory_tracker.sh[50471]: Hugetlb:               0 kB
Sep 02 21:59:06.555258 np0000000910 memory_tracker.sh[50471]: DirectMap4k:      165748 kB
Sep 02 21:59:06.555258 np0000000910 memory_tracker.sh[50471]: DirectMap2M:     8222720 kB
Sep 02 21:59:06.557848 np0000000910 memory_tracker.sh[48136]: ---
Sep 02 21:59:06.571952 np0000000910 memory_tracker.sh[50474]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Sep 02 21:59:06.571952 np0000000910 memory_tracker.sh[50474]:      47491    4.9          405512          1   00:00:03       39 do_poll.constprop.0       /usr/sbin/mysqld
Sep 02 21:59:06.571952 np0000000910 memory_tracker.sh[50474]:      17452    1.5          129896          1   00:00:05       24 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Sep 02 21:59:06.571952 np0000000910 memory_tracker.sh[50474]:      34652    0.9           74624          1   00:00:00        8 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Sep 02 21:59:06.571952 np0000000910 memory_tracker.sh[50474]:      46736    0.9           73980          1   00:00:01        1 skb_wait_for_more_packets /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Sep 02 21:59:06.571952 np0000000910 memory_tracker.sh[50474]:      10848    0.4           39868      10846   00:00:00        4 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 02 21:59:06.571952 np0000000910 memory_tracker.sh[50474]:      49292    0.3           27432          1   00:00:00        9 futex_wait_queue          /opt/stack/bin/etcd --name np0000000910 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000000910=http://10.19.119.4:2380 --initial-advertise-peer-urls http://10.19.119.4:2380 --advertise-client-urls http://10.19.119.4:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://10.19.119.4:2379 --log-level=debug
Sep 02 21:59:06.572512 np0000000910 memory_tracker.sh[50474]:        279    0.3           27292          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Sep 02 21:59:06.572512 np0000000910 memory_tracker.sh[50474]:      43438    0.3           26264          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Sep 02 21:59:06.572512 np0000000910 memory_tracker.sh[50474]:       2216    0.3           26152       2215   00:00:01        2 do_wait                   /usr/bin/python3
Sep 02 21:59:06.572512 np0000000910 memory_tracker.sh[50474]:       4982    0.2           20940          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Sep 02 21:59:06.572512 np0000000910 memory_tracker.sh[50474]:      16407    0.2           20332          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Sep 02 21:59:06.572512 np0000000910 memory_tracker.sh[50474]:       1140    0.2           20108          1   00:00:00        2 inet_csk_accept           /usr/bin/python3
Sep 02 21:59:06.572512 np0000000910 memory_tracker.sh[50474]:        967    0.2           19488          1   00:00:00        1 ep_poll                   /usr/sbin/unbound -d -p
Sep 02 21:59:06.572512 np0000000910 memory_tracker.sh[50474]:      43471    0.1           15568          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Sep 02 21:59:06.572512 np0000000910 memory_tracker.sh[50474]:      37037    0.1           15444          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Sep 02 21:59:06.572512 np0000000910 memory_tracker.sh[50474]:      39072    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Sep 02 21:59:06.572512 np0000000910 memory_tracker.sh[50474]:          1    0.1           13784          0   00:00:16        1 -                         /sbin/init nofb
Sep 02 21:59:06.572512 np0000000910 memory_tracker.sh[50474]:      10846    0.1           13160          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 02 21:59:06.572512 np0000000910 memory_tracker.sh[50474]:        334    0.1           13016          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Sep 02 21:59:06.572512 np0000000910 memory_tracker.sh[50474]:       4386    0.1           12240       2219   00:00:02        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-09-02-215150
Sep 02 21:59:06.572512 np0000000910 memory_tracker.sh[50474]:       4391    0.1           12060       2219   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-09-02-215150.summary.2026-09-02-215150
Sep 02 21:59:06.572820 np0000000910 memory_tracker.sh[50474]:       1000    0.1           11300          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Sep 02 21:59:06.572820 np0000000910 memory_tracker.sh[50474]:       2219    0.1           10748       2217   00:00:11        1 do_wait                   bash ./stack.sh
Sep 02 21:59:06.572820 np0000000910 memory_tracker.sh[50474]:      49591    0.1            9484          1   00:00:00        1 do_select                 /usr/sbin/apache2 -k start
Sep 02 21:59:06.572820 np0000000910 memory_tracker.sh[50474]:      45902    0.1            9376       2219   00:00:00        1 do_wait                   bash ./stack.sh
Sep 02 21:59:06.572820 np0000000910 memory_tracker.sh[50474]:        450    0.1            9048          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-logind
Sep 02 21:59:06.572820 np0000000910 memory_tracker.sh[50474]:      35222    0.1            8764          1   00:00:00        1 do_poll.constprop.0       ovsdb-server -vconsole:off -vfile:info --log-file=/var/log/ovn/ovsdb-server-nb.log --remote=punix:/var/run/ovn/ovnnb_db.sock --pidfile=/var/run/ovn/ovnnb_db.pid --unixctl=/var/run/ovn/ovnnb_db.ctl --remote=db:OVN_Northbound,NB_Global,connections --private-key=db:OVN_Northbound,SSL,private_key --certificate=db:OVN_Northbound,SSL,certificate --ca-cert=db:OVN_Northbound,SSL,ca_cert --ssl-protocols=db:OVN_Northbound,SSL,ssl_protocols --ssl-ciphers=db:OVN_Northbound,SSL,ssl_ciphers /var/lib/ovn/ovnnb_db.db
