Sep 24 06:23:44.082810 np0000002316 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Sep 24 06:23:44.098966 np0000002316 memory_tracker.sh[58162]: [[[
Sep 24 06:23:44.100346 np0000002316 memory_tracker.sh[58176]: Thu Sep 24 06:23:44 UTC 2026
Sep 24 06:23:44.100518 np0000002316 memory_tracker.sh[58162]: ---
Sep 24 06:23:44.185498 np0000002316 memory_tracker.sh[58180]: [iscsid (pid:48665)]=14172KB; [multipathd (pid:279)]=288928KB; [ovs-vswitchd (pid:43631)]=532464KB
Sep 24 06:23:44.193817 np0000002316 memory_tracker.sh[58162]: ]]]
Sep 24 06:24:04.207369 np0000002316 memory_tracker.sh[58162]: [[[
Sep 24 06:24:04.209304 np0000002316 memory_tracker.sh[60741]: Thu Sep 24 06:24:04 UTC 2026
Sep 24 06:24:04.209613 np0000002316 memory_tracker.sh[58162]: ---
Sep 24 06:24:04.209613 np0000002316 memory_tracker.sh[58162]: memory_tracker low_point: 6602880
Sep 24 06:24:04.209613 np0000002316 memory_tracker.sh[58162]: ---
Sep 24 06:24:04.211007 np0000002316 memory_tracker.sh[60742]: MemTotal:        8131776 kB
Sep 24 06:24:04.211007 np0000002316 memory_tracker.sh[60742]: MemFree:          315876 kB
Sep 24 06:24:04.211007 np0000002316 memory_tracker.sh[60742]: MemAvailable:    6609940 kB
Sep 24 06:24:04.211007 np0000002316 memory_tracker.sh[60742]: Buffers:          214240 kB
Sep 24 06:24:04.211007 np0000002316 memory_tracker.sh[60742]: Cached:          6074744 kB
Sep 24 06:24:04.211007 np0000002316 memory_tracker.sh[60742]: SwapCached:            0 kB
Sep 24 06:24:04.211007 np0000002316 memory_tracker.sh[60742]: Active:          1250444 kB
Sep 24 06:24:04.211007 np0000002316 memory_tracker.sh[60742]: Inactive:        5677688 kB
Sep 24 06:24:04.211007 np0000002316 memory_tracker.sh[60742]: Active(anon):     687848 kB
Sep 24 06:24:04.211007 np0000002316 memory_tracker.sh[60742]: Inactive(anon):   125804 kB
Sep 24 06:24:04.211007 np0000002316 memory_tracker.sh[60742]: Active(file):     562596 kB
Sep 24 06:24:04.211007 np0000002316 memory_tracker.sh[60742]: Inactive(file):  5551884 kB
Sep 24 06:24:04.211007 np0000002316 memory_tracker.sh[60742]: Unevictable:      101968 kB
Sep 24 06:24:04.211007 np0000002316 memory_tracker.sh[60742]: Mlocked:          100768 kB
Sep 24 06:24:04.211007 np0000002316 memory_tracker.sh[60742]: SwapTotal:       8388604 kB
Sep 24 06:24:04.211007 np0000002316 memory_tracker.sh[60742]: SwapFree:        8388080 kB
Sep 24 06:24:04.211007 np0000002316 memory_tracker.sh[60742]: Zswap:               376 kB
Sep 24 06:24:04.211007 np0000002316 memory_tracker.sh[60742]: Zswapped:             72 kB
Sep 24 06:24:04.211007 np0000002316 memory_tracker.sh[60742]: Dirty:            139760 kB
Sep 24 06:24:04.211007 np0000002316 memory_tracker.sh[60742]: Writeback:             0 kB
Sep 24 06:24:04.211007 np0000002316 memory_tracker.sh[60742]: AnonPages:        740996 kB
Sep 24 06:24:04.211007 np0000002316 memory_tracker.sh[60742]: Mapped:           180796 kB
Sep 24 06:24:04.211007 np0000002316 memory_tracker.sh[60742]: Shmem:            154640 kB
Sep 24 06:24:04.211007 np0000002316 memory_tracker.sh[60742]: KReclaimable:     485024 kB
Sep 24 06:24:04.211007 np0000002316 memory_tracker.sh[60742]: Slab:             574916 kB
Sep 24 06:24:04.211007 np0000002316 memory_tracker.sh[60742]: SReclaimable:     485024 kB
Sep 24 06:24:04.211007 np0000002316 memory_tracker.sh[60742]: SUnreclaim:        89892 kB
Sep 24 06:24:04.211007 np0000002316 memory_tracker.sh[60742]: KernelStack:        6980 kB
Sep 24 06:24:04.211007 np0000002316 memory_tracker.sh[60742]: PageTables:         8792 kB
Sep 24 06:24:04.211007 np0000002316 memory_tracker.sh[60742]: SecPageTables:         0 kB
Sep 24 06:24:04.211007 np0000002316 memory_tracker.sh[60742]: NFS_Unstable:          0 kB
Sep 24 06:24:04.211007 np0000002316 memory_tracker.sh[60742]: Bounce:                0 kB
Sep 24 06:24:04.211007 np0000002316 memory_tracker.sh[60742]: WritebackTmp:          0 kB
Sep 24 06:24:04.211007 np0000002316 memory_tracker.sh[60742]: CommitLimit:    12454492 kB
Sep 24 06:24:04.211007 np0000002316 memory_tracker.sh[60742]: Committed_AS:    2430940 kB
Sep 24 06:24:04.211007 np0000002316 memory_tracker.sh[60742]: VmallocTotal:   34359738367 kB
Sep 24 06:24:04.211007 np0000002316 memory_tracker.sh[60742]: VmallocUsed:       68388 kB
Sep 24 06:24:04.211007 np0000002316 memory_tracker.sh[60742]: VmallocChunk:          0 kB
Sep 24 06:24:04.211007 np0000002316 memory_tracker.sh[60742]: Percpu:             2432 kB
Sep 24 06:24:04.211007 np0000002316 memory_tracker.sh[60742]: HardwareCorrupted:     0 kB
Sep 24 06:24:04.211007 np0000002316 memory_tracker.sh[60742]: AnonHugePages:         0 kB
Sep 24 06:24:04.211007 np0000002316 memory_tracker.sh[60742]: ShmemHugePages:        0 kB
Sep 24 06:24:04.211007 np0000002316 memory_tracker.sh[60742]: ShmemPmdMapped:        0 kB
Sep 24 06:24:04.211007 np0000002316 memory_tracker.sh[60742]: FileHugePages:         0 kB
Sep 24 06:24:04.211007 np0000002316 memory_tracker.sh[60742]: FilePmdMapped:         0 kB
Sep 24 06:24:04.211007 np0000002316 memory_tracker.sh[60742]: Unaccepted:            0 kB
Sep 24 06:24:04.211007 np0000002316 memory_tracker.sh[60742]: HugePages_Total:       0
Sep 24 06:24:04.211007 np0000002316 memory_tracker.sh[60742]: HugePages_Free:        0
Sep 24 06:24:04.211007 np0000002316 memory_tracker.sh[60742]: HugePages_Rsvd:        0
Sep 24 06:24:04.211007 np0000002316 memory_tracker.sh[60742]: HugePages_Surp:        0
Sep 24 06:24:04.211007 np0000002316 memory_tracker.sh[60742]: Hugepagesize:       2048 kB
Sep 24 06:24:04.211007 np0000002316 memory_tracker.sh[60742]: Hugetlb:               0 kB
Sep 24 06:24:04.211007 np0000002316 memory_tracker.sh[60742]: DirectMap4k:      194420 kB
Sep 24 06:24:04.211007 np0000002316 memory_tracker.sh[60742]: DirectMap2M:     8194048 kB
Sep 24 06:24:04.213070 np0000002316 memory_tracker.sh[58162]: ---
Sep 24 06:24:04.239036 np0000002316 memory_tracker.sh[60744]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Sep 24 06:24:04.239036 np0000002316 memory_tracker.sh[60744]:      57486    4.9          405616          1   00:00:02       39 do_poll.constprop.0       /usr/sbin/mysqld
Sep 24 06:24:04.239036 np0000002316 memory_tracker.sh[60744]:      24305    1.6          132060          1   00:00:05       24 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Sep 24 06:24:04.239036 np0000002316 memory_tracker.sh[60744]:      56633    0.9           81248          1   00:00:01        1 skb_wait_for_more_packets /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Sep 24 06:24:04.239036 np0000002316 memory_tracker.sh[60744]:      43631    0.9           74612          1   00:00:00        8 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Sep 24 06:24:04.239036 np0000002316 memory_tracker.sh[60744]:      16057    0.4           39780      16047   00:00:00        4 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 24 06:24:04.239036 np0000002316 memory_tracker.sh[60744]:      59301    0.3           27328          1   00:00:00        9 ep_poll                   /opt/stack/bin/etcd --name np0000002316 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000002316=http://10.19.119.209:2380 --initial-advertise-peer-urls http://10.19.119.209:2380 --advertise-client-urls http://10.19.119.209:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://10.19.119.209:2379 --log-level=debug
Sep 24 06:24:04.240309 np0000002316 memory_tracker.sh[60744]:        279    0.3           27292          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Sep 24 06:24:04.240309 np0000002316 memory_tracker.sh[60744]:       7038    0.3           26144       7036   00:00:01        2 do_wait                   /usr/bin/python3
Sep 24 06:24:04.240309 np0000002316 memory_tracker.sh[60744]:      53157    0.3           26076          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Sep 24 06:24:04.240309 np0000002316 memory_tracker.sh[60744]:       2214    0.2           20852          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Sep 24 06:24:04.240309 np0000002316 memory_tracker.sh[60744]:      22914    0.2           20324          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Sep 24 06:24:04.240309 np0000002316 memory_tracker.sh[60744]:        847    0.2           20168          1   00:00:00        2 inet_csk_accept           /usr/bin/python3
Sep 24 06:24:04.240309 np0000002316 memory_tracker.sh[60744]:        669    0.2           19468          1   00:00:00        1 ep_poll                   /usr/sbin/unbound -d -p
Sep 24 06:24:04.240309 np0000002316 memory_tracker.sh[60744]:      53193    0.1           15512          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Sep 24 06:24:04.240309 np0000002316 memory_tracker.sh[60744]:      46287    0.1           15476          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Sep 24 06:24:04.240309 np0000002316 memory_tracker.sh[60744]:      48665    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Sep 24 06:24:04.240309 np0000002316 memory_tracker.sh[60744]:          1    0.1           13740          0   00:00:18        1 -                         /sbin/init nofb
Sep 24 06:24:04.240309 np0000002316 memory_tracker.sh[60744]:      16047    0.1           13172          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 24 06:24:04.240309 np0000002316 memory_tracker.sh[60744]:        338    0.1           12956          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Sep 24 06:24:04.240309 np0000002316 memory_tracker.sh[60744]:       9481    0.1           12252       7048   00:00:01        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-09-24-061645
Sep 24 06:24:04.240309 np0000002316 memory_tracker.sh[60744]:       9486    0.1           12060       7048   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-09-24-061645.summary.2026-09-24-061645
Sep 24 06:24:04.240720 np0000002316 memory_tracker.sh[60744]:        712    0.1           11316          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Sep 24 06:24:04.240720 np0000002316 memory_tracker.sh[60744]:       7048    0.1           10796       7046   00:00:09        1 do_wait                   bash ./stack.sh
Sep 24 06:24:04.240720 np0000002316 memory_tracker.sh[60744]:      59574    0.1            9616          1   00:00:00        1 do_select                 /usr/sbin/apache2 -k start
Sep 24 06:24:04.240720 np0000002316 memory_tracker.sh[60744]:      55759    0.1            9424       7048   00:00:00        1 do_wait                   bash ./stack.sh
Sep 24 06:24:04.240720 np0000002316 memory_tracker.sh[60744]:        422    0.1            9068          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-logind
Sep 24 06:24:04.240720 np0000002316 memory_tracker.sh[60744]:      44185    0.1            8840          1   00:00:00        1 do_poll.constprop.0       ovsdb-server -vconsole:off -vfile:info --log-file=/var/log/ovn/ovsdb-server-sb.log --remote=punix:/var/run/ovn/ovnsb_db.sock --pidfile=/var/run/ovn/ovnsb_db.pid --unixctl=/var/run/ovn/ovnsb_db.ctl --remote=db:OVN_Southbound,SB_Global,connections --private-key=db:OVN_Southbound,SSL,private_key --certificate=db:OVN_Southbound,SSL,certificate --ca-cert=db:OVN_Southbound,SSL,ca_cert --ssl-protocols=db:OVN_Southbound,SSL,ssl_protocols --ssl-ciphers=db:OVN_Southbound,SSL,ssl_ciphers /var/lib/ovn/ovnsb_db.db
Sep 24 06:24:04.240720 np0000002316 memory_tracker.sh[60744]:      44259    0.1            8760          1   00:00:00        1 do_poll.constprop.0       ovsdb-server -vconsole:off -vfile:info --log-file=/var/log/ovn/ovsdb-server-nb.log --remote=punix:/var/run/ovn/ovnnb_db.sock --pidfile=/var/run/ovn/ovnnb_db.pid --unixctl=/var/run/ovn/ovnnb_db.ctl --remote=db:OVN_Northbound,NB_Global,connections --private-key=db:OVN_Northbound,SSL,private_key --certificate=db:OVN_Northbound,SSL,certificate --ca-cert=db:OVN_Northbound,SSL,ca_cert --ssl-protocols=db:OVN_Northbound,SSL,ssl_protocols --ssl-ciphers=db:OVN_Northbound,SSL,ssl_ciphers /var/lib/ovn/ovnnb_db.db
Sep 24 06:24:04.240970 np0000002316 memory_tracker.sh[60744]:      44033    0.1            8304          1   00:00:00        5 do_poll.constprop.0       ovn-controller unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --no-chdir --log-file=/var/log/ovn/ovn-controller.log --pidfile=/var/run/ovn/ovn-controller.pid --detach
Sep 24 06:24:04.240970 np0000002316 memory_tracker.sh[60744]:       2219    0.0            8124          1   00:00:00        4 do_poll.constprop.0       /usr/lib/polkit-1/polkitd --no-debug
Sep 24 06:24:04.240970 np0000002316 memory_tracker.sh[60744]:        341    0.0            8096          1   00:00:00        2 ep_poll                   /usr/lib/systemd/systemd-timesyncd
Sep 24 06:24:04.240970 np0000002316 memory_tracker.sh[60744]:      46036    0.0            7972          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-machined
Sep 24 06:24:04.240970 np0000002316 memory_tracker.sh[60744]:      59579    0.0            7796      59574   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Sep 24 06:24:04.240970 np0000002316 memory_tracker.sh[60744]:      59578    0.0            7792      59574   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Sep 24 06:24:04.240970 np0000002316 memory_tracker.sh[60744]:      44392    0.0            7560          1   00:00:00        3 do_poll.constprop.0       ovn-northd -vconsole:emer -vsyslog:err -vfile:info --ovnnb-db=unix:/var/run/ovn/ovnnb_db.sock --ovnsb-db=unix:/var/run/ovn/ovnsb_db.sock --no-chdir --log-file=/var/log/ovn/ovn-northd.log --pidfile=/var/run/ovn/ovn-northd.pid --detach
Sep 24 06:24:04.240970 np0000002316 memory_tracker.sh[60744]:      43577    0.0            7480          1   00:00:00        1 do_poll.constprop.0       ovsdb-server /etc/openvswitch/conf.db -vconsole:emer -vsyslog:err -vfile:info --remote=punix:/var/run/openvswitch/db.sock --private-key=db:Open_vSwitch,SSL,private_key --certificate=db:Open_vSwitch,SSL,certificate --bootstrap-ca-cert=db:Open_vSwitch,SSL,ca_cert --no-chdir --log-file=/var/log/openvswitch/ovsdb-server.log --pidfile=/var/run/openvswitch/ovsdb-server.pid --detach
Sep 24 06:24:04.240970 np0000002316 memory_tracker.sh[60744]:        732    0.0            7464        707   00:00:00        1 do_poll.constprop.0       sshd: zuul@notty
Sep 24 06:24:04.240970 np0000002316 memory_tracker.sh[60744]:        294    0.0            6884          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-udevd
Sep 24 06:24:04.240970 np0000002316 memory_tracker.sh[60744]:      60693    0.0            6884       7048   00:00:00        1 do_poll.constprop.0       sudo systemctl daemon-reload
Sep 24 06:24:04.241271 np0000002316 memory_tracker.sh[60744]:       7034    0.0            6868       7032   00:00:00        1 do_poll.constprop.0       sudo -H -S -n -u stack /bin/sh -c echo BECOME-SUCCESS-alpcigzzgrdvccccgygxgmrbtmwydeun ; /usr/bin/python3
Sep 24 06:24:04.241271 np0000002316 memory_tracker.sh[60744]:      60694    0.0            6636      60693   00:00:00        1 do_poll.constprop.0       systemctl daemon-reload
Sep 24 06:24:04.241271 np0000002316 memory_tracker.sh[60744]:        413    0.0            5808          1   00:00:02        1 ep_poll                   @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
Sep 24 06:24:04.241271 np0000002316 memory_tracker.sh[60744]:      21171    0.0            5588          1   00:00:00        4 do_select                 /usr/sbin/rsyslogd -n -iNONE
Sep 24 06:24:04.241271 np0000002316 memory_tracker.sh[60744]:        323    0.0            5016          1   00:00:00        1 do_select                 /usr/sbin/haveged --Foreground --verbose=1
Sep 24 06:24:04.241271 np0000002316 memory_tracker.sh[60744]:      15526    0.0            4968          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
Sep 24 06:24:04.241271 np0000002316 memory_tracker.sh[60744]:      60743    0.0            4268      58162   00:00:00        1 -                         ps --sort=-pmem -eo pid:10,pmem:6,rss:15,ppid:10,cputime:10,nlwp:8,wchan:25,args:100
Sep 24 06:24:04.241271 np0000002316 memory_tracker.sh[60744]:       2542    0.0            3972          1   00:00:01        1 do_wait                   /bin/bash /opt/diag_coll/bin/diag_coll_worker.sh > /dev/null 2<>/dev/null
Sep 24 06:24:04.241271 np0000002316 memory_tracker.sh[60744]:      58162    0.0            3560          1   00:00:00        1 do_wait                   /bin/bash /opt/stack/devstack/tools/memory_tracker.sh
Sep 24 06:24:04.241271 np0000002316 memory_tracker.sh[60744]:      58657    0.0            3500          1   00:00:00        1 do_wait                   /bin/bash /opt/stack/devstack/tools/file_tracker.sh
Sep 24 06:24:04.241271 np0000002316 memory_tracker.sh[60744]:      24178    0.0            3492          1   00:00:00        1 do_select                 /usr/bin/epmd -systemd
Sep 24 06:24:04.241271 np0000002316 memory_tracker.sh[60744]:        713    0.0            3464        712   00:00:00        1 do_sigtimedwait.isra.0    (sd-pam)
Sep 24 06:24:04.241615 np0000002316 memory_tracker.sh[60744]:      44465    0.0            3444          1   00:00:00        1 do_poll.constprop.0       ovn-controller-vtep -vconsole:emer -vsyslog:err -vfile:info --vtep-db=/var/run/openvswitch/db.sock --ovnsb-db=/var/run/ovn/ovnsb_db.sock --no-chdir --log-file=/var/log/ovn/ovn-controller-vtep.log --pidfile=/var/run/ovn/ovn-controller-vtep.pid --detach
Sep 24 06:24:04.241615 np0000002316 memory_tracker.sh[60744]:        564    0.0            3392          1   00:00:00        1 do_select                 dhclient -1 -4 -v -i -pf /run/dhclient.ens3.pid -lf /var/lib/dhcp/dhclient.ens3.leases -I -df /var/lib/dhcp/dhclient6.ens3.leases ens3
Sep 24 06:24:04.241615 np0000002316 memory_tracker.sh[60744]:      10211    0.0            3164          1   00:00:00        1 do_wait                   /bin/bash /usr/sbin/ksmtuned
Sep 24 06:24:04.241615 np0000002316 memory_tracker.sh[60744]:        649    0.0            2760          1   00:00:00        1 hrtimer_nanosleep         /usr/sbin/cron -f -P
Sep 24 06:24:04.241615 np0000002316 memory_tracker.sh[60744]:       3126    0.0            2696       2542   00:00:00        1 do_wait                   /bin/bash /opt/diag_coll/bin/diag_coll_worker.sh > /dev/null 2<>/dev/null
Sep 24 06:24:04.241615 np0000002316 memory_tracker.sh[60744]:        656    0.0            2500          1   00:00:00        1 hrtimer_nanosleep         /usr/sbin/atd -f
Sep 24 06:24:04.241615 np0000002316 memory_tracker.sh[60744]:      46150    0.0            2344          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/dnsmasq --conf-file=/var/lib/libvirt/dnsmasq/default.conf --leasefile-ro --dhcp-script=/usr/lib/libvirt/libvirt_leaseshelper
Sep 24 06:24:04.241615 np0000002316 memory_tracker.sh[60744]:      60744    0.0            2228      58162   00:00:00        1 pipe_read                 grep -v ]$
Sep 24 06:24:04.241615 np0000002316 memory_tracker.sh[60744]:        662    0.0            2152          1   00:00:00        1 do_select                 /sbin/agetty -o -p -- \u --keep-baud 115200,57600,38400,9600 - vt220
