Nov 18 09:14:32.080389 np0000045411 systemd[1]: Started Devstack devstack@memory_tracker.service.
Nov 18 09:14:32.096061 np0000045411 memory_tracker.sh[53590]: [[[
Nov 18 09:14:32.097150 np0000045411 memory_tracker.sh[53604]: Tue Nov 18 09:14:32 UTC 2025
Nov 18 09:14:32.097468 np0000045411 memory_tracker.sh[53590]: ---
Nov 18 09:14:32.162078 np0000045411 memory_tracker.sh[53607]: [iscsid (pid:42234)]=13404KB; [multipathd (pid:271)]=289292KB; [ovs-vswitchd (pid:38021)]=530760KB
Nov 18 09:14:32.169445 np0000045411 memory_tracker.sh[53590]: ]]]
Nov 18 09:14:52.177369 np0000045411 memory_tracker.sh[53590]: [[[
Nov 18 09:14:52.178250 np0000045411 memory_tracker.sh[55748]: Tue Nov 18 09:14:52 UTC 2025
Nov 18 09:14:52.178897 np0000045411 memory_tracker.sh[53590]: ---
Nov 18 09:14:52.178897 np0000045411 memory_tracker.sh[53590]: memory_tracker low_point: 6690128
Nov 18 09:14:52.178897 np0000045411 memory_tracker.sh[53590]: ---
Nov 18 09:14:52.179786 np0000045411 memory_tracker.sh[55749]: MemTotal:        8127832 kB
Nov 18 09:14:52.179786 np0000045411 memory_tracker.sh[55749]: MemFree:          259280 kB
Nov 18 09:14:52.179786 np0000045411 memory_tracker.sh[55749]: MemAvailable:    6689876 kB
Nov 18 09:14:52.179786 np0000045411 memory_tracker.sh[55749]: Buffers:          190064 kB
Nov 18 09:14:52.179786 np0000045411 memory_tracker.sh[55749]: Cached:          6274800 kB
Nov 18 09:14:52.179786 np0000045411 memory_tracker.sh[55749]: SwapCached:           28 kB
Nov 18 09:14:52.179786 np0000045411 memory_tracker.sh[55749]: Active:           759844 kB
Nov 18 09:14:52.179786 np0000045411 memory_tracker.sh[55749]: Inactive:        6406300 kB
Nov 18 09:14:52.179786 np0000045411 memory_tracker.sh[55749]: Active(anon):       1108 kB
Nov 18 09:14:52.179786 np0000045411 memory_tracker.sh[55749]: Inactive(anon):   872036 kB
Nov 18 09:14:52.179786 np0000045411 memory_tracker.sh[55749]: Active(file):     758736 kB
Nov 18 09:14:52.179786 np0000045411 memory_tracker.sh[55749]: Inactive(file):  5534264 kB
Nov 18 09:14:52.179786 np0000045411 memory_tracker.sh[55749]: Unevictable:      100264 kB
Nov 18 09:14:52.179786 np0000045411 memory_tracker.sh[55749]: Mlocked:          100264 kB
Nov 18 09:14:52.179786 np0000045411 memory_tracker.sh[55749]: SwapTotal:       8388604 kB
Nov 18 09:14:52.179786 np0000045411 memory_tracker.sh[55749]: SwapFree:        8381132 kB
Nov 18 09:14:52.179786 np0000045411 memory_tracker.sh[55749]: Dirty:              1580 kB
Nov 18 09:14:52.179786 np0000045411 memory_tracker.sh[55749]: Writeback:             0 kB
Nov 18 09:14:52.179786 np0000045411 memory_tracker.sh[55749]: AnonPages:        801548 kB
Nov 18 09:14:52.179786 np0000045411 memory_tracker.sh[55749]: Mapped:           186036 kB
Nov 18 09:14:52.179786 np0000045411 memory_tracker.sh[55749]: Shmem:            154876 kB
Nov 18 09:14:52.179786 np0000045411 memory_tracker.sh[55749]: KReclaimable:     442792 kB
Nov 18 09:14:52.179786 np0000045411 memory_tracker.sh[55749]: Slab:             516160 kB
Nov 18 09:14:52.179786 np0000045411 memory_tracker.sh[55749]: SReclaimable:     442792 kB
Nov 18 09:14:52.179786 np0000045411 memory_tracker.sh[55749]: SUnreclaim:        73368 kB
Nov 18 09:14:52.179786 np0000045411 memory_tracker.sh[55749]: KernelStack:        6388 kB
Nov 18 09:14:52.179786 np0000045411 memory_tracker.sh[55749]: PageTables:         8472 kB
Nov 18 09:14:52.179786 np0000045411 memory_tracker.sh[55749]: NFS_Unstable:          0 kB
Nov 18 09:14:52.179786 np0000045411 memory_tracker.sh[55749]: Bounce:                0 kB
Nov 18 09:14:52.179786 np0000045411 memory_tracker.sh[55749]: WritebackTmp:          0 kB
Nov 18 09:14:52.179786 np0000045411 memory_tracker.sh[55749]: CommitLimit:    12452520 kB
Nov 18 09:14:52.179786 np0000045411 memory_tracker.sh[55749]: Committed_AS:    2435556 kB
Nov 18 09:14:52.179786 np0000045411 memory_tracker.sh[55749]: VmallocTotal:   34359738367 kB
Nov 18 09:14:52.179786 np0000045411 memory_tracker.sh[55749]: VmallocUsed:       18352 kB
Nov 18 09:14:52.179786 np0000045411 memory_tracker.sh[55749]: VmallocChunk:          0 kB
Nov 18 09:14:52.179786 np0000045411 memory_tracker.sh[55749]: Percpu:             2304 kB
Nov 18 09:14:52.179786 np0000045411 memory_tracker.sh[55749]: HardwareCorrupted:     0 kB
Nov 18 09:14:52.179786 np0000045411 memory_tracker.sh[55749]: AnonHugePages:         0 kB
Nov 18 09:14:52.179786 np0000045411 memory_tracker.sh[55749]: ShmemHugePages:        0 kB
Nov 18 09:14:52.179786 np0000045411 memory_tracker.sh[55749]: ShmemPmdMapped:        0 kB
Nov 18 09:14:52.179786 np0000045411 memory_tracker.sh[55749]: FileHugePages:         0 kB
Nov 18 09:14:52.179786 np0000045411 memory_tracker.sh[55749]: FilePmdMapped:         0 kB
Nov 18 09:14:52.179786 np0000045411 memory_tracker.sh[55749]: HugePages_Total:       0
Nov 18 09:14:52.179786 np0000045411 memory_tracker.sh[55749]: HugePages_Free:        0
Nov 18 09:14:52.179786 np0000045411 memory_tracker.sh[55749]: HugePages_Rsvd:        0
Nov 18 09:14:52.179786 np0000045411 memory_tracker.sh[55749]: HugePages_Surp:        0
Nov 18 09:14:52.179786 np0000045411 memory_tracker.sh[55749]: Hugepagesize:       2048 kB
Nov 18 09:14:52.179786 np0000045411 memory_tracker.sh[55749]: Hugetlb:               0 kB
Nov 18 09:14:52.179786 np0000045411 memory_tracker.sh[55749]: DirectMap4k:      208756 kB
Nov 18 09:14:52.179786 np0000045411 memory_tracker.sh[55749]: DirectMap2M:     8179712 kB
Nov 18 09:14:52.183707 np0000045411 memory_tracker.sh[53590]: ---
Nov 18 09:14:52.193580 np0000045411 memory_tracker.sh[55751]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Nov 18 09:14:52.193580 np0000045411 memory_tracker.sh[55751]:      52993    4.9          403424          1   00:00:03       39 do_poll.constprop.0       /usr/sbin/mysqld
Nov 18 09:14:52.193580 np0000045411 memory_tracker.sh[55751]:      21075    1.5          124264          1   00:00:05       24 do_select                 /usr/lib/erlang/erts-12.2.1/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false
Nov 18 09:14:52.193580 np0000045411 memory_tracker.sh[55751]:      52276    0.9           74760          1   00:00:00        1 skb_wait_for_more_packets /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Nov 18 09:14:52.193580 np0000045411 memory_tracker.sh[55751]:      38021    0.8           71944          1   00:00:00        8 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Nov 18 09:14:52.193580 np0000045411 memory_tracker.sh[55751]:      11013    0.5           45960          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Nov 18 09:14:52.193580 np0000045411 memory_tracker.sh[55751]:      11015    0.4           38168      11013   00:00:00        4 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Nov 18 09:14:52.193580 np0000045411 memory_tracker.sh[55751]:        271    0.3           27100          1   00:00:01        7 futex_wait_queue_me       /sbin/multipathd -d -s
Nov 18 09:14:52.194188 np0000045411 memory_tracker.sh[55751]:      54573    0.3           26932          1   00:00:00        9 ep_poll                   /opt/stack/bin/etcd --name np0000045411 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000045411=http://10.19.119.35:2380 --initial-advertise-peer-urls http://10.19.119.35:2380 --advertise-client-urls http://10.19.119.35:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://10.19.119.35:2379 --log-level=debug
Nov 18 09:14:52.194188 np0000045411 memory_tracker.sh[55751]:      51299    0.3           24704          1   00:00:00        1 ep_poll                   /usr/sbin/smbd --foreground --no-process-group
Nov 18 09:14:52.194188 np0000045411 memory_tracker.sh[55751]:      46659    0.2           23628          1   00:00:00       19 do_poll.constprop.0       /usr/sbin/libvirtd
Nov 18 09:14:52.194188 np0000045411 memory_tracker.sh[55751]:      55680    0.2           23476      55679   00:00:00        1 -                         keystoneuWSGI worker 1
Nov 18 09:14:52.194188 np0000045411 memory_tracker.sh[55751]:       1738    0.2           22592       1737   00:00:01        2 do_wait                   /usr/bin/python3
Nov 18 09:14:52.194188 np0000045411 memory_tracker.sh[55751]:      55681    0.2           21256      55679   00:00:00        1 -                         keystoneuWSGI worker 2
Nov 18 09:14:52.194188 np0000045411 memory_tracker.sh[55751]:       4492    0.2           20468          1   00:00:00        3 do_poll.constprop.0       /usr/libexec/packagekitd
Nov 18 09:14:52.194188 np0000045411 memory_tracker.sh[55751]:      51303    0.2           19876      51299   00:00:00        1 ep_poll                   /usr/lib/x86_64-linux-gnu/samba/samba-bgqd --ready-signal-fd=45 --parent-watch-fd=11 --debuglevel=0 -F
Nov 18 09:14:52.194188 np0000045411 memory_tracker.sh[55751]:        374    0.2           18384          1   00:00:00        1 do_poll.constprop.0       /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
Nov 18 09:14:52.194188 np0000045411 memory_tracker.sh[55751]:      20102    0.2           18204          1   00:00:00        1 ep_poll                   /lib/systemd/systemd-journald
Nov 18 09:14:52.194188 np0000045411 memory_tracker.sh[55751]:      55679    0.2           16804          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Nov 18 09:14:52.194188 np0000045411 memory_tracker.sh[55751]:      51289    0.1           15248          1   00:00:00        1 ep_poll                   /usr/sbin/nmbd --foreground --no-process-group
Nov 18 09:14:52.194188 np0000045411 memory_tracker.sh[55751]:        564    0.1           14964          1   00:00:00        1 ep_poll                   /usr/sbin/unbound -d -p
Nov 18 09:14:52.194567 np0000045411 memory_tracker.sh[55751]:      46690    0.1           14064          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Nov 18 09:14:52.194567 np0000045411 memory_tracker.sh[55751]:        299    0.1           13500          1   00:00:00        1 ep_poll                   /lib/systemd/systemd-resolved
Nov 18 09:14:52.194567 np0000045411 memory_tracker.sh[55751]:          1    0.1           13228          0   00:00:21        1 ep_poll                   /sbin/init nofb
Nov 18 09:14:52.194935 np0000045411 memory_tracker.sh[55751]:      42234    0.1           13004          1   00:00:00        1 do_poll.constprop.0       /sbin/iscsid
Nov 18 09:14:52.194935 np0000045411 memory_tracker.sh[55751]:        692    0.1           12076          1   00:00:00        2 inet_csk_accept           /usr/bin/python3
Nov 18 09:14:52.194935 np0000045411 memory_tracker.sh[55751]:       1741    0.1           11504       1739   00:00:12        1 do_wait                   bash ./stack.sh
Nov 18 09:14:52.194935 np0000045411 memory_tracker.sh[55751]:       3958    0.1           10652       3953   00:00:02        1 pipe_read                 /usr/bin/python3.10 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2025-11-18-090615
Nov 18 09:14:52.194935 np0000045411 memory_tracker.sh[55751]:       3965    0.1           10484       3959   00:00:00        1 pipe_read                 /usr/bin/python3.10 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2025-11-18-090615.summary.2025-11-18-090615
