Sep 03 03:35:03.879856 np0000000912 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Sep 03 03:35:03.900013 np0000000912 memory_tracker.sh[49585]: [[[
Sep 03 03:35:03.902107 np0000000912 memory_tracker.sh[49604]: Thu Sep  3 03:35:03 UTC 2026
Sep 03 03:35:03.902871 np0000000912 memory_tracker.sh[49585]: ---
Sep 03 03:35:03.979553 np0000000912 memory_tracker.sh[49610]: [iscsid (pid:40517)]=14172KB; [multipathd (pid:280)]=288928KB; [ovs-vswitchd (pid:36064)]=532476KB
Sep 03 03:35:03.989838 np0000000912 memory_tracker.sh[49585]: ]]]
Sep 03 03:35:24.006011 np0000000912 memory_tracker.sh[49585]: [[[
Sep 03 03:35:24.008939 np0000000912 memory_tracker.sh[51978]: Thu Sep  3 03:35:24 UTC 2026
Sep 03 03:35:24.009436 np0000000912 memory_tracker.sh[49585]: ---
Sep 03 03:35:24.009520 np0000000912 memory_tracker.sh[49585]: memory_tracker low_point: 6739800
Sep 03 03:35:24.009575 np0000000912 memory_tracker.sh[49585]: ---
Sep 03 03:35:24.012929 np0000000912 memory_tracker.sh[51979]: MemTotal:        8131784 kB
Sep 03 03:35:24.012929 np0000000912 memory_tracker.sh[51979]: MemFree:          221060 kB
Sep 03 03:35:24.012929 np0000000912 memory_tracker.sh[51979]: MemAvailable:    6739800 kB
Sep 03 03:35:24.012929 np0000000912 memory_tracker.sh[51979]: Buffers:          187468 kB
Sep 03 03:35:24.012929 np0000000912 memory_tracker.sh[51979]: Cached:          6377436 kB
Sep 03 03:35:24.012929 np0000000912 memory_tracker.sh[51979]: SwapCached:            0 kB
Sep 03 03:35:24.012929 np0000000912 memory_tracker.sh[51979]: Active:          1288772 kB
Sep 03 03:35:24.012929 np0000000912 memory_tracker.sh[51979]: Inactive:        5915768 kB
Sep 03 03:35:24.012929 np0000000912 memory_tracker.sh[51979]: Active(anon):     813412 kB
Sep 03 03:35:24.012929 np0000000912 memory_tracker.sh[51979]: Inactive(anon):      840 kB
Sep 03 03:35:24.012929 np0000000912 memory_tracker.sh[51979]: Active(file):     475360 kB
Sep 03 03:35:24.012929 np0000000912 memory_tracker.sh[51979]: Inactive(file):  5914928 kB
Sep 03 03:35:24.012929 np0000000912 memory_tracker.sh[51979]: Unevictable:      101980 kB
Sep 03 03:35:24.012929 np0000000912 memory_tracker.sh[51979]: Mlocked:          100780 kB
Sep 03 03:35:24.012929 np0000000912 memory_tracker.sh[51979]: SwapTotal:       8388604 kB
Sep 03 03:35:24.012929 np0000000912 memory_tracker.sh[51979]: SwapFree:        8388336 kB
Sep 03 03:35:24.012929 np0000000912 memory_tracker.sh[51979]: Zswap:               344 kB
Sep 03 03:35:24.012929 np0000000912 memory_tracker.sh[51979]: Zswapped:             76 kB
Sep 03 03:35:24.012929 np0000000912 memory_tracker.sh[51979]: Dirty:            123620 kB
Sep 03 03:35:24.012929 np0000000912 memory_tracker.sh[51979]: Writeback:             0 kB
Sep 03 03:35:24.012929 np0000000912 memory_tracker.sh[51979]: AnonPages:        741660 kB
Sep 03 03:35:24.012929 np0000000912 memory_tracker.sh[51979]: Mapped:           170284 kB
Sep 03 03:35:24.012929 np0000000912 memory_tracker.sh[51979]: Shmem:            154752 kB
Sep 03 03:35:24.012929 np0000000912 memory_tracker.sh[51979]: KReclaimable:     433892 kB
Sep 03 03:35:24.012929 np0000000912 memory_tracker.sh[51979]: Slab:             519796 kB
Sep 03 03:35:24.012929 np0000000912 memory_tracker.sh[51979]: SReclaimable:     433892 kB
Sep 03 03:35:24.012929 np0000000912 memory_tracker.sh[51979]: SUnreclaim:        85904 kB
Sep 03 03:35:24.012929 np0000000912 memory_tracker.sh[51979]: KernelStack:        6456 kB
Sep 03 03:35:24.012929 np0000000912 memory_tracker.sh[51979]: PageTables:         8856 kB
Sep 03 03:35:24.012929 np0000000912 memory_tracker.sh[51979]: SecPageTables:         0 kB
Sep 03 03:35:24.012929 np0000000912 memory_tracker.sh[51979]: NFS_Unstable:          0 kB
Sep 03 03:35:24.012929 np0000000912 memory_tracker.sh[51979]: Bounce:                0 kB
Sep 03 03:35:24.012929 np0000000912 memory_tracker.sh[51979]: WritebackTmp:          0 kB
Sep 03 03:35:24.012929 np0000000912 memory_tracker.sh[51979]: CommitLimit:    12454496 kB
Sep 03 03:35:24.012929 np0000000912 memory_tracker.sh[51979]: Committed_AS:    2424660 kB
Sep 03 03:35:24.012929 np0000000912 memory_tracker.sh[51979]: VmallocTotal:   34359738367 kB
Sep 03 03:35:24.012929 np0000000912 memory_tracker.sh[51979]: VmallocUsed:       19512 kB
Sep 03 03:35:24.012929 np0000000912 memory_tracker.sh[51979]: VmallocChunk:          0 kB
Sep 03 03:35:24.012929 np0000000912 memory_tracker.sh[51979]: Percpu:             2480 kB
Sep 03 03:35:24.012929 np0000000912 memory_tracker.sh[51979]: HardwareCorrupted:     0 kB
Sep 03 03:35:24.012929 np0000000912 memory_tracker.sh[51979]: AnonHugePages:         0 kB
Sep 03 03:35:24.012929 np0000000912 memory_tracker.sh[51979]: ShmemHugePages:        0 kB
Sep 03 03:35:24.012929 np0000000912 memory_tracker.sh[51979]: ShmemPmdMapped:        0 kB
Sep 03 03:35:24.012929 np0000000912 memory_tracker.sh[51979]: FileHugePages:         0 kB
Sep 03 03:35:24.012929 np0000000912 memory_tracker.sh[51979]: FilePmdMapped:         0 kB
Sep 03 03:35:24.012929 np0000000912 memory_tracker.sh[51979]: Unaccepted:            0 kB
Sep 03 03:35:24.012929 np0000000912 memory_tracker.sh[51979]: HugePages_Total:       0
Sep 03 03:35:24.012929 np0000000912 memory_tracker.sh[51979]: HugePages_Free:        0
Sep 03 03:35:24.012929 np0000000912 memory_tracker.sh[51979]: HugePages_Rsvd:        0
Sep 03 03:35:24.012929 np0000000912 memory_tracker.sh[51979]: HugePages_Surp:        0
Sep 03 03:35:24.012929 np0000000912 memory_tracker.sh[51979]: Hugepagesize:       2048 kB
Sep 03 03:35:24.012929 np0000000912 memory_tracker.sh[51979]: Hugetlb:               0 kB
Sep 03 03:35:24.012929 np0000000912 memory_tracker.sh[51979]: DirectMap4k:      178036 kB
Sep 03 03:35:24.012929 np0000000912 memory_tracker.sh[51979]: DirectMap2M:     8210432 kB
Sep 03 03:35:24.014675 np0000000912 memory_tracker.sh[49585]: ---
Sep 03 03:35:24.036433 np0000000912 memory_tracker.sh[51981]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Sep 03 03:35:24.036433 np0000000912 memory_tracker.sh[51981]:      48938    4.9          405184          1   00:00:03       39 do_poll.constprop.0       /usr/sbin/mysqld
Sep 03 03:35:24.036433 np0000000912 memory_tracker.sh[51981]:      18873    1.6          131232          1   00:00:05       24 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Sep 03 03:35:24.036433 np0000000912 memory_tracker.sh[51981]:      36064    0.9           74624          1   00:00:00        8 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Sep 03 03:35:24.036433 np0000000912 memory_tracker.sh[51981]:      48184    0.9           73924          1   00:00:01        1 skb_wait_for_more_packets /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Sep 03 03:35:24.036433 np0000000912 memory_tracker.sh[51981]:      12217    0.4           39824      12215   00:00:00        4 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 03 03:35:24.036433 np0000000912 memory_tracker.sh[51981]:      50747    0.3           27492          1   00:00:00       10 futex_wait_queue          /opt/stack/bin/etcd --name np0000000912 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000000912=http://10.19.119.160:2380 --initial-advertise-peer-urls http://10.19.119.160:2380 --advertise-client-urls http://10.19.119.160:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://10.19.119.160:2379 --log-level=debug
Sep 03 03:35:24.038081 np0000000912 memory_tracker.sh[51981]:        280    0.3           27292          1   00:00:04        7 futex_wait_queue          /sbin/multipathd -d -s
Sep 03 03:35:24.038081 np0000000912 memory_tracker.sh[51981]:      44883    0.3           26352          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Sep 03 03:35:24.038081 np0000000912 memory_tracker.sh[51981]:       3603    0.3           26124       3602   00:00:01        2 do_wait                   /usr/bin/python3
Sep 03 03:35:24.038081 np0000000912 memory_tracker.sh[51981]:       2666    0.2           20880          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Sep 03 03:35:24.038081 np0000000912 memory_tracker.sh[51981]:      17819    0.2           20420          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Sep 03 03:35:24.038081 np0000000912 memory_tracker.sh[51981]:       1353    0.2           20152          1   00:00:00        2 inet_csk_accept           /usr/bin/python3
Sep 03 03:35:24.038081 np0000000912 memory_tracker.sh[51981]:        973    0.2           19488          1   00:00:00        1 ep_poll                   /usr/sbin/unbound -d -p
Sep 03 03:35:24.038081 np0000000912 memory_tracker.sh[51981]:      44921    0.1           15544          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Sep 03 03:35:24.038081 np0000000912 memory_tracker.sh[51981]:      38477    0.1           15480          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Sep 03 03:35:24.038081 np0000000912 memory_tracker.sh[51981]:      40517    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Sep 03 03:35:24.038081 np0000000912 memory_tracker.sh[51981]:          1    0.1           13940          0   00:00:18        1 -                         /sbin/init nofb
Sep 03 03:35:24.038081 np0000000912 memory_tracker.sh[51981]:      12215    0.1           13100          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 03 03:35:24.038081 np0000000912 memory_tracker.sh[51981]:        324    0.1           12920          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Sep 03 03:35:24.038081 np0000000912 memory_tracker.sh[51981]:       5770    0.1           12196       3606   00:00:02        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-09-03-032807
Sep 03 03:35:24.038081 np0000000912 memory_tracker.sh[51981]:       5775    0.1           12060       3606   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-09-03-032807.summary.2026-09-03-032807
Sep 03 03:35:24.038625 np0000000912 memory_tracker.sh[51981]:       1211    0.1           11364          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Sep 03 03:35:24.038625 np0000000912 memory_tracker.sh[51981]:       3606    0.1           10736       3604   00:00:11        1 do_wait                   bash ./stack.sh
Sep 03 03:35:24.038625 np0000000912 memory_tracker.sh[51981]:      51036    0.1            9504          1   00:00:00        1 do_select                 /usr/sbin/apache2 -k start
Sep 03 03:35:24.038625 np0000000912 memory_tracker.sh[51981]:      47345    0.1            9364       3606   00:00:00        1 do_wait                   bash ./stack.sh
Sep 03 03:35:24.038625 np0000000912 memory_tracker.sh[51981]:        459    0.1            9088          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-logind
Sep 03 03:35:24.038625 np0000000912 memory_tracker.sh[51981]:      36568    0.1            8896          1   00:00:00        1 do_poll.constprop.0       ovsdb-server -vconsole:off -vfile:info --log-file=/var/log/ovn/ovsdb-server-sb.log --remote=punix:/var/run/ovn/ovnsb_db.sock --pidfile=/var/run/ovn/ovnsb_db.pid --unixctl=/var/run/ovn/ovnsb_db.ctl --remote=db:OVN_Southbound,SB_Global,connections --private-key=db:OVN_Southbound,SSL,private_key --certificate=db:OVN_Southbound,SSL,certificate --ca-cert=db:OVN_Southbound,SSL,ca_cert --ssl-protocols=db:OVN_Southbound,SSL,ssl_protocols --ssl-ciphers=db:OVN_Southbound,SSL,ssl_ciphers /var/lib/ovn/ovnsb_db.db
Sep 03 03:35:24.038625 np0000000912 memory_tracker.sh[51981]:      36643    0.1            8804          1   00:00:00        1 do_poll.constprop.0       ovsdb-server -vconsole:off -vfile:info --log-file=/var/log/ovn/ovsdb-server-nb.log --remote=punix:/var/run/ovn/ovnnb_db.sock --pidfile=/var/run/ovn/ovnnb_db.pid --unixctl=/var/run/ovn/ovnnb_db.ctl --remote=db:OVN_Northbound,NB_Global,connections --private-key=db:OVN_Northbound,SSL,private_key --certificate=db:OVN_Northbound,SSL,certificate --ca-cert=db:OVN_Northbound,SSL,ca_cert --ssl-protocols=db:OVN_Northbound,SSL,ssl_protocols --ssl-ciphers=db:OVN_Northbound,SSL,ssl_ciphers /var/lib/ovn/ovnnb_db.db
Sep 03 03:35:24.038962 np0000000912 memory_tracker.sh[51981]:      36406    0.1            8244          1   00:00:00        5 do_poll.constprop.0       ovn-controller unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --no-chdir --log-file=/var/log/ovn/ovn-controller.log --pidfile=/var/run/ovn/ovn-controller.pid --detach
Sep 03 03:35:24.038962 np0000000912 memory_tracker.sh[51981]:        964    0.1            8188          1   00:00:00        1 do_poll.constprop.0       sshd: /usr/sbin/sshd -D [listener] 0 of 30-100 startups
Sep 03 03:35:24.038962 np0000000912 memory_tracker.sh[51981]:        325    0.0            8092          1   00:00:00        2 ep_poll                   /usr/lib/systemd/systemd-timesyncd
Sep 03 03:35:24.038962 np0000000912 memory_tracker.sh[51981]:       2671    0.0            8064          1   00:00:00        4 do_poll.constprop.0       /usr/lib/polkit-1/polkitd --no-debug
Sep 03 03:35:24.038962 np0000000912 memory_tracker.sh[51981]:      38242    0.0            8024          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-machined
Sep 03 03:35:24.038962 np0000000912 memory_tracker.sh[51981]:      51041    0.0            7904      51036   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Sep 03 03:35:24.038962 np0000000912 memory_tracker.sh[51981]:      51040    0.0            7900      51036   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Sep 03 03:35:24.038962 np0000000912 memory_tracker.sh[51981]:      36766    0.0            7616          1   00:00:00        3 do_poll.constprop.0       ovn-northd -vconsole:emer -vsyslog:err -vfile:info --ovnnb-db=unix:/var/run/ovn/ovnnb_db.sock --ovnsb-db=unix:/var/run/ovn/ovnsb_db.sock --no-chdir --log-file=/var/log/ovn/ovn-northd.log --pidfile=/var/run/ovn/ovn-northd.pid --detach
Sep 03 03:35:24.038962 np0000000912 memory_tracker.sh[51981]:      36010    0.0            7536          1   00:00:00        1 do_poll.constprop.0       ovsdb-server /etc/openvswitch/conf.db -vconsole:emer -vsyslog:err -vfile:info --remote=punix:/var/run/openvswitch/db.sock --private-key=db:Open_vSwitch,SSL,private_key --certificate=db:Open_vSwitch,SSL,certificate --bootstrap-ca-cert=db:Open_vSwitch,SSL,ca_cert --no-chdir --log-file=/var/log/openvswitch/ovsdb-server.log --pidfile=/var/run/openvswitch/ovsdb-server.pid --detach
Sep 03 03:35:24.038962 np0000000912 memory_tracker.sh[51981]:        299    0.0            7368          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-udevd
Sep 03 03:35:24.039339 np0000000912 memory_tracker.sh[51981]:       1233    0.0            7144       1206   00:00:00        1 do_poll.constprop.0       sshd: zuul@notty
Sep 03 03:35:24.039339 np0000000912 memory_tracker.sh[51981]:      51928    0.0            6884       3606   00:00:00        1 do_poll.constprop.0       sudo systemctl enable devstack@keystone.service
Sep 03 03:35:24.039339 np0000000912 memory_tracker.sh[51981]:       3601    0.0            6836       3600   00:00:00        1 do_poll.constprop.0       sudo -H -S -n -u stack /bin/sh -c echo BECOME-SUCCESS-josfiretkkmnthwhnjfxjwtbrudfrgby ; /usr/bin/python3
Sep 03 03:35:24.039339 np0000000912 memory_tracker.sh[51981]:      51929    0.0            6732      51928   00:00:00        1 do_poll.constprop.0       systemctl enable devstack@keystone.service
Sep 03 03:35:24.039339 np0000000912 memory_tracker.sh[51981]:        444    0.0            5788          1   00:00:02        1 ep_poll                   @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
Sep 03 03:35:24.039339 np0000000912 memory_tracker.sh[51981]:      16258    0.0            5620          1   00:00:00        4 do_select                 /usr/sbin/rsyslogd -n -iNONE
Sep 03 03:35:24.039339 np0000000912 memory_tracker.sh[51981]:        320    0.0            5016          1   00:00:01        1 do_select                 /usr/sbin/haveged --Foreground --verbose=1
Sep 03 03:35:24.039339 np0000000912 memory_tracker.sh[51981]:      11139    0.0            5004          1   00:00:00       10 ep_poll                   /usr/bin/memcached -m 64 -p 11211 -u memcache -l 127.0.0.1 -l ::1 -P /var/run/memcached/memcached.pid
Sep 03 03:35:24.039339 np0000000912 memory_tracker.sh[51981]:      51980    0.0            4256      49585   00:00:00        1 -                         ps --sort=-pmem -eo pid:10,pmem:6,rss:15,ppid:10,cputime:10,nlwp:8,wchan:25,args:100
Sep 03 03:35:24.039339 np0000000912 memory_tracker.sh[51981]:       3218    0.0            4104          1   00:00:00        1 do_poll.constprop.0       /sbin/rpcbind -f -w
Sep 03 03:35:24.039339 np0000000912 memory_tracker.sh[51981]:      49585    0.0            3576          1   00:00:00        1 do_wait                   /bin/bash /opt/stack/devstack/tools/memory_tracker.sh
Sep 03 03:35:24.039339 np0000000912 memory_tracker.sh[51981]:      50104    0.0            3496          1   00:00:00        1 do_wait                   /bin/bash /opt/stack/devstack/tools/file_tracker.sh
Sep 03 03:35:24.039339 np0000000912 memory_tracker.sh[51981]:       1214    0.0            3444       1211   00:00:00        1 do_sigtimedwait.isra.0    (sd-pam)
Sep 03 03:35:24.039807 np0000000912 memory_tracker.sh[51981]:        685    0.0            3424          1   00:00:00        1 do_select                 dhclient -1 -4 -v -i -pf /run/dhclient.ens6.pid -lf /var/lib/dhcp/dhclient.ens6.leases -I -df /var/lib/dhcp/dhclient6.ens6.leases ens6
Sep 03 03:35:24.039807 np0000000912 memory_tracker.sh[51981]:      18756    0.0            3416          1   00:00:00        1 do_select                 /usr/bin/epmd -systemd
Sep 03 03:35:24.039807 np0000000912 memory_tracker.sh[51981]:        687    0.0            3412          1   00:00:00        1 do_select                 dhclient -1 -4 -v -i -pf /run/dhclient.ens4.pid -lf /var/lib/dhcp/dhclient.ens4.leases -I -df /var/lib/dhcp/dhclient6.ens4.leases ens4
Sep 03 03:35:24.039807 np0000000912 memory_tracker.sh[51981]:        691    0.0            3408          1   00:00:00        1 do_select                 dhclient -1 -4 -v -i -pf /run/dhclient.ens3.pid -lf /var/lib/dhcp/dhclient.ens3.leases -I -df /var/lib/dhcp/dhclient6.ens3.leases ens3
Sep 03 03:35:24.039807 np0000000912 memory_tracker.sh[51981]:        686    0.0            3404          1   00:00:00        1 do_select                 dhclient -1 -4 -v -i -pf /run/dhclient.ens5.pid -lf /var/lib/dhcp/dhclient.ens5.leases -I -df /var/lib/dhcp/dhclient6.ens5.leases ens5
Sep 03 03:35:24.039807 np0000000912 memory_tracker.sh[51981]:      36842    0.0            3396          1   00:00:00        1 do_poll.constprop.0       ovn-controller-vtep -vconsole:emer -vsyslog:err -vfile:info --vtep-db=/var/run/openvswitch/db.sock --ovnsb-db=/var/run/ovn/ovnsb_db.sock --no-chdir --log-file=/var/log/ovn/ovn-controller-vtep.log --pidfile=/var/run/ovn/ovn-controller-vtep.pid --detach
Sep 03 03:35:24.039807 np0000000912 memory_tracker.sh[51981]:       6503    0.0            3204          1   00:00:00        1 do_wait                   /bin/bash /usr/sbin/ksmtuned
Sep 03 03:35:24.039807 np0000000912 memory_tracker.sh[51981]:        948    0.0            2760          1   00:00:00        1 hrtimer_nanosleep         /usr/sbin/cron -f -P
Sep 03 03:35:24.039807 np0000000912 memory_tracker.sh[51981]:        955    0.0            2500          1   00:00:00        1 hrtimer_nanosleep         /usr/sbin/atd -f
Sep 03 03:35:24.039807 np0000000912 memory_tracker.sh[51981]:      38366    0.0            2344          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/dnsmasq --conf-file=/var/lib/libvirt/dnsmasq/default.conf --leasefile-ro --dhcp-script=/usr/lib/libvirt/libvirt_leaseshelper
Sep 03 03:35:24.039807 np0000000912 memory_tracker.sh[51981]:      51981    0.0            2220      49585   00:00:00        1 pipe_read                 grep -v ]$
Sep 03 03:35:24.040230 np0000000912 memory_tracker.sh[51981]:        963    0.0            2152          1   00:00:00        1 do_select                 /sbin/agetty -o -p -- \u --keep-baud 115200,57600,38400,9600 - vt220
Sep 03 03:35:24.040230 np0000000912 memory_tracker.sh[51981]:      18943    0.0            2112      18883   00:00:00        1 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/inet_gethost 4
Sep 03 03:35:24.040230 np0000000912 memory_tracker.sh[51981]:      40516    0.0            2096          1   00:00:00        1 hrtimer_nanosleep         /usr/sbin/iscsid
Sep 03 03:35:24.040230 np0000000912 memory_tracker.sh[51981]:        961    0.0            2040          1   00:00:00        1 do_select                 /sbin/agetty -o -p -- \u --noclear - linux
Sep 03 03:35:24.040230 np0000000912 memory_tracker.sh[51981]:      50108    0.0            2032      50104   00:00:00        1 hrtimer_nanosleep         sleep 20
Sep 03 03:35:24.040230 np0000000912 memory_tracker.sh[51981]:      51310    0.0            2028       6503   00:00:00        1 hrtimer_nanosleep         sleep 60
Sep 03 03:35:24.040230 np0000000912 memory_tracker.sh[51981]:      51211    0.0            1976      47345   00:00:00        1 wait_for_partner          cat /opt/stack/async/install_tempest.fifo
Sep 03 03:35:24.040230 np0000000912 memory_tracker.sh[51981]:       3602    0.0            1920       3601   00:00:00        1 do_wait                   /bin/sh -c echo BECOME-SUCCESS-josfiretkkmnthwhnjfxjwtbrudfrgby ; /usr/bin/python3
Sep 03 03:35:24.040230 np0000000912 memory_tracker.sh[51981]:      18947    0.0            1916      18883   00:00:00        1 pipe_read                 /bin/sh -s rabbit_disk_monitor
Sep 03 03:35:24.040230 np0000000912 memory_tracker.sh[51981]:       3600    0.0            1912       1233   00:00:00        1 do_wait                   /bin/sh -c sudo -H -S -n  -u stack /bin/sh -c 'echo BECOME-SUCCESS-josfiretkkmnthwhnjfxjwtbrudfrgby ; /usr/bin/python3' && sleep 0
