Aug 25 12:03:12.278954 np0000000808 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Aug 25 12:03:12.293891 np0000000808 memory_tracker.sh[48824]: [[[
Aug 25 12:03:12.294702 np0000000808 memory_tracker.sh[48839]: Tue Aug 25 12:03:12 UTC 2026
Aug 25 12:03:12.295997 np0000000808 memory_tracker.sh[48824]: ---
Aug 25 12:03:12.372888 np0000000808 memory_tracker.sh[48844]: [iscsid (pid:39750)]=14172KB; [multipathd (pid:278)]=288928KB; [ovs-vswitchd (pid:35318)]=532476KB
Aug 25 12:03:12.380462 np0000000808 memory_tracker.sh[48824]: ]]]
Aug 25 12:03:32.398155 np0000000808 memory_tracker.sh[48824]: [[[
Aug 25 12:03:32.398658 np0000000808 memory_tracker.sh[51283]: Tue Aug 25 12:03:32 UTC 2026
Aug 25 12:03:32.398810 np0000000808 memory_tracker.sh[48824]: ---
Aug 25 12:03:32.398810 np0000000808 memory_tracker.sh[48824]: memory_tracker low_point: 6547216
Aug 25 12:03:32.398810 np0000000808 memory_tracker.sh[48824]: ---
Aug 25 12:03:32.402657 np0000000808 memory_tracker.sh[51284]: MemTotal:        8131788 kB
Aug 25 12:03:32.402657 np0000000808 memory_tracker.sh[51284]: MemFree:          174820 kB
Aug 25 12:03:32.402657 np0000000808 memory_tracker.sh[51284]: MemAvailable:    6547744 kB
Aug 25 12:03:32.402657 np0000000808 memory_tracker.sh[51284]: Buffers:          181028 kB
Aug 25 12:03:32.402657 np0000000808 memory_tracker.sh[51284]: Cached:          6240504 kB
Aug 25 12:03:32.402657 np0000000808 memory_tracker.sh[51284]: SwapCached:            0 kB
Aug 25 12:03:32.402657 np0000000808 memory_tracker.sh[51284]: Active:          1377816 kB
Aug 25 12:03:32.402657 np0000000808 memory_tracker.sh[51284]: Inactive:        5889128 kB
Aug 25 12:03:32.402657 np0000000808 memory_tracker.sh[51284]: Active(anon):     894932 kB
Aug 25 12:03:32.402657 np0000000808 memory_tracker.sh[51284]: Inactive(anon):   125884 kB
Aug 25 12:03:32.402657 np0000000808 memory_tracker.sh[51284]: Active(file):     482884 kB
Aug 25 12:03:32.402657 np0000000808 memory_tracker.sh[51284]: Inactive(file):  5763244 kB
Aug 25 12:03:32.402657 np0000000808 memory_tracker.sh[51284]: Unevictable:      101980 kB
Aug 25 12:03:32.402657 np0000000808 memory_tracker.sh[51284]: Mlocked:          100780 kB
Aug 25 12:03:32.402657 np0000000808 memory_tracker.sh[51284]: SwapTotal:       8388604 kB
Aug 25 12:03:32.402657 np0000000808 memory_tracker.sh[51284]: SwapFree:        8388336 kB
Aug 25 12:03:32.402657 np0000000808 memory_tracker.sh[51284]: Zswap:               360 kB
Aug 25 12:03:32.402657 np0000000808 memory_tracker.sh[51284]: Zswapped:             68 kB
Aug 25 12:03:32.402657 np0000000808 memory_tracker.sh[51284]: Dirty:            151320 kB
Aug 25 12:03:32.402657 np0000000808 memory_tracker.sh[51284]: Writeback:             0 kB
Aug 25 12:03:32.402657 np0000000808 memory_tracker.sh[51284]: AnonPages:        948164 kB
Aug 25 12:03:32.402657 np0000000808 memory_tracker.sh[51284]: Mapped:           183192 kB
Aug 25 12:03:32.402657 np0000000808 memory_tracker.sh[51284]: Shmem:            154836 kB
Aug 25 12:03:32.402657 np0000000808 memory_tracker.sh[51284]: KReclaimable:     432436 kB
Aug 25 12:03:32.402657 np0000000808 memory_tracker.sh[51284]: Slab:             518412 kB
Aug 25 12:03:32.402657 np0000000808 memory_tracker.sh[51284]: SReclaimable:     432436 kB
Aug 25 12:03:32.402657 np0000000808 memory_tracker.sh[51284]: SUnreclaim:        85976 kB
Aug 25 12:03:32.402657 np0000000808 memory_tracker.sh[51284]: KernelStack:        6480 kB
Aug 25 12:03:32.402657 np0000000808 memory_tracker.sh[51284]: PageTables:         9352 kB
Aug 25 12:03:32.402657 np0000000808 memory_tracker.sh[51284]: SecPageTables:         0 kB
Aug 25 12:03:32.402657 np0000000808 memory_tracker.sh[51284]: NFS_Unstable:          0 kB
Aug 25 12:03:32.402657 np0000000808 memory_tracker.sh[51284]: Bounce:                0 kB
Aug 25 12:03:32.402657 np0000000808 memory_tracker.sh[51284]: WritebackTmp:          0 kB
Aug 25 12:03:32.402657 np0000000808 memory_tracker.sh[51284]: CommitLimit:    12454496 kB
Aug 25 12:03:32.402657 np0000000808 memory_tracker.sh[51284]: Committed_AS:    2647948 kB
Aug 25 12:03:32.402657 np0000000808 memory_tracker.sh[51284]: VmallocTotal:   34359738367 kB
Aug 25 12:03:32.402657 np0000000808 memory_tracker.sh[51284]: VmallocUsed:       19196 kB
Aug 25 12:03:32.402657 np0000000808 memory_tracker.sh[51284]: VmallocChunk:          0 kB
Aug 25 12:03:32.402657 np0000000808 memory_tracker.sh[51284]: Percpu:             2480 kB
Aug 25 12:03:32.402657 np0000000808 memory_tracker.sh[51284]: HardwareCorrupted:     0 kB
Aug 25 12:03:32.402657 np0000000808 memory_tracker.sh[51284]: AnonHugePages:         0 kB
Aug 25 12:03:32.402657 np0000000808 memory_tracker.sh[51284]: ShmemHugePages:        0 kB
Aug 25 12:03:32.402657 np0000000808 memory_tracker.sh[51284]: ShmemPmdMapped:        0 kB
Aug 25 12:03:32.402657 np0000000808 memory_tracker.sh[51284]: FileHugePages:         0 kB
Aug 25 12:03:32.402657 np0000000808 memory_tracker.sh[51284]: FilePmdMapped:         0 kB
Aug 25 12:03:32.402657 np0000000808 memory_tracker.sh[51284]: Unaccepted:            0 kB
Aug 25 12:03:32.402657 np0000000808 memory_tracker.sh[51284]: HugePages_Total:       0
Aug 25 12:03:32.402657 np0000000808 memory_tracker.sh[51284]: HugePages_Free:        0
Aug 25 12:03:32.402657 np0000000808 memory_tracker.sh[51284]: HugePages_Rsvd:        0
Aug 25 12:03:32.402657 np0000000808 memory_tracker.sh[51284]: HugePages_Surp:        0
Aug 25 12:03:32.402657 np0000000808 memory_tracker.sh[51284]: Hugepagesize:       2048 kB
Aug 25 12:03:32.402657 np0000000808 memory_tracker.sh[51284]: Hugetlb:               0 kB
Aug 25 12:03:32.402657 np0000000808 memory_tracker.sh[51284]: DirectMap4k:      182132 kB
Aug 25 12:03:32.402657 np0000000808 memory_tracker.sh[51284]: DirectMap2M:     8206336 kB
Aug 25 12:03:32.403760 np0000000808 memory_tracker.sh[48824]: ---
Aug 25 12:03:32.415231 np0000000808 memory_tracker.sh[51286]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Aug 25 12:03:32.415231 np0000000808 memory_tracker.sh[51286]:      48182    4.9          405356          1   00:00:02       39 do_poll.constprop.0       /usr/sbin/mysqld
Aug 25 12:03:32.415231 np0000000808 memory_tracker.sh[51286]:      17951    1.5          130064          1   00:00:05       24 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Aug 25 12:03:32.415231 np0000000808 memory_tracker.sh[51286]:      51215    1.5          125464      51214   00:00:03        1 -                         keystoneuWSGI worker 1
Aug 25 12:03:32.415231 np0000000808 memory_tracker.sh[51286]:      51216    1.5          125428      51214   00:00:03        1 -                         keystoneuWSGI worker 2
Aug 25 12:03:32.415231 np0000000808 memory_tracker.sh[51286]:      35318    0.9           74624          1   00:00:00        8 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Aug 25 12:03:32.415231 np0000000808 memory_tracker.sh[51286]:      47428    0.9           73472          1   00:00:01        1 skb_wait_for_more_packets /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Aug 25 12:03:32.415231 np0000000808 memory_tracker.sh[51286]:      10716    0.4           39904      10714   00:00:00        4 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 25 12:03:32.415703 np0000000808 memory_tracker.sh[51286]:      49980    0.3           27568          1   00:00:00        9 futex_wait_queue          /opt/stack/bin/etcd --name np0000000808 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000000808=http://10.19.119.34:2380 --initial-advertise-peer-urls http://10.19.119.34:2380 --advertise-client-urls http://10.19.119.34:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://10.19.119.34:2379 --log-level=debug
Aug 25 12:03:32.415703 np0000000808 memory_tracker.sh[51286]:        278    0.3           27292          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Aug 25 12:03:32.415703 np0000000808 memory_tracker.sh[51286]:      44119    0.3           26324          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Aug 25 12:03:32.415703 np0000000808 memory_tracker.sh[51286]:       2690    0.3           26188       2689   00:00:01        2 do_wait                   /usr/bin/python3
Aug 25 12:03:32.415703 np0000000808 memory_tracker.sh[51286]:       2559    0.2           20828          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Aug 25 12:03:32.415703 np0000000808 memory_tracker.sh[51286]:      16896    0.2           20580          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Aug 25 12:03:32.415703 np0000000808 memory_tracker.sh[51286]:       1170    0.2           20168          1   00:00:00        2 inet_csk_accept           /usr/bin/python3
Aug 25 12:03:32.415703 np0000000808 memory_tracker.sh[51286]:      51214    0.2           19264          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Aug 25 12:03:32.415703 np0000000808 memory_tracker.sh[51286]:      35065    0.2           19040          1   00:00:00        1 ep_poll                   /usr/sbin/unbound -d -p
Aug 25 12:03:32.415703 np0000000808 memory_tracker.sh[51286]:      37705    0.1           15492          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Aug 25 12:03:32.415703 np0000000808 memory_tracker.sh[51286]:      44154    0.1           15392          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Aug 25 12:03:32.415703 np0000000808 memory_tracker.sh[51286]:      39750    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Aug 25 12:03:32.415703 np0000000808 memory_tracker.sh[51286]:          1    0.1           13916          0   00:00:17        1 ep_poll                   /sbin/init nofb
Aug 25 12:03:32.415703 np0000000808 memory_tracker.sh[51286]:      10714    0.1           13036          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 25 12:03:32.416010 np0000000808 memory_tracker.sh[51286]:        324    0.1           12916          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Aug 25 12:03:32.416010 np0000000808 memory_tracker.sh[51286]:       4857    0.1           12240       2693   00:00:02        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-08-25-115615
Aug 25 12:03:32.416010 np0000000808 memory_tracker.sh[51286]:       4862    0.1           12080       2693   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-08-25-115615.summary.2026-08-25-115615
Aug 25 12:03:32.416010 np0000000808 memory_tracker.sh[51286]:       1029    0.1           11428          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Aug 25 12:03:32.416010 np0000000808 memory_tracker.sh[51286]:      51277    0.1           10968      51276   00:00:00        1 do_poll.constprop.0       curl -g -k --noproxy * -s -o /dev/null -w %{http_code} http://10.19.119.34/identity/v3/
Aug 25 12:03:32.416010 np0000000808 memory_tracker.sh[51286]:       2693    0.1           10776       2691   00:00:10        1 do_wait                   bash ./stack.sh
Aug 25 12:03:32.416010 np0000000808 memory_tracker.sh[51286]:      50267    0.1            9464          1   00:00:00        1 do_select                 /usr/sbin/apache2 -k start
Aug 25 12:03:32.416010 np0000000808 memory_tracker.sh[51286]:      46594    0.1            9408       2693   00:00:00        1 do_wait                   bash ./stack.sh
Aug 25 12:03:32.416010 np0000000808 memory_tracker.sh[51286]:        459    0.1            9028          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-logind
