Sep 01 11:40:09.559119 np0000000859 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Sep 01 11:40:09.575470 np0000000859 memory_tracker.sh[47650]: [[[
Sep 01 11:40:09.577093 np0000000859 memory_tracker.sh[47663]: Tue Sep  1 11:40:09 UTC 2026
Sep 01 11:40:09.577270 np0000000859 memory_tracker.sh[47650]: ---
Sep 01 11:40:09.621798 np0000000859 memory_tracker.sh[47668]: /opt/stack/devstack/tools/mlock_report.py:9: SyntaxWarning: invalid escape sequence '\s'
Sep 01 11:40:09.621798 np0000000859 memory_tracker.sh[47668]:   "^VmLck:\s+(?P<locked>[\d]+)\s+kB", re.MULTILINE)
Sep 01 11:40:09.661009 np0000000859 memory_tracker.sh[47668]: [iscsid (pid:38953)]=14172KB; [multipathd (pid:278)]=288928KB; [ovs-vswitchd (pid:34775)]=532464KB
Sep 01 11:40:09.672963 np0000000859 memory_tracker.sh[47650]: ]]]
Sep 01 11:40:29.691416 np0000000859 memory_tracker.sh[47650]: [[[
Sep 01 11:40:29.694572 np0000000859 memory_tracker.sh[50154]: Tue Sep  1 11:40:29 UTC 2026
Sep 01 11:40:29.696079 np0000000859 memory_tracker.sh[47650]: ---
Sep 01 11:40:29.696151 np0000000859 memory_tracker.sh[47650]: memory_tracker low_point: 6640128
Sep 01 11:40:29.696300 np0000000859 memory_tracker.sh[47650]: ---
Sep 01 11:40:29.698241 np0000000859 memory_tracker.sh[50155]: MemTotal:        8131780 kB
Sep 01 11:40:29.698241 np0000000859 memory_tracker.sh[50155]: MemFree:          291192 kB
Sep 01 11:40:29.698241 np0000000859 memory_tracker.sh[50155]: MemAvailable:    6638112 kB
Sep 01 11:40:29.698241 np0000000859 memory_tracker.sh[50155]: Buffers:          193036 kB
Sep 01 11:40:29.698241 np0000000859 memory_tracker.sh[50155]: Cached:          6198588 kB
Sep 01 11:40:29.698241 np0000000859 memory_tracker.sh[50155]: SwapCached:            0 kB
Sep 01 11:40:29.698241 np0000000859 memory_tracker.sh[50155]: Active:          1251748 kB
Sep 01 11:40:29.698241 np0000000859 memory_tracker.sh[50155]: Inactive:        5836624 kB
Sep 01 11:40:29.698241 np0000000859 memory_tracker.sh[50155]: Active(anon):     745544 kB
Sep 01 11:40:29.698241 np0000000859 memory_tracker.sh[50155]: Inactive(anon):   125828 kB
Sep 01 11:40:29.698241 np0000000859 memory_tracker.sh[50155]: Active(file):     506204 kB
Sep 01 11:40:29.698241 np0000000859 memory_tracker.sh[50155]: Inactive(file):  5710796 kB
Sep 01 11:40:29.698241 np0000000859 memory_tracker.sh[50155]: Unevictable:      101968 kB
Sep 01 11:40:29.698241 np0000000859 memory_tracker.sh[50155]: Mlocked:          100768 kB
Sep 01 11:40:29.698241 np0000000859 memory_tracker.sh[50155]: SwapTotal:       8388604 kB
Sep 01 11:40:29.698241 np0000000859 memory_tracker.sh[50155]: SwapFree:        8388336 kB
Sep 01 11:40:29.698241 np0000000859 memory_tracker.sh[50155]: Zswap:               388 kB
Sep 01 11:40:29.698241 np0000000859 memory_tracker.sh[50155]: Zswapped:             68 kB
Sep 01 11:40:29.698241 np0000000859 memory_tracker.sh[50155]: Dirty:            120340 kB
Sep 01 11:40:29.698241 np0000000859 memory_tracker.sh[50155]: Writeback:             0 kB
Sep 01 11:40:29.698241 np0000000859 memory_tracker.sh[50155]: AnonPages:        798636 kB
Sep 01 11:40:29.698241 np0000000859 memory_tracker.sh[50155]: Mapped:           179648 kB
Sep 01 11:40:29.698241 np0000000859 memory_tracker.sh[50155]: Shmem:            154760 kB
Sep 01 11:40:29.698241 np0000000859 memory_tracker.sh[50155]: KReclaimable:     435360 kB
Sep 01 11:40:29.698241 np0000000859 memory_tracker.sh[50155]: Slab:             519688 kB
Sep 01 11:40:29.698241 np0000000859 memory_tracker.sh[50155]: SReclaimable:     435360 kB
Sep 01 11:40:29.698241 np0000000859 memory_tracker.sh[50155]: SUnreclaim:        84328 kB
Sep 01 11:40:29.698241 np0000000859 memory_tracker.sh[50155]: KernelStack:        6540 kB
Sep 01 11:40:29.698241 np0000000859 memory_tracker.sh[50155]: PageTables:         8988 kB
Sep 01 11:40:29.698241 np0000000859 memory_tracker.sh[50155]: SecPageTables:         0 kB
Sep 01 11:40:29.698241 np0000000859 memory_tracker.sh[50155]: NFS_Unstable:          0 kB
Sep 01 11:40:29.698241 np0000000859 memory_tracker.sh[50155]: Bounce:                0 kB
Sep 01 11:40:29.698241 np0000000859 memory_tracker.sh[50155]: WritebackTmp:          0 kB
Sep 01 11:40:29.698241 np0000000859 memory_tracker.sh[50155]: CommitLimit:    12454492 kB
Sep 01 11:40:29.698241 np0000000859 memory_tracker.sh[50155]: Committed_AS:    2490012 kB
Sep 01 11:40:29.698241 np0000000859 memory_tracker.sh[50155]: VmallocTotal:   34359738367 kB
Sep 01 11:40:29.698241 np0000000859 memory_tracker.sh[50155]: VmallocUsed:       19200 kB
Sep 01 11:40:29.698241 np0000000859 memory_tracker.sh[50155]: VmallocChunk:          0 kB
Sep 01 11:40:29.698241 np0000000859 memory_tracker.sh[50155]: Percpu:             2384 kB
Sep 01 11:40:29.698241 np0000000859 memory_tracker.sh[50155]: HardwareCorrupted:     0 kB
Sep 01 11:40:29.698241 np0000000859 memory_tracker.sh[50155]: AnonHugePages:         0 kB
Sep 01 11:40:29.698241 np0000000859 memory_tracker.sh[50155]: ShmemHugePages:        0 kB
Sep 01 11:40:29.698241 np0000000859 memory_tracker.sh[50155]: ShmemPmdMapped:        0 kB
Sep 01 11:40:29.698241 np0000000859 memory_tracker.sh[50155]: FileHugePages:         0 kB
Sep 01 11:40:29.698241 np0000000859 memory_tracker.sh[50155]: FilePmdMapped:         0 kB
Sep 01 11:40:29.698241 np0000000859 memory_tracker.sh[50155]: Unaccepted:            0 kB
Sep 01 11:40:29.698241 np0000000859 memory_tracker.sh[50155]: HugePages_Total:       0
Sep 01 11:40:29.698241 np0000000859 memory_tracker.sh[50155]: HugePages_Free:        0
Sep 01 11:40:29.698241 np0000000859 memory_tracker.sh[50155]: HugePages_Rsvd:        0
Sep 01 11:40:29.698241 np0000000859 memory_tracker.sh[50155]: HugePages_Surp:        0
Sep 01 11:40:29.698241 np0000000859 memory_tracker.sh[50155]: Hugepagesize:       2048 kB
Sep 01 11:40:29.698241 np0000000859 memory_tracker.sh[50155]: Hugetlb:               0 kB
Sep 01 11:40:29.698241 np0000000859 memory_tracker.sh[50155]: DirectMap4k:      163700 kB
Sep 01 11:40:29.698241 np0000000859 memory_tracker.sh[50155]: DirectMap2M:     8224768 kB
Sep 01 11:40:29.699982 np0000000859 memory_tracker.sh[47650]: ---
Sep 01 11:40:29.717286 np0000000859 memory_tracker.sh[50157]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Sep 01 11:40:29.717286 np0000000859 memory_tracker.sh[50157]:      47003    4.9          405396          1   00:00:02       39 do_poll.constprop.0       /usr/sbin/mysqld
Sep 01 11:40:29.717286 np0000000859 memory_tracker.sh[50157]:      17405    1.6          133776          1   00:00:06       24 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Sep 01 11:40:29.717286 np0000000859 memory_tracker.sh[50157]:      46261    0.9           80480          1   00:00:01        1 skb_wait_for_more_packets /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Sep 01 11:40:29.717286 np0000000859 memory_tracker.sh[50157]:      34775    0.9           74612          1   00:00:00        8 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Sep 01 11:40:29.717286 np0000000859 memory_tracker.sh[50157]:      50081    0.6           49120      50079   00:00:00        1 -                         keystoneuWSGI worker 2
Sep 01 11:40:29.717286 np0000000859 memory_tracker.sh[50157]:      50080    0.5           45952      50079   00:00:00        1 -                         keystoneuWSGI worker 1
Sep 01 11:40:29.717286 np0000000859 memory_tracker.sh[50157]:      10815    0.4           39768      10813   00:00:00        4 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 01 11:40:29.717695 np0000000859 memory_tracker.sh[50157]:      48750    0.3           28004          1   00:00:00        9 futex_wait_queue          /opt/stack/bin/etcd --name np0000000859 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000000859=http://10.19.119.69:2380 --initial-advertise-peer-urls http://10.19.119.69:2380 --advertise-client-urls http://10.19.119.69:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://10.19.119.69:2379 --log-level=debug
Sep 01 11:40:29.717695 np0000000859 memory_tracker.sh[50157]:        278    0.3           27292          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Sep 01 11:40:29.717695 np0000000859 memory_tracker.sh[50157]:       2306    0.3           26112       2305   00:00:01        2 do_wait                   /usr/bin/python3
Sep 01 11:40:29.717695 np0000000859 memory_tracker.sh[50157]:      43178    0.3           25796          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Sep 01 11:40:29.717695 np0000000859 memory_tracker.sh[50157]:       2174    0.2           20756          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Sep 01 11:40:29.717695 np0000000859 memory_tracker.sh[50157]:        848    0.2           20168          1   00:00:00        2 inet_csk_accept           /usr/bin/python3
Sep 01 11:40:29.717695 np0000000859 memory_tracker.sh[50157]:      16380    0.2           20160          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Sep 01 11:40:29.717695 np0000000859 memory_tracker.sh[50157]:        667    0.2           19456          1   00:00:00        1 ep_poll                   /usr/sbin/unbound -d -p
Sep 01 11:40:29.717695 np0000000859 memory_tracker.sh[50157]:      50079    0.2           19316          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Sep 01 11:40:29.717695 np0000000859 memory_tracker.sh[50157]:      43212    0.1           15484          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Sep 01 11:40:29.717695 np0000000859 memory_tracker.sh[50157]:      37091    0.1           15440          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Sep 01 11:40:29.717695 np0000000859 memory_tracker.sh[50157]:      38953    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Sep 01 11:40:29.717695 np0000000859 memory_tracker.sh[50157]:          1    0.1           13792          0   00:00:16        1 ep_poll                   /sbin/init nofb
Sep 01 11:40:29.717695 np0000000859 memory_tracker.sh[50157]:      10813    0.1           13080          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 01 11:40:29.717977 np0000000859 memory_tracker.sh[50157]:        321    0.1           12960          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Sep 01 11:40:29.717977 np0000000859 memory_tracker.sh[50157]:       4465    0.1           12204       2309   00:00:02        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-09-01-113224
Sep 01 11:40:29.717977 np0000000859 memory_tracker.sh[50157]:       4470    0.1           12124       2309   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-09-01-113224.summary.2026-09-01-113224
Sep 01 11:40:29.717977 np0000000859 memory_tracker.sh[50157]:        713    0.1           11248          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Sep 01 11:40:29.717977 np0000000859 memory_tracker.sh[50157]:      50148    0.1           11140      50147   00:00:00        1 do_poll.constprop.0       curl -g -k --noproxy * -s -o /dev/null -w %{http_code} http://10.19.119.69/identity/v3/
Sep 01 11:40:29.717977 np0000000859 memory_tracker.sh[50157]:       2309    0.1           10784       2307   00:00:11        1 do_wait                   bash ./stack.sh
Sep 01 11:40:29.717977 np0000000859 memory_tracker.sh[50157]:      49011    0.1            9632          1   00:00:00        1 do_select                 /usr/sbin/apache2 -k start
Sep 01 11:40:29.717977 np0000000859 memory_tracker.sh[50157]:      45431    0.1            9476       2309   00:00:00        1 do_wait                   bash ./stack.sh
Sep 01 11:40:29.717977 np0000000859 memory_tracker.sh[50157]:        424    0.1            8992          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-logind
