Sep 24 05:51:14.895287 np0000002315 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Sep 24 05:51:14.916225 np0000002315 memory_tracker.sh[66857]: [[[
Sep 24 05:51:14.918399 np0000002315 memory_tracker.sh[66872]: Thu Sep 24 05:51:14 UTC 2026
Sep 24 05:51:14.918613 np0000002315 memory_tracker.sh[66857]: ---
Sep 24 05:51:15.008523 np0000002315 memory_tracker.sh[66877]: [iscsid (pid:56639)]=14172KB; [multipathd (pid:283)]=288928KB; [ovs-vswitchd (pid:50066)]=532472KB
Sep 24 05:51:15.019004 np0000002315 memory_tracker.sh[66857]: ]]]
Sep 24 05:51:35.032523 np0000002315 memory_tracker.sh[66857]: [[[
Sep 24 05:51:35.034123 np0000002315 memory_tracker.sh[69784]: Thu Sep 24 05:51:35 UTC 2026
Sep 24 05:51:35.034301 np0000002315 memory_tracker.sh[66857]: ---
Sep 24 05:51:35.034301 np0000002315 memory_tracker.sh[66857]: memory_tracker low_point: 6563228
Sep 24 05:51:35.034301 np0000002315 memory_tracker.sh[66857]: ---
Sep 24 05:51:35.035286 np0000002315 memory_tracker.sh[69785]: MemTotal:        8131788 kB
Sep 24 05:51:35.035286 np0000002315 memory_tracker.sh[69785]: MemFree:          188012 kB
Sep 24 05:51:35.035286 np0000002315 memory_tracker.sh[69785]: MemAvailable:    6563228 kB
Sep 24 05:51:35.035286 np0000002315 memory_tracker.sh[69785]: Buffers:          212532 kB
Sep 24 05:51:35.035286 np0000002315 memory_tracker.sh[69785]: Cached:          6162348 kB
Sep 24 05:51:35.035286 np0000002315 memory_tracker.sh[69785]: SwapCached:            0 kB
Sep 24 05:51:35.035286 np0000002315 memory_tracker.sh[69785]: Active:          1261764 kB
Sep 24 05:51:35.035286 np0000002315 memory_tracker.sh[69785]: Inactive:        5751744 kB
Sep 24 05:51:35.035286 np0000002315 memory_tracker.sh[69785]: Active(anon):     710956 kB
Sep 24 05:51:35.035286 np0000002315 memory_tracker.sh[69785]: Inactive(anon):   102180 kB
Sep 24 05:51:35.035286 np0000002315 memory_tracker.sh[69785]: Active(file):     550808 kB
Sep 24 05:51:35.035286 np0000002315 memory_tracker.sh[69785]: Inactive(file):  5649564 kB
Sep 24 05:51:35.035286 np0000002315 memory_tracker.sh[69785]: Unevictable:      101976 kB
Sep 24 05:51:35.035286 np0000002315 memory_tracker.sh[69785]: Mlocked:          100776 kB
Sep 24 05:51:35.035286 np0000002315 memory_tracker.sh[69785]: SwapTotal:       8388604 kB
Sep 24 05:51:35.035286 np0000002315 memory_tracker.sh[69785]: SwapFree:        8387824 kB
Sep 24 05:51:35.035286 np0000002315 memory_tracker.sh[69785]: Zswap:               308 kB
Sep 24 05:51:35.035286 np0000002315 memory_tracker.sh[69785]: Zswapped:             68 kB
Sep 24 05:51:35.035286 np0000002315 memory_tracker.sh[69785]: Dirty:            123676 kB
Sep 24 05:51:35.035286 np0000002315 memory_tracker.sh[69785]: Writeback:             0 kB
Sep 24 05:51:35.035286 np0000002315 memory_tracker.sh[69785]: AnonPages:        740744 kB
Sep 24 05:51:35.035286 np0000002315 memory_tracker.sh[69785]: Mapped:           176016 kB
Sep 24 05:51:35.035286 np0000002315 memory_tracker.sh[69785]: Shmem:            154644 kB
Sep 24 05:51:35.035286 np0000002315 memory_tracker.sh[69785]: KReclaimable:     480484 kB
Sep 24 05:51:35.035286 np0000002315 memory_tracker.sh[69785]: Slab:             569616 kB
Sep 24 05:51:35.035286 np0000002315 memory_tracker.sh[69785]: SReclaimable:     480484 kB
Sep 24 05:51:35.035286 np0000002315 memory_tracker.sh[69785]: SUnreclaim:        89132 kB
Sep 24 05:51:35.035286 np0000002315 memory_tracker.sh[69785]: KernelStack:        6972 kB
Sep 24 05:51:35.035286 np0000002315 memory_tracker.sh[69785]: PageTables:         8808 kB
Sep 24 05:51:35.035286 np0000002315 memory_tracker.sh[69785]: SecPageTables:         0 kB
Sep 24 05:51:35.035286 np0000002315 memory_tracker.sh[69785]: NFS_Unstable:          0 kB
Sep 24 05:51:35.035286 np0000002315 memory_tracker.sh[69785]: Bounce:                0 kB
Sep 24 05:51:35.035286 np0000002315 memory_tracker.sh[69785]: WritebackTmp:          0 kB
Sep 24 05:51:35.035286 np0000002315 memory_tracker.sh[69785]: CommitLimit:    12454496 kB
Sep 24 05:51:35.035286 np0000002315 memory_tracker.sh[69785]: Committed_AS:    2430012 kB
Sep 24 05:51:35.035286 np0000002315 memory_tracker.sh[69785]: VmallocTotal:   34359738367 kB
Sep 24 05:51:35.035286 np0000002315 memory_tracker.sh[69785]: VmallocUsed:       86832 kB
Sep 24 05:51:35.035286 np0000002315 memory_tracker.sh[69785]: VmallocChunk:          0 kB
Sep 24 05:51:35.035286 np0000002315 memory_tracker.sh[69785]: Percpu:             2432 kB
Sep 24 05:51:35.035286 np0000002315 memory_tracker.sh[69785]: HardwareCorrupted:     0 kB
Sep 24 05:51:35.035286 np0000002315 memory_tracker.sh[69785]: AnonHugePages:         0 kB
Sep 24 05:51:35.035286 np0000002315 memory_tracker.sh[69785]: ShmemHugePages:        0 kB
Sep 24 05:51:35.035286 np0000002315 memory_tracker.sh[69785]: ShmemPmdMapped:        0 kB
Sep 24 05:51:35.035286 np0000002315 memory_tracker.sh[69785]: FileHugePages:         0 kB
Sep 24 05:51:35.035286 np0000002315 memory_tracker.sh[69785]: FilePmdMapped:         0 kB
Sep 24 05:51:35.035286 np0000002315 memory_tracker.sh[69785]: Unaccepted:            0 kB
Sep 24 05:51:35.035286 np0000002315 memory_tracker.sh[69785]: HugePages_Total:       0
Sep 24 05:51:35.035286 np0000002315 memory_tracker.sh[69785]: HugePages_Free:        0
Sep 24 05:51:35.035286 np0000002315 memory_tracker.sh[69785]: HugePages_Rsvd:        0
Sep 24 05:51:35.035286 np0000002315 memory_tracker.sh[69785]: HugePages_Surp:        0
Sep 24 05:51:35.035286 np0000002315 memory_tracker.sh[69785]: Hugepagesize:       2048 kB
Sep 24 05:51:35.035286 np0000002315 memory_tracker.sh[69785]: Hugetlb:               0 kB
Sep 24 05:51:35.035286 np0000002315 memory_tracker.sh[69785]: DirectMap4k:      202612 kB
Sep 24 05:51:35.035286 np0000002315 memory_tracker.sh[69785]: DirectMap2M:     8185856 kB
Sep 24 05:51:35.039666 np0000002315 memory_tracker.sh[66857]: ---
Sep 24 05:51:35.061528 np0000002315 memory_tracker.sh[69787]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Sep 24 05:51:35.061528 np0000002315 memory_tracker.sh[69787]:      66138    4.9          405004          1   00:00:03       39 do_poll.constprop.0       /usr/sbin/mysqld
Sep 24 05:51:35.061528 np0000002315 memory_tracker.sh[69787]:      27985    1.6          133412          1   00:00:06       24 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Sep 24 05:51:35.061528 np0000002315 memory_tracker.sh[69787]:      50066    0.9           74620          1   00:00:00        8 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Sep 24 05:51:35.061528 np0000002315 memory_tracker.sh[69787]:      65106    0.9           73872          1   00:00:01        1 skb_wait_for_more_packets /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Sep 24 05:51:35.061528 np0000002315 memory_tracker.sh[69787]:      18059    0.4           39796      18044   00:00:00        4 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 24 05:51:35.061528 np0000002315 memory_tracker.sh[69787]:      68124    0.3           27524          1   00:00:00        9 futex_wait_queue          /opt/stack/bin/etcd --name np0000002315 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000002315=http://10.19.119.144:2380 --initial-advertise-peer-urls http://10.19.119.144:2380 --advertise-client-urls http://10.19.119.144:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://10.19.119.144:2379 --log-level=debug
Sep 24 05:51:35.062121 np0000002315 memory_tracker.sh[69787]:        283    0.3           27292          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Sep 24 05:51:35.062121 np0000002315 memory_tracker.sh[69787]:      61295    0.3           26276          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Sep 24 05:51:35.062121 np0000002315 memory_tracker.sh[69787]:       7804    0.3           26044       7803   00:00:01        2 do_wait                   /usr/bin/python3
Sep 24 05:51:35.062121 np0000002315 memory_tracker.sh[69787]:       2212    0.2           20860          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Sep 24 05:51:35.062121 np0000002315 memory_tracker.sh[69787]:      25945    0.2           20268          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Sep 24 05:51:35.062121 np0000002315 memory_tracker.sh[69787]:        845    0.2           20188          1   00:00:00        2 inet_csk_accept           /usr/bin/python3
Sep 24 05:51:35.062121 np0000002315 memory_tracker.sh[69787]:        673    0.2           19508          1   00:00:00        1 ep_poll                   /usr/sbin/unbound -d -p
Sep 24 05:51:35.062121 np0000002315 memory_tracker.sh[69787]:      61329    0.1           15548          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Sep 24 05:51:35.062121 np0000002315 memory_tracker.sh[69787]:      53344    0.1           15480          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Sep 24 05:51:35.062121 np0000002315 memory_tracker.sh[69787]:      56639    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Sep 24 05:51:35.062121 np0000002315 memory_tracker.sh[69787]:          1    0.1           13828          0   00:00:18        1 do_wait                   /sbin/init nofb
Sep 24 05:51:35.062121 np0000002315 memory_tracker.sh[69787]:      18044    0.1           13128          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 24 05:51:35.062121 np0000002315 memory_tracker.sh[69787]:        328    0.1           12900          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Sep 24 05:51:35.062121 np0000002315 memory_tracker.sh[69787]:      10486    0.1           12244       7808   00:00:02        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-09-24-054427
Sep 24 05:51:35.062121 np0000002315 memory_tracker.sh[69787]:      10491    0.1           12068       7808   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-09-24-054427.summary.2026-09-24-054427
Sep 24 05:51:35.064076 np0000002315 memory_tracker.sh[69787]:        711    0.1           11412          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Sep 24 05:51:35.064076 np0000002315 memory_tracker.sh[69787]:       7808    0.1           10780       7806   00:00:09        1 do_wait                   bash ./stack.sh
Sep 24 05:51:35.064076 np0000002315 memory_tracker.sh[69787]:      68479    0.1            9572          1   00:00:00        1 do_select                 /usr/sbin/apache2 -k start
Sep 24 05:51:35.064076 np0000002315 memory_tracker.sh[69787]:      64130    0.1            9348       7808   00:00:00        1 do_wait                   bash ./stack.sh
Sep 24 05:51:35.064076 np0000002315 memory_tracker.sh[69787]:        431    0.1            8980          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-logind
Sep 24 05:51:35.064076 np0000002315 memory_tracker.sh[69787]:      50726    0.1            8884          1   00:00:00        1 do_poll.constprop.0       ovsdb-server -vconsole:off -vfile:info --log-file=/var/log/ovn/ovsdb-server-sb.log --remote=punix:/var/run/ovn/ovnsb_db.sock --pidfile=/var/run/ovn/ovnsb_db.pid --unixctl=/var/run/ovn/ovnsb_db.ctl --remote=db:OVN_Southbound,SB_Global,connections --private-key=db:OVN_Southbound,SSL,private_key --certificate=db:OVN_Southbound,SSL,certificate --ca-cert=db:OVN_Southbound,SSL,ca_cert --ssl-protocols=db:OVN_Southbound,SSL,ssl_protocols --ssl-ciphers=db:OVN_Southbound,SSL,ssl_ciphers /var/lib/ovn/ovnsb_db.db
