Nov 18 17:05:20.821982 np0000045412 systemd[1]: Started Devstack devstack@memory_tracker.service.
Nov 18 17:05:20.837951 np0000045412 memory_tracker.sh[53699]: [[[
Nov 18 17:05:20.839689 np0000045412 memory_tracker.sh[53714]: Tue Nov 18 17:05:20 UTC 2025
Nov 18 17:05:20.839956 np0000045412 memory_tracker.sh[53699]: ---
Nov 18 17:05:20.908669 np0000045412 memory_tracker.sh[53718]: [iscsid (pid:42344)]=13404KB; [multipathd (pid:281)]=289292KB; [ovs-vswitchd (pid:38131)]=530768KB
Nov 18 17:05:20.918335 np0000045412 memory_tracker.sh[53699]: ]]]
Nov 18 17:05:40.937748 np0000045412 memory_tracker.sh[53699]: [[[
Nov 18 17:05:40.940743 np0000045412 memory_tracker.sh[55857]: Tue Nov 18 17:05:40 UTC 2025
Nov 18 17:05:40.941338 np0000045412 memory_tracker.sh[53699]: ---
Nov 18 17:05:40.941338 np0000045412 memory_tracker.sh[53699]: memory_tracker low_point: 6565960
Nov 18 17:05:40.941338 np0000045412 memory_tracker.sh[53699]: ---
Nov 18 17:05:40.944055 np0000045412 memory_tracker.sh[55858]: MemTotal:        8127824 kB
Nov 18 17:05:40.944055 np0000045412 memory_tracker.sh[55858]: MemFree:          184704 kB
Nov 18 17:05:40.944055 np0000045412 memory_tracker.sh[55858]: MemAvailable:    6565960 kB
Nov 18 17:05:40.944055 np0000045412 memory_tracker.sh[55858]: Buffers:          194132 kB
Nov 18 17:05:40.944055 np0000045412 memory_tracker.sh[55858]: Cached:          6222436 kB
Nov 18 17:05:40.944055 np0000045412 memory_tracker.sh[55858]: SwapCached:           24 kB
Nov 18 17:05:40.944055 np0000045412 memory_tracker.sh[55858]: Active:           772876 kB
Nov 18 17:05:40.944055 np0000045412 memory_tracker.sh[55858]: Inactive:        6478040 kB
Nov 18 17:05:40.944055 np0000045412 memory_tracker.sh[55858]: Active(anon):       1184 kB
Nov 18 17:05:40.944055 np0000045412 memory_tracker.sh[55858]: Inactive(anon):  1005852 kB
Nov 18 17:05:40.944055 np0000045412 memory_tracker.sh[55858]: Active(file):     771692 kB
Nov 18 17:05:40.944055 np0000045412 memory_tracker.sh[55858]: Inactive(file):  5472188 kB
Nov 18 17:05:40.944055 np0000045412 memory_tracker.sh[55858]: Unevictable:      100272 kB
Nov 18 17:05:40.944055 np0000045412 memory_tracker.sh[55858]: Mlocked:          100272 kB
Nov 18 17:05:40.944055 np0000045412 memory_tracker.sh[55858]: SwapTotal:       8388604 kB
Nov 18 17:05:40.944055 np0000045412 memory_tracker.sh[55858]: SwapFree:        8382936 kB
Nov 18 17:05:40.944055 np0000045412 memory_tracker.sh[55858]: Dirty:              4080 kB
Nov 18 17:05:40.944055 np0000045412 memory_tracker.sh[55858]: Writeback:             0 kB
Nov 18 17:05:40.944055 np0000045412 memory_tracker.sh[55858]: AnonPages:        934400 kB
Nov 18 17:05:40.944055 np0000045412 memory_tracker.sh[55858]: Mapped:           190496 kB
Nov 18 17:05:40.944055 np0000045412 memory_tracker.sh[55858]: Shmem:            155008 kB
Nov 18 17:05:40.944055 np0000045412 memory_tracker.sh[55858]: KReclaimable:     442764 kB
Nov 18 17:05:40.944055 np0000045412 memory_tracker.sh[55858]: Slab:             516108 kB
Nov 18 17:05:40.944055 np0000045412 memory_tracker.sh[55858]: SReclaimable:     442764 kB
Nov 18 17:05:40.944055 np0000045412 memory_tracker.sh[55858]: SUnreclaim:        73344 kB
Nov 18 17:05:40.944055 np0000045412 memory_tracker.sh[55858]: KernelStack:        6384 kB
Nov 18 17:05:40.944055 np0000045412 memory_tracker.sh[55858]: PageTables:         8908 kB
Nov 18 17:05:40.944055 np0000045412 memory_tracker.sh[55858]: NFS_Unstable:          0 kB
Nov 18 17:05:40.944055 np0000045412 memory_tracker.sh[55858]: Bounce:                0 kB
Nov 18 17:05:40.944055 np0000045412 memory_tracker.sh[55858]: WritebackTmp:          0 kB
Nov 18 17:05:40.944055 np0000045412 memory_tracker.sh[55858]: CommitLimit:    12452516 kB
Nov 18 17:05:40.944055 np0000045412 memory_tracker.sh[55858]: Committed_AS:    2579532 kB
Nov 18 17:05:40.944055 np0000045412 memory_tracker.sh[55858]: VmallocTotal:   34359738367 kB
Nov 18 17:05:40.944055 np0000045412 memory_tracker.sh[55858]: VmallocUsed:       18320 kB
Nov 18 17:05:40.944055 np0000045412 memory_tracker.sh[55858]: VmallocChunk:          0 kB
Nov 18 17:05:40.944055 np0000045412 memory_tracker.sh[55858]: Percpu:             2336 kB
Nov 18 17:05:40.944055 np0000045412 memory_tracker.sh[55858]: HardwareCorrupted:     0 kB
Nov 18 17:05:40.944055 np0000045412 memory_tracker.sh[55858]: AnonHugePages:         0 kB
Nov 18 17:05:40.944055 np0000045412 memory_tracker.sh[55858]: ShmemHugePages:        0 kB
Nov 18 17:05:40.944055 np0000045412 memory_tracker.sh[55858]: ShmemPmdMapped:        0 kB
Nov 18 17:05:40.944055 np0000045412 memory_tracker.sh[55858]: FileHugePages:         0 kB
Nov 18 17:05:40.944055 np0000045412 memory_tracker.sh[55858]: FilePmdMapped:         0 kB
Nov 18 17:05:40.944055 np0000045412 memory_tracker.sh[55858]: HugePages_Total:       0
Nov 18 17:05:40.944055 np0000045412 memory_tracker.sh[55858]: HugePages_Free:        0
Nov 18 17:05:40.944055 np0000045412 memory_tracker.sh[55858]: HugePages_Rsvd:        0
Nov 18 17:05:40.944055 np0000045412 memory_tracker.sh[55858]: HugePages_Surp:        0
Nov 18 17:05:40.944055 np0000045412 memory_tracker.sh[55858]: Hugepagesize:       2048 kB
Nov 18 17:05:40.944055 np0000045412 memory_tracker.sh[55858]: Hugetlb:               0 kB
Nov 18 17:05:40.944055 np0000045412 memory_tracker.sh[55858]: DirectMap4k:      210804 kB
Nov 18 17:05:40.944055 np0000045412 memory_tracker.sh[55858]: DirectMap2M:     8177664 kB
Nov 18 17:05:40.950063 np0000045412 memory_tracker.sh[53699]: ---
Nov 18 17:05:40.961496 np0000045412 memory_tracker.sh[55860]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Nov 18 17:05:40.961496 np0000045412 memory_tracker.sh[55860]:      53102    4.9          403572          1   00:00:03       39 do_poll.constprop.0       /usr/sbin/mysqld
Nov 18 17:05:40.961496 np0000045412 memory_tracker.sh[55860]:      21170    1.4          119116          1   00:00:05       24 do_select                 /usr/lib/erlang/erts-12.2.1/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false
Nov 18 17:05:40.961496 np0000045412 memory_tracker.sh[55860]:      55790    1.2           98816      55788   00:00:01        1 -                         keystoneuWSGI worker 2
Nov 18 17:05:40.961496 np0000045412 memory_tracker.sh[55860]:      55789    1.2           98808      55788   00:00:01        1 -                         keystoneuWSGI worker 1
Nov 18 17:05:40.961496 np0000045412 memory_tracker.sh[55860]:      52389    0.9           75024          1   00:00:00        1 skb_wait_for_more_packets /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Nov 18 17:05:40.961496 np0000045412 memory_tracker.sh[55860]:      38131    0.8           71920          1   00:00:00        8 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Nov 18 17:05:40.961496 np0000045412 memory_tracker.sh[55860]:      11107    0.5           47292          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Nov 18 17:05:40.961496 np0000045412 memory_tracker.sh[55860]:      11109    0.4           38472      11107   00:00:00        4 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Nov 18 17:05:40.961496 np0000045412 memory_tracker.sh[55860]:        281    0.3           27100          1   00:00:05        7 futex_wait_queue_me       /sbin/multipathd -d -s
Nov 18 17:05:40.964421 np0000045412 memory_tracker.sh[55860]:      54682    0.3           25908          1   00:00:00        9 ep_poll                   /opt/stack/bin/etcd --name np0000045412 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000045412=http://10.19.119.123:2380 --initial-advertise-peer-urls http://10.19.119.123:2380 --advertise-client-urls http://10.19.119.123:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://10.19.119.123:2379 --log-level=debug
Nov 18 17:05:40.964421 np0000045412 memory_tracker.sh[55860]:      51361    0.3           24428          1   00:00:00        1 ep_poll                   /usr/sbin/smbd --foreground --no-process-group
Nov 18 17:05:40.964421 np0000045412 memory_tracker.sh[55860]:      46769    0.2           23384          1   00:00:00       19 do_poll.constprop.0       /usr/sbin/libvirtd
Nov 18 17:05:40.964421 np0000045412 memory_tracker.sh[55860]:       1833    0.2           23040       1832   00:00:01        2 do_wait                   /usr/bin/python3
Nov 18 17:05:40.964421 np0000045412 memory_tracker.sh[55860]:       4586    0.2           20488          1   00:00:00        3 do_poll.constprop.0       /usr/libexec/packagekitd
Nov 18 17:05:40.964421 np0000045412 memory_tracker.sh[55860]:      20197    0.2           20036          1   00:00:00        1 ep_poll                   /lib/systemd/systemd-journald
Nov 18 17:05:40.964421 np0000045412 memory_tracker.sh[55860]:      51365    0.2           19964      51361   00:00:00        1 ep_poll                   /usr/lib/x86_64-linux-gnu/samba/samba-bgqd --ready-signal-fd=45 --parent-watch-fd=11 --debuglevel=0 -F
Nov 18 17:05:40.964421 np0000045412 memory_tracker.sh[55860]:        378    0.2           18852          1   00:00:00        1 do_poll.constprop.0       /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
Nov 18 17:05:40.964421 np0000045412 memory_tracker.sh[55860]:      55788    0.2           16836          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Nov 18 17:05:40.964421 np0000045412 memory_tracker.sh[55860]:        566    0.1           15744          1   00:00:00        1 ep_poll                   /usr/sbin/unbound -d -p
Nov 18 17:05:40.964421 np0000045412 memory_tracker.sh[55860]:      51351    0.1           15140          1   00:00:00        1 ep_poll                   /usr/sbin/nmbd --foreground --no-process-group
Nov 18 17:05:40.964421 np0000045412 memory_tracker.sh[55860]:      46799    0.1           13964          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Nov 18 17:05:40.964421 np0000045412 memory_tracker.sh[55860]:        328    0.1           13524          1   00:00:00        1 ep_poll                   /lib/systemd/systemd-resolved
Nov 18 17:05:40.966639 np0000045412 memory_tracker.sh[55860]:        787    0.1           13304          1   00:00:00        2 inet_csk_accept           /usr/bin/python3
Nov 18 17:05:40.966639 np0000045412 memory_tracker.sh[55860]:          1    0.1           13184          0   00:00:21        1 ep_poll                   /sbin/init nofb
Nov 18 17:05:40.966639 np0000045412 memory_tracker.sh[55860]:      42344    0.1           13000          1   00:00:00        1 do_poll.constprop.0       /sbin/iscsid
Nov 18 17:05:40.966639 np0000045412 memory_tracker.sh[55860]:       1836    0.1           11508       1834   00:00:12        1 do_wait                   bash ./stack.sh
Nov 18 17:05:40.966639 np0000045412 memory_tracker.sh[55860]:       4056    0.1           10304       4048   00:00:02        1 pipe_read                 /usr/bin/python3.10 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2025-11-18-165707
Nov 18 17:05:40.966639 np0000045412 memory_tracker.sh[55860]:      51363    0.1           10152      51361   00:00:00        1 ep_poll                   /usr/sbin/smbd --foreground --no-process-group
