10.19.119.20 - - [01/Sep/2026:13:21:24 +0000] "GET /identity/v3/ HTTP/1.1" 200 503 "-" "curl/8.5.0"
10.19.119.20 - - [01/Sep/2026:13:21:32 +0000] "GET /identity HTTP/1.1" 300 577 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.20 - - [01/Sep/2026:13:21:32 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1432 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.20 - - [01/Sep/2026:13:21:33 +0000] "GET /identity/v3/projects/admin HTTP/1.1" 404 338 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.20 - - [01/Sep/2026:13:21:33 +0000] "GET /identity/v3/projects?name=admin HTTP/1.1" 200 702 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.20 - - [01/Sep/2026:13:21:33 +0000] "GET /identity/v3/projects/a54ba7013cb547dbafb36b19880722d1 HTTP/1.1" 200 592 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.20 - - [01/Sep/2026:13:21:33 +0000] "GET /identity HTTP/1.1" 300 577 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.20 - - [01/Sep/2026:13:21:33 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1432 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.20 - - [01/Sep/2026:13:21:34 +0000] "GET /identity/v3/users/admin HTTP/1.1" 404 335 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.20 - - [01/Sep/2026:13:21:34 +0000] "GET /identity/v3/users?name=admin HTTP/1.1" 200 602 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.20 - - [01/Sep/2026:13:21:34 +0000] "GET /identity HTTP/1.1" 300 577 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.20 - - [01/Sep/2026:13:21:34 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1296 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.20 - - [01/Sep/2026:13:21:34 +0000] "GET /identity/v3/roles/admin HTTP/1.1" 404 335 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.20 - - [01/Sep/2026:13:21:34 +0000] "GET /identity/v3/roles?name=admin HTTP/1.1" 200 589 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.20 - - [01/Sep/2026:13:21:34 +0000] "GET /identity/v3/users/0ea1f5e4de2f47609874d19de16529ba HTTP/1.1" 200 495 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.20 - - [01/Sep/2026:13:21:34 +0000] "GET /identity/v3/domains/default HTTP/1.1" 200 447 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.20 - - [01/Sep/2026:13:21:34 +0000] "PUT /identity/v3/domains/default/users/0ea1f5e4de2f47609874d19de16529ba/roles/3a56e1a1ab584d3b8f71ac9c4b9b1663 HTTP/1.1" 204 201 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.20 - - [01/Sep/2026:13:21:35 +0000] "GET /identity HTTP/1.1" 300 577 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.20 - - [01/Sep/2026:13:21:35 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1296 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.20 - - [01/Sep/2026:13:21:35 +0000] "POST /identity/v3/domains HTTP/1.1" 409 442 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.20 - - [01/Sep/2026:13:21:35 +0000] "GET /identity/v3/domains/Default HTTP/1.1" 404 339 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.20 - - [01/Sep/2026:13:21:35 +0000] "GET /identity/v3/domains?name=Default HTTP/1.1" 200 558 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.20 - - [01/Sep/2026:13:21:35 +0000] "GET /identity HTTP/1.1" 300 577 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.20 - - [01/Sep/2026:13:21:35 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1296 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.20 - - [01/Sep/2026:13:21:35 +0000] "GET /identity/v3/roles/admin HTTP/1.1" 404 335 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.20 - - [01/Sep/2026:13:21:35 +0000] "GET /identity/v3/roles?name=admin HTTP/1.1" 200 589 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.20 - - [01/Sep/2026:13:21:36 +0000] "GET /identity/v3/users/0ea1f5e4de2f47609874d19de16529ba HTTP/1.1" 200 495 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.20 - - [01/Sep/2026:13:21:36 +0000] "GET /identity/v3/domains/default HTTP/1.1" 200 447 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.20 - - [01/Sep/2026:13:21:36 +0000] "GET /identity/v3/role_assignments?role.id=3a56e1a1ab584d3b8f71ac9c4b9b1663&scope.domain.id=default&user.id=0ea1f5e4de2f47609874d19de16529ba HTTP/1.1" 200 780 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.20 - - [01/Sep/2026:13:21:36 +0000] "GET /identity HTTP/1.1" 300 577 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.20 - - [01/Sep/2026:13:21:36 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1296 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.20 - - [01/Sep/2026:13:21:36 +0000] "GET /identity/v3/domains/Default HTTP/1.1" 404 339 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.20 - - [01/Sep/2026:13:21:36 +0000] "GET /identity/v3/domains?name=Default HTTP/1.1" 200 558 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.20 - - [01/Sep/2026:13:21:36 +0000] "POST /identity/v3/projects HTTP/1.1" 201 554 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.20 - - [01/Sep/2026:13:21:36 +0000] "GET /identity HTTP/1.1" 300 577 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.20 - - [01/Sep/2026:13:21:36 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1296 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.20 - - [01/Sep/2026:13:21:36 +0000] "POST /identity/v3/roles HTTP/1.1" 409 392 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.20 - - [01/Sep/2026:13:21:37 +0000] "GET /identity/v3/roles/service HTTP/1.1" 404 337 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.20 - - [01/Sep/2026:13:21:37 +0000] "GET /identity/v3/roles?name=service HTTP/1.1" 200 593 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.20 - - [01/Sep/2026:13:21:37 +0000] "GET /identity HTTP/1.1" 300 577 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.20 - - [01/Sep/2026:13:21:37 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1296 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.20 - - [01/Sep/2026:13:21:37 +0000] "POST /identity/v3/roles HTTP/1.1" 201 478 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.20 - - [01/Sep/2026:13:21:37 +0000] "GET /identity HTTP/1.1" 300 577 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.20 - - [01/Sep/2026:13:21:37 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1296 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.20 - - [01/Sep/2026:13:21:37 +0000] "POST /identity/v3/roles HTTP/1.1" 201 476 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.20 - - [01/Sep/2026:13:21:37 +0000] "GET /identity HTTP/1.1" 300 577 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.20 - - [01/Sep/2026:13:21:37 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1296 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.20 - - [01/Sep/2026:13:21:37 +0000] "GET /identity/v3/domains/default HTTP/1.1" 200 447 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.20 - - [01/Sep/2026:13:21:37 +0000] "POST /identity/v3/projects HTTP/1.1" 201 565 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.20 - - [01/Sep/2026:13:21:38 +0000] "GET /identity HTTP/1.1" 300 577 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.20 - - [01/Sep/2026:13:21:38 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1296 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.20 - - [01/Sep/2026:13:21:38 +0000] "GET /identity/v3/domains/default HTTP/1.1" 200 447 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.20 - - [01/Sep/2026:13:21:38 +0000] "POST /identity/v3/projects HTTP/1.1" 201 551 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.20 - - [01/Sep/2026:13:21:38 +0000] "GET /identity HTTP/1.1" 300 577 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.20 - - [01/Sep/2026:13:21:38 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1296 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.20 - - [01/Sep/2026:13:21:38 +0000] "GET /identity/v3/domains/default HTTP/1.1" 200 447 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.20 - - [01/Sep/2026:13:21:38 +0000] "POST /identity/v3/users HTTP/1.1" 201 528 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.20 - - [01/Sep/2026:13:21:40 +0000] "GET /identity HTTP/1.1" 300 577 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.20 - - [01/Sep/2026:13:21:40 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1296 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.20 - - [01/Sep/2026:13:21:40 +0000] "GET /identity/v3/roles/member HTTP/1.1" 404 336 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.20 - - [01/Sep/2026:13:21:40 +0000] "GET /identity/v3/roles?name=member HTTP/1.1" 200 591 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
