10.19.119.209 - - [24/Sep/2026:06:24:05 +0000] "GET /identity/v3/ HTTP/1.1" 200 504 "-" "curl/8.5.0"
10.19.119.209 - - [24/Sep/2026:06:24:14 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.209 - - [24/Sep/2026:06:24:14 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1433 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.209 - - [24/Sep/2026:06:24:15 +0000] "GET /identity/v3/projects/admin HTTP/1.1" 404 338 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.209 - - [24/Sep/2026:06:24:16 +0000] "GET /identity/v3/projects?name=admin HTTP/1.1" 200 704 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.209 - - [24/Sep/2026:06:24:16 +0000] "GET /identity/v3/projects/3b0a4ff900824489a84ea476c6450b90 HTTP/1.1" 200 593 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.209 - - [24/Sep/2026:06:24:16 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.209 - - [24/Sep/2026:06:24:16 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1433 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.209 - - [24/Sep/2026:06:24:16 +0000] "GET /identity/v3/users/admin HTTP/1.1" 404 335 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.209 - - [24/Sep/2026:06:24:16 +0000] "GET /identity/v3/users?name=admin HTTP/1.1" 200 604 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.209 - - [24/Sep/2026:06:24:16 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
