Sep 01 11:34:08.029945 np0000000853 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Sep 01 11:34:08.051755 np0000000853 memory_tracker.sh[51348]: [[[
Sep 01 11:34:08.053557 np0000000853 memory_tracker.sh[51363]: Tue Sep  1 11:34:08 UTC 2026
Sep 01 11:34:08.053731 np0000000853 memory_tracker.sh[51348]: ---
Sep 01 11:34:08.142122 np0000000853 memory_tracker.sh[51367]: [iscsid (pid:39525)]=14172KB; [multipathd (pid:279)]=288928KB; [ovs-vswitchd (pid:35129)]=532468KB
Sep 01 11:34:08.154580 np0000000853 memory_tracker.sh[51348]: ]]]
Sep 01 11:34:28.172765 np0000000853 memory_tracker.sh[51348]: [[[
Sep 01 11:34:28.174576 np0000000853 memory_tracker.sh[53086]: Tue Sep  1 11:34:28 UTC 2026
Sep 01 11:34:28.176490 np0000000853 memory_tracker.sh[51348]: ---
Sep 01 11:34:28.176490 np0000000853 memory_tracker.sh[51348]: memory_tracker low_point: 6620224
Sep 01 11:34:28.176490 np0000000853 memory_tracker.sh[51348]: ---
Sep 01 11:34:28.176646 np0000000853 memory_tracker.sh[53088]: MemTotal:        8131780 kB
Sep 01 11:34:28.176646 np0000000853 memory_tracker.sh[53088]: MemFree:          217140 kB
Sep 01 11:34:28.176646 np0000000853 memory_tracker.sh[53088]: MemAvailable:    6611152 kB
Sep 01 11:34:28.176646 np0000000853 memory_tracker.sh[53088]: Buffers:          197832 kB
Sep 01 11:34:28.176646 np0000000853 memory_tracker.sh[53088]: Cached:          6230500 kB
Sep 01 11:34:28.176646 np0000000853 memory_tracker.sh[53088]: SwapCached:            0 kB
Sep 01 11:34:28.176646 np0000000853 memory_tracker.sh[53088]: Active:          1308600 kB
Sep 01 11:34:28.176646 np0000000853 memory_tracker.sh[53088]: Inactive:        5865860 kB
Sep 01 11:34:28.176646 np0000000853 memory_tracker.sh[53088]: Active(anon):     797556 kB
Sep 01 11:34:28.176646 np0000000853 memory_tracker.sh[53088]: Inactive(anon):   125868 kB
Sep 01 11:34:28.176646 np0000000853 memory_tracker.sh[53088]: Active(file):     511044 kB
Sep 01 11:34:28.176646 np0000000853 memory_tracker.sh[53088]: Inactive(file):  5739992 kB
Sep 01 11:34:28.176646 np0000000853 memory_tracker.sh[53088]: Unevictable:      101972 kB
Sep 01 11:34:28.176646 np0000000853 memory_tracker.sh[53088]: Mlocked:          100772 kB
Sep 01 11:34:28.176646 np0000000853 memory_tracker.sh[53088]: SwapTotal:       8388604 kB
Sep 01 11:34:28.176646 np0000000853 memory_tracker.sh[53088]: SwapFree:        8387824 kB
Sep 01 11:34:28.176646 np0000000853 memory_tracker.sh[53088]: Zswap:               368 kB
Sep 01 11:34:28.176646 np0000000853 memory_tracker.sh[53088]: Zswapped:             72 kB
Sep 01 11:34:28.176646 np0000000853 memory_tracker.sh[53088]: Dirty:              7328 kB
Sep 01 11:34:28.176646 np0000000853 memory_tracker.sh[53088]: Writeback:             0 kB
Sep 01 11:34:28.176646 np0000000853 memory_tracker.sh[53088]: AnonPages:        848120 kB
Sep 01 11:34:28.176646 np0000000853 memory_tracker.sh[53088]: Mapped:           188156 kB
Sep 01 11:34:28.176646 np0000000853 memory_tracker.sh[53088]: Shmem:            157432 kB
Sep 01 11:34:28.176646 np0000000853 memory_tracker.sh[53088]: KReclaimable:     448416 kB
Sep 01 11:34:28.176646 np0000000853 memory_tracker.sh[53088]: Slab:             536664 kB
Sep 01 11:34:28.176646 np0000000853 memory_tracker.sh[53088]: SReclaimable:     448416 kB
Sep 01 11:34:28.176646 np0000000853 memory_tracker.sh[53088]: SUnreclaim:        88248 kB
Sep 01 11:34:28.176646 np0000000853 memory_tracker.sh[53088]: KernelStack:        6728 kB
Sep 01 11:34:28.176646 np0000000853 memory_tracker.sh[53088]: PageTables:         9640 kB
Sep 01 11:34:28.176646 np0000000853 memory_tracker.sh[53088]: SecPageTables:         0 kB
Sep 01 11:34:28.176646 np0000000853 memory_tracker.sh[53088]: NFS_Unstable:          0 kB
Sep 01 11:34:28.176646 np0000000853 memory_tracker.sh[53088]: Bounce:                0 kB
Sep 01 11:34:28.176646 np0000000853 memory_tracker.sh[53088]: WritebackTmp:          0 kB
Sep 01 11:34:28.176646 np0000000853 memory_tracker.sh[53088]: CommitLimit:    12454492 kB
Sep 01 11:34:28.176646 np0000000853 memory_tracker.sh[53088]: Committed_AS:    2604616 kB
Sep 01 11:34:28.176646 np0000000853 memory_tracker.sh[53088]: VmallocTotal:   34359738367 kB
Sep 01 11:34:28.176646 np0000000853 memory_tracker.sh[53088]: VmallocUsed:       20992 kB
Sep 01 11:34:28.176646 np0000000853 memory_tracker.sh[53088]: VmallocChunk:          0 kB
Sep 01 11:34:28.176646 np0000000853 memory_tracker.sh[53088]: Percpu:             2528 kB
Sep 01 11:34:28.176646 np0000000853 memory_tracker.sh[53088]: HardwareCorrupted:     0 kB
Sep 01 11:34:28.176646 np0000000853 memory_tracker.sh[53088]: AnonHugePages:         0 kB
Sep 01 11:34:28.176646 np0000000853 memory_tracker.sh[53088]: ShmemHugePages:        0 kB
Sep 01 11:34:28.176646 np0000000853 memory_tracker.sh[53088]: ShmemPmdMapped:        0 kB
Sep 01 11:34:28.176646 np0000000853 memory_tracker.sh[53088]: FileHugePages:         0 kB
Sep 01 11:34:28.176646 np0000000853 memory_tracker.sh[53088]: FilePmdMapped:         0 kB
Sep 01 11:34:28.176646 np0000000853 memory_tracker.sh[53088]: Unaccepted:            0 kB
Sep 01 11:34:28.176646 np0000000853 memory_tracker.sh[53088]: HugePages_Total:       0
Sep 01 11:34:28.176646 np0000000853 memory_tracker.sh[53088]: HugePages_Free:        0
Sep 01 11:34:28.176646 np0000000853 memory_tracker.sh[53088]: HugePages_Rsvd:        0
Sep 01 11:34:28.176646 np0000000853 memory_tracker.sh[53088]: HugePages_Surp:        0
Sep 01 11:34:28.176646 np0000000853 memory_tracker.sh[53088]: Hugepagesize:       2048 kB
Sep 01 11:34:28.176646 np0000000853 memory_tracker.sh[53088]: Hugetlb:               0 kB
Sep 01 11:34:28.176646 np0000000853 memory_tracker.sh[53088]: DirectMap4k:      180084 kB
Sep 01 11:34:28.176646 np0000000853 memory_tracker.sh[53088]: DirectMap2M:     8208384 kB
Sep 01 11:34:28.181024 np0000000853 memory_tracker.sh[51348]: ---
Sep 01 11:34:28.197959 np0000000853 memory_tracker.sh[53091]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Sep 01 11:34:28.197959 np0000000853 memory_tracker.sh[53091]:      50697    4.9          405824          1   00:00:03       39 do_poll.constprop.0       /usr/sbin/mysqld
Sep 01 11:34:28.197959 np0000000853 memory_tracker.sh[53091]:      18345    1.6          134284          1   00:00:06       24 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Sep 01 11:34:28.197959 np0000000853 memory_tracker.sh[53091]:      53069    1.3          113508       1925   00:00:01        1 -                         /opt/stack/data/venv/bin/python3.12 /opt/stack/data/venv/bin/keystone-manage --config-file /etc/keystone/keystone.conf credential_setup
Sep 01 11:34:28.197959 np0000000853 memory_tracker.sh[53091]:      35129    0.9           74616          1   00:00:00        8 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Sep 01 11:34:28.197959 np0000000853 memory_tracker.sh[53091]:      49976    0.9           74064          1   00:00:01        1 skb_wait_for_more_packets /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Sep 01 11:34:28.197959 np0000000853 memory_tracker.sh[53091]:      11558    0.4           39752      11556   00:00:00        4 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 01 11:34:28.198712 np0000000853 memory_tracker.sh[53091]:      52469    0.3           27348          1   00:00:00        8 futex_wait_queue          /opt/stack/bin/etcd --name np0000000853 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000000853=http://10.19.119.107:2380 --initial-advertise-peer-urls http://10.19.119.107:2380 --advertise-client-urls http://10.19.119.107:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://10.19.119.107:2379 --log-level=debug
Sep 01 11:34:28.198712 np0000000853 memory_tracker.sh[53091]:        279    0.3           27292          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Sep 01 11:34:28.198712 np0000000853 memory_tracker.sh[53091]:      48904    0.3           26440          1   00:00:00        1 ep_poll                   /usr/sbin/smbd --foreground --no-process-group
Sep 01 11:34:28.198712 np0000000853 memory_tracker.sh[53091]:      44060    0.3           26316          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Sep 01 11:34:28.198712 np0000000853 memory_tracker.sh[53091]:       1922    0.3           26160       1921   00:00:01        2 do_wait                   /usr/bin/python3
Sep 01 11:34:28.198712 np0000000853 memory_tracker.sh[53091]:       4784    0.2           20892          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Sep 01 11:34:28.198712 np0000000853 memory_tracker.sh[53091]:      17218    0.2           20324          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Sep 01 11:34:28.198712 np0000000853 memory_tracker.sh[53091]:        848    0.2           20140          1   00:00:00        2 inet_csk_accept           /usr/bin/python3
Sep 01 11:34:28.198712 np0000000853 memory_tracker.sh[53091]:        673    0.2           19516          1   00:00:00        1 ep_poll                   /usr/sbin/unbound -d -p
Sep 01 11:34:28.198712 np0000000853 memory_tracker.sh[53091]:      48967    0.2           18556          1   00:00:00        1 ep_poll                   /usr/sbin/nmbd --foreground --no-process-group
Sep 01 11:34:28.198712 np0000000853 memory_tracker.sh[53091]:      53071    0.2           18332      18355   00:00:00        4 -                         /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -boot no_dot_erlang -sname epmd-starter-384700363 -noshell -noinput -s erlang halt
Sep 01 11:34:28.198712 np0000000853 memory_tracker.sh[53091]:      44095    0.1           15580          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Sep 01 11:34:28.199060 np0000000853 memory_tracker.sh[53091]:      37449    0.1           15508          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Sep 01 11:34:28.199060 np0000000853 memory_tracker.sh[53091]:      39525    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Sep 01 11:34:28.199060 np0000000853 memory_tracker.sh[53091]:          1    0.1           14012          0   00:00:20        1 ep_poll                   /sbin/init nofb
Sep 01 11:34:28.199060 np0000000853 memory_tracker.sh[53091]:      11556    0.1           13148          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 01 11:34:28.199060 np0000000853 memory_tracker.sh[53091]:        347    0.1           12960          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Sep 01 11:34:28.199060 np0000000853 memory_tracker.sh[53091]:       4188    0.1           12236       1925   00:00:02        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-09-01-112532
Sep 01 11:34:28.199060 np0000000853 memory_tracker.sh[53091]:       4193    0.1           12052       1925   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-09-01-112532.summary.2026-09-01-112532
Sep 01 11:34:28.199060 np0000000853 memory_tracker.sh[53091]:       1925    0.1           11484       1923   00:00:13        1 do_wait                   bash ./stack.sh
Sep 01 11:34:28.199060 np0000000853 memory_tracker.sh[53091]:        714    0.1           11356          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Sep 01 11:34:28.199060 np0000000853 memory_tracker.sh[53091]:      46525    0.1           10084       1925   00:00:00        1 do_wait                   bash ./stack.sh
Sep 01 11:34:28.199060 np0000000853 memory_tracker.sh[53091]:      52730    0.1            9520          1   00:00:00        1 do_select                 /usr/sbin/apache2 -k start
