Sep 14 13:57:19.844331 np0000001796 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Sep 14 13:57:19.864004 np0000001796 memory_tracker.sh[48320]: [[[
Sep 14 13:57:19.865858 np0000001796 memory_tracker.sh[48335]: Mon Sep 14 13:57:19 UTC 2026
Sep 14 13:57:19.867365 np0000001796 memory_tracker.sh[48320]: ---
Sep 14 13:57:19.943753 np0000001796 memory_tracker.sh[48339]: [iscsid (pid:39264)]=14172KB; [multipathd (pid:275)]=288928KB; [ovs-vswitchd (pid:34882)]=532472KB
Sep 14 13:57:19.954516 np0000001796 memory_tracker.sh[48320]: ]]]
Sep 14 13:57:39.963622 np0000001796 memory_tracker.sh[48320]: [[[
Sep 14 13:57:39.965358 np0000001796 memory_tracker.sh[50667]: Mon Sep 14 13:57:39 UTC 2026
Sep 14 13:57:39.965530 np0000001796 memory_tracker.sh[48320]: ---
Sep 14 13:57:39.965530 np0000001796 memory_tracker.sh[48320]: memory_tracker low_point: 6643120
Sep 14 13:57:39.965530 np0000001796 memory_tracker.sh[48320]: ---
Sep 14 13:57:39.966789 np0000001796 memory_tracker.sh[50673]: MemTotal:        8131788 kB
Sep 14 13:57:39.966789 np0000001796 memory_tracker.sh[50673]: MemFree:          191772 kB
Sep 14 13:57:39.966789 np0000001796 memory_tracker.sh[50673]: MemAvailable:    6641528 kB
Sep 14 13:57:39.966789 np0000001796 memory_tracker.sh[50673]: Buffers:          188772 kB
Sep 14 13:57:39.966789 np0000001796 memory_tracker.sh[50673]: Cached:          6307892 kB
Sep 14 13:57:39.966789 np0000001796 memory_tracker.sh[50673]: SwapCached:            0 kB
Sep 14 13:57:39.966789 np0000001796 memory_tracker.sh[50673]: Active:          1128020 kB
Sep 14 13:57:39.966789 np0000001796 memory_tracker.sh[50673]: Inactive:        6004688 kB
Sep 14 13:57:39.966789 np0000001796 memory_tracker.sh[50673]: Active(anon):     684780 kB
Sep 14 13:57:39.966789 np0000001796 memory_tracker.sh[50673]: Inactive(anon):   125848 kB
Sep 14 13:57:39.966789 np0000001796 memory_tracker.sh[50673]: Active(file):     443240 kB
Sep 14 13:57:39.966789 np0000001796 memory_tracker.sh[50673]: Inactive(file):  5878840 kB
Sep 14 13:57:39.966789 np0000001796 memory_tracker.sh[50673]: Unevictable:      101976 kB
Sep 14 13:57:39.966789 np0000001796 memory_tracker.sh[50673]: Mlocked:          100776 kB
Sep 14 13:57:39.966789 np0000001796 memory_tracker.sh[50673]: SwapTotal:       8388604 kB
Sep 14 13:57:39.966789 np0000001796 memory_tracker.sh[50673]: SwapFree:        8388080 kB
Sep 14 13:57:39.966789 np0000001796 memory_tracker.sh[50673]: Zswap:               304 kB
Sep 14 13:57:39.966789 np0000001796 memory_tracker.sh[50673]: Zswapped:             64 kB
Sep 14 13:57:39.966789 np0000001796 memory_tracker.sh[50673]: Dirty:            123096 kB
Sep 14 13:57:39.966789 np0000001796 memory_tracker.sh[50673]: Writeback:             0 kB
Sep 14 13:57:39.966789 np0000001796 memory_tracker.sh[50673]: AnonPages:        737888 kB
Sep 14 13:57:39.966789 np0000001796 memory_tracker.sh[50673]: Mapped:           169952 kB
Sep 14 13:57:39.966789 np0000001796 memory_tracker.sh[50673]: Shmem:            154720 kB
Sep 14 13:57:39.966789 np0000001796 memory_tracker.sh[50673]: KReclaimable:     433316 kB
Sep 14 13:57:39.966789 np0000001796 memory_tracker.sh[50673]: Slab:             517136 kB
Sep 14 13:57:39.966789 np0000001796 memory_tracker.sh[50673]: SReclaimable:     433316 kB
Sep 14 13:57:39.966789 np0000001796 memory_tracker.sh[50673]: SUnreclaim:        83820 kB
Sep 14 13:57:39.966789 np0000001796 memory_tracker.sh[50673]: KernelStack:        6396 kB
Sep 14 13:57:39.966789 np0000001796 memory_tracker.sh[50673]: PageTables:         8536 kB
Sep 14 13:57:39.966789 np0000001796 memory_tracker.sh[50673]: SecPageTables:         0 kB
Sep 14 13:57:39.966789 np0000001796 memory_tracker.sh[50673]: NFS_Unstable:          0 kB
Sep 14 13:57:39.966789 np0000001796 memory_tracker.sh[50673]: Bounce:                0 kB
Sep 14 13:57:39.966789 np0000001796 memory_tracker.sh[50673]: WritebackTmp:          0 kB
Sep 14 13:57:39.966789 np0000001796 memory_tracker.sh[50673]: CommitLimit:    12454496 kB
Sep 14 13:57:39.966789 np0000001796 memory_tracker.sh[50673]: Committed_AS:    2427220 kB
Sep 14 13:57:39.966789 np0000001796 memory_tracker.sh[50673]: VmallocTotal:   34359738367 kB
Sep 14 13:57:39.966789 np0000001796 memory_tracker.sh[50673]: VmallocUsed:       18980 kB
Sep 14 13:57:39.966789 np0000001796 memory_tracker.sh[50673]: VmallocChunk:          0 kB
Sep 14 13:57:39.966789 np0000001796 memory_tracker.sh[50673]: Percpu:             2448 kB
Sep 14 13:57:39.966789 np0000001796 memory_tracker.sh[50673]: HardwareCorrupted:     0 kB
Sep 14 13:57:39.966789 np0000001796 memory_tracker.sh[50673]: AnonHugePages:         0 kB
Sep 14 13:57:39.966789 np0000001796 memory_tracker.sh[50673]: ShmemHugePages:        0 kB
Sep 14 13:57:39.966789 np0000001796 memory_tracker.sh[50673]: ShmemPmdMapped:        0 kB
Sep 14 13:57:39.966789 np0000001796 memory_tracker.sh[50673]: FileHugePages:         0 kB
Sep 14 13:57:39.966789 np0000001796 memory_tracker.sh[50673]: FilePmdMapped:         0 kB
Sep 14 13:57:39.966789 np0000001796 memory_tracker.sh[50673]: Unaccepted:            0 kB
Sep 14 13:57:39.966789 np0000001796 memory_tracker.sh[50673]: HugePages_Total:       0
Sep 14 13:57:39.966789 np0000001796 memory_tracker.sh[50673]: HugePages_Free:        0
Sep 14 13:57:39.966789 np0000001796 memory_tracker.sh[50673]: HugePages_Rsvd:        0
Sep 14 13:57:39.966789 np0000001796 memory_tracker.sh[50673]: HugePages_Surp:        0
Sep 14 13:57:39.966789 np0000001796 memory_tracker.sh[50673]: Hugepagesize:       2048 kB
Sep 14 13:57:39.966789 np0000001796 memory_tracker.sh[50673]: Hugetlb:               0 kB
Sep 14 13:57:39.966789 np0000001796 memory_tracker.sh[50673]: DirectMap4k:      167796 kB
Sep 14 13:57:39.966789 np0000001796 memory_tracker.sh[50673]: DirectMap2M:     8220672 kB
Sep 14 13:57:39.970409 np0000001796 memory_tracker.sh[48320]: ---
Sep 14 13:57:39.986007 np0000001796 memory_tracker.sh[50677]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Sep 14 13:57:39.986007 np0000001796 memory_tracker.sh[50677]:      47679    4.9          405268          1   00:00:03       39 do_poll.constprop.0       /usr/sbin/mysqld
Sep 14 13:57:39.986007 np0000001796 memory_tracker.sh[50677]:      17689    1.6          130452          1   00:00:05       24 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Sep 14 13:57:39.986007 np0000001796 memory_tracker.sh[50677]:      34882    0.9           74620          1   00:00:00        8 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Sep 14 13:57:39.986007 np0000001796 memory_tracker.sh[50677]:      46925    0.9           73984          1   00:00:01        1 skb_wait_for_more_packets /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Sep 14 13:57:39.986007 np0000001796 memory_tracker.sh[50677]:      11101    0.4           39740      11099   00:00:00        4 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 14 13:57:39.986007 np0000001796 memory_tracker.sh[50677]:      49462    0.3           27356          1   00:00:00        9 futex_wait_queue          /opt/stack/bin/etcd --name np0000001796 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000001796=http://10.19.119.102:2380 --initial-advertise-peer-urls http://10.19.119.102:2380 --advertise-client-urls http://10.19.119.102:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://10.19.119.102:2379 --log-level=debug
Sep 14 13:57:39.986574 np0000001796 memory_tracker.sh[50677]:        275    0.3           27292          1   00:00:02        7 futex_wait_queue          /sbin/multipathd -d -s
Sep 14 13:57:39.986574 np0000001796 memory_tracker.sh[50677]:      43595    0.3           26292          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Sep 14 13:57:39.986574 np0000001796 memory_tracker.sh[50677]:       2215    0.3           26208       2214   00:00:01        2 do_wait                   /usr/bin/python3
Sep 14 13:57:39.986574 np0000001796 memory_tracker.sh[50677]:       4981    0.2           20888          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Sep 14 13:57:39.986574 np0000001796 memory_tracker.sh[50677]:      16647    0.2           20280          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Sep 14 13:57:39.986574 np0000001796 memory_tracker.sh[50677]:       1085    0.2           20164          1   00:00:00        2 inet_csk_accept           /usr/bin/python3
Sep 14 13:57:39.986574 np0000001796 memory_tracker.sh[50677]:        860    0.2           19424          1   00:00:00        1 ep_poll                   /usr/sbin/unbound -d -p
Sep 14 13:57:39.986574 np0000001796 memory_tracker.sh[50677]:      37230    0.1           15476          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Sep 14 13:57:39.986574 np0000001796 memory_tracker.sh[50677]:      43632    0.1           15440          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Sep 14 13:57:39.986574 np0000001796 memory_tracker.sh[50677]:      39264    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Sep 14 13:57:39.986574 np0000001796 memory_tracker.sh[50677]:          1    0.1           13864          0   00:00:16        1 do_wait                   /sbin/init nofb
Sep 14 13:57:39.986574 np0000001796 memory_tracker.sh[50677]:      11099    0.1           13204          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 14 13:57:39.986574 np0000001796 memory_tracker.sh[50677]:        331    0.1           12968          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Sep 14 13:57:39.986574 np0000001796 memory_tracker.sh[50677]:       4385    0.1           12204       2218   00:00:02        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-09-14-135032
Sep 14 13:57:39.986574 np0000001796 memory_tracker.sh[50677]:       4390    0.1           12144       2218   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-09-14-135032.summary.2026-09-14-135032
Sep 14 13:57:39.987005 np0000001796 memory_tracker.sh[50677]:        945    0.1           11320          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Sep 14 13:57:39.987005 np0000001796 memory_tracker.sh[50677]:       2218    0.1           10716       2216   00:00:11        1 do_wait                   bash ./stack.sh
Sep 14 13:57:39.987005 np0000001796 memory_tracker.sh[50677]:      49751    0.1            9564          1   00:00:00        1 do_select                 /usr/sbin/apache2 -k start
Sep 14 13:57:39.987005 np0000001796 memory_tracker.sh[50677]:      46094    0.1            9348       2218   00:00:00        1 do_wait                   bash ./stack.sh
Sep 14 13:57:39.987005 np0000001796 memory_tracker.sh[50677]:        445    0.1            9020          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-logind
Sep 14 13:57:39.987005 np0000001796 memory_tracker.sh[50677]:      35362    0.1            8844          1   00:00:00        1 do_poll.constprop.0       ovsdb-server -vconsole:off -vfile:info --log-file=/var/log/ovn/ovsdb-server-sb.log --remote=punix:/var/run/ovn/ovnsb_db.sock --pidfile=/var/run/ovn/ovnsb_db.pid --unixctl=/var/run/ovn/ovnsb_db.ctl --remote=db:OVN_Southbound,SB_Global,connections --private-key=db:OVN_Southbound,SSL,private_key --certificate=db:OVN_Southbound,SSL,certificate --ca-cert=db:OVN_Southbound,SSL,ca_cert --ssl-protocols=db:OVN_Southbound,SSL,ssl_protocols --ssl-ciphers=db:OVN_Southbound,SSL,ssl_ciphers /var/lib/ovn/ovnsb_db.db
Sep 14 13:57:39.987005 np0000001796 memory_tracker.sh[50677]:      35434    0.1            8760          1   00:00:00        1 do_poll.constprop.0       ovsdb-server -vconsole:off -vfile:info --log-file=/var/log/ovn/ovsdb-server-nb.log --remote=punix:/var/run/ovn/ovnnb_db.sock --pidfile=/var/run/ovn/ovnnb_db.pid --unixctl=/var/run/ovn/ovnnb_db.ctl --remote=db:OVN_Northbound,NB_Global,connections --private-key=db:OVN_Northbound,SSL,private_key --certificate=db:OVN_Northbound,SSL,certificate --ca-cert=db:OVN_Northbound,SSL,ca_cert --ssl-protocols=db:OVN_Northbound,SSL,ssl_protocols --ssl-ciphers=db:OVN_Northbound,SSL,ssl_ciphers /var/lib/ovn/ovnnb_db.db
Sep 14 13:57:39.987217 np0000001796 memory_tracker.sh[50677]:      35213    0.1            8236          1   00:00:00        5 do_poll.constprop.0       ovn-controller unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --no-chdir --log-file=/var/log/ovn/ovn-controller.log --pidfile=/var/run/ovn/ovn-controller.pid --detach
