10.19.119.69 - - [01/Sep/2026:11:40:29 +0000] "GET /identity/v3/ HTTP/1.1" 200 503 "-" "curl/8.5.0"
10.19.119.69 - - [01/Sep/2026:11:40:37 +0000] "GET /identity HTTP/1.1" 300 577 "-" "openstacksdk/4.7.2 keystoneauth1/5.12.0 python-requests/2.32.4 CPython/3.12.3"
10.19.119.69 - - [01/Sep/2026:11:40:37 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1432 "-" "openstacksdk/4.7.2 keystoneauth1/5.12.0 python-requests/2.32.4 CPython/3.12.3"
10.19.119.69 - - [01/Sep/2026:11:40:37 +0000] "GET /identity/v3/auth/tokens HTTP/1.1" 200 1427 "-" "python-keystoneclient"
10.19.119.69 - - [01/Sep/2026:11:40:38 +0000] "GET /identity/v3/projects/51ca190ae59b44368ea215aeb89d7490 HTTP/1.1" 200 592 "-" "python-keystoneclient"
10.19.119.69 - - [01/Sep/2026:11:40:38 +0000] "GET /identity HTTP/1.1" 300 577 "-" "openstacksdk/4.7.2 keystoneauth1/5.12.0 python-requests/2.32.4 CPython/3.12.3"
10.19.119.69 - - [01/Sep/2026:11:40:38 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1432 "-" "openstacksdk/4.7.2 keystoneauth1/5.12.0 python-requests/2.32.4 CPython/3.12.3"
10.19.119.69 - - [01/Sep/2026:11:40:38 +0000] "GET /identity/v3/users/admin HTTP/1.1" 404 335 "-" "openstacksdk/4.7.2 keystoneauth1/5.12.0 python-requests/2.32.4 CPython/3.12.3"
10.19.119.69 - - [01/Sep/2026:11:40:38 +0000] "GET /identity/v3/users?name=admin HTTP/1.1" 200 602 "-" "openstacksdk/4.7.2 keystoneauth1/5.12.0 python-requests/2.32.4 CPython/3.12.3"
10.19.119.69 - - [01/Sep/2026:11:40:38 +0000] "GET /identity HTTP/1.1" 300 577 "-" "openstacksdk/4.7.2 keystoneauth1/5.12.0 python-requests/2.32.4 CPython/3.12.3"
10.19.119.69 - - [01/Sep/2026:11:40:38 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1296 "-" "openstacksdk/4.7.2 keystoneauth1/5.12.0 python-requests/2.32.4 CPython/3.12.3"
10.19.119.69 - - [01/Sep/2026:11:40:39 +0000] "GET /identity/v3/roles/admin HTTP/1.1" 404 335 "-" "openstacksdk/4.7.2 keystoneauth1/5.12.0 python-requests/2.32.4 CPython/3.12.3"
10.19.119.69 - - [01/Sep/2026:11:40:39 +0000] "GET /identity/v3/roles?name=admin HTTP/1.1" 200 589 "-" "openstacksdk/4.7.2 keystoneauth1/5.12.0 python-requests/2.32.4 CPython/3.12.3"
10.19.119.69 - - [01/Sep/2026:11:40:39 +0000] "GET /identity/v3/users/36c5d7cc604b44c98993fe56d2618cd7 HTTP/1.1" 200 495 "-" "openstacksdk/4.7.2 keystoneauth1/5.12.0 python-requests/2.32.4 CPython/3.12.3"
10.19.119.69 - - [01/Sep/2026:11:40:39 +0000] "GET /identity/v3/domains/default HTTP/1.1" 200 447 "-" "openstacksdk/4.7.2 keystoneauth1/5.12.0 python-requests/2.32.4 CPython/3.12.3"
10.19.119.69 - - [01/Sep/2026:11:40:39 +0000] "PUT /identity/v3/domains/default/users/36c5d7cc604b44c98993fe56d2618cd7/roles/7c67fd9d935a44cb840fcecf50937280 HTTP/1.1" 204 201 "-" "openstacksdk/4.7.2 keystoneauth1/5.12.0 python-requests/2.32.4 CPython/3.12.3"
