Sep 01 17:56:27.313527 np0000000869 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Sep 01 17:56:27.331958 np0000000869 memory_tracker.sh[48559]: [[[
Sep 01 17:56:27.333028 np0000000869 memory_tracker.sh[48576]: Tue Sep  1 17:56:27 UTC 2026
Sep 01 17:56:27.333287 np0000000869 memory_tracker.sh[48559]: ---
Sep 01 17:56:27.409773 np0000000869 memory_tracker.sh[48580]: [iscsid (pid:39528)]=14172KB; [multipathd (pid:281)]=288928KB; [ovs-vswitchd (pid:35076)]=532476KB
Sep 01 17:56:27.420526 np0000000869 memory_tracker.sh[48559]: ]]]
Sep 01 17:56:47.436496 np0000000869 memory_tracker.sh[48559]: [[[
Sep 01 17:56:47.438593 np0000000869 memory_tracker.sh[50920]: Tue Sep  1 17:56:47 UTC 2026
Sep 01 17:56:47.439029 np0000000869 memory_tracker.sh[48559]: ---
Sep 01 17:56:47.439120 np0000000869 memory_tracker.sh[48559]: memory_tracker low_point: 6613740
Sep 01 17:56:47.439170 np0000000869 memory_tracker.sh[48559]: ---
Sep 01 17:56:47.442616 np0000000869 memory_tracker.sh[50921]: MemTotal:        8131788 kB
Sep 01 17:56:47.442616 np0000000869 memory_tracker.sh[50921]: MemFree:          210796 kB
Sep 01 17:56:47.442616 np0000000869 memory_tracker.sh[50921]: MemAvailable:    6613488 kB
Sep 01 17:56:47.442616 np0000000869 memory_tracker.sh[50921]: Buffers:          186448 kB
Sep 01 17:56:47.442616 np0000000869 memory_tracker.sh[50921]: Cached:          6264680 kB
Sep 01 17:56:47.442616 np0000000869 memory_tracker.sh[50921]: SwapCached:            0 kB
Sep 01 17:56:47.442616 np0000000869 memory_tracker.sh[50921]: Active:          1176184 kB
Sep 01 17:56:47.442616 np0000000869 memory_tracker.sh[50921]: Inactive:        5912628 kB
Sep 01 17:56:47.442616 np0000000869 memory_tracker.sh[50921]: Active(anon):     686380 kB
Sep 01 17:56:47.442616 np0000000869 memory_tracker.sh[50921]: Inactive(anon):   125884 kB
Sep 01 17:56:47.442616 np0000000869 memory_tracker.sh[50921]: Active(file):     489804 kB
Sep 01 17:56:47.442616 np0000000869 memory_tracker.sh[50921]: Inactive(file):  5786744 kB
Sep 01 17:56:47.442616 np0000000869 memory_tracker.sh[50921]: Unevictable:      101980 kB
Sep 01 17:56:47.442616 np0000000869 memory_tracker.sh[50921]: Mlocked:          100780 kB
Sep 01 17:56:47.442616 np0000000869 memory_tracker.sh[50921]: SwapTotal:       8388604 kB
Sep 01 17:56:47.442616 np0000000869 memory_tracker.sh[50921]: SwapFree:        8388336 kB
Sep 01 17:56:47.442616 np0000000869 memory_tracker.sh[50921]: Zswap:               316 kB
Sep 01 17:56:47.442616 np0000000869 memory_tracker.sh[50921]: Zswapped:             72 kB
Sep 01 17:56:47.442616 np0000000869 memory_tracker.sh[50921]: Dirty:              3976 kB
Sep 01 17:56:47.442616 np0000000869 memory_tracker.sh[50921]: Writeback:             0 kB
Sep 01 17:56:47.442616 np0000000869 memory_tracker.sh[50921]: AnonPages:        739708 kB
Sep 01 17:56:47.442616 np0000000869 memory_tracker.sh[50921]: Mapped:           170152 kB
Sep 01 17:56:47.442616 np0000000869 memory_tracker.sh[50921]: Shmem:            154716 kB
Sep 01 17:56:47.442616 np0000000869 memory_tracker.sh[50921]: KReclaimable:     431784 kB
Sep 01 17:56:47.442616 np0000000869 memory_tracker.sh[50921]: Slab:             516532 kB
Sep 01 17:56:47.442616 np0000000869 memory_tracker.sh[50921]: SReclaimable:     431784 kB
Sep 01 17:56:47.442616 np0000000869 memory_tracker.sh[50921]: SUnreclaim:        84748 kB
Sep 01 17:56:47.442616 np0000000869 memory_tracker.sh[50921]: KernelStack:        6456 kB
Sep 01 17:56:47.442616 np0000000869 memory_tracker.sh[50921]: PageTables:         8768 kB
Sep 01 17:56:47.442616 np0000000869 memory_tracker.sh[50921]: SecPageTables:         0 kB
Sep 01 17:56:47.442616 np0000000869 memory_tracker.sh[50921]: NFS_Unstable:          0 kB
Sep 01 17:56:47.442616 np0000000869 memory_tracker.sh[50921]: Bounce:                0 kB
Sep 01 17:56:47.442616 np0000000869 memory_tracker.sh[50921]: WritebackTmp:          0 kB
Sep 01 17:56:47.442616 np0000000869 memory_tracker.sh[50921]: CommitLimit:    12454496 kB
Sep 01 17:56:47.442616 np0000000869 memory_tracker.sh[50921]: Committed_AS:    2424440 kB
Sep 01 17:56:47.442616 np0000000869 memory_tracker.sh[50921]: VmallocTotal:   34359738367 kB
Sep 01 17:56:47.442616 np0000000869 memory_tracker.sh[50921]: VmallocUsed:       19228 kB
Sep 01 17:56:47.442616 np0000000869 memory_tracker.sh[50921]: VmallocChunk:          0 kB
Sep 01 17:56:47.442616 np0000000869 memory_tracker.sh[50921]: Percpu:             2448 kB
Sep 01 17:56:47.442616 np0000000869 memory_tracker.sh[50921]: HardwareCorrupted:     0 kB
Sep 01 17:56:47.442616 np0000000869 memory_tracker.sh[50921]: AnonHugePages:         0 kB
Sep 01 17:56:47.442616 np0000000869 memory_tracker.sh[50921]: ShmemHugePages:        0 kB
Sep 01 17:56:47.442616 np0000000869 memory_tracker.sh[50921]: ShmemPmdMapped:        0 kB
Sep 01 17:56:47.442616 np0000000869 memory_tracker.sh[50921]: FileHugePages:         0 kB
Sep 01 17:56:47.442616 np0000000869 memory_tracker.sh[50921]: FilePmdMapped:         0 kB
Sep 01 17:56:47.442616 np0000000869 memory_tracker.sh[50921]: Unaccepted:            0 kB
Sep 01 17:56:47.442616 np0000000869 memory_tracker.sh[50921]: HugePages_Total:       0
Sep 01 17:56:47.442616 np0000000869 memory_tracker.sh[50921]: HugePages_Free:        0
Sep 01 17:56:47.442616 np0000000869 memory_tracker.sh[50921]: HugePages_Rsvd:        0
Sep 01 17:56:47.442616 np0000000869 memory_tracker.sh[50921]: HugePages_Surp:        0
Sep 01 17:56:47.442616 np0000000869 memory_tracker.sh[50921]: Hugepagesize:       2048 kB
Sep 01 17:56:47.442616 np0000000869 memory_tracker.sh[50921]: Hugetlb:               0 kB
Sep 01 17:56:47.442616 np0000000869 memory_tracker.sh[50921]: DirectMap4k:      167796 kB
Sep 01 17:56:47.442616 np0000000869 memory_tracker.sh[50921]: DirectMap2M:     8220672 kB
Sep 01 17:56:47.444003 np0000000869 memory_tracker.sh[48559]: ---
Sep 01 17:56:47.469331 np0000000869 memory_tracker.sh[50923]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Sep 01 17:56:47.469331 np0000000869 memory_tracker.sh[50923]:      47916    4.9          405740          1   00:00:03       39 do_poll.constprop.0       /usr/sbin/mysqld
Sep 01 17:56:47.469331 np0000000869 memory_tracker.sh[50923]:      17869    1.5          129808          1   00:00:06       24 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Sep 01 17:56:47.469331 np0000000869 memory_tracker.sh[50923]:      35076    0.9           74624          1   00:00:00        8 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Sep 01 17:56:47.469331 np0000000869 memory_tracker.sh[50923]:      47157    0.9           73912          1   00:00:01        1 skb_wait_for_more_packets /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Sep 01 17:56:47.469331 np0000000869 memory_tracker.sh[50923]:      11265    0.4           39788      11263   00:00:00        4 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 01 17:56:47.469331 np0000000869 memory_tracker.sh[50923]:      49715    0.3           27460          1   00:00:00        9 futex_wait_queue          /opt/stack/bin/etcd --name np0000000869 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000000869=http://10.19.119.224:2380 --initial-advertise-peer-urls http://10.19.119.224:2380 --advertise-client-urls http://10.19.119.224:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://10.19.119.224:2379 --log-level=debug
Sep 01 17:56:47.469857 np0000000869 memory_tracker.sh[50923]:        281    0.3           27292          1   00:00:02        7 futex_wait_queue          /sbin/multipathd -d -s
Sep 01 17:56:47.469857 np0000000869 memory_tracker.sh[50923]:      43860    0.3           26208          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Sep 01 17:56:47.469857 np0000000869 memory_tracker.sh[50923]:       2656    0.3           26092       2655   00:00:01        2 do_wait                   /usr/bin/python3
Sep 01 17:56:47.469857 np0000000869 memory_tracker.sh[50923]:       2522    0.2           20860          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Sep 01 17:56:47.469857 np0000000869 memory_tracker.sh[50923]:      16824    0.2           20340          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Sep 01 17:56:47.469857 np0000000869 memory_tracker.sh[50923]:       1188    0.2           20164          1   00:00:00        2 inet_csk_accept           /usr/bin/python3
Sep 01 17:56:47.469857 np0000000869 memory_tracker.sh[50923]:        961    0.2           19388          1   00:00:00        1 ep_poll                   /usr/sbin/unbound -d -p
Sep 01 17:56:47.469857 np0000000869 memory_tracker.sh[50923]:      43896    0.1           15556          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Sep 01 17:56:47.469857 np0000000869 memory_tracker.sh[50923]:      37456    0.1           15484          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Sep 01 17:56:47.469857 np0000000869 memory_tracker.sh[50923]:      39528    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Sep 01 17:56:47.469857 np0000000869 memory_tracker.sh[50923]:          1    0.1           13904          0   00:00:16        1 -                         /sbin/init nofb
Sep 01 17:56:47.469857 np0000000869 memory_tracker.sh[50923]:      11263    0.1           13248          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 01 17:56:47.469857 np0000000869 memory_tracker.sh[50923]:        352    0.1           12944          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Sep 01 17:56:47.469857 np0000000869 memory_tracker.sh[50923]:       4823    0.1           12156       2659   00:00:02        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-09-01-174913
Sep 01 17:56:47.469857 np0000000869 memory_tracker.sh[50923]:       4828    0.1           12060       2659   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-09-01-174913.summary.2026-09-01-174913
Sep 01 17:56:47.470180 np0000000869 memory_tracker.sh[50923]:       1046    0.1           11360          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Sep 01 17:56:47.470180 np0000000869 memory_tracker.sh[50923]:       2659    0.1           10772       2657   00:00:11        1 do_wait                   bash ./stack.sh
Sep 01 17:56:47.470180 np0000000869 memory_tracker.sh[50923]:      50015    0.1            9628          1   00:00:00        1 do_select                 /usr/sbin/apache2 -k start
Sep 01 17:56:47.470180 np0000000869 memory_tracker.sh[50923]:      46325    0.1            9404       2659   00:00:00        1 do_wait                   bash ./stack.sh
Sep 01 17:56:47.470180 np0000000869 memory_tracker.sh[50923]:        449    0.1            9092          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-logind
Sep 01 17:56:47.470180 np0000000869 memory_tracker.sh[50923]:      35567    0.1            8860          1   00:00:00        1 do_poll.constprop.0       ovsdb-server -vconsole:off -vfile:info --log-file=/var/log/ovn/ovsdb-server-sb.log --remote=punix:/var/run/ovn/ovnsb_db.sock --pidfile=/var/run/ovn/ovnsb_db.pid --unixctl=/var/run/ovn/ovnsb_db.ctl --remote=db:OVN_Southbound,SB_Global,connections --private-key=db:OVN_Southbound,SSL,private_key --certificate=db:OVN_Southbound,SSL,certificate --ca-cert=db:OVN_Southbound,SSL,ca_cert --ssl-protocols=db:OVN_Southbound,SSL,ssl_protocols --ssl-ciphers=db:OVN_Southbound,SSL,ssl_ciphers /var/lib/ovn/ovnsb_db.db
