Aug 25 12:04:44.462046 np0000000810 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Aug 25 12:04:44.482538 np0000000810 memory_tracker.sh[54874]: [[[
Aug 25 12:04:44.485618 np0000000810 memory_tracker.sh[54887]: Tue Aug 25 12:04:44 UTC 2026
Aug 25 12:04:44.486211 np0000000810 memory_tracker.sh[54874]: ---
Aug 25 12:04:44.570070 np0000000810 memory_tracker.sh[54892]: [iscsid (pid:45533)]=14172KB; [multipathd (pid:1590)]=425064KB; [ovs-vswitchd (pid:40716)]=901124KB
Aug 25 12:04:44.577345 np0000000810 memory_tracker.sh[54874]: ]]]
Aug 25 12:05:04.592267 np0000000810 memory_tracker.sh[54874]: [[[
Aug 25 12:05:04.593645 np0000000810 memory_tracker.sh[57327]: Tue Aug 25 12:05:04 UTC 2026
Aug 25 12:05:04.593973 np0000000810 memory_tracker.sh[54874]: ---
Aug 25 12:05:04.593973 np0000000810 memory_tracker.sh[54874]: memory_tracker low_point: 14654720
Aug 25 12:05:04.593973 np0000000810 memory_tracker.sh[54874]: ---
Aug 25 12:05:04.594838 np0000000810 memory_tracker.sh[57328]: MemTotal:       16375588 kB
Aug 25 12:05:04.594838 np0000000810 memory_tracker.sh[57328]: MemFree:          363336 kB
Aug 25 12:05:04.594838 np0000000810 memory_tracker.sh[57328]: MemAvailable:   14657668 kB
Aug 25 12:05:04.594838 np0000000810 memory_tracker.sh[57328]: Buffers:          290424 kB
Aug 25 12:05:04.594838 np0000000810 memory_tracker.sh[57328]: Cached:         13859188 kB
Aug 25 12:05:04.594838 np0000000810 memory_tracker.sh[57328]: SwapCached:            0 kB
Aug 25 12:05:04.594838 np0000000810 memory_tracker.sh[57328]: Active:          1140516 kB
Aug 25 12:05:04.594838 np0000000810 memory_tracker.sh[57328]: Inactive:       13657672 kB
Aug 25 12:05:04.594838 np0000000810 memory_tracker.sh[57328]: Active(anon):     823788 kB
Aug 25 12:05:04.594838 np0000000810 memory_tracker.sh[57328]: Inactive(anon):      128 kB
Aug 25 12:05:04.594838 np0000000810 memory_tracker.sh[57328]: Active(file):     316728 kB
Aug 25 12:05:04.594838 np0000000810 memory_tracker.sh[57328]: Inactive(file): 13657544 kB
Aug 25 12:05:04.594838 np0000000810 memory_tracker.sh[57328]: Unevictable:      153680 kB
Aug 25 12:05:04.594838 np0000000810 memory_tracker.sh[57328]: Mlocked:          152480 kB
Aug 25 12:05:04.594838 np0000000810 memory_tracker.sh[57328]: SwapTotal:       8388604 kB
Aug 25 12:05:04.594838 np0000000810 memory_tracker.sh[57328]: SwapFree:        8388604 kB
Aug 25 12:05:04.594838 np0000000810 memory_tracker.sh[57328]: Zswap:                 0 kB
Aug 25 12:05:04.594838 np0000000810 memory_tracker.sh[57328]: Zswapped:              0 kB
Aug 25 12:05:04.594838 np0000000810 memory_tracker.sh[57328]: Dirty:            103252 kB
Aug 25 12:05:04.594838 np0000000810 memory_tracker.sh[57328]: Writeback:             0 kB
Aug 25 12:05:04.594838 np0000000810 memory_tracker.sh[57328]: AnonPages:        802024 kB
Aug 25 12:05:04.594838 np0000000810 memory_tracker.sh[57328]: Mapped:           170752 kB
Aug 25 12:05:04.594838 np0000000810 memory_tracker.sh[57328]: Shmem:            155472 kB
Aug 25 12:05:04.594838 np0000000810 memory_tracker.sh[57328]: KReclaimable:     657808 kB
Aug 25 12:05:04.594838 np0000000810 memory_tracker.sh[57328]: Slab:             813380 kB
Aug 25 12:05:04.594838 np0000000810 memory_tracker.sh[57328]: SReclaimable:     657808 kB
Aug 25 12:05:04.594838 np0000000810 memory_tracker.sh[57328]: SUnreclaim:       155572 kB
Aug 25 12:05:04.594838 np0000000810 memory_tracker.sh[57328]: KernelStack:        8672 kB
Aug 25 12:05:04.594838 np0000000810 memory_tracker.sh[57328]: PageTables:         9292 kB
Aug 25 12:05:04.594838 np0000000810 memory_tracker.sh[57328]: SecPageTables:         0 kB
Aug 25 12:05:04.594838 np0000000810 memory_tracker.sh[57328]: NFS_Unstable:          0 kB
Aug 25 12:05:04.594838 np0000000810 memory_tracker.sh[57328]: Bounce:                0 kB
Aug 25 12:05:04.594838 np0000000810 memory_tracker.sh[57328]: WritebackTmp:          0 kB
Aug 25 12:05:04.594838 np0000000810 memory_tracker.sh[57328]: CommitLimit:    16576396 kB
Aug 25 12:05:04.594838 np0000000810 memory_tracker.sh[57328]: Committed_AS:    2545644 kB
Aug 25 12:05:04.594838 np0000000810 memory_tracker.sh[57328]: VmallocTotal:   34359738367 kB
Aug 25 12:05:04.594838 np0000000810 memory_tracker.sh[57328]: VmallocUsed:       31584 kB
Aug 25 12:05:04.594838 np0000000810 memory_tracker.sh[57328]: VmallocChunk:          0 kB
Aug 25 12:05:04.594838 np0000000810 memory_tracker.sh[57328]: Percpu:             6208 kB
Aug 25 12:05:04.594838 np0000000810 memory_tracker.sh[57328]: HardwareCorrupted:     0 kB
Aug 25 12:05:04.594838 np0000000810 memory_tracker.sh[57328]: AnonHugePages:         0 kB
Aug 25 12:05:04.594838 np0000000810 memory_tracker.sh[57328]: ShmemHugePages:        0 kB
Aug 25 12:05:04.594838 np0000000810 memory_tracker.sh[57328]: ShmemPmdMapped:        0 kB
Aug 25 12:05:04.594838 np0000000810 memory_tracker.sh[57328]: FileHugePages:         0 kB
Aug 25 12:05:04.594838 np0000000810 memory_tracker.sh[57328]: FilePmdMapped:         0 kB
Aug 25 12:05:04.594838 np0000000810 memory_tracker.sh[57328]: Unaccepted:            0 kB
Aug 25 12:05:04.594838 np0000000810 memory_tracker.sh[57328]: HugePages_Total:       0
Aug 25 12:05:04.594838 np0000000810 memory_tracker.sh[57328]: HugePages_Free:        0
Aug 25 12:05:04.594838 np0000000810 memory_tracker.sh[57328]: HugePages_Rsvd:        0
Aug 25 12:05:04.594838 np0000000810 memory_tracker.sh[57328]: HugePages_Surp:        0
Aug 25 12:05:04.594838 np0000000810 memory_tracker.sh[57328]: Hugepagesize:       2048 kB
Aug 25 12:05:04.594838 np0000000810 memory_tracker.sh[57328]: Hugetlb:               0 kB
Aug 25 12:05:04.594838 np0000000810 memory_tracker.sh[57328]: DirectMap4k:      362356 kB
Aug 25 12:05:04.594838 np0000000810 memory_tracker.sh[57328]: DirectMap2M:    16414720 kB
Aug 25 12:05:04.596663 np0000000810 memory_tracker.sh[54874]: ---
Aug 25 12:05:04.618622 np0000000810 memory_tracker.sh[57330]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Aug 25 12:05:04.618622 np0000000810 memory_tracker.sh[57330]:      54176    2.4          405764          1   00:00:02       39 do_poll.constprop.0       /usr/sbin/mysqld
Aug 25 12:05:04.618622 np0000000810 memory_tracker.sh[57330]:      22384    0.8          132736          1   00:00:06       32 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Aug 25 12:05:04.618622 np0000000810 memory_tracker.sh[57330]:      40716    0.7          116232          1   00:00:00       13 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Aug 25 12:05:04.618622 np0000000810 memory_tracker.sh[57330]:      53337    0.4           73452          1   00:00:01        1 skb_wait_for_more_packets /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Aug 25 12:05:04.618622 np0000000810 memory_tracker.sh[57330]:      14658    0.2           40696      14656   00:00:00        8 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 25 12:05:04.618622 np0000000810 memory_tracker.sh[57330]:       1590    0.2           37384          1   00:00:02        7 futex_wait_queue          /sbin/multipathd -d -s
Aug 25 12:05:04.618622 np0000000810 memory_tracker.sh[57330]:      49893    0.1           28636          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Aug 25 12:05:04.619681 np0000000810 memory_tracker.sh[57330]:      56089    0.1           28368          1   00:00:00       12 futex_wait_queue          /opt/stack/bin/etcd --name np0000000810 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000000810=http://10.19.119.205:2380 --initial-advertise-peer-urls http://10.19.119.205:2380 --advertise-client-urls http://10.19.119.205:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://10.19.119.205:2379 --log-level=debug
Aug 25 12:05:04.619681 np0000000810 memory_tracker.sh[57330]:       6318    0.1           26216       6317   00:00:01        2 do_wait                   /usr/bin/python3
Aug 25 12:05:04.619681 np0000000810 memory_tracker.sh[57330]:       9182    0.1           20940          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Aug 25 12:05:04.619681 np0000000810 memory_tracker.sh[57330]:      21133    0.1           20612          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Aug 25 12:05:04.619681 np0000000810 memory_tracker.sh[57330]:       4757    0.1           20072          1   00:00:00        2 inet_csk_accept           /usr/bin/python3
Aug 25 12:05:04.619681 np0000000810 memory_tracker.sh[57330]:      40461    0.1           18992          1   00:00:00        1 ep_poll                   /usr/sbin/unbound -d -p
Aug 25 12:05:04.619681 np0000000810 memory_tracker.sh[57330]:          1    0.0           15576          0   00:00:34        1 do_wait                   /sbin/init nofb
Aug 25 12:05:04.619681 np0000000810 memory_tracker.sh[57330]:      49928    0.0           15524          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Aug 25 12:05:04.619681 np0000000810 memory_tracker.sh[57330]:      43246    0.0           15476          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Aug 25 12:05:04.619681 np0000000810 memory_tracker.sh[57330]:      45533    0.0           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Aug 25 12:05:04.619681 np0000000810 memory_tracker.sh[57330]:      14656    0.0           12996          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Aug 25 12:05:04.619681 np0000000810 memory_tracker.sh[57330]:       4049    0.0           12896          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Aug 25 12:05:04.619681 np0000000810 memory_tracker.sh[57330]:       4481    0.0           12812          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Aug 25 12:05:04.620427 np0000000810 memory_tracker.sh[57330]:       8488    0.0           12200       6321   00:00:02        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-08-25-115711
Aug 25 12:05:04.620427 np0000000810 memory_tracker.sh[57330]:       8493    0.0           12080       6321   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-08-25-115711.summary.2026-08-25-115711
Aug 25 12:05:04.620427 np0000000810 memory_tracker.sh[57330]:       6321    0.0           10764       6319   00:00:13        1 do_wait                   bash ./stack.sh
Aug 25 12:05:04.620427 np0000000810 memory_tracker.sh[57330]:      56353    0.0            9488          1   00:00:00        1 do_select                 /usr/sbin/apache2 -k start
Aug 25 12:05:04.620427 np0000000810 memory_tracker.sh[57330]:      52474    0.0            9392       6321   00:00:00        1 do_wait                   bash ./stack.sh
Aug 25 12:05:04.620427 np0000000810 memory_tracker.sh[57330]:       4096    0.0            9044          1   00:00:01        1 ep_poll                   /usr/lib/systemd/systemd-logind
Aug 25 12:05:04.620427 np0000000810 memory_tracker.sh[57330]:      41241    0.0            8864          1   00:00:00        1 do_poll.constprop.0       ovsdb-server -vconsole:off -vfile:info --log-file=/var/log/ovn/ovsdb-server-sb.log --remote=punix:/var/run/ovn/ovnsb_db.sock --pidfile=/var/run/ovn/ovnsb_db.pid --unixctl=/var/run/ovn/ovnsb_db.ctl --remote=db:OVN_Southbound,SB_Global,connections --private-key=db:OVN_Southbound,SSL,private_key --certificate=db:OVN_Southbound,SSL,certificate --ca-cert=db:OVN_Southbound,SSL,ca_cert --ssl-protocols=db:OVN_Southbound,SSL,ssl_protocols --ssl-ciphers=db:OVN_Southbound,SSL,ssl_ciphers /var/lib/ovn/ovnsb_db.db
