10.19.119.213 - - [23/Sep/2026:10:17:48 +0000] "GET /identity/v3/ HTTP/1.1" 200 504 "-" "curl/8.5.0"
10.19.119.213 - - [23/Sep/2026:10:17:59 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.20.0 keystoneauth1/5.17.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.213 - - [23/Sep/2026:10:17:59 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1433 "-" "openstacksdk/4.20.0 keystoneauth1/5.17.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.213 - - [23/Sep/2026:10:18:00 +0000] "GET /identity/v3/projects/admin HTTP/1.1" 404 338 "-" "openstacksdk/4.20.0 keystoneauth1/5.17.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.213 - - [23/Sep/2026:10:18:00 +0000] "GET /identity/v3/projects?name=admin HTTP/1.1" 200 704 "-" "openstacksdk/4.20.0 keystoneauth1/5.17.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.213 - - [23/Sep/2026:10:18:00 +0000] "GET /identity/v3/projects/4ae6a543eac340489f2f193ef7bc4232 HTTP/1.1" 200 593 "-" "openstacksdk/4.20.0 keystoneauth1/5.17.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.213 - - [23/Sep/2026:10:18:00 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.20.0 keystoneauth1/5.17.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.213 - - [23/Sep/2026:10:18:00 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1433 "-" "openstacksdk/4.20.0 keystoneauth1/5.17.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.213 - - [23/Sep/2026:10:18:00 +0000] "GET /identity/v3/users/admin HTTP/1.1" 404 335 "-" "openstacksdk/4.20.0 keystoneauth1/5.17.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.213 - - [23/Sep/2026:10:18:00 +0000] "GET /identity/v3/users?name=admin HTTP/1.1" 200 604 "-" "openstacksdk/4.20.0 keystoneauth1/5.17.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.213 - - [23/Sep/2026:10:18:01 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.20.0 keystoneauth1/5.17.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.213 - - [23/Sep/2026:10:18:01 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.20.0 keystoneauth1/5.17.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.213 - - [23/Sep/2026:10:18:01 +0000] "GET /identity/v3/roles/admin HTTP/1.1" 404 335 "-" "openstacksdk/4.20.0 keystoneauth1/5.17.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.213 - - [23/Sep/2026:10:18:01 +0000] "GET /identity/v3/roles?name=admin HTTP/1.1" 200 591 "-" "openstacksdk/4.20.0 keystoneauth1/5.17.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.213 - - [23/Sep/2026:10:18:01 +0000] "GET /identity/v3/users/b954eb42ef6f4518980d3531fb48d8db HTTP/1.1" 200 496 "-" "openstacksdk/4.20.0 keystoneauth1/5.17.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.213 - - [23/Sep/2026:10:18:01 +0000] "GET /identity/v3/domains/default HTTP/1.1" 200 448 "-" "openstacksdk/4.20.0 keystoneauth1/5.17.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.213 - - [23/Sep/2026:10:18:02 +0000] "PUT /identity/v3/domains/default/users/b954eb42ef6f4518980d3531fb48d8db/roles/56c9d61e9255458a9adeabbac5191750 HTTP/1.1" 204 201 "-" "openstacksdk/4.20.0 keystoneauth1/5.17.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.213 - - [23/Sep/2026:10:18:02 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.20.0 keystoneauth1/5.17.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.213 - - [23/Sep/2026:10:18:02 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.20.0 keystoneauth1/5.17.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.213 - - [23/Sep/2026:10:18:02 +0000] "POST /identity/v3/domains HTTP/1.1" 409 442 "-" "openstacksdk/4.20.0 keystoneauth1/5.17.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.213 - - [23/Sep/2026:10:18:02 +0000] "GET /identity/v3/domains/Default HTTP/1.1" 404 339 "-" "openstacksdk/4.20.0 keystoneauth1/5.17.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.213 - - [23/Sep/2026:10:18:02 +0000] "GET /identity/v3/domains?name=Default HTTP/1.1" 200 560 "-" "openstacksdk/4.20.0 keystoneauth1/5.17.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.213 - - [23/Sep/2026:10:18:03 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.20.0 keystoneauth1/5.17.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.213 - - [23/Sep/2026:10:18:03 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.20.0 keystoneauth1/5.17.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.213 - - [23/Sep/2026:10:18:03 +0000] "GET /identity/v3/roles/admin HTTP/1.1" 404 335 "-" "openstacksdk/4.20.0 keystoneauth1/5.17.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.213 - - [23/Sep/2026:10:18:03 +0000] "GET /identity/v3/roles?name=admin HTTP/1.1" 200 591 "-" "openstacksdk/4.20.0 keystoneauth1/5.17.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.213 - - [23/Sep/2026:10:18:03 +0000] "GET /identity/v3/users/b954eb42ef6f4518980d3531fb48d8db HTTP/1.1" 200 496 "-" "openstacksdk/4.20.0 keystoneauth1/5.17.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.213 - - [23/Sep/2026:10:18:03 +0000] "GET /identity/v3/domains/default HTTP/1.1" 200 448 "-" "openstacksdk/4.20.0 keystoneauth1/5.17.0 python-requests/2.34.2 CPython/3.12.3"
