Sep 01 13:15:19.540735 np0000000860 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Sep 01 13:15:19.565284 np0000000860 memory_tracker.sh[51369]: [[[
Sep 01 13:15:19.566857 np0000000860 memory_tracker.sh[51382]: Tue Sep  1 13:15:19 UTC 2026
Sep 01 13:15:19.568546 np0000000860 memory_tracker.sh[51369]: ---
Sep 01 13:15:19.651591 np0000000860 memory_tracker.sh[51387]: [iscsid (pid:39542)]=14172KB; [multipathd (pid:277)]=288928KB; [ovs-vswitchd (pid:35152)]=532464KB
Sep 01 13:15:19.663380 np0000000860 memory_tracker.sh[51369]: ]]]
Sep 01 13:15:39.681587 np0000000860 memory_tracker.sh[51369]: [[[
Sep 01 13:15:39.683132 np0000000860 memory_tracker.sh[53095]: Tue Sep  1 13:15:39 UTC 2026
Sep 01 13:15:39.683770 np0000000860 memory_tracker.sh[51369]: ---
Sep 01 13:15:39.683770 np0000000860 memory_tracker.sh[51369]: memory_tracker low_point: 6616472
Sep 01 13:15:39.683770 np0000000860 memory_tracker.sh[51369]: ---
Sep 01 13:15:39.685362 np0000000860 memory_tracker.sh[53096]: MemTotal:        8131776 kB
Sep 01 13:15:39.685362 np0000000860 memory_tracker.sh[53096]: MemFree:          234504 kB
Sep 01 13:15:39.685362 np0000000860 memory_tracker.sh[53096]: MemAvailable:    6616472 kB
Sep 01 13:15:39.685362 np0000000860 memory_tracker.sh[53096]: Buffers:          197168 kB
Sep 01 13:15:39.685362 np0000000860 memory_tracker.sh[53096]: Cached:          6219952 kB
Sep 01 13:15:39.685362 np0000000860 memory_tracker.sh[53096]: SwapCached:            0 kB
Sep 01 13:15:39.685362 np0000000860 memory_tracker.sh[53096]: Active:          1308000 kB
Sep 01 13:15:39.685362 np0000000860 memory_tracker.sh[53096]: Inactive:        5851036 kB
Sep 01 13:15:39.685362 np0000000860 memory_tracker.sh[53096]: Active(anon):     793348 kB
Sep 01 13:15:39.685362 np0000000860 memory_tracker.sh[53096]: Inactive(anon):   125872 kB
Sep 01 13:15:39.685362 np0000000860 memory_tracker.sh[53096]: Active(file):     514652 kB
Sep 01 13:15:39.685362 np0000000860 memory_tracker.sh[53096]: Inactive(file):  5725164 kB
Sep 01 13:15:39.685362 np0000000860 memory_tracker.sh[53096]: Unevictable:      101968 kB
Sep 01 13:15:39.685362 np0000000860 memory_tracker.sh[53096]: Mlocked:          100768 kB
Sep 01 13:15:39.685362 np0000000860 memory_tracker.sh[53096]: SwapTotal:       8388604 kB
Sep 01 13:15:39.685362 np0000000860 memory_tracker.sh[53096]: SwapFree:        8387824 kB
Sep 01 13:15:39.685362 np0000000860 memory_tracker.sh[53096]: Zswap:               372 kB
Sep 01 13:15:39.685362 np0000000860 memory_tracker.sh[53096]: Zswapped:             72 kB
Sep 01 13:15:39.685362 np0000000860 memory_tracker.sh[53096]: Dirty:              8996 kB
Sep 01 13:15:39.685362 np0000000860 memory_tracker.sh[53096]: Writeback:             0 kB
Sep 01 13:15:39.685362 np0000000860 memory_tracker.sh[53096]: AnonPages:        843932 kB
Sep 01 13:15:39.685362 np0000000860 memory_tracker.sh[53096]: Mapped:           187364 kB
Sep 01 13:15:39.685362 np0000000860 memory_tracker.sh[53096]: Shmem:            157436 kB
Sep 01 13:15:39.685362 np0000000860 memory_tracker.sh[53096]: KReclaimable:     447792 kB
Sep 01 13:15:39.685362 np0000000860 memory_tracker.sh[53096]: Slab:             536240 kB
Sep 01 13:15:39.685362 np0000000860 memory_tracker.sh[53096]: SReclaimable:     447792 kB
Sep 01 13:15:39.685362 np0000000860 memory_tracker.sh[53096]: SUnreclaim:        88448 kB
Sep 01 13:15:39.685362 np0000000860 memory_tracker.sh[53096]: KernelStack:        6720 kB
Sep 01 13:15:39.685362 np0000000860 memory_tracker.sh[53096]: PageTables:         9380 kB
Sep 01 13:15:39.685362 np0000000860 memory_tracker.sh[53096]: SecPageTables:         0 kB
Sep 01 13:15:39.685362 np0000000860 memory_tracker.sh[53096]: NFS_Unstable:          0 kB
Sep 01 13:15:39.685362 np0000000860 memory_tracker.sh[53096]: Bounce:                0 kB
Sep 01 13:15:39.685362 np0000000860 memory_tracker.sh[53096]: WritebackTmp:          0 kB
Sep 01 13:15:39.685362 np0000000860 memory_tracker.sh[53096]: CommitLimit:    12454492 kB
Sep 01 13:15:39.685362 np0000000860 memory_tracker.sh[53096]: Committed_AS:    2540252 kB
Sep 01 13:15:39.685362 np0000000860 memory_tracker.sh[53096]: VmallocTotal:   34359738367 kB
Sep 01 13:15:39.685362 np0000000860 memory_tracker.sh[53096]: VmallocUsed:       20976 kB
Sep 01 13:15:39.685362 np0000000860 memory_tracker.sh[53096]: VmallocChunk:          0 kB
Sep 01 13:15:39.685362 np0000000860 memory_tracker.sh[53096]: Percpu:             2528 kB
Sep 01 13:15:39.685362 np0000000860 memory_tracker.sh[53096]: HardwareCorrupted:     0 kB
Sep 01 13:15:39.685362 np0000000860 memory_tracker.sh[53096]: AnonHugePages:         0 kB
Sep 01 13:15:39.685362 np0000000860 memory_tracker.sh[53096]: ShmemHugePages:        0 kB
Sep 01 13:15:39.685362 np0000000860 memory_tracker.sh[53096]: ShmemPmdMapped:        0 kB
Sep 01 13:15:39.685362 np0000000860 memory_tracker.sh[53096]: FileHugePages:         0 kB
Sep 01 13:15:39.685362 np0000000860 memory_tracker.sh[53096]: FilePmdMapped:         0 kB
Sep 01 13:15:39.685362 np0000000860 memory_tracker.sh[53096]: Unaccepted:            0 kB
Sep 01 13:15:39.685362 np0000000860 memory_tracker.sh[53096]: HugePages_Total:       0
Sep 01 13:15:39.685362 np0000000860 memory_tracker.sh[53096]: HugePages_Free:        0
Sep 01 13:15:39.685362 np0000000860 memory_tracker.sh[53096]: HugePages_Rsvd:        0
Sep 01 13:15:39.685362 np0000000860 memory_tracker.sh[53096]: HugePages_Surp:        0
Sep 01 13:15:39.685362 np0000000860 memory_tracker.sh[53096]: Hugepagesize:       2048 kB
Sep 01 13:15:39.685362 np0000000860 memory_tracker.sh[53096]: Hugetlb:               0 kB
Sep 01 13:15:39.685362 np0000000860 memory_tracker.sh[53096]: DirectMap4k:      173940 kB
Sep 01 13:15:39.685362 np0000000860 memory_tracker.sh[53096]: DirectMap2M:     8214528 kB
Sep 01 13:15:39.690220 np0000000860 memory_tracker.sh[51369]: ---
Sep 01 13:15:39.704336 np0000000860 memory_tracker.sh[53098]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Sep 01 13:15:39.704336 np0000000860 memory_tracker.sh[53098]:      50717    4.9          405072          1   00:00:03       39 do_poll.constprop.0       /usr/sbin/mysqld
Sep 01 13:15:39.704336 np0000000860 memory_tracker.sh[53098]:      18367    1.6          131564          1   00:00:06       24 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Sep 01 13:15:39.704336 np0000000860 memory_tracker.sh[53098]:      53091    1.4          119512       1950   00:00:01        1 -                         /opt/stack/data/venv/bin/python3.12 /opt/stack/data/venv/bin/keystone-manage --config-file /etc/keystone/keystone.conf credential_setup
Sep 01 13:15:39.704336 np0000000860 memory_tracker.sh[53098]:      35152    0.9           74612          1   00:00:00        8 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Sep 01 13:15:39.704336 np0000000860 memory_tracker.sh[53098]:      49996    0.9           73992          1   00:00:01        1 skb_wait_for_more_packets /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Sep 01 13:15:39.704336 np0000000860 memory_tracker.sh[53098]:      11582    0.4           39796      11580   00:00:00        4 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 01 13:15:39.705384 np0000000860 memory_tracker.sh[53098]:      52489    0.3           27612          1   00:00:00       10 futex_wait_queue          /opt/stack/bin/etcd --name np0000000860 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000000860=http://10.19.119.77:2380 --initial-advertise-peer-urls http://10.19.119.77:2380 --advertise-client-urls http://10.19.119.77:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://10.19.119.77:2379 --log-level=debug
Sep 01 13:15:39.705384 np0000000860 memory_tracker.sh[53098]:        277    0.3           27292          1   00:00:01        7 futex_wait_queue          /sbin/multipathd -d -s
Sep 01 13:15:39.705384 np0000000860 memory_tracker.sh[53098]:      48868    0.3           26408          1   00:00:00        1 ep_poll                   /usr/sbin/smbd --foreground --no-process-group
Sep 01 13:15:39.705384 np0000000860 memory_tracker.sh[53098]:      44082    0.3           26268          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Sep 01 13:15:39.705384 np0000000860 memory_tracker.sh[53098]:       1947    0.3           26176       1946   00:00:01        2 do_wait                   /usr/bin/python3
Sep 01 13:15:39.705384 np0000000860 memory_tracker.sh[53098]:       4809    0.2           20840          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Sep 01 13:15:39.705384 np0000000860 memory_tracker.sh[53098]:      17232    0.2           20284          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Sep 01 13:15:39.705384 np0000000860 memory_tracker.sh[53098]:        873    0.2           20164          1   00:00:00        2 inet_csk_accept           /usr/bin/python3
Sep 01 13:15:39.705384 np0000000860 memory_tracker.sh[53098]:        673    0.2           19484          1   00:00:00        1 ep_poll                   /usr/sbin/unbound -d -p
Sep 01 13:15:39.705384 np0000000860 memory_tracker.sh[53098]:      48987    0.2           18604          1   00:00:00        1 ep_poll                   /usr/sbin/nmbd --foreground --no-process-group
Sep 01 13:15:39.705384 np0000000860 memory_tracker.sh[53098]:      37465    0.1           15632          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Sep 01 13:15:39.705384 np0000000860 memory_tracker.sh[53098]:      44116    0.1           15560          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Sep 01 13:15:39.705384 np0000000860 memory_tracker.sh[53098]:      39542    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Sep 01 13:15:39.705384 np0000000860 memory_tracker.sh[53098]:          1    0.1           13932          0   00:00:19        1 ep_poll                   /sbin/init nofb
Sep 01 13:15:39.706240 np0000000860 memory_tracker.sh[53098]:      11580    0.1           13104          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 01 13:15:39.706240 np0000000860 memory_tracker.sh[53098]:        346    0.1           12900          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Sep 01 13:15:39.706240 np0000000860 memory_tracker.sh[53098]:       4213    0.1           12212       1950   00:00:02        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-09-01-130656
Sep 01 13:15:39.706240 np0000000860 memory_tracker.sh[53098]:       4218    0.1           12068       1950   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-09-01-130656.summary.2026-09-01-130656
Sep 01 13:15:39.706240 np0000000860 memory_tracker.sh[53098]:       1950    0.1           11488       1948   00:00:13        1 do_wait                   bash ./stack.sh
Sep 01 13:15:39.706240 np0000000860 memory_tracker.sh[53098]:        737    0.1           11344          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Sep 01 13:15:39.706240 np0000000860 memory_tracker.sh[53098]:      46544    0.1           10084       1950   00:00:00        1 do_wait                   bash ./stack.sh
Sep 01 13:15:39.706240 np0000000860 memory_tracker.sh[53098]:      52751    0.1            9432          1   00:00:00        1 do_select                 /usr/sbin/apache2 -k start
Sep 01 13:15:39.706240 np0000000860 memory_tracker.sh[53098]:        425    0.1            9068          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-logind
