Sep 23 07:19:33.178086 np0000001913 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Sep 23 07:19:33.196757 np0000001913 memory_tracker.sh[49553]: [[[
Sep 23 07:19:33.197784 np0000001913 memory_tracker.sh[49571]: Wed Sep 23 07:19:33 UTC 2026
Sep 23 07:19:33.198556 np0000001913 memory_tracker.sh[49553]: ---
Sep 23 07:19:33.281008 np0000001913 memory_tracker.sh[49576]: [iscsid (pid:40505)]=14172KB; [multipathd (pid:280)]=288928KB; [ovs-vswitchd (pid:36091)]=532476KB
Sep 23 07:19:33.290079 np0000001913 memory_tracker.sh[49553]: ]]]
Sep 23 07:19:53.310288 np0000001913 memory_tracker.sh[49553]: [[[
Sep 23 07:19:53.312265 np0000001913 memory_tracker.sh[52008]: Wed Sep 23 07:19:53 UTC 2026
Sep 23 07:19:53.312760 np0000001913 memory_tracker.sh[49553]: ---
Sep 23 07:19:53.312851 np0000001913 memory_tracker.sh[49553]: memory_tracker low_point: 6561904
Sep 23 07:19:53.313211 np0000001913 memory_tracker.sh[49553]: ---
Sep 23 07:19:53.314405 np0000001913 memory_tracker.sh[52009]: MemTotal:        8131784 kB
Sep 23 07:19:53.314405 np0000001913 memory_tracker.sh[52009]: MemFree:          154560 kB
Sep 23 07:19:53.314405 np0000001913 memory_tracker.sh[52009]: MemAvailable:    6560896 kB
Sep 23 07:19:53.314405 np0000001913 memory_tracker.sh[52009]: Buffers:          187268 kB
Sep 23 07:19:53.314405 np0000001913 memory_tracker.sh[52009]: Cached:          6266288 kB
Sep 23 07:19:53.314405 np0000001913 memory_tracker.sh[52009]: SwapCached:            0 kB
Sep 23 07:19:53.314405 np0000001913 memory_tracker.sh[52009]: Active:          1319356 kB
Sep 23 07:19:53.314405 np0000001913 memory_tracker.sh[52009]: Inactive:        5941412 kB
Sep 23 07:19:53.314405 np0000001913 memory_tracker.sh[52009]: Active(anon):     856016 kB
Sep 23 07:19:53.314405 np0000001913 memory_tracker.sh[52009]: Inactive(anon):   125868 kB
Sep 23 07:19:53.314405 np0000001913 memory_tracker.sh[52009]: Active(file):     463340 kB
Sep 23 07:19:53.314405 np0000001913 memory_tracker.sh[52009]: Inactive(file):  5815544 kB
Sep 23 07:19:53.314405 np0000001913 memory_tracker.sh[52009]: Unevictable:      101980 kB
Sep 23 07:19:53.314405 np0000001913 memory_tracker.sh[52009]: Mlocked:          100780 kB
Sep 23 07:19:53.314405 np0000001913 memory_tracker.sh[52009]: SwapTotal:       8388604 kB
Sep 23 07:19:53.314405 np0000001913 memory_tracker.sh[52009]: SwapFree:        8388336 kB
Sep 23 07:19:53.314405 np0000001913 memory_tracker.sh[52009]: Zswap:               360 kB
Sep 23 07:19:53.314405 np0000001913 memory_tracker.sh[52009]: Zswapped:             64 kB
Sep 23 07:19:53.314405 np0000001913 memory_tracker.sh[52009]: Dirty:            103868 kB
Sep 23 07:19:53.314405 np0000001913 memory_tracker.sh[52009]: Writeback:             0 kB
Sep 23 07:19:53.314405 np0000001913 memory_tracker.sh[52009]: AnonPages:        909272 kB
Sep 23 07:19:53.314405 np0000001913 memory_tracker.sh[52009]: Mapped:           190360 kB
Sep 23 07:19:53.314405 np0000001913 memory_tracker.sh[52009]: Shmem:            154804 kB
Sep 23 07:19:53.314405 np0000001913 memory_tracker.sh[52009]: KReclaimable:     432892 kB
Sep 23 07:19:53.314405 np0000001913 memory_tracker.sh[52009]: Slab:             518628 kB
Sep 23 07:19:53.314405 np0000001913 memory_tracker.sh[52009]: SReclaimable:     432892 kB
Sep 23 07:19:53.314405 np0000001913 memory_tracker.sh[52009]: SUnreclaim:        85736 kB
Sep 23 07:19:53.314405 np0000001913 memory_tracker.sh[52009]: KernelStack:        6540 kB
Sep 23 07:19:53.314405 np0000001913 memory_tracker.sh[52009]: PageTables:         9156 kB
Sep 23 07:19:53.314405 np0000001913 memory_tracker.sh[52009]: SecPageTables:         0 kB
Sep 23 07:19:53.314405 np0000001913 memory_tracker.sh[52009]: NFS_Unstable:          0 kB
Sep 23 07:19:53.314405 np0000001913 memory_tracker.sh[52009]: Bounce:                0 kB
Sep 23 07:19:53.314405 np0000001913 memory_tracker.sh[52009]: WritebackTmp:          0 kB
Sep 23 07:19:53.314405 np0000001913 memory_tracker.sh[52009]: CommitLimit:    12454496 kB
Sep 23 07:19:53.314405 np0000001913 memory_tracker.sh[52009]: Committed_AS:    2609740 kB
Sep 23 07:19:53.314405 np0000001913 memory_tracker.sh[52009]: VmallocTotal:   34359738367 kB
Sep 23 07:19:53.314405 np0000001913 memory_tracker.sh[52009]: VmallocUsed:       19224 kB
Sep 23 07:19:53.314405 np0000001913 memory_tracker.sh[52009]: VmallocChunk:          0 kB
Sep 23 07:19:53.314405 np0000001913 memory_tracker.sh[52009]: Percpu:             2480 kB
Sep 23 07:19:53.314405 np0000001913 memory_tracker.sh[52009]: HardwareCorrupted:     0 kB
Sep 23 07:19:53.314405 np0000001913 memory_tracker.sh[52009]: AnonHugePages:         0 kB
Sep 23 07:19:53.314405 np0000001913 memory_tracker.sh[52009]: ShmemHugePages:        0 kB
Sep 23 07:19:53.314405 np0000001913 memory_tracker.sh[52009]: ShmemPmdMapped:        0 kB
Sep 23 07:19:53.314405 np0000001913 memory_tracker.sh[52009]: FileHugePages:         0 kB
Sep 23 07:19:53.314405 np0000001913 memory_tracker.sh[52009]: FilePmdMapped:         0 kB
Sep 23 07:19:53.314405 np0000001913 memory_tracker.sh[52009]: Unaccepted:            0 kB
Sep 23 07:19:53.314405 np0000001913 memory_tracker.sh[52009]: HugePages_Total:       0
Sep 23 07:19:53.314405 np0000001913 memory_tracker.sh[52009]: HugePages_Free:        0
Sep 23 07:19:53.314405 np0000001913 memory_tracker.sh[52009]: HugePages_Rsvd:        0
Sep 23 07:19:53.314405 np0000001913 memory_tracker.sh[52009]: HugePages_Surp:        0
Sep 23 07:19:53.314405 np0000001913 memory_tracker.sh[52009]: Hugepagesize:       2048 kB
Sep 23 07:19:53.314405 np0000001913 memory_tracker.sh[52009]: Hugetlb:               0 kB
Sep 23 07:19:53.314405 np0000001913 memory_tracker.sh[52009]: DirectMap4k:      178036 kB
Sep 23 07:19:53.314405 np0000001913 memory_tracker.sh[52009]: DirectMap2M:     8210432 kB
Sep 23 07:19:53.320340 np0000001913 memory_tracker.sh[49553]: ---
Sep 23 07:19:53.337221 np0000001913 memory_tracker.sh[52011]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Sep 23 07:19:53.337221 np0000001913 memory_tracker.sh[52011]:      48892    4.9          406480          1   00:00:02       39 do_poll.constprop.0       /usr/sbin/mysqld
Sep 23 07:19:53.337221 np0000001913 memory_tracker.sh[52011]:      18887    1.6          134952          1   00:00:08       24 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Sep 23 07:19:53.337221 np0000001913 memory_tracker.sh[52011]:      51940    1.2          103984      51939   00:00:02        1 -                         keystoneuWSGI worker 1
Sep 23 07:19:53.337221 np0000001913 memory_tracker.sh[52011]:      51941    1.2          103564      51939   00:00:02        1 -                         keystoneuWSGI worker 2
Sep 23 07:19:53.337221 np0000001913 memory_tracker.sh[52011]:      36091    0.9           74624          1   00:00:00        8 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Sep 23 07:19:53.337221 np0000001913 memory_tracker.sh[52011]:      48150    0.9           73900          1   00:00:01        1 skb_wait_for_more_packets /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Sep 23 07:19:53.337221 np0000001913 memory_tracker.sh[52011]:      11446    0.4           39872      11444   00:00:00        4 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 23 07:19:53.339397 np0000001913 memory_tracker.sh[52011]:      50700    0.3           27996          1   00:00:00       10 ep_poll                   /opt/stack/bin/etcd --name np0000001913 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000001913=http://10.19.119.5:2380 --initial-advertise-peer-urls http://10.19.119.5:2380 --advertise-client-urls http://10.19.119.5:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://10.19.119.5:2379 --log-level=debug
Sep 23 07:19:53.339397 np0000001913 memory_tracker.sh[52011]:        280    0.3           27292          1   00:00:16        7 futex_wait_queue          /sbin/multipathd -d -s
Sep 23 07:19:53.339397 np0000001913 memory_tracker.sh[52011]:      44838    0.3           26328          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Sep 23 07:19:53.339397 np0000001913 memory_tracker.sh[52011]:       3161    0.3           26048       3160   00:00:01        2 do_wait                   /usr/bin/python3
Sep 23 07:19:53.339397 np0000001913 memory_tracker.sh[52011]:       3027    0.2           20832          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Sep 23 07:19:53.339397 np0000001913 memory_tracker.sh[52011]:      17845    0.2           20712          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Sep 23 07:19:53.339397 np0000001913 memory_tracker.sh[52011]:       1678    0.2           20172          1   00:00:00        2 inet_csk_accept           /usr/bin/python3
Sep 23 07:19:53.339397 np0000001913 memory_tracker.sh[52011]:        869    0.2           19476          1   00:00:00        1 ep_poll                   /usr/sbin/unbound -d -p
Sep 23 07:19:53.339397 np0000001913 memory_tracker.sh[52011]:      51939    0.2           19224          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Sep 23 07:19:53.339397 np0000001913 memory_tracker.sh[52011]:      38435    0.1           15588          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Sep 23 07:19:53.339397 np0000001913 memory_tracker.sh[52011]:      44873    0.1           15576          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Sep 23 07:19:53.339397 np0000001913 memory_tracker.sh[52011]:      40505    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Sep 23 07:19:53.339397 np0000001913 memory_tracker.sh[52011]:          1    0.1           13836          0   00:00:20        1 ep_poll                   /sbin/init nofb
Sep 23 07:19:53.339397 np0000001913 memory_tracker.sh[52011]:      11444    0.1           13188          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 23 07:19:53.340125 np0000001913 memory_tracker.sh[52011]:        335    0.1           12984          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Sep 23 07:19:53.340125 np0000001913 memory_tracker.sh[52011]:       5500    0.1           12196       3164   00:00:02        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-09-23-071212
Sep 23 07:19:53.340125 np0000001913 memory_tracker.sh[52011]:       5505    0.1           12072       3164   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-09-23-071212.summary.2026-09-23-071212
Sep 23 07:19:53.340125 np0000001913 memory_tracker.sh[52011]:       1538    0.1           11416          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Sep 23 07:19:53.340125 np0000001913 memory_tracker.sh[52011]:      52002    0.1           11124      52001   00:00:00        1 do_poll.constprop.0       curl -g -k --noproxy * -s -o /dev/null -w %{http_code} http://10.19.119.5/identity/v3/
Sep 23 07:19:53.340125 np0000001913 memory_tracker.sh[52011]:       3164    0.1           10744       3162   00:00:11        1 do_wait                   bash ./stack.sh
Sep 23 07:19:53.340125 np0000001913 memory_tracker.sh[52011]:      50987    0.1            9668          1   00:00:00        1 do_select                 /usr/sbin/apache2 -k start
Sep 23 07:19:53.340125 np0000001913 memory_tracker.sh[52011]:      47300    0.1            9376       3164   00:00:00        1 do_wait                   bash ./stack.sh
Sep 23 07:19:53.340125 np0000001913 memory_tracker.sh[52011]:        447    0.1            9012          1   00:00:01        1 ep_poll                   /usr/lib/systemd/systemd-logind
