Sep 03 02:19:12.940098 np0000000907 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Sep 03 02:19:12.961113 np0000000907 memory_tracker.sh[51705]: [[[
Sep 03 02:19:12.962967 np0000000907 memory_tracker.sh[51720]: Thu Sep  3 02:19:12 UTC 2026
Sep 03 02:19:12.963179 np0000000907 memory_tracker.sh[51705]: ---
Sep 03 02:19:13.039376 np0000000907 memory_tracker.sh[51724]: [iscsid (pid:39876)]=14172KB; [multipathd (pid:282)]=288928KB; [ovs-vswitchd (pid:35488)]=532468KB
Sep 03 02:19:13.047476 np0000000907 memory_tracker.sh[51705]: ]]]
Sep 03 02:19:33.065003 np0000000907 memory_tracker.sh[51705]: [[[
Sep 03 02:19:33.068448 np0000000907 memory_tracker.sh[53438]: Thu Sep  3 02:19:33 UTC 2026
Sep 03 02:19:33.068901 np0000000907 memory_tracker.sh[51705]: ---
Sep 03 02:19:33.068901 np0000000907 memory_tracker.sh[51705]: memory_tracker low_point: 6563176
Sep 03 02:19:33.068901 np0000000907 memory_tracker.sh[51705]: ---
Sep 03 02:19:33.072031 np0000000907 memory_tracker.sh[53439]: MemTotal:        8131784 kB
Sep 03 02:19:33.072031 np0000000907 memory_tracker.sh[53439]: MemFree:          140968 kB
Sep 03 02:19:33.072031 np0000000907 memory_tracker.sh[53439]: MemAvailable:    6563176 kB
Sep 03 02:19:33.072031 np0000000907 memory_tracker.sh[53439]: Buffers:          197096 kB
Sep 03 02:19:33.072031 np0000000907 memory_tracker.sh[53439]: Cached:          6258240 kB
Sep 03 02:19:33.072031 np0000000907 memory_tracker.sh[53439]: SwapCached:            0 kB
Sep 03 02:19:33.072031 np0000000907 memory_tracker.sh[53439]: Active:          1281540 kB
Sep 03 02:19:33.072031 np0000000907 memory_tracker.sh[53439]: Inactive:        5916064 kB
Sep 03 02:19:33.072031 np0000000907 memory_tracker.sh[53439]: Active(anon):     793724 kB
Sep 03 02:19:33.072031 np0000000907 memory_tracker.sh[53439]: Inactive(anon):   125856 kB
Sep 03 02:19:33.072031 np0000000907 memory_tracker.sh[53439]: Active(file):     487816 kB
Sep 03 02:19:33.072031 np0000000907 memory_tracker.sh[53439]: Inactive(file):  5790208 kB
Sep 03 02:19:33.072031 np0000000907 memory_tracker.sh[53439]: Unevictable:      101972 kB
Sep 03 02:19:33.072031 np0000000907 memory_tracker.sh[53439]: Mlocked:          100772 kB
Sep 03 02:19:33.072031 np0000000907 memory_tracker.sh[53439]: SwapTotal:       8388604 kB
Sep 03 02:19:33.072031 np0000000907 memory_tracker.sh[53439]: SwapFree:        8387824 kB
Sep 03 02:19:33.072031 np0000000907 memory_tracker.sh[53439]: Zswap:               316 kB
Sep 03 02:19:33.072031 np0000000907 memory_tracker.sh[53439]: Zswapped:             72 kB
Sep 03 02:19:33.072031 np0000000907 memory_tracker.sh[53439]: Dirty:              1652 kB
Sep 03 02:19:33.072031 np0000000907 memory_tracker.sh[53439]: Writeback:             0 kB
Sep 03 02:19:33.072031 np0000000907 memory_tracker.sh[53439]: AnonPages:        844300 kB
Sep 03 02:19:33.072031 np0000000907 memory_tracker.sh[53439]: Mapped:           188272 kB
Sep 03 02:19:33.072031 np0000000907 memory_tracker.sh[53439]: Shmem:            157432 kB
Sep 03 02:19:33.072031 np0000000907 memory_tracker.sh[53439]: KReclaimable:     449624 kB
Sep 03 02:19:33.072031 np0000000907 memory_tracker.sh[53439]: Slab:             538112 kB
Sep 03 02:19:33.072031 np0000000907 memory_tracker.sh[53439]: SReclaimable:     449624 kB
Sep 03 02:19:33.072031 np0000000907 memory_tracker.sh[53439]: SUnreclaim:        88488 kB
Sep 03 02:19:33.072031 np0000000907 memory_tracker.sh[53439]: KernelStack:        6720 kB
Sep 03 02:19:33.072031 np0000000907 memory_tracker.sh[53439]: PageTables:         9504 kB
Sep 03 02:19:33.072031 np0000000907 memory_tracker.sh[53439]: SecPageTables:         0 kB
Sep 03 02:19:33.072031 np0000000907 memory_tracker.sh[53439]: NFS_Unstable:          0 kB
Sep 03 02:19:33.072031 np0000000907 memory_tracker.sh[53439]: Bounce:                0 kB
Sep 03 02:19:33.072031 np0000000907 memory_tracker.sh[53439]: WritebackTmp:          0 kB
Sep 03 02:19:33.072031 np0000000907 memory_tracker.sh[53439]: CommitLimit:    12454496 kB
Sep 03 02:19:33.072031 np0000000907 memory_tracker.sh[53439]: Committed_AS:    2542072 kB
Sep 03 02:19:33.072031 np0000000907 memory_tracker.sh[53439]: VmallocTotal:   34359738367 kB
Sep 03 02:19:33.072031 np0000000907 memory_tracker.sh[53439]: VmallocUsed:       20912 kB
Sep 03 02:19:33.072031 np0000000907 memory_tracker.sh[53439]: VmallocChunk:          0 kB
Sep 03 02:19:33.072031 np0000000907 memory_tracker.sh[53439]: Percpu:             2544 kB
Sep 03 02:19:33.072031 np0000000907 memory_tracker.sh[53439]: HardwareCorrupted:     0 kB
Sep 03 02:19:33.072031 np0000000907 memory_tracker.sh[53439]: AnonHugePages:         0 kB
Sep 03 02:19:33.072031 np0000000907 memory_tracker.sh[53439]: ShmemHugePages:        0 kB
Sep 03 02:19:33.072031 np0000000907 memory_tracker.sh[53439]: ShmemPmdMapped:        0 kB
Sep 03 02:19:33.072031 np0000000907 memory_tracker.sh[53439]: FileHugePages:         0 kB
Sep 03 02:19:33.072031 np0000000907 memory_tracker.sh[53439]: FilePmdMapped:         0 kB
Sep 03 02:19:33.072031 np0000000907 memory_tracker.sh[53439]: Unaccepted:            0 kB
Sep 03 02:19:33.072031 np0000000907 memory_tracker.sh[53439]: HugePages_Total:       0
Sep 03 02:19:33.072031 np0000000907 memory_tracker.sh[53439]: HugePages_Free:        0
Sep 03 02:19:33.072031 np0000000907 memory_tracker.sh[53439]: HugePages_Rsvd:        0
Sep 03 02:19:33.072031 np0000000907 memory_tracker.sh[53439]: HugePages_Surp:        0
Sep 03 02:19:33.072031 np0000000907 memory_tracker.sh[53439]: Hugepagesize:       2048 kB
Sep 03 02:19:33.072031 np0000000907 memory_tracker.sh[53439]: Hugetlb:               0 kB
Sep 03 02:19:33.072031 np0000000907 memory_tracker.sh[53439]: DirectMap4k:      186228 kB
Sep 03 02:19:33.072031 np0000000907 memory_tracker.sh[53439]: DirectMap2M:     8202240 kB
Sep 03 02:19:33.074165 np0000000907 memory_tracker.sh[51705]: ---
Sep 03 02:19:33.090115 np0000000907 memory_tracker.sh[53441]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Sep 03 02:19:33.090115 np0000000907 memory_tracker.sh[53441]:      51055    4.9          405240          1   00:00:03       39 do_poll.constprop.0       /usr/sbin/mysqld
Sep 03 02:19:33.090115 np0000000907 memory_tracker.sh[53441]:      18693    1.5          129188          1   00:00:06       24 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Sep 03 02:19:33.090115 np0000000907 memory_tracker.sh[53441]:      35488    0.9           74616          1   00:00:00        8 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Sep 03 02:19:33.090115 np0000000907 memory_tracker.sh[53441]:      50334    0.9           73976          1   00:00:01        1 skb_wait_for_more_packets /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Sep 03 02:19:33.090115 np0000000907 memory_tracker.sh[53441]:      11908    0.4           39800      11906   00:00:00        4 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 03 02:19:33.090115 np0000000907 memory_tracker.sh[53441]:      52826    0.3           27712          1   00:00:00        9 futex_wait_queue          /opt/stack/bin/etcd --name np0000000907 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000000907=http://10.19.119.94:2380 --initial-advertise-peer-urls http://10.19.119.94:2380 --advertise-client-urls http://10.19.119.94:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://10.19.119.94:2379 --log-level=debug
Sep 03 02:19:33.090838 np0000000907 memory_tracker.sh[53441]:        282    0.3           27292          1   00:00:09        7 futex_wait_queue          /sbin/multipathd -d -s
Sep 03 02:19:33.090838 np0000000907 memory_tracker.sh[53441]:      49191    0.3           26468          1   00:00:00        1 ep_poll                   /usr/sbin/smbd --foreground --no-process-group
Sep 03 02:19:33.090838 np0000000907 memory_tracker.sh[53441]:      44413    0.3           26408          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Sep 03 02:19:33.090838 np0000000907 memory_tracker.sh[53441]:       2234    0.3           26172       2233   00:00:01        2 do_wait                   /usr/bin/python3
Sep 03 02:19:33.090838 np0000000907 memory_tracker.sh[53441]:       5093    0.2           20876          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Sep 03 02:19:33.090838 np0000000907 memory_tracker.sh[53441]:      17560    0.2           20216          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Sep 03 02:19:33.090838 np0000000907 memory_tracker.sh[53441]:       1153    0.2           20156          1   00:00:00        2 inet_csk_accept           /usr/bin/python3
Sep 03 02:19:33.090838 np0000000907 memory_tracker.sh[53441]:        672    0.2           19476          1   00:00:00        1 ep_poll                   /usr/sbin/unbound -d -p
Sep 03 02:19:33.090838 np0000000907 memory_tracker.sh[53441]:      49296    0.2           18532          1   00:00:00        1 ep_poll                   /usr/sbin/nmbd --foreground --no-process-group
Sep 03 02:19:33.090838 np0000000907 memory_tracker.sh[53441]:      37803    0.1           15508          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Sep 03 02:19:33.090838 np0000000907 memory_tracker.sh[53441]:      44448    0.1           15508          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Sep 03 02:19:33.090838 np0000000907 memory_tracker.sh[53441]:      39876    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Sep 03 02:19:33.090838 np0000000907 memory_tracker.sh[53441]:          1    0.1           13992          0   00:00:20        1 ep_poll                   /sbin/init nofb
Sep 03 02:19:33.090838 np0000000907 memory_tracker.sh[53441]:      11906    0.1           13104          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 03 02:19:33.090838 np0000000907 memory_tracker.sh[53441]:        326    0.1           12924          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Sep 03 02:19:33.091361 np0000000907 memory_tracker.sh[53441]:       4497    0.1           12180       2237   00:00:02        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-09-03-021111
Sep 03 02:19:33.091361 np0000000907 memory_tracker.sh[53441]:       4502    0.1           12064       2237   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-09-03-021111.summary.2026-09-03-021111
Sep 03 02:19:33.091361 np0000000907 memory_tracker.sh[53441]:       2237    0.1           11488       2235   00:00:12        1 do_wait                   bash ./stack.sh
Sep 03 02:19:33.091361 np0000000907 memory_tracker.sh[53441]:       1018    0.1           11388          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Sep 03 02:19:33.091361 np0000000907 memory_tracker.sh[53441]:      46886    0.1           10028       2237   00:00:00        1 do_wait                   bash ./stack.sh
Sep 03 02:19:33.091361 np0000000907 memory_tracker.sh[53441]:      53089    0.1            9488          1   00:00:00        1 do_select                 /usr/sbin/apache2 -k start
Sep 03 02:19:33.091361 np0000000907 memory_tracker.sh[53441]:        427    0.1            8988          1   00:00:01        1 ep_poll                   /usr/lib/systemd/systemd-logind
