Sep 17 18:35:42.323609 np0000001835 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Sep 17 18:35:42.338833 np0000001835 memory_tracker.sh[58020]: [[[
Sep 17 18:35:42.340518 np0000001835 memory_tracker.sh[58036]: Thu Sep 17 18:35:42 UTC 2026
Sep 17 18:35:42.341097 np0000001835 memory_tracker.sh[58020]: ---
Sep 17 18:35:42.419605 np0000001835 memory_tracker.sh[58041]: [iscsid (pid:48532)]=14172KB; [multipathd (pid:280)]=288928KB; [ovs-vswitchd (pid:43379)]=532464KB
Sep 17 18:35:42.431054 np0000001835 memory_tracker.sh[58020]: ]]]
Sep 17 18:36:02.448845 np0000001835 memory_tracker.sh[58020]: [[[
Sep 17 18:36:02.449968 np0000001835 memory_tracker.sh[60572]: Thu Sep 17 18:36:02 UTC 2026
Sep 17 18:36:02.451470 np0000001835 memory_tracker.sh[58020]: ---
Sep 17 18:36:02.451470 np0000001835 memory_tracker.sh[58020]: memory_tracker low_point: 6674720
Sep 17 18:36:02.451470 np0000001835 memory_tracker.sh[58020]: ---
Sep 17 18:36:02.452791 np0000001835 memory_tracker.sh[60573]: MemTotal:        8131784 kB
Sep 17 18:36:02.452791 np0000001835 memory_tracker.sh[60573]: MemFree:          347780 kB
Sep 17 18:36:02.452791 np0000001835 memory_tracker.sh[60573]: MemAvailable:    6674528 kB
Sep 17 18:36:02.452791 np0000001835 memory_tracker.sh[60573]: Buffers:          212104 kB
Sep 17 18:36:02.452791 np0000001835 memory_tracker.sh[60573]: Cached:          6115300 kB
Sep 17 18:36:02.452791 np0000001835 memory_tracker.sh[60573]: SwapCached:            0 kB
Sep 17 18:36:02.452791 np0000001835 memory_tracker.sh[60573]: Active:          1225908 kB
Sep 17 18:36:02.452791 np0000001835 memory_tracker.sh[60573]: Inactive:        5739952 kB
Sep 17 18:36:02.452791 np0000001835 memory_tracker.sh[60573]: Active(anon):     687176 kB
Sep 17 18:36:02.452791 np0000001835 memory_tracker.sh[60573]: Inactive(anon):   125804 kB
Sep 17 18:36:02.452791 np0000001835 memory_tracker.sh[60573]: Active(file):     538732 kB
Sep 17 18:36:02.452791 np0000001835 memory_tracker.sh[60573]: Inactive(file):  5614148 kB
Sep 17 18:36:02.452791 np0000001835 memory_tracker.sh[60573]: Unevictable:      101968 kB
Sep 17 18:36:02.452791 np0000001835 memory_tracker.sh[60573]: Mlocked:          100768 kB
Sep 17 18:36:02.452791 np0000001835 memory_tracker.sh[60573]: SwapTotal:       8388604 kB
Sep 17 18:36:02.452791 np0000001835 memory_tracker.sh[60573]: SwapFree:        8388336 kB
Sep 17 18:36:02.452791 np0000001835 memory_tracker.sh[60573]: Zswap:               364 kB
Sep 17 18:36:02.452791 np0000001835 memory_tracker.sh[60573]: Zswapped:             68 kB
Sep 17 18:36:02.452791 np0000001835 memory_tracker.sh[60573]: Dirty:             97524 kB
Sep 17 18:36:02.452791 np0000001835 memory_tracker.sh[60573]: Writeback:             0 kB
Sep 17 18:36:02.452791 np0000001835 memory_tracker.sh[60573]: AnonPages:        740492 kB
Sep 17 18:36:02.452791 np0000001835 memory_tracker.sh[60573]: Mapped:           175072 kB
Sep 17 18:36:02.452791 np0000001835 memory_tracker.sh[60573]: Shmem:            154660 kB
Sep 17 18:36:02.452791 np0000001835 memory_tracker.sh[60573]: KReclaimable:     479308 kB
Sep 17 18:36:02.452791 np0000001835 memory_tracker.sh[60573]: Slab:             568416 kB
Sep 17 18:36:02.452791 np0000001835 memory_tracker.sh[60573]: SReclaimable:     479308 kB
Sep 17 18:36:02.452791 np0000001835 memory_tracker.sh[60573]: SUnreclaim:        89108 kB
Sep 17 18:36:02.452791 np0000001835 memory_tracker.sh[60573]: KernelStack:        6940 kB
Sep 17 18:36:02.452791 np0000001835 memory_tracker.sh[60573]: PageTables:         8688 kB
Sep 17 18:36:02.452791 np0000001835 memory_tracker.sh[60573]: SecPageTables:         0 kB
Sep 17 18:36:02.452791 np0000001835 memory_tracker.sh[60573]: NFS_Unstable:          0 kB
Sep 17 18:36:02.452791 np0000001835 memory_tracker.sh[60573]: Bounce:                0 kB
Sep 17 18:36:02.452791 np0000001835 memory_tracker.sh[60573]: WritebackTmp:          0 kB
Sep 17 18:36:02.452791 np0000001835 memory_tracker.sh[60573]: CommitLimit:    12454496 kB
Sep 17 18:36:02.452791 np0000001835 memory_tracker.sh[60573]: Committed_AS:    2421576 kB
Sep 17 18:36:02.452791 np0000001835 memory_tracker.sh[60573]: VmallocTotal:   34359738367 kB
Sep 17 18:36:02.452791 np0000001835 memory_tracker.sh[60573]: VmallocUsed:       68324 kB
Sep 17 18:36:02.452791 np0000001835 memory_tracker.sh[60573]: VmallocChunk:          0 kB
Sep 17 18:36:02.452791 np0000001835 memory_tracker.sh[60573]: Percpu:             2384 kB
Sep 17 18:36:02.452791 np0000001835 memory_tracker.sh[60573]: HardwareCorrupted:     0 kB
Sep 17 18:36:02.452791 np0000001835 memory_tracker.sh[60573]: AnonHugePages:         0 kB
Sep 17 18:36:02.452791 np0000001835 memory_tracker.sh[60573]: ShmemHugePages:        0 kB
Sep 17 18:36:02.452791 np0000001835 memory_tracker.sh[60573]: ShmemPmdMapped:        0 kB
Sep 17 18:36:02.452791 np0000001835 memory_tracker.sh[60573]: FileHugePages:         0 kB
Sep 17 18:36:02.452791 np0000001835 memory_tracker.sh[60573]: FilePmdMapped:         0 kB
Sep 17 18:36:02.452791 np0000001835 memory_tracker.sh[60573]: Unaccepted:            0 kB
Sep 17 18:36:02.452791 np0000001835 memory_tracker.sh[60573]: HugePages_Total:       0
Sep 17 18:36:02.452791 np0000001835 memory_tracker.sh[60573]: HugePages_Free:        0
Sep 17 18:36:02.452791 np0000001835 memory_tracker.sh[60573]: HugePages_Rsvd:        0
Sep 17 18:36:02.452791 np0000001835 memory_tracker.sh[60573]: HugePages_Surp:        0
Sep 17 18:36:02.452791 np0000001835 memory_tracker.sh[60573]: Hugepagesize:       2048 kB
Sep 17 18:36:02.452791 np0000001835 memory_tracker.sh[60573]: Hugetlb:               0 kB
Sep 17 18:36:02.452791 np0000001835 memory_tracker.sh[60573]: DirectMap4k:      212852 kB
Sep 17 18:36:02.452791 np0000001835 memory_tracker.sh[60573]: DirectMap2M:     8175616 kB
Sep 17 18:36:02.456641 np0000001835 memory_tracker.sh[58020]: ---
Sep 17 18:36:02.471533 np0000001835 memory_tracker.sh[60575]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Sep 17 18:36:02.471533 np0000001835 memory_tracker.sh[60575]:      57343    4.9          405248          1   00:00:03       39 do_poll.constprop.0       /usr/sbin/mysqld
Sep 17 18:36:02.471533 np0000001835 memory_tracker.sh[60575]:      24380    1.6          131576          1   00:00:05       24 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Sep 17 18:36:02.471533 np0000001835 memory_tracker.sh[60575]:      43379    0.9           74612          1   00:00:00        8 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Sep 17 18:36:02.471533 np0000001835 memory_tracker.sh[60575]:      56495    0.9           73952          1   00:00:01        1 skb_wait_for_more_packets /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Sep 17 18:36:02.471533 np0000001835 memory_tracker.sh[60575]:      16060    0.4           39876      16058   00:00:00        4 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 17 18:36:02.471533 np0000001835 memory_tracker.sh[60575]:        280    0.3           27292          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Sep 17 18:36:02.473024 np0000001835 memory_tracker.sh[60575]:      59212    0.3           27244          1   00:00:00        9 futex_wait_queue          /opt/stack/bin/etcd --name np0000001835 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000001835=http://10.19.119.168:2380 --initial-advertise-peer-urls http://10.19.119.168:2380 --advertise-client-urls http://10.19.119.168:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://10.19.119.168:2379 --log-level=debug
Sep 17 18:36:02.473024 np0000001835 memory_tracker.sh[60575]:      53021    0.3           26184          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Sep 17 18:36:02.473024 np0000001835 memory_tracker.sh[60575]:       7032    0.3           26052       7031   00:00:01        2 do_wait                   /usr/bin/python3
Sep 17 18:36:02.473024 np0000001835 memory_tracker.sh[60575]:       2213    0.2           20956          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Sep 17 18:36:02.473024 np0000001835 memory_tracker.sh[60575]:      22993    0.2           20248          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Sep 17 18:36:02.473024 np0000001835 memory_tracker.sh[60575]:        845    0.2           20196          1   00:00:00        2 inet_csk_accept           /usr/bin/python3
Sep 17 18:36:02.473024 np0000001835 memory_tracker.sh[60575]:        672    0.2           19448          1   00:00:00        1 ep_poll                   /usr/sbin/unbound -d -p
Sep 17 18:36:02.473024 np0000001835 memory_tracker.sh[60575]:      53061    0.1           15516          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Sep 17 18:36:02.473024 np0000001835 memory_tracker.sh[60575]:      45977    0.1           15476          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Sep 17 18:36:02.473024 np0000001835 memory_tracker.sh[60575]:      48532    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Sep 17 18:36:02.473024 np0000001835 memory_tracker.sh[60575]:          1    0.1           13824          0   00:00:17        1 -                         /sbin/init nofb
Sep 17 18:36:02.473024 np0000001835 memory_tracker.sh[60575]:      16058    0.1           13040          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 17 18:36:02.473024 np0000001835 memory_tracker.sh[60575]:        349    0.1           12968          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Sep 17 18:36:02.473791 np0000001835 memory_tracker.sh[60575]:       9502    0.1           12252       7037   00:00:02        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-09-17-182844
Sep 17 18:36:02.473791 np0000001835 memory_tracker.sh[60575]:       9507    0.1           12080       7037   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-09-17-182844.summary.2026-09-17-182844
Sep 17 18:36:02.473791 np0000001835 memory_tracker.sh[60575]:        710    0.1           11060          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Sep 17 18:36:02.473791 np0000001835 memory_tracker.sh[60575]:       7037    0.1           10784       7035   00:00:10        1 do_wait                   bash ./stack.sh
Sep 17 18:36:02.473791 np0000001835 memory_tracker.sh[60575]:      59537    0.1            9548          1   00:00:00        1 do_select                 /usr/sbin/apache2 -k start
Sep 17 18:36:02.473791 np0000001835 memory_tracker.sh[60575]:      55604    0.1            9408       7037   00:00:00        1 do_wait                   bash ./stack.sh
Sep 17 18:36:02.473791 np0000001835 memory_tracker.sh[60575]:        425    0.1            8996          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-logind
Sep 17 18:36:02.473791 np0000001835 memory_tracker.sh[60575]:      43910    0.1            8852          1   00:00:00        1 do_poll.constprop.0       ovsdb-server -vconsole:off -vfile:info --log-file=/var/log/ovn/ovsdb-server-sb.log --remote=punix:/var/run/ovn/ovnsb_db.sock --pidfile=/var/run/ovn/ovnsb_db.pid --unixctl=/var/run/ovn/ovnsb_db.ctl --remote=db:OVN_Southbound,SB_Global,connections --private-key=db:OVN_Southbound,SSL,private_key --certificate=db:OVN_Southbound,SSL,certificate --ca-cert=db:OVN_Southbound,SSL,ca_cert --ssl-protocols=db:OVN_Southbound,SSL,ssl_protocols --ssl-ciphers=db:OVN_Southbound,SSL,ssl_ciphers /var/lib/ovn/ovnsb_db.db
