Sep 02 13:40:15.248551 np0000000909 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Sep 02 13:40:15.271511 np0000000909 memory_tracker.sh[66336]: [[[
Sep 02 13:40:15.275002 np0000000909 memory_tracker.sh[66358]: Wed Sep  2 13:40:15 UTC 2026
Sep 02 13:40:15.275995 np0000000909 memory_tracker.sh[66336]: ---
Sep 02 13:40:15.362887 np0000000909 memory_tracker.sh[66365]: [iscsid (pid:56118)]=14172KB; [multipathd (pid:277)]=288928KB; [ovs-vswitchd (pid:49500)]=532464KB
Sep 02 13:40:15.374681 np0000000909 memory_tracker.sh[66336]: ]]]
Sep 02 13:40:35.386785 np0000000909 memory_tracker.sh[66336]: [[[
Sep 02 13:40:35.387864 np0000000909 memory_tracker.sh[69407]: Wed Sep  2 13:40:35 UTC 2026
Sep 02 13:40:35.388783 np0000000909 memory_tracker.sh[66336]: ---
Sep 02 13:40:35.388911 np0000000909 memory_tracker.sh[66336]: memory_tracker low_point: 6451204
Sep 02 13:40:35.388911 np0000000909 memory_tracker.sh[66336]: ---
Sep 02 13:40:35.389953 np0000000909 memory_tracker.sh[69408]: MemTotal:        8131776 kB
Sep 02 13:40:35.389953 np0000000909 memory_tracker.sh[69408]: MemFree:          173144 kB
Sep 02 13:40:35.389953 np0000000909 memory_tracker.sh[69408]: MemAvailable:    6450700 kB
Sep 02 13:40:35.389953 np0000000909 memory_tracker.sh[69408]: Buffers:          212808 kB
Sep 02 13:40:35.389953 np0000000909 memory_tracker.sh[69408]: Cached:          6118480 kB
Sep 02 13:40:35.389953 np0000000909 memory_tracker.sh[69408]: SwapCached:            0 kB
Sep 02 13:40:35.389953 np0000000909 memory_tracker.sh[69408]: Active:          1378040 kB
Sep 02 13:40:35.389953 np0000000909 memory_tracker.sh[69408]: Inactive:        5697892 kB
Sep 02 13:40:35.389953 np0000000909 memory_tracker.sh[69408]: Active(anon):     793444 kB
Sep 02 13:40:35.389953 np0000000909 memory_tracker.sh[69408]: Inactive(anon):   125824 kB
Sep 02 13:40:35.389953 np0000000909 memory_tracker.sh[69408]: Active(file):     584596 kB
Sep 02 13:40:35.389953 np0000000909 memory_tracker.sh[69408]: Inactive(file):  5572068 kB
Sep 02 13:40:35.389953 np0000000909 memory_tracker.sh[69408]: Unevictable:      101968 kB
Sep 02 13:40:35.389953 np0000000909 memory_tracker.sh[69408]: Mlocked:          100768 kB
Sep 02 13:40:35.389953 np0000000909 memory_tracker.sh[69408]: SwapTotal:       8388604 kB
Sep 02 13:40:35.389953 np0000000909 memory_tracker.sh[69408]: SwapFree:        8388336 kB
Sep 02 13:40:35.389953 np0000000909 memory_tracker.sh[69408]: Zswap:               336 kB
Sep 02 13:40:35.389953 np0000000909 memory_tracker.sh[69408]: Zswapped:             72 kB
Sep 02 13:40:35.389953 np0000000909 memory_tracker.sh[69408]: Dirty:            155068 kB
Sep 02 13:40:35.389953 np0000000909 memory_tracker.sh[69408]: Writeback:             0 kB
Sep 02 13:40:35.389953 np0000000909 memory_tracker.sh[69408]: AnonPages:        846592 kB
Sep 02 13:40:35.389953 np0000000909 memory_tracker.sh[69408]: Mapped:           183336 kB
Sep 02 13:40:35.389953 np0000000909 memory_tracker.sh[69408]: Shmem:            154756 kB
Sep 02 13:40:35.389953 np0000000909 memory_tracker.sh[69408]: KReclaimable:     477532 kB
Sep 02 13:40:35.389953 np0000000909 memory_tracker.sh[69408]: Slab:             567260 kB
Sep 02 13:40:35.389953 np0000000909 memory_tracker.sh[69408]: SReclaimable:     477532 kB
Sep 02 13:40:35.389953 np0000000909 memory_tracker.sh[69408]: SUnreclaim:        89728 kB
Sep 02 13:40:35.389953 np0000000909 memory_tracker.sh[69408]: KernelStack:        7132 kB
Sep 02 13:40:35.389953 np0000000909 memory_tracker.sh[69408]: PageTables:         9568 kB
Sep 02 13:40:35.389953 np0000000909 memory_tracker.sh[69408]: SecPageTables:         0 kB
Sep 02 13:40:35.389953 np0000000909 memory_tracker.sh[69408]: NFS_Unstable:          0 kB
Sep 02 13:40:35.389953 np0000000909 memory_tracker.sh[69408]: Bounce:                0 kB
Sep 02 13:40:35.389953 np0000000909 memory_tracker.sh[69408]: WritebackTmp:          0 kB
Sep 02 13:40:35.389953 np0000000909 memory_tracker.sh[69408]: CommitLimit:    12454492 kB
Sep 02 13:40:35.389953 np0000000909 memory_tracker.sh[69408]: Committed_AS:    2552864 kB
Sep 02 13:40:35.389953 np0000000909 memory_tracker.sh[69408]: VmallocTotal:   34359738367 kB
Sep 02 13:40:35.389953 np0000000909 memory_tracker.sh[69408]: VmallocUsed:       86976 kB
Sep 02 13:40:35.389953 np0000000909 memory_tracker.sh[69408]: VmallocChunk:          0 kB
Sep 02 13:40:35.389953 np0000000909 memory_tracker.sh[69408]: Percpu:             2448 kB
Sep 02 13:40:35.389953 np0000000909 memory_tracker.sh[69408]: HardwareCorrupted:     0 kB
Sep 02 13:40:35.389953 np0000000909 memory_tracker.sh[69408]: AnonHugePages:         0 kB
Sep 02 13:40:35.389953 np0000000909 memory_tracker.sh[69408]: ShmemHugePages:        0 kB
Sep 02 13:40:35.389953 np0000000909 memory_tracker.sh[69408]: ShmemPmdMapped:        0 kB
Sep 02 13:40:35.389953 np0000000909 memory_tracker.sh[69408]: FileHugePages:         0 kB
Sep 02 13:40:35.389953 np0000000909 memory_tracker.sh[69408]: FilePmdMapped:         0 kB
Sep 02 13:40:35.389953 np0000000909 memory_tracker.sh[69408]: Unaccepted:            0 kB
Sep 02 13:40:35.389953 np0000000909 memory_tracker.sh[69408]: HugePages_Total:       0
Sep 02 13:40:35.389953 np0000000909 memory_tracker.sh[69408]: HugePages_Free:        0
Sep 02 13:40:35.389953 np0000000909 memory_tracker.sh[69408]: HugePages_Rsvd:        0
Sep 02 13:40:35.389953 np0000000909 memory_tracker.sh[69408]: HugePages_Surp:        0
Sep 02 13:40:35.389953 np0000000909 memory_tracker.sh[69408]: Hugepagesize:       2048 kB
Sep 02 13:40:35.389953 np0000000909 memory_tracker.sh[69408]: Hugetlb:               0 kB
Sep 02 13:40:35.389953 np0000000909 memory_tracker.sh[69408]: DirectMap4k:      214900 kB
Sep 02 13:40:35.389953 np0000000909 memory_tracker.sh[69408]: DirectMap2M:     8173568 kB
Sep 02 13:40:35.392666 np0000000909 memory_tracker.sh[66336]: ---
Sep 02 13:40:35.407762 np0000000909 memory_tracker.sh[69410]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Sep 02 13:40:35.407762 np0000000909 memory_tracker.sh[69410]:      65624    4.9          405244          1   00:00:03       39 do_poll.constprop.0       /usr/sbin/mysqld
Sep 02 13:40:35.407762 np0000000909 memory_tracker.sh[69410]:      27453    1.6          132408          1   00:00:05       24 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Sep 02 13:40:35.407762 np0000000909 memory_tracker.sh[69410]:      49500    0.9           74612          1   00:00:00        8 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Sep 02 13:40:35.407762 np0000000909 memory_tracker.sh[69410]:      64594    0.9           73936          1   00:00:01        1 skb_wait_for_more_packets /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Sep 02 13:40:35.407762 np0000000909 memory_tracker.sh[69410]:      69310    0.8           71680      69308   00:00:00        1 -                         keystoneuWSGI worker 1
Sep 02 13:40:35.407762 np0000000909 memory_tracker.sh[69410]:      69311    0.8           70948      69308   00:00:00        1 -                         keystoneuWSGI worker 2
Sep 02 13:40:35.407762 np0000000909 memory_tracker.sh[69410]:      18418    0.4           39764      18416   00:00:00        4 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 02 13:40:35.408271 np0000000909 memory_tracker.sh[69410]:      67602    0.3           27668          1   00:00:00        9 futex_wait_queue          /opt/stack/bin/etcd --name np0000000909 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000000909=http://10.19.119.38:2380 --initial-advertise-peer-urls http://10.19.119.38:2380 --advertise-client-urls http://10.19.119.38:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://10.19.119.38:2379 --log-level=debug
Sep 02 13:40:35.408271 np0000000909 memory_tracker.sh[69410]:        277    0.3           27292          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Sep 02 13:40:35.408271 np0000000909 memory_tracker.sh[69410]:      60785    0.3           26316          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Sep 02 13:40:35.408271 np0000000909 memory_tracker.sh[69410]:       7783    0.3           26132       7782   00:00:01        2 do_wait                   /usr/bin/python3
Sep 02 13:40:35.408271 np0000000909 memory_tracker.sh[69410]:       2190    0.2           20944          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Sep 02 13:40:35.408271 np0000000909 memory_tracker.sh[69410]:      25406    0.2           20468          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Sep 02 13:40:35.408271 np0000000909 memory_tracker.sh[69410]:        844    0.2           20192          1   00:00:00        2 inet_csk_accept           /usr/bin/python3
Sep 02 13:40:35.408271 np0000000909 memory_tracker.sh[69410]:        672    0.2           19464          1   00:00:00        1 ep_poll                   /usr/sbin/unbound -d -p
Sep 02 13:40:35.408271 np0000000909 memory_tracker.sh[69410]:      69308    0.2           19368          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Sep 02 13:40:35.408271 np0000000909 memory_tracker.sh[69410]:      52763    0.1           15652          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Sep 02 13:40:35.408271 np0000000909 memory_tracker.sh[69410]:      60822    0.1           15512          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Sep 02 13:40:35.408271 np0000000909 memory_tracker.sh[69410]:      56118    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Sep 02 13:40:35.408271 np0000000909 memory_tracker.sh[69410]:          1    0.1           13728          0   00:00:17        1 ep_poll                   /sbin/init nofb
Sep 02 13:40:35.408271 np0000000909 memory_tracker.sh[69410]:      18416    0.1           13076          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 02 13:40:35.408560 np0000000909 memory_tracker.sh[69410]:        328    0.1           12916          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Sep 02 13:40:35.408560 np0000000909 memory_tracker.sh[69410]:      10126    0.1           12180       7789   00:00:02        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-09-02-133324
Sep 02 13:40:35.408560 np0000000909 memory_tracker.sh[69410]:      10131    0.1           12068       7789   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-09-02-133324.summary.2026-09-02-133324
Sep 02 13:40:35.408560 np0000000909 memory_tracker.sh[69410]:        710    0.1           11416          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Sep 02 13:40:35.408560 np0000000909 memory_tracker.sh[69410]:      69376    0.1           11060      69375   00:00:00        1 do_poll.constprop.0       curl -g -k --noproxy * -s -o /dev/null -w %{http_code} http://10.19.119.38/identity/v3/
Sep 02 13:40:35.408560 np0000000909 memory_tracker.sh[69410]:       7789    0.1           10772       7787   00:00:09        1 do_wait                   bash ./stack.sh
Sep 02 13:40:35.408560 np0000000909 memory_tracker.sh[69410]:      67916    0.1            9600          1   00:00:00        1 do_select                 /usr/sbin/apache2 -k start
Sep 02 13:40:35.408560 np0000000909 memory_tracker.sh[69410]:      63618    0.1            9336       7789   00:00:00        1 do_wait                   bash ./stack.sh
Sep 02 13:40:35.408560 np0000000909 memory_tracker.sh[69410]:        427    0.1            9000          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-logind
