Sep 23 07:19:48.312937 np0000001914 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Sep 23 07:19:48.333185 np0000001914 memory_tracker.sh[49117]: [[[
Sep 23 07:19:48.334156 np0000001914 memory_tracker.sh[49135]: Wed Sep 23 07:19:48 UTC 2026
Sep 23 07:19:48.334464 np0000001914 memory_tracker.sh[49117]: ---
Sep 23 07:19:48.438752 np0000001914 memory_tracker.sh[49139]: [iscsid (pid:40056)]=14172KB; [multipathd (pid:282)]=288928KB; [ovs-vswitchd (pid:35636)]=532468KB
Sep 23 07:19:48.448856 np0000001914 memory_tracker.sh[49117]: ]]]
Sep 23 07:20:08.469398 np0000001914 memory_tracker.sh[49117]: [[[
Sep 23 07:20:08.471554 np0000001914 memory_tracker.sh[51559]: Wed Sep 23 07:20:08 UTC 2026
Sep 23 07:20:08.472708 np0000001914 memory_tracker.sh[49117]: ---
Sep 23 07:20:08.472708 np0000001914 memory_tracker.sh[49117]: memory_tracker low_point: 6597244
Sep 23 07:20:08.472708 np0000001914 memory_tracker.sh[49117]: ---
Sep 23 07:20:08.473938 np0000001914 memory_tracker.sh[51560]: MemTotal:        8131780 kB
Sep 23 07:20:08.473938 np0000001914 memory_tracker.sh[51560]: MemFree:          193028 kB
Sep 23 07:20:08.473938 np0000001914 memory_tracker.sh[51560]: MemAvailable:    6597356 kB
Sep 23 07:20:08.473938 np0000001914 memory_tracker.sh[51560]: Buffers:          187584 kB
Sep 23 07:20:08.473938 np0000001914 memory_tracker.sh[51560]: Cached:          6266056 kB
Sep 23 07:20:08.473938 np0000001914 memory_tracker.sh[51560]: SwapCached:            0 kB
Sep 23 07:20:08.473938 np0000001914 memory_tracker.sh[51560]: Active:          1274820 kB
Sep 23 07:20:08.473938 np0000001914 memory_tracker.sh[51560]: Inactive:        5961192 kB
Sep 23 07:20:08.473938 np0000001914 memory_tracker.sh[51560]: Active(anon):     831172 kB
Sep 23 07:20:08.473938 np0000001914 memory_tracker.sh[51560]: Inactive(anon):   125868 kB
Sep 23 07:20:08.473938 np0000001914 memory_tracker.sh[51560]: Active(file):     443648 kB
Sep 23 07:20:08.473938 np0000001914 memory_tracker.sh[51560]: Inactive(file):  5835324 kB
Sep 23 07:20:08.473938 np0000001914 memory_tracker.sh[51560]: Unevictable:      101972 kB
Sep 23 07:20:08.473938 np0000001914 memory_tracker.sh[51560]: Mlocked:          100772 kB
Sep 23 07:20:08.473938 np0000001914 memory_tracker.sh[51560]: SwapTotal:       8388604 kB
Sep 23 07:20:08.473938 np0000001914 memory_tracker.sh[51560]: SwapFree:        8388080 kB
Sep 23 07:20:08.473938 np0000001914 memory_tracker.sh[51560]: Zswap:               332 kB
Sep 23 07:20:08.473938 np0000001914 memory_tracker.sh[51560]: Zswapped:             64 kB
Sep 23 07:20:08.473938 np0000001914 memory_tracker.sh[51560]: Dirty:            118448 kB
Sep 23 07:20:08.473938 np0000001914 memory_tracker.sh[51560]: Writeback:             0 kB
Sep 23 07:20:08.473938 np0000001914 memory_tracker.sh[51560]: AnonPages:        884460 kB
Sep 23 07:20:08.473938 np0000001914 memory_tracker.sh[51560]: Mapped:           183408 kB
Sep 23 07:20:08.473938 np0000001914 memory_tracker.sh[51560]: Shmem:            154804 kB
Sep 23 07:20:08.473938 np0000001914 memory_tracker.sh[51560]: KReclaimable:     430796 kB
Sep 23 07:20:08.473938 np0000001914 memory_tracker.sh[51560]: Slab:             515588 kB
Sep 23 07:20:08.473938 np0000001914 memory_tracker.sh[51560]: SReclaimable:     430796 kB
Sep 23 07:20:08.473938 np0000001914 memory_tracker.sh[51560]: SUnreclaim:        84792 kB
Sep 23 07:20:08.473938 np0000001914 memory_tracker.sh[51560]: KernelStack:        6384 kB
Sep 23 07:20:08.473938 np0000001914 memory_tracker.sh[51560]: PageTables:         9176 kB
Sep 23 07:20:08.473938 np0000001914 memory_tracker.sh[51560]: SecPageTables:         0 kB
Sep 23 07:20:08.473938 np0000001914 memory_tracker.sh[51560]: NFS_Unstable:          0 kB
Sep 23 07:20:08.473938 np0000001914 memory_tracker.sh[51560]: Bounce:                0 kB
Sep 23 07:20:08.473938 np0000001914 memory_tracker.sh[51560]: WritebackTmp:          0 kB
Sep 23 07:20:08.473938 np0000001914 memory_tracker.sh[51560]: CommitLimit:    12454492 kB
Sep 23 07:20:08.473938 np0000001914 memory_tracker.sh[51560]: Committed_AS:    2584916 kB
Sep 23 07:20:08.473938 np0000001914 memory_tracker.sh[51560]: VmallocTotal:   34359738367 kB
Sep 23 07:20:08.473938 np0000001914 memory_tracker.sh[51560]: VmallocUsed:       18676 kB
Sep 23 07:20:08.473938 np0000001914 memory_tracker.sh[51560]: VmallocChunk:          0 kB
Sep 23 07:20:08.473938 np0000001914 memory_tracker.sh[51560]: Percpu:             2432 kB
Sep 23 07:20:08.473938 np0000001914 memory_tracker.sh[51560]: HardwareCorrupted:     0 kB
Sep 23 07:20:08.473938 np0000001914 memory_tracker.sh[51560]: AnonHugePages:         0 kB
Sep 23 07:20:08.473938 np0000001914 memory_tracker.sh[51560]: ShmemHugePages:        0 kB
Sep 23 07:20:08.473938 np0000001914 memory_tracker.sh[51560]: ShmemPmdMapped:        0 kB
Sep 23 07:20:08.473938 np0000001914 memory_tracker.sh[51560]: FileHugePages:         0 kB
Sep 23 07:20:08.473938 np0000001914 memory_tracker.sh[51560]: FilePmdMapped:         0 kB
Sep 23 07:20:08.473938 np0000001914 memory_tracker.sh[51560]: Unaccepted:            0 kB
Sep 23 07:20:08.473938 np0000001914 memory_tracker.sh[51560]: HugePages_Total:       0
Sep 23 07:20:08.473938 np0000001914 memory_tracker.sh[51560]: HugePages_Free:        0
Sep 23 07:20:08.473938 np0000001914 memory_tracker.sh[51560]: HugePages_Rsvd:        0
Sep 23 07:20:08.473938 np0000001914 memory_tracker.sh[51560]: HugePages_Surp:        0
Sep 23 07:20:08.473938 np0000001914 memory_tracker.sh[51560]: Hugepagesize:       2048 kB
Sep 23 07:20:08.473938 np0000001914 memory_tracker.sh[51560]: Hugetlb:               0 kB
Sep 23 07:20:08.473938 np0000001914 memory_tracker.sh[51560]: DirectMap4k:      171892 kB
Sep 23 07:20:08.473938 np0000001914 memory_tracker.sh[51560]: DirectMap2M:     8216576 kB
Sep 23 07:20:08.479811 np0000001914 memory_tracker.sh[49117]: ---
Sep 23 07:20:08.494130 np0000001914 memory_tracker.sh[51562]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Sep 23 07:20:08.494130 np0000001914 memory_tracker.sh[51562]:      48439    4.9          406112          1   00:00:02       39 do_poll.constprop.0       /usr/sbin/mysqld
Sep 23 07:20:08.494130 np0000001914 memory_tracker.sh[51562]:      18432    1.6          130484          1   00:00:06       24 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Sep 23 07:20:08.494130 np0000001914 memory_tracker.sh[51562]:      51491    1.1           93332      51490   00:00:01        1 -                         keystoneuWSGI worker 1
Sep 23 07:20:08.494130 np0000001914 memory_tracker.sh[51562]:      51492    1.1           92912      51490   00:00:01        1 -                         keystoneuWSGI worker 2
Sep 23 07:20:08.494130 np0000001914 memory_tracker.sh[51562]:      35636    0.9           74616          1   00:00:00        8 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Sep 23 07:20:08.494130 np0000001914 memory_tracker.sh[51562]:      47683    0.9           73924          1   00:00:01        1 skb_wait_for_more_packets /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Sep 23 07:20:08.494130 np0000001914 memory_tracker.sh[51562]:      11025    0.4           39936      11023   00:00:00        4 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 23 07:20:08.495786 np0000001914 memory_tracker.sh[51562]:      50292    0.3           28196          1   00:00:00        9 futex_wait_queue          /opt/stack/bin/etcd --name np0000001914 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000001914=http://10.19.119.239:2380 --initial-advertise-peer-urls http://10.19.119.239:2380 --advertise-client-urls http://10.19.119.239:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://10.19.119.239:2379 --log-level=debug
Sep 23 07:20:08.495786 np0000001914 memory_tracker.sh[51562]:        282    0.3           27292          1   00:00:16        7 futex_wait_queue          /sbin/multipathd -d -s
Sep 23 07:20:08.495786 np0000001914 memory_tracker.sh[51562]:      44389    0.3           26208          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Sep 23 07:20:08.495786 np0000001914 memory_tracker.sh[51562]:       2857    0.3           26188       2856   00:00:01        2 do_wait                   /usr/bin/python3
Sep 23 07:20:08.495786 np0000001914 memory_tracker.sh[51562]:       5620    0.2           20916          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Sep 23 07:20:08.495786 np0000001914 memory_tracker.sh[51562]:      17397    0.2           20324          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Sep 23 07:20:08.495786 np0000001914 memory_tracker.sh[51562]:       1762    0.2           20188          1   00:00:00        2 inet_csk_accept           /usr/bin/python3
Sep 23 07:20:08.495786 np0000001914 memory_tracker.sh[51562]:        867    0.2           19488          1   00:00:00        1 ep_poll                   /usr/sbin/unbound -d -p
Sep 23 07:20:08.495786 np0000001914 memory_tracker.sh[51562]:      51490    0.2           19268          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Sep 23 07:20:08.495786 np0000001914 memory_tracker.sh[51562]:      44423    0.1           15516          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Sep 23 07:20:08.495786 np0000001914 memory_tracker.sh[51562]:      37987    0.1           15496          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Sep 23 07:20:08.495786 np0000001914 memory_tracker.sh[51562]:      40056    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Sep 23 07:20:08.495786 np0000001914 memory_tracker.sh[51562]:          1    0.1           13800          0   00:00:19        1 ep_poll                   /sbin/init nofb
Sep 23 07:20:08.495786 np0000001914 memory_tracker.sh[51562]:      11023    0.1           13044          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 23 07:20:08.496299 np0000001914 memory_tracker.sh[51562]:        350    0.1           12928          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Sep 23 07:20:08.496299 np0000001914 memory_tracker.sh[51562]:       5024    0.1           12276       2860   00:00:02        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-09-23-071158
Sep 23 07:20:08.496299 np0000001914 memory_tracker.sh[51562]:       5029    0.1           12012       2860   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-09-23-071158.summary.2026-09-23-071158
Sep 23 07:20:08.496299 np0000001914 memory_tracker.sh[51562]:       1622    0.1           11364          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Sep 23 07:20:08.496299 np0000001914 memory_tracker.sh[51562]:      51553    0.1           11064      51552   00:00:00        1 do_poll.constprop.0       curl -g -k --noproxy * -s -o /dev/null -w %{http_code} http://10.19.119.239/identity/v3/
Sep 23 07:20:08.496299 np0000001914 memory_tracker.sh[51562]:       2860    0.1           10756       2858   00:00:12        1 do_wait                   bash ./stack.sh
Sep 23 07:20:08.496299 np0000001914 memory_tracker.sh[51562]:      50609    0.1            9540          1   00:00:00        1 do_select                 /usr/sbin/apache2 -k start
Sep 23 07:20:08.496299 np0000001914 memory_tracker.sh[51562]:      46854    0.1            9324       2860   00:00:00        1 do_wait                   bash ./stack.sh
Sep 23 07:20:08.496299 np0000001914 memory_tracker.sh[51562]:        458    0.1            8916          1   00:00:01        1 ep_poll                   /usr/lib/systemd/systemd-logind
