Sep 24 11:08:27.720044 np0000002459 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Sep 24 11:08:27.738812 np0000002459 memory_tracker.sh[71958]: [[[
Sep 24 11:08:27.740570 np0000002459 memory_tracker.sh[71975]: Thu Sep 24 11:08:27 UTC 2026
Sep 24 11:08:27.741194 np0000002459 memory_tracker.sh[71958]: ---
Sep 24 11:08:27.821589 np0000002459 memory_tracker.sh[71979]: [iscsid (pid:61623)]=14172KB; [multipathd (pid:275)]=288928KB; [ovs-vswitchd (pid:50936)]=532468KB
Sep 24 11:08:27.831508 np0000002459 memory_tracker.sh[71958]: ]]]
Sep 24 11:08:47.851998 np0000002459 memory_tracker.sh[71958]: [[[
Sep 24 11:08:47.855239 np0000002459 memory_tracker.sh[75151]: Thu Sep 24 11:08:47 UTC 2026
Sep 24 11:08:47.855761 np0000002459 memory_tracker.sh[71958]: ---
Sep 24 11:08:47.855761 np0000002459 memory_tracker.sh[71958]: memory_tracker low_point: 6458756
Sep 24 11:08:47.855870 np0000002459 memory_tracker.sh[71958]: ---
Sep 24 11:08:47.858039 np0000002459 memory_tracker.sh[75152]: MemTotal:        8131788 kB
Sep 24 11:08:47.858039 np0000002459 memory_tracker.sh[75152]: MemFree:          202216 kB
Sep 24 11:08:47.858039 np0000002459 memory_tracker.sh[75152]: MemAvailable:    6458524 kB
Sep 24 11:08:47.858039 np0000002459 memory_tracker.sh[75152]: Buffers:          211172 kB
Sep 24 11:08:47.858039 np0000002459 memory_tracker.sh[75152]: Cached:          6045104 kB
Sep 24 11:08:47.858039 np0000002459 memory_tracker.sh[75152]: SwapCached:            4 kB
Sep 24 11:08:47.858039 np0000002459 memory_tracker.sh[75152]: Active:          1483740 kB
Sep 24 11:08:47.858039 np0000002459 memory_tracker.sh[75152]: Inactive:        5620396 kB
Sep 24 11:08:47.858039 np0000002459 memory_tracker.sh[75152]: Active(anon):     896788 kB
Sep 24 11:08:47.858039 np0000002459 memory_tracker.sh[75152]: Inactive(anon):   125696 kB
Sep 24 11:08:47.858039 np0000002459 memory_tracker.sh[75152]: Active(file):     586952 kB
Sep 24 11:08:47.858039 np0000002459 memory_tracker.sh[75152]: Inactive(file):  5494700 kB
Sep 24 11:08:47.858039 np0000002459 memory_tracker.sh[75152]: Unevictable:      101972 kB
Sep 24 11:08:47.858039 np0000002459 memory_tracker.sh[75152]: Mlocked:          100772 kB
Sep 24 11:08:47.858039 np0000002459 memory_tracker.sh[75152]: SwapTotal:       8388604 kB
Sep 24 11:08:47.858039 np0000002459 memory_tracker.sh[75152]: SwapFree:        8388080 kB
Sep 24 11:08:47.858039 np0000002459 memory_tracker.sh[75152]: Zswap:               336 kB
Sep 24 11:08:47.858039 np0000002459 memory_tracker.sh[75152]: Zswapped:             68 kB
Sep 24 11:08:47.858039 np0000002459 memory_tracker.sh[75152]: Dirty:            139504 kB
Sep 24 11:08:47.858039 np0000002459 memory_tracker.sh[75152]: Writeback:            80 kB
Sep 24 11:08:47.858039 np0000002459 memory_tracker.sh[75152]: AnonPages:        949920 kB
Sep 24 11:08:47.858039 np0000002459 memory_tracker.sh[75152]: Mapped:           191468 kB
Sep 24 11:08:47.858039 np0000002459 memory_tracker.sh[75152]: Shmem:            154760 kB
Sep 24 11:08:47.858039 np0000002459 memory_tracker.sh[75152]: KReclaimable:     480096 kB
Sep 24 11:08:47.858039 np0000002459 memory_tracker.sh[75152]: Slab:             569288 kB
Sep 24 11:08:47.858039 np0000002459 memory_tracker.sh[75152]: SReclaimable:     480096 kB
Sep 24 11:08:47.858039 np0000002459 memory_tracker.sh[75152]: SUnreclaim:        89192 kB
Sep 24 11:08:47.858039 np0000002459 memory_tracker.sh[75152]: KernelStack:        6992 kB
Sep 24 11:08:47.858039 np0000002459 memory_tracker.sh[75152]: PageTables:         9596 kB
Sep 24 11:08:47.858039 np0000002459 memory_tracker.sh[75152]: SecPageTables:         0 kB
Sep 24 11:08:47.858039 np0000002459 memory_tracker.sh[75152]: NFS_Unstable:          0 kB
Sep 24 11:08:47.858039 np0000002459 memory_tracker.sh[75152]: Bounce:                0 kB
Sep 24 11:08:47.858039 np0000002459 memory_tracker.sh[75152]: WritebackTmp:          0 kB
Sep 24 11:08:47.858039 np0000002459 memory_tracker.sh[75152]: CommitLimit:    12454496 kB
Sep 24 11:08:47.858039 np0000002459 memory_tracker.sh[75152]: Committed_AS:    2647960 kB
Sep 24 11:08:47.858039 np0000002459 memory_tracker.sh[75152]: VmallocTotal:   34359738367 kB
Sep 24 11:08:47.858039 np0000002459 memory_tracker.sh[75152]: VmallocUsed:       86816 kB
Sep 24 11:08:47.858039 np0000002459 memory_tracker.sh[75152]: VmallocChunk:          0 kB
Sep 24 11:08:47.858039 np0000002459 memory_tracker.sh[75152]: Percpu:             2432 kB
Sep 24 11:08:47.858039 np0000002459 memory_tracker.sh[75152]: HardwareCorrupted:     0 kB
Sep 24 11:08:47.858039 np0000002459 memory_tracker.sh[75152]: AnonHugePages:         0 kB
Sep 24 11:08:47.858039 np0000002459 memory_tracker.sh[75152]: ShmemHugePages:        0 kB
Sep 24 11:08:47.858039 np0000002459 memory_tracker.sh[75152]: ShmemPmdMapped:        0 kB
Sep 24 11:08:47.858039 np0000002459 memory_tracker.sh[75152]: FileHugePages:         0 kB
Sep 24 11:08:47.858039 np0000002459 memory_tracker.sh[75152]: FilePmdMapped:         0 kB
Sep 24 11:08:47.858039 np0000002459 memory_tracker.sh[75152]: Unaccepted:            0 kB
Sep 24 11:08:47.858039 np0000002459 memory_tracker.sh[75152]: HugePages_Total:       0
Sep 24 11:08:47.858039 np0000002459 memory_tracker.sh[75152]: HugePages_Free:        0
Sep 24 11:08:47.858039 np0000002459 memory_tracker.sh[75152]: HugePages_Rsvd:        0
Sep 24 11:08:47.858039 np0000002459 memory_tracker.sh[75152]: HugePages_Surp:        0
Sep 24 11:08:47.858039 np0000002459 memory_tracker.sh[75152]: Hugepagesize:       2048 kB
Sep 24 11:08:47.858039 np0000002459 memory_tracker.sh[75152]: Hugetlb:               0 kB
Sep 24 11:08:47.858039 np0000002459 memory_tracker.sh[75152]: DirectMap4k:      212852 kB
Sep 24 11:08:47.858039 np0000002459 memory_tracker.sh[75152]: DirectMap2M:     8175616 kB
Sep 24 11:08:47.862007 np0000002459 memory_tracker.sh[71958]: ---
Sep 24 11:08:47.882472 np0000002459 memory_tracker.sh[75155]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Sep 24 11:08:47.882472 np0000002459 memory_tracker.sh[75155]:      71185    4.9          405660          1   00:00:02       39 do_poll.constprop.0       /usr/sbin/mysqld
Sep 24 11:08:47.882472 np0000002459 memory_tracker.sh[75155]:      28259    1.5          129872          1   00:00:05       24 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Sep 24 11:08:47.882472 np0000002459 memory_tracker.sh[75155]:      74800    1.5          126796      74798   00:00:03        1 ep_poll                   keystoneuWSGI worker 2
Sep 24 11:08:47.882472 np0000002459 memory_tracker.sh[75155]:      74799    1.5          126780      74798   00:00:03        1 rt_mutex_schedule         keystoneuWSGI worker 1
Sep 24 11:08:47.882472 np0000002459 memory_tracker.sh[75155]:      50936    0.9           74616          1   00:00:00        8 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Sep 24 11:08:47.882472 np0000002459 memory_tracker.sh[75155]:      70135    0.9           73892          1   00:00:01        1 skb_wait_for_more_packets /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Sep 24 11:08:47.882472 np0000002459 memory_tracker.sh[75155]:      18146    0.4           39944      18143   00:00:00        4 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 24 11:08:47.884840 np0000002459 memory_tracker.sh[75155]:      73204    0.3           27916          1   00:00:00        8 futex_wait_queue          /opt/stack/bin/etcd --name np0000002459 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000002459=http://10.19.119.4:2380 --initial-advertise-peer-urls http://10.19.119.4:2380 --advertise-client-urls http://10.19.119.4:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://10.19.119.4:2379 --log-level=debug
Sep 24 11:08:47.884840 np0000002459 memory_tracker.sh[75155]:        275    0.3           27292          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Sep 24 11:08:47.884840 np0000002459 memory_tracker.sh[75155]:      66338    0.3           26288          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Sep 24 11:08:47.884840 np0000002459 memory_tracker.sh[75155]:       7798    0.3           26068       7797   00:00:01        2 do_wait                   /usr/bin/python3
Sep 24 11:08:47.884840 np0000002459 memory_tracker.sh[75155]:       2208    0.2           20712          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Sep 24 11:08:47.884840 np0000002459 memory_tracker.sh[75155]:      26008    0.2           20624          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Sep 24 11:08:47.884840 np0000002459 memory_tracker.sh[75155]:        841    0.2           20140          1   00:00:00        2 inet_csk_accept           /usr/bin/python3
Sep 24 11:08:47.884840 np0000002459 memory_tracker.sh[75155]:        663    0.2           19492          1   00:00:00        1 ep_poll                   /usr/sbin/unbound -d -p
Sep 24 11:08:47.884840 np0000002459 memory_tracker.sh[75155]:      74798    0.2           19256          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Sep 24 11:08:47.884840 np0000002459 memory_tracker.sh[75155]:      66375    0.1           15492          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Sep 24 11:08:47.884840 np0000002459 memory_tracker.sh[75155]:      57851    0.1           15432          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Sep 24 11:08:47.884840 np0000002459 memory_tracker.sh[75155]:      61623    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Sep 24 11:08:47.884840 np0000002459 memory_tracker.sh[75155]:          1    0.1           13812          0   00:00:18        1 ep_poll                   /sbin/init nofb
Sep 24 11:08:47.884840 np0000002459 memory_tracker.sh[75155]:      18143    0.1           13036          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 24 11:08:47.885226 np0000002459 memory_tracker.sh[75155]:        349    0.1           12904          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Sep 24 11:08:47.885226 np0000002459 memory_tracker.sh[75155]:      10482    0.1           12212       7803   00:00:02        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-09-24-105856
Sep 24 11:08:47.885226 np0000002459 memory_tracker.sh[75155]:      10487    0.1           12044       7803   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-09-24-105856.summary.2026-09-24-105856
Sep 24 11:08:47.885226 np0000002459 memory_tracker.sh[75155]:        707    0.1           11416          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Sep 24 11:08:47.885226 np0000002459 memory_tracker.sh[75155]:       7803    0.1           10776       7801   00:00:10        1 do_wait                   bash ./stack.sh
Sep 24 11:08:47.885226 np0000002459 memory_tracker.sh[75155]:      73528    0.1            9628          1   00:00:00        1 do_select                 /usr/sbin/apache2 -k start
Sep 24 11:08:47.885226 np0000002459 memory_tracker.sh[75155]:      69153    0.1            9400       7803   00:00:00        1 do_wait                   bash ./stack.sh
Sep 24 11:08:47.885226 np0000002459 memory_tracker.sh[75155]:        420    0.1            9048          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-logind
