Sep 04 01:44:57.652120 np0000000935 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Sep 04 01:44:57.668457 np0000000935 memory_tracker.sh[48468]: [[[
Sep 04 01:44:57.670111 np0000000935 memory_tracker.sh[48483]: Fri Sep  4 01:44:57 UTC 2026
Sep 04 01:44:57.671094 np0000000935 memory_tracker.sh[48468]: ---
Sep 04 01:44:57.747775 np0000000935 memory_tracker.sh[48487]: [iscsid (pid:39449)]=14172KB; [multipathd (pid:277)]=288928KB; [ovs-vswitchd (pid:34949)]=532476KB
Sep 04 01:44:57.759388 np0000000935 memory_tracker.sh[48468]: ]]]
Sep 04 01:45:17.779656 np0000000935 memory_tracker.sh[48468]: [[[
Sep 04 01:45:17.781720 np0000000935 memory_tracker.sh[50829]: Fri Sep  4 01:45:17 UTC 2026
Sep 04 01:45:17.782199 np0000000935 memory_tracker.sh[48468]: ---
Sep 04 01:45:17.782199 np0000000935 memory_tracker.sh[48468]: memory_tracker low_point: 6663284
Sep 04 01:45:17.782199 np0000000935 memory_tracker.sh[48468]: ---
Sep 04 01:45:17.784521 np0000000935 memory_tracker.sh[50830]: MemTotal:        8131780 kB
Sep 04 01:45:17.784521 np0000000935 memory_tracker.sh[50830]: MemFree:          320516 kB
Sep 04 01:45:17.784521 np0000000935 memory_tracker.sh[50830]: MemAvailable:    6663456 kB
Sep 04 01:45:17.784521 np0000000935 memory_tracker.sh[50830]: Buffers:          187356 kB
Sep 04 01:45:17.784521 np0000000935 memory_tracker.sh[50830]: Cached:          6205860 kB
Sep 04 01:45:17.784521 np0000000935 memory_tracker.sh[50830]: SwapCached:            0 kB
Sep 04 01:45:17.784521 np0000000935 memory_tracker.sh[50830]: Active:          1146332 kB
Sep 04 01:45:17.784521 np0000000935 memory_tracker.sh[50830]: Inactive:        5884424 kB
Sep 04 01:45:17.784521 np0000000935 memory_tracker.sh[50830]: Active(anon):     686248 kB
Sep 04 01:45:17.784521 np0000000935 memory_tracker.sh[50830]: Inactive(anon):   125896 kB
Sep 04 01:45:17.784521 np0000000935 memory_tracker.sh[50830]: Active(file):     460084 kB
Sep 04 01:45:17.784521 np0000000935 memory_tracker.sh[50830]: Inactive(file):  5758528 kB
Sep 04 01:45:17.784521 np0000000935 memory_tracker.sh[50830]: Unevictable:      101980 kB
Sep 04 01:45:17.784521 np0000000935 memory_tracker.sh[50830]: Mlocked:          100780 kB
Sep 04 01:45:17.784521 np0000000935 memory_tracker.sh[50830]: SwapTotal:       8388604 kB
Sep 04 01:45:17.784521 np0000000935 memory_tracker.sh[50830]: SwapFree:        8388080 kB
Sep 04 01:45:17.784521 np0000000935 memory_tracker.sh[50830]: Zswap:               332 kB
Sep 04 01:45:17.784521 np0000000935 memory_tracker.sh[50830]: Zswapped:             64 kB
Sep 04 01:45:17.784521 np0000000935 memory_tracker.sh[50830]: Dirty:            148536 kB
Sep 04 01:45:17.784521 np0000000935 memory_tracker.sh[50830]: Writeback:             0 kB
Sep 04 01:45:17.784521 np0000000935 memory_tracker.sh[50830]: AnonPages:        739736 kB
Sep 04 01:45:17.784521 np0000000935 memory_tracker.sh[50830]: Mapped:           170864 kB
Sep 04 01:45:17.784521 np0000000935 memory_tracker.sh[50830]: Shmem:            154740 kB
Sep 04 01:45:17.784521 np0000000935 memory_tracker.sh[50830]: KReclaimable:     429768 kB
Sep 04 01:45:17.784521 np0000000935 memory_tracker.sh[50830]: Slab:             514372 kB
Sep 04 01:45:17.784521 np0000000935 memory_tracker.sh[50830]: SReclaimable:     429768 kB
Sep 04 01:45:17.784521 np0000000935 memory_tracker.sh[50830]: SUnreclaim:        84604 kB
Sep 04 01:45:17.784521 np0000000935 memory_tracker.sh[50830]: KernelStack:        6400 kB
Sep 04 01:45:17.784521 np0000000935 memory_tracker.sh[50830]: PageTables:         8656 kB
Sep 04 01:45:17.784521 np0000000935 memory_tracker.sh[50830]: SecPageTables:         0 kB
Sep 04 01:45:17.784521 np0000000935 memory_tracker.sh[50830]: NFS_Unstable:          0 kB
Sep 04 01:45:17.784521 np0000000935 memory_tracker.sh[50830]: Bounce:                0 kB
Sep 04 01:45:17.784521 np0000000935 memory_tracker.sh[50830]: WritebackTmp:          0 kB
Sep 04 01:45:17.784521 np0000000935 memory_tracker.sh[50830]: CommitLimit:    12454492 kB
Sep 04 01:45:17.784521 np0000000935 memory_tracker.sh[50830]: Committed_AS:    2420988 kB
Sep 04 01:45:17.784521 np0000000935 memory_tracker.sh[50830]: VmallocTotal:   34359738367 kB
Sep 04 01:45:17.784521 np0000000935 memory_tracker.sh[50830]: VmallocUsed:       18664 kB
Sep 04 01:45:17.784521 np0000000935 memory_tracker.sh[50830]: VmallocChunk:          0 kB
Sep 04 01:45:17.784521 np0000000935 memory_tracker.sh[50830]: Percpu:             2432 kB
Sep 04 01:45:17.784521 np0000000935 memory_tracker.sh[50830]: HardwareCorrupted:     0 kB
Sep 04 01:45:17.784521 np0000000935 memory_tracker.sh[50830]: AnonHugePages:         0 kB
Sep 04 01:45:17.784521 np0000000935 memory_tracker.sh[50830]: ShmemHugePages:        0 kB
Sep 04 01:45:17.784521 np0000000935 memory_tracker.sh[50830]: ShmemPmdMapped:        0 kB
Sep 04 01:45:17.784521 np0000000935 memory_tracker.sh[50830]: FileHugePages:         0 kB
Sep 04 01:45:17.784521 np0000000935 memory_tracker.sh[50830]: FilePmdMapped:         0 kB
Sep 04 01:45:17.784521 np0000000935 memory_tracker.sh[50830]: Unaccepted:            0 kB
Sep 04 01:45:17.784521 np0000000935 memory_tracker.sh[50830]: HugePages_Total:       0
Sep 04 01:45:17.784521 np0000000935 memory_tracker.sh[50830]: HugePages_Free:        0
Sep 04 01:45:17.784521 np0000000935 memory_tracker.sh[50830]: HugePages_Rsvd:        0
Sep 04 01:45:17.784521 np0000000935 memory_tracker.sh[50830]: HugePages_Surp:        0
Sep 04 01:45:17.784521 np0000000935 memory_tracker.sh[50830]: Hugepagesize:       2048 kB
Sep 04 01:45:17.784521 np0000000935 memory_tracker.sh[50830]: Hugetlb:               0 kB
Sep 04 01:45:17.784521 np0000000935 memory_tracker.sh[50830]: DirectMap4k:      175988 kB
Sep 04 01:45:17.784521 np0000000935 memory_tracker.sh[50830]: DirectMap2M:     8212480 kB
Sep 04 01:45:17.786634 np0000000935 memory_tracker.sh[48468]: ---
Sep 04 01:45:17.804351 np0000000935 memory_tracker.sh[50832]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Sep 04 01:45:17.804351 np0000000935 memory_tracker.sh[50832]:      47826    4.9          405776          1   00:00:03       39 do_poll.constprop.0       /usr/sbin/mysqld
Sep 04 01:45:17.804351 np0000000935 memory_tracker.sh[50832]:      17701    1.6          130856          1   00:00:06       24 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Sep 04 01:45:17.804351 np0000000935 memory_tracker.sh[50832]:      34949    0.9           74624          1   00:00:00        8 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Sep 04 01:45:17.804351 np0000000935 memory_tracker.sh[50832]:      47072    0.9           74012          1   00:00:01        1 skb_wait_for_more_packets /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Sep 04 01:45:17.804351 np0000000935 memory_tracker.sh[50832]:      11120    0.4           39892      11118   00:00:00        4 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 04 01:45:17.804351 np0000000935 memory_tracker.sh[50832]:      49620    0.3           27784          1   00:00:00        9 futex_wait_queue          /opt/stack/bin/etcd --name np0000000935 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000000935=http://10.19.119.31:2380 --initial-advertise-peer-urls http://10.19.119.31:2380 --advertise-client-urls http://10.19.119.31:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://10.19.119.31:2379 --log-level=debug
Sep 04 01:45:17.805361 np0000000935 memory_tracker.sh[50832]:        277    0.3           27292          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Sep 04 01:45:17.805361 np0000000935 memory_tracker.sh[50832]:      43779    0.3           26388          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Sep 04 01:45:17.805361 np0000000935 memory_tracker.sh[50832]:       2234    0.3           26076       2233   00:00:01        2 do_wait                   /usr/bin/python3
Sep 04 01:45:17.805361 np0000000935 memory_tracker.sh[50832]:       5000    0.2           20940          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Sep 04 01:45:17.805361 np0000000935 memory_tracker.sh[50832]:      16666    0.2           20368          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Sep 04 01:45:17.805361 np0000000935 memory_tracker.sh[50832]:       1152    0.2           20160          1   00:00:00        2 inet_csk_accept           /usr/bin/python3
Sep 04 01:45:17.805361 np0000000935 memory_tracker.sh[50832]:        973    0.2           19368          1   00:00:00        1 ep_poll                   /usr/sbin/unbound -d -p
Sep 04 01:45:17.805361 np0000000935 memory_tracker.sh[50832]:      37377    0.1           15568          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Sep 04 01:45:17.805361 np0000000935 memory_tracker.sh[50832]:      43814    0.1           15404          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Sep 04 01:45:17.805361 np0000000935 memory_tracker.sh[50832]:      39449    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Sep 04 01:45:17.805361 np0000000935 memory_tracker.sh[50832]:          1    0.1           13912          0   00:00:17        1 -                         /sbin/init nofb
Sep 04 01:45:17.805361 np0000000935 memory_tracker.sh[50832]:      11118    0.1           13128          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 04 01:45:17.805361 np0000000935 memory_tracker.sh[50832]:        345    0.1           13020          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Sep 04 01:45:17.805361 np0000000935 memory_tracker.sh[50832]:       4404    0.1           12180       2237   00:00:02        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-09-04-013451
Sep 04 01:45:17.805361 np0000000935 memory_tracker.sh[50832]:       4409    0.1           12068       2237   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-09-04-013451.summary.2026-09-04-013451
Sep 04 01:45:17.805927 np0000000935 memory_tracker.sh[50832]:       1012    0.1           11436          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Sep 04 01:45:17.805927 np0000000935 memory_tracker.sh[50832]:       2237    0.1           10776       2235   00:00:11        1 do_wait                   bash ./stack.sh
Sep 04 01:45:17.805927 np0000000935 memory_tracker.sh[50832]:      49926    0.1            9588          1   00:00:00        1 do_select                 /usr/sbin/apache2 -k start
Sep 04 01:45:17.805927 np0000000935 memory_tracker.sh[50832]:      46241    0.1            9408       2237   00:00:00        1 do_wait                   bash ./stack.sh
Sep 04 01:45:17.805927 np0000000935 memory_tracker.sh[50832]:        458    0.1            9056          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-logind
Sep 04 01:45:17.805927 np0000000935 memory_tracker.sh[50832]:      35436    0.1            8952          1   00:00:00        1 do_poll.constprop.0       ovsdb-server -vconsole:off -vfile:info --log-file=/var/log/ovn/ovsdb-server-sb.log --remote=punix:/var/run/ovn/ovnsb_db.sock --pidfile=/var/run/ovn/ovnsb_db.pid --unixctl=/var/run/ovn/ovnsb_db.ctl --remote=db:OVN_Southbound,SB_Global,connections --private-key=db:OVN_Southbound,SSL,private_key --certificate=db:OVN_Southbound,SSL,certificate --ca-cert=db:OVN_Southbound,SSL,ca_cert --ssl-protocols=db:OVN_Southbound,SSL,ssl_protocols --ssl-ciphers=db:OVN_Southbound,SSL,ssl_ciphers /var/lib/ovn/ovnsb_db.db
