10.19.119.201 - - [16/Sep/2026:18:45:40 +0000] "GET /identity/v3/ HTTP/1.1" 200 504 "-" "curl/8.5.0"
10.19.119.201 - - [16/Sep/2026:18:45:49 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.20.0 keystoneauth1/5.17.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.201 - - [16/Sep/2026:18:45:49 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1433 "-" "openstacksdk/4.20.0 keystoneauth1/5.17.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.201 - - [16/Sep/2026:18:45:50 +0000] "GET /identity/v3/projects/admin HTTP/1.1" 404 338 "-" "openstacksdk/4.20.0 keystoneauth1/5.17.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.201 - - [16/Sep/2026:18:45:50 +0000] "GET /identity/v3/projects?name=admin HTTP/1.1" 200 704 "-" "openstacksdk/4.20.0 keystoneauth1/5.17.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.201 - - [16/Sep/2026:18:45:50 +0000] "GET /identity/v3/projects/e99d691d9c2e41d89ac1c0d16f0aff68 HTTP/1.1" 200 593 "-" "openstacksdk/4.20.0 keystoneauth1/5.17.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.201 - - [16/Sep/2026:18:45:50 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.20.0 keystoneauth1/5.17.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.201 - - [16/Sep/2026:18:45:50 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1433 "-" "openstacksdk/4.20.0 keystoneauth1/5.17.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.201 - - [16/Sep/2026:18:45:50 +0000] "GET /identity/v3/users/admin HTTP/1.1" 404 335 "-" "openstacksdk/4.20.0 keystoneauth1/5.17.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.201 - - [16/Sep/2026:18:45:50 +0000] "GET /identity/v3/users?name=admin HTTP/1.1" 200 604 "-" "openstacksdk/4.20.0 keystoneauth1/5.17.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.201 - - [16/Sep/2026:18:45:51 +0000] "GET /identity HTTP/1.1" 300 579 "-" "openstacksdk/4.20.0 keystoneauth1/5.17.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.201 - - [16/Sep/2026:18:45:51 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1297 "-" "openstacksdk/4.20.0 keystoneauth1/5.17.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.201 - - [16/Sep/2026:18:45:51 +0000] "GET /identity/v3/roles/admin HTTP/1.1" 404 335 "-" "openstacksdk/4.20.0 keystoneauth1/5.17.0 python-requests/2.34.2 CPython/3.12.3"
10.19.119.201 - - [16/Sep/2026:18:45:51 +0000] "GET /identity/v3/roles?name=admin HTTP/1.1" 200 591 "-" "openstacksdk/4.20.0 keystoneauth1/5.17.0 python-requests/2.34.2 CPython/3.12.3"
