10.19.119.66 - - [23/Sep/2026:06:49:48 +0000] "GET /identity/v3/ HTTP/1.1" 200 503 "-" "curl/8.5.0"
10.19.119.66 - - [23/Sep/2026:06:49:57 +0000] "GET /identity HTTP/1.1" 300 577 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.66 - - [23/Sep/2026:06:49:57 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1432 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.66 - - [23/Sep/2026:06:49:57 +0000] "GET /identity/v3/projects/admin HTTP/1.1" 404 338 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.66 - - [23/Sep/2026:06:49:58 +0000] "GET /identity/v3/projects?name=admin HTTP/1.1" 200 702 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.66 - - [23/Sep/2026:06:49:58 +0000] "GET /identity/v3/projects/96eb4b93d36745dfadd41eea2a5c8ff5 HTTP/1.1" 200 592 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.66 - - [23/Sep/2026:06:49:58 +0000] "GET /identity HTTP/1.1" 300 577 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.66 - - [23/Sep/2026:06:49:58 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1432 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.66 - - [23/Sep/2026:06:49:58 +0000] "GET /identity/v3/users/admin HTTP/1.1" 404 335 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.66 - - [23/Sep/2026:06:49:58 +0000] "GET /identity/v3/users?name=admin HTTP/1.1" 200 602 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.66 - - [23/Sep/2026:06:49:58 +0000] "GET /identity HTTP/1.1" 300 577 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.66 - - [23/Sep/2026:06:49:58 +0000] "POST /identity/v3/auth/tokens HTTP/1.1" 201 1296 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.66 - - [23/Sep/2026:06:49:59 +0000] "GET /identity/v3/roles/admin HTTP/1.1" 404 335 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.66 - - [23/Sep/2026:06:49:59 +0000] "GET /identity/v3/roles?name=admin HTTP/1.1" 200 589 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.66 - - [23/Sep/2026:06:49:59 +0000] "GET /identity/v3/users/35dcdb3a5ac04f85843ab9c3fa5c0dc6 HTTP/1.1" 200 495 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.66 - - [23/Sep/2026:06:49:59 +0000] "GET /identity/v3/domains/default HTTP/1.1" 200 447 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.66 - - [23/Sep/2026:06:49:59 +0000] "PUT /identity/v3/domains/default/users/35dcdb3a5ac04f85843ab9c3fa5c0dc6/roles/37f8e01305b7494099e669e7d60a0a75 HTTP/1.1" 204 201 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
10.19.119.66 - - [23/Sep/2026:06:49:59 +0000] "GET /identity HTTP/1.1" 300 577 "-" "openstacksdk/4.10.0 keystoneauth1/5.13.1 python-requests/2.32.5 CPython/3.12.3"
