Sep 01 14:17:07.863695 np0000000863 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Sep 01 14:17:07.880456 np0000000863 memory_tracker.sh[57815]: [[[
Sep 01 14:17:07.881386 np0000000863 memory_tracker.sh[57832]: Tue Sep  1 14:17:07 UTC 2026
Sep 01 14:17:07.881979 np0000000863 memory_tracker.sh[57815]: ---
Sep 01 14:17:07.968400 np0000000863 memory_tracker.sh[57836]: [iscsid (pid:48358)]=14172KB; [multipathd (pid:277)]=288928KB; [ovs-vswitchd (pid:42593)]=532472KB
Sep 01 14:17:07.977046 np0000000863 memory_tracker.sh[57815]: ]]]
Sep 01 14:17:27.985366 np0000000863 memory_tracker.sh[57815]: [[[
Sep 01 14:17:27.986521 np0000000863 memory_tracker.sh[60598]: Tue Sep  1 14:17:27 UTC 2026
Sep 01 14:17:27.986739 np0000000863 memory_tracker.sh[57815]: ---
Sep 01 14:17:27.986772 np0000000863 memory_tracker.sh[57815]: memory_tracker low_point: 6481168
Sep 01 14:17:27.986772 np0000000863 memory_tracker.sh[57815]: ---
Sep 01 14:17:27.987907 np0000000863 memory_tracker.sh[60599]: MemTotal:        8131784 kB
Sep 01 14:17:27.987907 np0000000863 memory_tracker.sh[60599]: MemFree:          190716 kB
Sep 01 14:17:27.987907 np0000000863 memory_tracker.sh[60599]: MemAvailable:    6480928 kB
Sep 01 14:17:27.987907 np0000000863 memory_tracker.sh[60599]: Buffers:          211756 kB
Sep 01 14:17:27.987907 np0000000863 memory_tracker.sh[60599]: Cached:          6082000 kB
Sep 01 14:17:27.987907 np0000000863 memory_tracker.sh[60599]: SwapCached:            0 kB
Sep 01 14:17:27.987907 np0000000863 memory_tracker.sh[60599]: Active:          1481936 kB
Sep 01 14:17:27.987907 np0000000863 memory_tracker.sh[60599]: Inactive:        5658808 kB
Sep 01 14:17:27.987907 np0000000863 memory_tracker.sh[60599]: Active(anon):     895820 kB
Sep 01 14:17:27.987907 np0000000863 memory_tracker.sh[60599]: Inactive(anon):   125828 kB
Sep 01 14:17:27.987907 np0000000863 memory_tracker.sh[60599]: Active(file):     586116 kB
Sep 01 14:17:27.987907 np0000000863 memory_tracker.sh[60599]: Inactive(file):  5532980 kB
Sep 01 14:17:27.987907 np0000000863 memory_tracker.sh[60599]: Unevictable:      101976 kB
Sep 01 14:17:27.987907 np0000000863 memory_tracker.sh[60599]: Mlocked:          100776 kB
Sep 01 14:17:27.987907 np0000000863 memory_tracker.sh[60599]: SwapTotal:       8388604 kB
Sep 01 14:17:27.987907 np0000000863 memory_tracker.sh[60599]: SwapFree:        8388080 kB
Sep 01 14:17:27.987907 np0000000863 memory_tracker.sh[60599]: Zswap:               280 kB
Sep 01 14:17:27.987907 np0000000863 memory_tracker.sh[60599]: Zswapped:             72 kB
Sep 01 14:17:27.987907 np0000000863 memory_tracker.sh[60599]: Dirty:            105540 kB
Sep 01 14:17:27.987907 np0000000863 memory_tracker.sh[60599]: Writeback:             0 kB
Sep 01 14:17:27.987907 np0000000863 memory_tracker.sh[60599]: AnonPages:        949120 kB
Sep 01 14:17:27.987907 np0000000863 memory_tracker.sh[60599]: Mapped:           182356 kB
Sep 01 14:17:27.987907 np0000000863 memory_tracker.sh[60599]: Shmem:            154768 kB
Sep 01 14:17:27.987907 np0000000863 memory_tracker.sh[60599]: KReclaimable:     476556 kB
Sep 01 14:17:27.987907 np0000000863 memory_tracker.sh[60599]: Slab:             565464 kB
Sep 01 14:17:27.987907 np0000000863 memory_tracker.sh[60599]: SReclaimable:     476556 kB
Sep 01 14:17:27.987907 np0000000863 memory_tracker.sh[60599]: SUnreclaim:        88908 kB
Sep 01 14:17:27.987907 np0000000863 memory_tracker.sh[60599]: KernelStack:        7064 kB
Sep 01 14:17:27.987907 np0000000863 memory_tracker.sh[60599]: PageTables:         9428 kB
Sep 01 14:17:27.987907 np0000000863 memory_tracker.sh[60599]: SecPageTables:         0 kB
Sep 01 14:17:27.987907 np0000000863 memory_tracker.sh[60599]: NFS_Unstable:          0 kB
Sep 01 14:17:27.987907 np0000000863 memory_tracker.sh[60599]: Bounce:                0 kB
Sep 01 14:17:27.987907 np0000000863 memory_tracker.sh[60599]: WritebackTmp:          0 kB
Sep 01 14:17:27.987907 np0000000863 memory_tracker.sh[60599]: CommitLimit:    12454496 kB
Sep 01 14:17:27.987907 np0000000863 memory_tracker.sh[60599]: Committed_AS:    2646428 kB
Sep 01 14:17:27.987907 np0000000863 memory_tracker.sh[60599]: VmallocTotal:   34359738367 kB
Sep 01 14:17:27.987907 np0000000863 memory_tracker.sh[60599]: VmallocUsed:       68452 kB
Sep 01 14:17:27.987907 np0000000863 memory_tracker.sh[60599]: VmallocChunk:          0 kB
Sep 01 14:17:27.987907 np0000000863 memory_tracker.sh[60599]: Percpu:             2432 kB
Sep 01 14:17:27.987907 np0000000863 memory_tracker.sh[60599]: HardwareCorrupted:     0 kB
Sep 01 14:17:27.987907 np0000000863 memory_tracker.sh[60599]: AnonHugePages:         0 kB
Sep 01 14:17:27.987907 np0000000863 memory_tracker.sh[60599]: ShmemHugePages:        0 kB
Sep 01 14:17:27.987907 np0000000863 memory_tracker.sh[60599]: ShmemPmdMapped:        0 kB
Sep 01 14:17:27.987907 np0000000863 memory_tracker.sh[60599]: FileHugePages:         0 kB
Sep 01 14:17:27.987907 np0000000863 memory_tracker.sh[60599]: FilePmdMapped:         0 kB
Sep 01 14:17:27.987907 np0000000863 memory_tracker.sh[60599]: Unaccepted:            0 kB
Sep 01 14:17:27.987907 np0000000863 memory_tracker.sh[60599]: HugePages_Total:       0
Sep 01 14:17:27.987907 np0000000863 memory_tracker.sh[60599]: HugePages_Free:        0
Sep 01 14:17:27.987907 np0000000863 memory_tracker.sh[60599]: HugePages_Rsvd:        0
Sep 01 14:17:27.987907 np0000000863 memory_tracker.sh[60599]: HugePages_Surp:        0
Sep 01 14:17:27.987907 np0000000863 memory_tracker.sh[60599]: Hugepagesize:       2048 kB
Sep 01 14:17:27.987907 np0000000863 memory_tracker.sh[60599]: Hugetlb:               0 kB
Sep 01 14:17:27.987907 np0000000863 memory_tracker.sh[60599]: DirectMap4k:      204660 kB
Sep 01 14:17:27.987907 np0000000863 memory_tracker.sh[60599]: DirectMap2M:     8183808 kB
Sep 01 14:17:27.989892 np0000000863 memory_tracker.sh[57815]: ---
Sep 01 14:17:28.006195 np0000000863 memory_tracker.sh[60601]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Sep 01 14:17:28.006195 np0000000863 memory_tracker.sh[60601]:      57147    4.9          406548          1   00:00:02       39 do_poll.constprop.0       /usr/sbin/mysqld
Sep 01 14:17:28.006195 np0000000863 memory_tracker.sh[60601]:      23753    1.5          129460          1   00:00:05       24 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Sep 01 14:17:28.006195 np0000000863 memory_tracker.sh[60601]:      60392    1.5          126988      60390   00:00:02        1 rt_mutex_schedule         keystoneuWSGI worker 2
Sep 01 14:17:28.006195 np0000000863 memory_tracker.sh[60601]:      60391    1.5          126904      60390   00:00:02        1 ep_poll                   keystoneuWSGI worker 1
Sep 01 14:17:28.006195 np0000000863 memory_tracker.sh[60601]:      42593    0.9           74620          1   00:00:00        8 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Sep 01 14:17:28.006195 np0000000863 memory_tracker.sh[60601]:      56283    0.9           73912          1   00:00:01        1 skb_wait_for_more_packets /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Sep 01 14:17:28.006195 np0000000863 memory_tracker.sh[60601]:      16318    0.4           39764      16316   00:00:00        4 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 01 14:17:28.006952 np0000000863 memory_tracker.sh[60601]:      59009    0.3           27600          1   00:00:00        8 futex_wait_queue          /opt/stack/bin/etcd --name np0000000863 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000000863=http://10.19.119.5:2380 --initial-advertise-peer-urls http://10.19.119.5:2380 --advertise-client-urls http://10.19.119.5:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://10.19.119.5:2379 --log-level=debug
Sep 01 14:17:28.006952 np0000000863 memory_tracker.sh[60601]:        277    0.3           27292          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Sep 01 14:17:28.006952 np0000000863 memory_tracker.sh[60601]:      52802    0.3           26220          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Sep 01 14:17:28.006952 np0000000863 memory_tracker.sh[60601]:       7005    0.3           26092       7004   00:00:01        2 do_wait                   /usr/bin/python3
Sep 01 14:17:28.006952 np0000000863 memory_tracker.sh[60601]:       2213    0.2           20976          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Sep 01 14:17:28.006952 np0000000863 memory_tracker.sh[60601]:      22369    0.2           20944          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Sep 01 14:17:28.006952 np0000000863 memory_tracker.sh[60601]:        864    0.2           20180          1   00:00:00        2 inet_csk_accept           /usr/bin/python3
Sep 01 14:17:28.006952 np0000000863 memory_tracker.sh[60601]:        673    0.2           19412          1   00:00:00        1 ep_poll                   /usr/sbin/unbound -d -p
Sep 01 14:17:28.006952 np0000000863 memory_tracker.sh[60601]:      60390    0.2           19288          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Sep 01 14:17:28.006952 np0000000863 memory_tracker.sh[60601]:      45632    0.1           15568          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Sep 01 14:17:28.006952 np0000000863 memory_tracker.sh[60601]:      52835    0.1           15536          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Sep 01 14:17:28.006952 np0000000863 memory_tracker.sh[60601]:      48358    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Sep 01 14:17:28.006952 np0000000863 memory_tracker.sh[60601]:          1    0.1           13924          0   00:00:18        1 ep_poll                   /sbin/init nofb
Sep 01 14:17:28.006952 np0000000863 memory_tracker.sh[60601]:      16316    0.1           13052          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 01 14:17:28.007613 np0000000863 memory_tracker.sh[60601]:        321    0.1           12920          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Sep 01 14:17:28.007613 np0000000863 memory_tracker.sh[60601]:       9232    0.1           12208       7008   00:00:01        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-09-01-140944
Sep 01 14:17:28.007613 np0000000863 memory_tracker.sh[60601]:       9237    0.1           12064       7008   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-09-01-140944.summary.2026-09-01-140944
Sep 01 14:17:28.007613 np0000000863 memory_tracker.sh[60601]:        728    0.1           11160          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Sep 01 14:17:28.007613 np0000000863 memory_tracker.sh[60601]:       7008    0.1           10720       7006   00:00:09        1 -                         bash ./stack.sh
Sep 01 14:17:28.007613 np0000000863 memory_tracker.sh[60601]:      59301    0.1            9520          1   00:00:00        1 do_select                 /usr/sbin/apache2 -k start
Sep 01 14:17:28.007613 np0000000863 memory_tracker.sh[60601]:      55377    0.1            9352       7008   00:00:00        1 do_wait                   bash ./stack.sh
Sep 01 14:17:28.007613 np0000000863 memory_tracker.sh[60601]:        427    0.1            8980          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-logind
Sep 01 14:17:28.007613 np0000000863 memory_tracker.sh[60601]:      43129    0.1            8868          1   00:00:00        1 do_poll.constprop.0       ovsdb-server -vconsole:off -vfile:info --log-file=/var/log/ovn/ovsdb-server-sb.log --remote=punix:/var/run/ovn/ovnsb_db.sock --pidfile=/var/run/ovn/ovnsb_db.pid --unixctl=/var/run/ovn/ovnsb_db.ctl --remote=db:OVN_Southbound,SB_Global,connections --private-key=db:OVN_Southbound,SSL,private_key --certificate=db:OVN_Southbound,SSL,certificate --ca-cert=db:OVN_Southbound,SSL,ca_cert --ssl-protocols=db:OVN_Southbound,SSL,ssl_protocols --ssl-ciphers=db:OVN_Southbound,SSL,ssl_ciphers /var/lib/ovn/ovnsb_db.db
Sep 01 14:17:28.008130 np0000000863 memory_tracker.sh[60601]:      43215    0.1            8788          1   00:00:00        1 do_poll.constprop.0       ovsdb-server -vconsole:off -vfile:info --log-file=/var/log/ovn/ovsdb-server-nb.log --remote=punix:/var/run/ovn/ovnnb_db.sock --pidfile=/var/run/ovn/ovnnb_db.pid --unixctl=/var/run/ovn/ovnnb_db.ctl --remote=db:OVN_Northbound,NB_Global,connections --private-key=db:OVN_Northbound,SSL,private_key --certificate=db:OVN_Northbound,SSL,certificate --ca-cert=db:OVN_Northbound,SSL,ca_cert --ssl-protocols=db:OVN_Northbound,SSL,ssl_protocols --ssl-ciphers=db:OVN_Northbound,SSL,ssl_ciphers /var/lib/ovn/ovnnb_db.db
Sep 01 14:17:28.008130 np0000000863 memory_tracker.sh[60601]:      59308    0.1            8632      59301   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Sep 01 14:17:28.008130 np0000000863 memory_tracker.sh[60601]:      42977    0.1            8304          1   00:00:00        5 do_poll.constprop.0       ovn-controller unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --no-chdir --log-file=/var/log/ovn/ovn-controller.log --pidfile=/var/run/ovn/ovn-controller.pid --detach
Sep 01 14:17:28.008130 np0000000863 memory_tracker.sh[60601]:        656    0.1            8244          1   00:00:00        1 do_poll.constprop.0       sshd: /usr/sbin/sshd -D [listener] 0 of 30-100 startups
Sep 01 14:17:28.008130 np0000000863 memory_tracker.sh[60601]:       2218    0.1            8172          1   00:00:00        4 do_poll.constprop.0       /usr/lib/polkit-1/polkitd --no-debug
Sep 01 14:17:28.008130 np0000000863 memory_tracker.sh[60601]:        323    0.0            8064          1   00:00:00        2 ep_poll                   /usr/lib/systemd/systemd-timesyncd
Sep 01 14:17:28.008130 np0000000863 memory_tracker.sh[60601]:      45386    0.0            7988          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-machined
