Sep 08 10:18:52.593867 np0000000951 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Sep 08 10:18:52.609049 np0000000951 memory_tracker.sh[50248]: [[[
Sep 08 10:18:52.610178 np0000000951 memory_tracker.sh[50261]: Tue Sep  8 10:18:52 UTC 2026
Sep 08 10:18:52.610423 np0000000951 memory_tracker.sh[50248]: ---
Sep 08 10:18:52.652375 np0000000951 memory_tracker.sh[50265]: /opt/stack/devstack/tools/mlock_report.py:9: SyntaxWarning: invalid escape sequence '\s'
Sep 08 10:18:52.652375 np0000000951 memory_tracker.sh[50265]:   "^VmLck:\s+(?P<locked>[\d]+)\s+kB", re.MULTILINE)
Sep 08 10:18:52.688570 np0000000951 memory_tracker.sh[50265]: [iscsid (pid:41480)]=14172KB; [multipathd (pid:275)]=288928KB; [ovs-vswitchd (pid:37254)]=532472KB
Sep 08 10:18:52.698884 np0000000951 memory_tracker.sh[50248]: ]]]
Sep 08 10:19:12.716133 np0000000951 memory_tracker.sh[50248]: [[[
Sep 08 10:19:12.718127 np0000000951 memory_tracker.sh[52861]: Tue Sep  8 10:19:12 UTC 2026
Sep 08 10:19:12.718491 np0000000951 memory_tracker.sh[50248]: ---
Sep 08 10:19:12.718537 np0000000951 memory_tracker.sh[50248]: memory_tracker low_point: 6626556
Sep 08 10:19:12.718537 np0000000951 memory_tracker.sh[50248]: ---
Sep 08 10:19:12.720327 np0000000951 memory_tracker.sh[52862]: MemTotal:        8131780 kB
Sep 08 10:19:12.720327 np0000000951 memory_tracker.sh[52862]: MemFree:          269608 kB
Sep 08 10:19:12.720327 np0000000951 memory_tracker.sh[52862]: MemAvailable:    6626304 kB
Sep 08 10:19:12.720327 np0000000951 memory_tracker.sh[52862]: Buffers:          194800 kB
Sep 08 10:19:12.720327 np0000000951 memory_tracker.sh[52862]: Cached:          6210496 kB
Sep 08 10:19:12.720327 np0000000951 memory_tracker.sh[52862]: SwapCached:            4 kB
Sep 08 10:19:12.720327 np0000000951 memory_tracker.sh[52862]: Active:          1190112 kB
Sep 08 10:19:12.720327 np0000000951 memory_tracker.sh[52862]: Inactive:        5848024 kB
Sep 08 10:19:12.720327 np0000000951 memory_tracker.sh[52862]: Active(anon):     681632 kB
Sep 08 10:19:12.720327 np0000000951 memory_tracker.sh[52862]: Inactive(anon):   125840 kB
Sep 08 10:19:12.720327 np0000000951 memory_tracker.sh[52862]: Active(file):     508480 kB
Sep 08 10:19:12.720327 np0000000951 memory_tracker.sh[52862]: Inactive(file):  5722184 kB
Sep 08 10:19:12.720327 np0000000951 memory_tracker.sh[52862]: Unevictable:      101976 kB
Sep 08 10:19:12.720327 np0000000951 memory_tracker.sh[52862]: Mlocked:          100776 kB
Sep 08 10:19:12.720327 np0000000951 memory_tracker.sh[52862]: SwapTotal:       8388604 kB
Sep 08 10:19:12.720327 np0000000951 memory_tracker.sh[52862]: SwapFree:        8388336 kB
Sep 08 10:19:12.720327 np0000000951 memory_tracker.sh[52862]: Zswap:               372 kB
Sep 08 10:19:12.720327 np0000000951 memory_tracker.sh[52862]: Zswapped:             72 kB
Sep 08 10:19:12.720327 np0000000951 memory_tracker.sh[52862]: Dirty:              1688 kB
Sep 08 10:19:12.720327 np0000000951 memory_tracker.sh[52862]: Writeback:             0 kB
Sep 08 10:19:12.720327 np0000000951 memory_tracker.sh[52862]: AnonPages:        734856 kB
Sep 08 10:19:12.720327 np0000000951 memory_tracker.sh[52862]: Mapped:           171172 kB
Sep 08 10:19:12.720327 np0000000951 memory_tracker.sh[52862]: Shmem:            154768 kB
Sep 08 10:19:12.720327 np0000000951 memory_tracker.sh[52862]: KReclaimable:     431472 kB
Sep 08 10:19:12.720327 np0000000951 memory_tracker.sh[52862]: Slab:             516284 kB
Sep 08 10:19:12.720327 np0000000951 memory_tracker.sh[52862]: SReclaimable:     431472 kB
Sep 08 10:19:12.720327 np0000000951 memory_tracker.sh[52862]: SUnreclaim:        84812 kB
Sep 08 10:19:12.720327 np0000000951 memory_tracker.sh[52862]: KernelStack:        6464 kB
Sep 08 10:19:12.720327 np0000000951 memory_tracker.sh[52862]: PageTables:         8596 kB
Sep 08 10:19:12.720327 np0000000951 memory_tracker.sh[52862]: SecPageTables:         0 kB
Sep 08 10:19:12.720327 np0000000951 memory_tracker.sh[52862]: NFS_Unstable:          0 kB
Sep 08 10:19:12.720327 np0000000951 memory_tracker.sh[52862]: Bounce:                0 kB
Sep 08 10:19:12.720327 np0000000951 memory_tracker.sh[52862]: WritebackTmp:          0 kB
Sep 08 10:19:12.720327 np0000000951 memory_tracker.sh[52862]: CommitLimit:    12454492 kB
Sep 08 10:19:12.720327 np0000000951 memory_tracker.sh[52862]: Committed_AS:    2423620 kB
Sep 08 10:19:12.720327 np0000000951 memory_tracker.sh[52862]: VmallocTotal:   34359738367 kB
Sep 08 10:19:12.720327 np0000000951 memory_tracker.sh[52862]: VmallocUsed:       19544 kB
Sep 08 10:19:12.720327 np0000000951 memory_tracker.sh[52862]: VmallocChunk:          0 kB
Sep 08 10:19:12.720327 np0000000951 memory_tracker.sh[52862]: Percpu:             2528 kB
Sep 08 10:19:12.720327 np0000000951 memory_tracker.sh[52862]: HardwareCorrupted:     0 kB
Sep 08 10:19:12.720327 np0000000951 memory_tracker.sh[52862]: AnonHugePages:         0 kB
Sep 08 10:19:12.720327 np0000000951 memory_tracker.sh[52862]: ShmemHugePages:        0 kB
Sep 08 10:19:12.720327 np0000000951 memory_tracker.sh[52862]: ShmemPmdMapped:        0 kB
Sep 08 10:19:12.720327 np0000000951 memory_tracker.sh[52862]: FileHugePages:         0 kB
Sep 08 10:19:12.720327 np0000000951 memory_tracker.sh[52862]: FilePmdMapped:         0 kB
Sep 08 10:19:12.720327 np0000000951 memory_tracker.sh[52862]: Unaccepted:            0 kB
Sep 08 10:19:12.720327 np0000000951 memory_tracker.sh[52862]: HugePages_Total:       0
Sep 08 10:19:12.720327 np0000000951 memory_tracker.sh[52862]: HugePages_Free:        0
Sep 08 10:19:12.720327 np0000000951 memory_tracker.sh[52862]: HugePages_Rsvd:        0
Sep 08 10:19:12.720327 np0000000951 memory_tracker.sh[52862]: HugePages_Surp:        0
Sep 08 10:19:12.720327 np0000000951 memory_tracker.sh[52862]: Hugepagesize:       2048 kB
Sep 08 10:19:12.720327 np0000000951 memory_tracker.sh[52862]: Hugetlb:               0 kB
Sep 08 10:19:12.720327 np0000000951 memory_tracker.sh[52862]: DirectMap4k:      178036 kB
Sep 08 10:19:12.720327 np0000000951 memory_tracker.sh[52862]: DirectMap2M:     8210432 kB
Sep 08 10:19:12.722836 np0000000951 memory_tracker.sh[50248]: ---
Sep 08 10:19:12.738283 np0000000951 memory_tracker.sh[52864]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Sep 08 10:19:12.738283 np0000000951 memory_tracker.sh[52864]:      49631    4.9          405628          1   00:00:03       39 do_poll.constprop.0       /usr/sbin/mysqld
Sep 08 10:19:12.738283 np0000000951 memory_tracker.sh[52864]:      19474    1.6          132436          1   00:00:06       24 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Sep 08 10:19:12.738283 np0000000951 memory_tracker.sh[52864]:      37254    0.9           74620          1   00:00:00        8 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Sep 08 10:19:12.738283 np0000000951 memory_tracker.sh[52864]:      48905    0.9           73464          1   00:00:01        1 skb_wait_for_more_packets /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Sep 08 10:19:12.738283 np0000000951 memory_tracker.sh[52864]:      12845    0.4           39804      12843   00:00:00        4 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 08 10:19:12.738283 np0000000951 memory_tracker.sh[52864]:        275    0.3           27292          1   00:00:15        7 futex_wait_queue          /sbin/multipathd -d -s
Sep 08 10:19:12.738283 np0000000951 memory_tracker.sh[52864]:       4017    0.3           26096       4016   00:00:01        2 do_wait                   /usr/bin/python3
Sep 08 10:19:12.738283 np0000000951 memory_tracker.sh[52864]:      45758    0.3           26084          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Sep 08 10:19:12.739315 np0000000951 memory_tracker.sh[52864]:      51358    0.2           24208          1   00:00:00        9 futex_wait_queue          /opt/stack/bin/etcd --name np0000000951 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000000951=http://10.19.119.137:2380 --initial-advertise-peer-urls http://10.19.119.137:2380 --advertise-client-urls http://10.19.119.137:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://10.19.119.137:2379 --log-level=debug
Sep 08 10:19:12.739315 np0000000951 memory_tracker.sh[52864]:       3054    0.2           20852          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Sep 08 10:19:12.739315 np0000000951 memory_tracker.sh[52864]:      18439    0.2           20524          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Sep 08 10:19:12.739315 np0000000951 memory_tracker.sh[52864]:       1731    0.2           20176          1   00:00:00        2 inet_csk_accept           /usr/bin/python3
Sep 08 10:19:12.739315 np0000000951 memory_tracker.sh[52864]:        964    0.2           19464          1   00:00:00        1 ep_poll                   /usr/sbin/unbound -d -p
Sep 08 10:19:12.739315 np0000000951 memory_tracker.sh[52864]:      45793    0.1           15652          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Sep 08 10:19:12.739315 np0000000951 memory_tracker.sh[52864]:      39650    0.1           15488          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Sep 08 10:19:12.739315 np0000000951 memory_tracker.sh[52864]:      41480    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Sep 08 10:19:12.739315 np0000000951 memory_tracker.sh[52864]:          1    0.1           13972          0   00:00:19        1 -                         /sbin/init nofb
Sep 08 10:19:12.739315 np0000000951 memory_tracker.sh[52864]:      12843    0.1           13072          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 08 10:19:12.739315 np0000000951 memory_tracker.sh[52864]:        354    0.1           12952          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Sep 08 10:19:12.739315 np0000000951 memory_tracker.sh[52864]:       6181    0.1           12224       4020   00:00:02        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-09-08-101048
Sep 08 10:19:12.739905 np0000000951 memory_tracker.sh[52864]:       6186    0.1           12128       4020   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-09-08-101048.summary.2026-09-08-101048
Sep 08 10:19:12.739905 np0000000951 memory_tracker.sh[52864]:       1589    0.1           11248          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Sep 08 10:19:12.739905 np0000000951 memory_tracker.sh[52864]:       4020    0.1           10844       4018   00:00:11        1 do_wait                   bash ./stack.sh
Sep 08 10:19:12.739905 np0000000951 memory_tracker.sh[52864]:      51878    0.1            9660          1   00:00:00        1 do_select                 /usr/sbin/apache2 -k start
Sep 08 10:19:12.739905 np0000000951 memory_tracker.sh[52864]:      48076    0.1            9476       4020   00:00:00        1 do_wait                   bash ./stack.sh
Sep 08 10:19:12.739905 np0000000951 memory_tracker.sh[52864]:        454    0.1            9092          1   00:00:01        1 ep_poll                   /usr/lib/systemd/systemd-logind
Sep 08 10:19:12.739905 np0000000951 memory_tracker.sh[52864]:      37753    0.1            8852          1   00:00:00        1 do_poll.constprop.0       ovsdb-server -vconsole:off -vfile:info --log-file=/var/log/ovn/ovsdb-server-sb.log --remote=punix:/var/run/ovn/ovnsb_db.sock --pidfile=/var/run/ovn/ovnsb_db.pid --unixctl=/var/run/ovn/ovnsb_db.ctl --remote=db:OVN_Southbound,SB_Global,connections --private-key=db:OVN_Southbound,SSL,private_key --certificate=db:OVN_Southbound,SSL,certificate --ca-cert=db:OVN_Southbound,SSL,ca_cert --ssl-protocols=db:OVN_Southbound,SSL,ssl_protocols --ssl-ciphers=db:OVN_Southbound,SSL,ssl_ciphers /var/lib/ovn/ovnsb_db.db
