Sep 03 12:04:16.032800 np0000000923 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Sep 03 12:04:16.050294 np0000000923 memory_tracker.sh[57605]: [[[
Sep 03 12:04:16.050985 np0000000923 memory_tracker.sh[57620]: Thu Sep  3 12:04:16 UTC 2026
Sep 03 12:04:16.051219 np0000000923 memory_tracker.sh[57605]: ---
Sep 03 12:04:16.133386 np0000000923 memory_tracker.sh[57624]: [iscsid (pid:48074)]=14172KB; [multipathd (pid:280)]=288928KB; [ovs-vswitchd (pid:42812)]=532468KB
Sep 03 12:04:16.143875 np0000000923 memory_tracker.sh[57605]: ]]]
Sep 03 12:04:36.157228 np0000000923 memory_tracker.sh[57605]: [[[
Sep 03 12:04:36.157783 np0000000923 memory_tracker.sh[60286]: Thu Sep  3 12:04:36 UTC 2026
Sep 03 12:04:36.158904 np0000000923 memory_tracker.sh[57605]: ---
Sep 03 12:04:36.158904 np0000000923 memory_tracker.sh[57605]: memory_tracker low_point: 6473668
Sep 03 12:04:36.159020 np0000000923 memory_tracker.sh[57605]: ---
Sep 03 12:04:36.160681 np0000000923 memory_tracker.sh[60287]: MemTotal:        8131780 kB
Sep 03 12:04:36.160681 np0000000923 memory_tracker.sh[60287]: MemFree:          177992 kB
Sep 03 12:04:36.160681 np0000000923 memory_tracker.sh[60287]: MemAvailable:    6473416 kB
Sep 03 12:04:36.160681 np0000000923 memory_tracker.sh[60287]: Buffers:          211008 kB
Sep 03 12:04:36.160681 np0000000923 memory_tracker.sh[60287]: Cached:          6087136 kB
Sep 03 12:04:36.160681 np0000000923 memory_tracker.sh[60287]: SwapCached:            4 kB
Sep 03 12:04:36.160681 np0000000923 memory_tracker.sh[60287]: Active:          1466412 kB
Sep 03 12:04:36.160681 np0000000923 memory_tracker.sh[60287]: Inactive:        5681956 kB
Sep 03 12:04:36.160681 np0000000923 memory_tracker.sh[60287]: Active(anon):     899380 kB
Sep 03 12:04:36.160681 np0000000923 memory_tracker.sh[60287]: Inactive(anon):   125820 kB
Sep 03 12:04:36.160681 np0000000923 memory_tracker.sh[60287]: Active(file):     567032 kB
Sep 03 12:04:36.160681 np0000000923 memory_tracker.sh[60287]: Inactive(file):  5556136 kB
Sep 03 12:04:36.160681 np0000000923 memory_tracker.sh[60287]: Unevictable:      101972 kB
Sep 03 12:04:36.160681 np0000000923 memory_tracker.sh[60287]: Mlocked:          100772 kB
Sep 03 12:04:36.160681 np0000000923 memory_tracker.sh[60287]: SwapTotal:       8388604 kB
Sep 03 12:04:36.160681 np0000000923 memory_tracker.sh[60287]: SwapFree:        8388336 kB
Sep 03 12:04:36.160681 np0000000923 memory_tracker.sh[60287]: Zswap:               308 kB
Sep 03 12:04:36.160681 np0000000923 memory_tracker.sh[60287]: Zswapped:             72 kB
Sep 03 12:04:36.160681 np0000000923 memory_tracker.sh[60287]: Dirty:            121772 kB
Sep 03 12:04:36.160681 np0000000923 memory_tracker.sh[60287]: Writeback:            84 kB
Sep 03 12:04:36.160681 np0000000923 memory_tracker.sh[60287]: AnonPages:        952468 kB
Sep 03 12:04:36.160681 np0000000923 memory_tracker.sh[60287]: Mapped:           182072 kB
Sep 03 12:04:36.160681 np0000000923 memory_tracker.sh[60287]: Shmem:            154764 kB
Sep 03 12:04:36.160681 np0000000923 memory_tracker.sh[60287]: KReclaimable:     477696 kB
Sep 03 12:04:36.160681 np0000000923 memory_tracker.sh[60287]: Slab:             567236 kB
Sep 03 12:04:36.160681 np0000000923 memory_tracker.sh[60287]: SReclaimable:     477696 kB
Sep 03 12:04:36.160681 np0000000923 memory_tracker.sh[60287]: SUnreclaim:        89540 kB
Sep 03 12:04:36.160681 np0000000923 memory_tracker.sh[60287]: KernelStack:        6948 kB
Sep 03 12:04:36.160681 np0000000923 memory_tracker.sh[60287]: PageTables:         9236 kB
Sep 03 12:04:36.160681 np0000000923 memory_tracker.sh[60287]: SecPageTables:         0 kB
Sep 03 12:04:36.160681 np0000000923 memory_tracker.sh[60287]: NFS_Unstable:          0 kB
Sep 03 12:04:36.160681 np0000000923 memory_tracker.sh[60287]: Bounce:                0 kB
Sep 03 12:04:36.160681 np0000000923 memory_tracker.sh[60287]: WritebackTmp:          0 kB
Sep 03 12:04:36.160681 np0000000923 memory_tracker.sh[60287]: CommitLimit:    12454492 kB
Sep 03 12:04:36.160681 np0000000923 memory_tracker.sh[60287]: Committed_AS:    2656772 kB
Sep 03 12:04:36.160681 np0000000923 memory_tracker.sh[60287]: VmallocTotal:   34359738367 kB
Sep 03 12:04:36.160681 np0000000923 memory_tracker.sh[60287]: VmallocUsed:       68404 kB
Sep 03 12:04:36.160681 np0000000923 memory_tracker.sh[60287]: VmallocChunk:          0 kB
Sep 03 12:04:36.160681 np0000000923 memory_tracker.sh[60287]: Percpu:             2432 kB
Sep 03 12:04:36.160681 np0000000923 memory_tracker.sh[60287]: HardwareCorrupted:     0 kB
Sep 03 12:04:36.160681 np0000000923 memory_tracker.sh[60287]: AnonHugePages:         0 kB
Sep 03 12:04:36.160681 np0000000923 memory_tracker.sh[60287]: ShmemHugePages:        0 kB
Sep 03 12:04:36.160681 np0000000923 memory_tracker.sh[60287]: ShmemPmdMapped:        0 kB
Sep 03 12:04:36.160681 np0000000923 memory_tracker.sh[60287]: FileHugePages:         0 kB
Sep 03 12:04:36.160681 np0000000923 memory_tracker.sh[60287]: FilePmdMapped:         0 kB
Sep 03 12:04:36.160681 np0000000923 memory_tracker.sh[60287]: Unaccepted:            0 kB
Sep 03 12:04:36.160681 np0000000923 memory_tracker.sh[60287]: HugePages_Total:       0
Sep 03 12:04:36.160681 np0000000923 memory_tracker.sh[60287]: HugePages_Free:        0
Sep 03 12:04:36.160681 np0000000923 memory_tracker.sh[60287]: HugePages_Rsvd:        0
Sep 03 12:04:36.160681 np0000000923 memory_tracker.sh[60287]: HugePages_Surp:        0
Sep 03 12:04:36.160681 np0000000923 memory_tracker.sh[60287]: Hugepagesize:       2048 kB
Sep 03 12:04:36.160681 np0000000923 memory_tracker.sh[60287]: Hugetlb:               0 kB
Sep 03 12:04:36.160681 np0000000923 memory_tracker.sh[60287]: DirectMap4k:      202612 kB
Sep 03 12:04:36.160681 np0000000923 memory_tracker.sh[60287]: DirectMap2M:     8185856 kB
Sep 03 12:04:36.162399 np0000000923 memory_tracker.sh[57605]: ---
Sep 03 12:04:36.178322 np0000000923 memory_tracker.sh[60291]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Sep 03 12:04:36.178322 np0000000923 memory_tracker.sh[60291]:      56909    4.9          405692          1   00:00:02       39 do_poll.constprop.0       /usr/sbin/mysqld
Sep 03 12:04:36.178322 np0000000923 memory_tracker.sh[60291]:      23840    1.6          133356          1   00:00:06       24 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Sep 03 12:04:36.178322 np0000000923 memory_tracker.sh[60291]:      60159    1.5          127000      60156   00:00:03        1 ep_poll                   keystoneuWSGI worker 1
Sep 03 12:04:36.178322 np0000000923 memory_tracker.sh[60291]:      60160    1.5          126792      60156   00:00:03        1 rt_mutex_schedule         keystoneuWSGI worker 2
Sep 03 12:04:36.178322 np0000000923 memory_tracker.sh[60291]:      42812    0.9           74616          1   00:00:00        8 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Sep 03 12:04:36.178322 np0000000923 memory_tracker.sh[60291]:      56050    0.9           73936          1   00:00:01        1 skb_wait_for_more_packets /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Sep 03 12:04:36.178322 np0000000923 memory_tracker.sh[60291]:      16334    0.4           39744      16323   00:00:00        4 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 03 12:04:36.178857 np0000000923 memory_tracker.sh[60291]:      58805    0.3           27544          1   00:00:00        9 futex_wait_queue          /opt/stack/bin/etcd --name np0000000923 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000000923=http://10.19.119.210:2380 --initial-advertise-peer-urls http://10.19.119.210:2380 --advertise-client-urls http://10.19.119.210:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://10.19.119.210:2379 --log-level=debug
Sep 03 12:04:36.178857 np0000000923 memory_tracker.sh[60291]:        280    0.3           27292          1   00:00:00        7 futex_wait_queue          /sbin/multipathd -d -s
Sep 03 12:04:36.178857 np0000000923 memory_tracker.sh[60291]:      52567    0.3           26188          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Sep 03 12:04:36.178857 np0000000923 memory_tracker.sh[60291]:       7033    0.3           26128       7032   00:00:01        2 do_wait                   /usr/bin/python3
Sep 03 12:04:36.178857 np0000000923 memory_tracker.sh[60291]:       2202    0.2           20928          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Sep 03 12:04:36.178857 np0000000923 memory_tracker.sh[60291]:      22419    0.2           20848          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-journald
Sep 03 12:04:36.178857 np0000000923 memory_tracker.sh[60291]:        850    0.2           20156          1   00:00:00        2 inet_csk_accept           /usr/bin/python3
Sep 03 12:04:36.178857 np0000000923 memory_tracker.sh[60291]:        668    0.2           19512          1   00:00:00        1 ep_poll                   /usr/sbin/unbound -d -p
Sep 03 12:04:36.178857 np0000000923 memory_tracker.sh[60291]:      60156    0.2           19392          1   00:00:00        1 ep_poll                   keystoneuWSGI master
Sep 03 12:04:36.178857 np0000000923 memory_tracker.sh[60291]:      52601    0.1           15544          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Sep 03 12:04:36.178857 np0000000923 memory_tracker.sh[60291]:      45547    0.1           15528          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Sep 03 12:04:36.178857 np0000000923 memory_tracker.sh[60291]:      48074    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Sep 03 12:04:36.178857 np0000000923 memory_tracker.sh[60291]:          1    0.1           13772          0   00:00:18        1 ep_poll                   /sbin/init nofb
Sep 03 12:04:36.178857 np0000000923 memory_tracker.sh[60291]:      16323    0.1           13024          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 03 12:04:36.179186 np0000000923 memory_tracker.sh[60291]:        323    0.1           12948          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Sep 03 12:04:36.179186 np0000000923 memory_tracker.sh[60291]:       9260    0.1           12196       7036   00:00:02        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-09-03-115711
Sep 03 12:04:36.179186 np0000000923 memory_tracker.sh[60291]:       9265    0.1           12116       7036   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-09-03-115711.summary.2026-09-03-115711
Sep 03 12:04:36.179186 np0000000923 memory_tracker.sh[60291]:        715    0.1           11352          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Sep 03 12:04:36.179186 np0000000923 memory_tracker.sh[60291]:       7036    0.1           10756       7034   00:00:10        1 pipe_read                 bash ./stack.sh
Sep 03 12:04:36.179186 np0000000923 memory_tracker.sh[60291]:      59086    0.1            9516          1   00:00:00        1 do_select                 /usr/sbin/apache2 -k start
Sep 03 12:04:36.179186 np0000000923 memory_tracker.sh[60291]:      55157    0.1            9360       7036   00:00:00        1 do_wait                   bash ./stack.sh
Sep 03 12:04:36.179186 np0000000923 memory_tracker.sh[60291]:        428    0.1            8952          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-logind
Sep 03 12:04:36.179186 np0000000923 memory_tracker.sh[60291]:      43365    0.1            8856          1   00:00:00        1 do_poll.constprop.0       ovsdb-server -vconsole:off -vfile:info --log-file=/var/log/ovn/ovsdb-server-sb.log --remote=punix:/var/run/ovn/ovnsb_db.sock --pidfile=/var/run/ovn/ovnsb_db.pid --unixctl=/var/run/ovn/ovnsb_db.ctl --remote=db:OVN_Southbound,SB_Global,connections --private-key=db:OVN_Southbound,SSL,private_key --certificate=db:OVN_Southbound,SSL,certificate --ca-cert=db:OVN_Southbound,SSL,ca_cert --ssl-protocols=db:OVN_Southbound,SSL,ssl_protocols --ssl-ciphers=db:OVN_Southbound,SSL,ssl_ciphers /var/lib/ovn/ovnsb_db.db
Sep 03 12:04:36.179440 np0000000923 memory_tracker.sh[60291]:      43451    0.1            8824          1   00:00:00        1 do_poll.constprop.0       ovsdb-server -vconsole:off -vfile:info --log-file=/var/log/ovn/ovsdb-server-nb.log --remote=punix:/var/run/ovn/ovnnb_db.sock --pidfile=/var/run/ovn/ovnnb_db.pid --unixctl=/var/run/ovn/ovnnb_db.ctl --remote=db:OVN_Northbound,NB_Global,connections --private-key=db:OVN_Northbound,SSL,private_key --certificate=db:OVN_Northbound,SSL,certificate --ca-cert=db:OVN_Northbound,SSL,ca_cert --ssl-protocols=db:OVN_Northbound,SSL,ssl_protocols --ssl-ciphers=db:OVN_Northbound,SSL,ssl_ciphers /var/lib/ovn/ovnnb_db.db
Sep 03 12:04:36.179440 np0000000923 memory_tracker.sh[60291]:      59091    0.1            8704      59086   00:00:00       34 pipe_read                 /usr/sbin/apache2 -k start
Sep 03 12:04:36.179440 np0000000923 memory_tracker.sh[60291]:        676    0.1            8300          1   00:00:00        1 do_poll.constprop.0       sshd: /usr/sbin/sshd -D [listener] 0 of 30-100 startups
Sep 03 12:04:36.179440 np0000000923 memory_tracker.sh[60291]:      43217    0.1            8236          1   00:00:00        5 do_poll.constprop.0       ovn-controller unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --no-chdir --log-file=/var/log/ovn/ovn-controller.log --pidfile=/var/run/ovn/ovn-controller.pid --detach
Sep 03 12:04:36.179440 np0000000923 memory_tracker.sh[60291]:        325    0.0            8100          1   00:00:00        2 ep_poll                   /usr/lib/systemd/systemd-timesyncd
Sep 03 12:04:36.179440 np0000000923 memory_tracker.sh[60291]:       2207    0.0            8008          1   00:00:00        4 do_poll.constprop.0       /usr/lib/polkit-1/polkitd --no-debug
