Sep 04 16:00:25.667505 np0000000941 systemd[1]: Started devstack@memory_tracker.service - Devstack devstack@memory_tracker.service.
Sep 04 16:00:25.693680 np0000000941 memory_tracker.sh[51606]: [[[
Sep 04 16:00:25.695091 np0000000941 memory_tracker.sh[51625]: Fri Sep  4 16:00:25 UTC 2026
Sep 04 16:00:25.695365 np0000000941 memory_tracker.sh[51606]: ---
Sep 04 16:00:25.772410 np0000000941 memory_tracker.sh[51630]: [iscsid (pid:39794)]=14172KB; [multipathd (pid:274)]=288928KB; [ovs-vswitchd (pid:35457)]=532468KB
Sep 04 16:00:25.782088 np0000000941 memory_tracker.sh[51606]: ]]]
Sep 04 16:00:45.797299 np0000000941 memory_tracker.sh[51606]: [[[
Sep 04 16:00:45.799063 np0000000941 memory_tracker.sh[53650]: Fri Sep  4 16:00:45 UTC 2026
Sep 04 16:00:45.799331 np0000000941 memory_tracker.sh[51606]: ---
Sep 04 16:00:45.799377 np0000000941 memory_tracker.sh[51606]: memory_tracker low_point: 6610940
Sep 04 16:00:45.799377 np0000000941 memory_tracker.sh[51606]: ---
Sep 04 16:00:45.800663 np0000000941 memory_tracker.sh[53652]: MemTotal:        8131788 kB
Sep 04 16:00:45.800663 np0000000941 memory_tracker.sh[53652]: MemFree:          187500 kB
Sep 04 16:00:45.800663 np0000000941 memory_tracker.sh[53652]: MemAvailable:    6610940 kB
Sep 04 16:00:45.800663 np0000000941 memory_tracker.sh[53652]: Buffers:          198016 kB
Sep 04 16:00:45.800663 np0000000941 memory_tracker.sh[53652]: Cached:          6258952 kB
Sep 04 16:00:45.800663 np0000000941 memory_tracker.sh[53652]: SwapCached:            0 kB
Sep 04 16:00:45.800663 np0000000941 memory_tracker.sh[53652]: Active:          1306476 kB
Sep 04 16:00:45.800663 np0000000941 memory_tracker.sh[53652]: Inactive:        5797768 kB
Sep 04 16:00:45.800663 np0000000941 memory_tracker.sh[53652]: Active(anon):     823720 kB
Sep 04 16:00:45.800663 np0000000941 memory_tracker.sh[53652]: Inactive(anon):      848 kB
Sep 04 16:00:45.800663 np0000000941 memory_tracker.sh[53652]: Active(file):     482756 kB
Sep 04 16:00:45.800663 np0000000941 memory_tracker.sh[53652]: Inactive(file):  5796920 kB
Sep 04 16:00:45.800663 np0000000941 memory_tracker.sh[53652]: Unevictable:      101972 kB
Sep 04 16:00:45.800663 np0000000941 memory_tracker.sh[53652]: Mlocked:          100772 kB
Sep 04 16:00:45.800663 np0000000941 memory_tracker.sh[53652]: SwapTotal:       8388604 kB
Sep 04 16:00:45.800663 np0000000941 memory_tracker.sh[53652]: SwapFree:        8387824 kB
Sep 04 16:00:45.800663 np0000000941 memory_tracker.sh[53652]: Zswap:               356 kB
Sep 04 16:00:45.800663 np0000000941 memory_tracker.sh[53652]: Zswapped:             72 kB
Sep 04 16:00:45.800663 np0000000941 memory_tracker.sh[53652]: Dirty:              9020 kB
Sep 04 16:00:45.800663 np0000000941 memory_tracker.sh[53652]: Writeback:             0 kB
Sep 04 16:00:45.800663 np0000000941 memory_tracker.sh[53652]: AnonPages:        749140 kB
Sep 04 16:00:45.800663 np0000000941 memory_tracker.sh[53652]: Mapped:           182596 kB
Sep 04 16:00:45.800663 np0000000941 memory_tracker.sh[53652]: Shmem:            157428 kB
Sep 04 16:00:45.800663 np0000000941 memory_tracker.sh[53652]: KReclaimable:     449204 kB
Sep 04 16:00:45.800663 np0000000941 memory_tracker.sh[53652]: Slab:             537672 kB
Sep 04 16:00:45.800663 np0000000941 memory_tracker.sh[53652]: SReclaimable:     449204 kB
Sep 04 16:00:45.800663 np0000000941 memory_tracker.sh[53652]: SUnreclaim:        88468 kB
Sep 04 16:00:45.800663 np0000000941 memory_tracker.sh[53652]: KernelStack:        6696 kB
Sep 04 16:00:45.800663 np0000000941 memory_tracker.sh[53652]: PageTables:         9340 kB
Sep 04 16:00:45.800663 np0000000941 memory_tracker.sh[53652]: SecPageTables:         0 kB
Sep 04 16:00:45.800663 np0000000941 memory_tracker.sh[53652]: NFS_Unstable:          0 kB
Sep 04 16:00:45.800663 np0000000941 memory_tracker.sh[53652]: Bounce:                0 kB
Sep 04 16:00:45.800663 np0000000941 memory_tracker.sh[53652]: WritebackTmp:          0 kB
Sep 04 16:00:45.800663 np0000000941 memory_tracker.sh[53652]: CommitLimit:    12454496 kB
Sep 04 16:00:45.800663 np0000000941 memory_tracker.sh[53652]: Committed_AS:    2466648 kB
Sep 04 16:00:45.800663 np0000000941 memory_tracker.sh[53652]: VmallocTotal:   34359738367 kB
Sep 04 16:00:45.800663 np0000000941 memory_tracker.sh[53652]: VmallocUsed:       20912 kB
Sep 04 16:00:45.800663 np0000000941 memory_tracker.sh[53652]: VmallocChunk:          0 kB
Sep 04 16:00:45.800663 np0000000941 memory_tracker.sh[53652]: Percpu:             2480 kB
Sep 04 16:00:45.800663 np0000000941 memory_tracker.sh[53652]: HardwareCorrupted:     0 kB
Sep 04 16:00:45.800663 np0000000941 memory_tracker.sh[53652]: AnonHugePages:         0 kB
Sep 04 16:00:45.800663 np0000000941 memory_tracker.sh[53652]: ShmemHugePages:        0 kB
Sep 04 16:00:45.800663 np0000000941 memory_tracker.sh[53652]: ShmemPmdMapped:        0 kB
Sep 04 16:00:45.800663 np0000000941 memory_tracker.sh[53652]: FileHugePages:         0 kB
Sep 04 16:00:45.800663 np0000000941 memory_tracker.sh[53652]: FilePmdMapped:         0 kB
Sep 04 16:00:45.800663 np0000000941 memory_tracker.sh[53652]: Unaccepted:            0 kB
Sep 04 16:00:45.800663 np0000000941 memory_tracker.sh[53652]: HugePages_Total:       0
Sep 04 16:00:45.800663 np0000000941 memory_tracker.sh[53652]: HugePages_Free:        0
Sep 04 16:00:45.800663 np0000000941 memory_tracker.sh[53652]: HugePages_Rsvd:        0
Sep 04 16:00:45.800663 np0000000941 memory_tracker.sh[53652]: HugePages_Surp:        0
Sep 04 16:00:45.800663 np0000000941 memory_tracker.sh[53652]: Hugepagesize:       2048 kB
Sep 04 16:00:45.800663 np0000000941 memory_tracker.sh[53652]: Hugetlb:               0 kB
Sep 04 16:00:45.800663 np0000000941 memory_tracker.sh[53652]: DirectMap4k:      173940 kB
Sep 04 16:00:45.800663 np0000000941 memory_tracker.sh[53652]: DirectMap2M:     8214528 kB
Sep 04 16:00:45.803176 np0000000941 memory_tracker.sh[51606]: ---
Sep 04 16:00:45.816471 np0000000941 memory_tracker.sh[53656]:        PID   %MEM             RSS       PPID       TIME     NLWP WCHAN                     COMMAND
Sep 04 16:00:45.816471 np0000000941 memory_tracker.sh[53656]:      50957    4.9          405692          1   00:00:03       39 do_poll.constprop.0       /usr/sbin/mysqld
Sep 04 16:00:45.816471 np0000000941 memory_tracker.sh[53656]:      18673    1.6          134848          1   00:00:05       24 do_select                 /usr/lib/erlang/erts-13.2.2.5/bin/beam.smp -W w -MBas ageffcbf -MHas ageffcbf -MBlmbcs 512 -MHlmbcs 512 -MMmcs 30 -pc unicode -P 1048576 -t 5000000 -stbt db -zdbbl 128000 -sbwt none -sbwtdcpu none -sbwtdio none -- -root /usr/lib/erlang -bindir /usr/lib/erlang/erts-13.2.2.5/bin -progname erl -- -home /var/lib/rabbitmq -- -pa  -noshell -noinput -s rabbit boot -boot start_sasl -syslog logger [] -syslog syslog_error_logger false -kernel prevent_overlapping_partitions false -enable-feature maybe_expr
Sep 04 16:00:45.816471 np0000000941 memory_tracker.sh[53656]:      35457    0.9           74616          1   00:00:00        8 do_poll.constprop.0       ovs-vswitchd unix:/var/run/openvswitch/db.sock -vconsole:emer -vsyslog:err -vfile:info --mlockall --no-chdir --log-file=/var/log/openvswitch/ovs-vswitchd.log --pidfile=/var/run/openvswitch/ovs-vswitchd.pid --detach
Sep 04 16:00:45.816471 np0000000941 memory_tracker.sh[53656]:      50236    0.9           73996          1   00:00:01        1 skb_wait_for_more_packets /opt/stack/data/venv/bin/python3 /opt/stack/devstack/files/openstack-cli-server/openstack-cli-server
Sep 04 16:00:45.816471 np0000000941 memory_tracker.sh[53656]:      11900    0.4           39780      11898   00:00:00        4 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 04 16:00:45.816471 np0000000941 memory_tracker.sh[53656]:        274    0.3           27292          1   00:00:03        7 futex_wait_queue          /sbin/multipathd -d -s
Sep 04 16:00:45.816929 np0000000941 memory_tracker.sh[53656]:      52721    0.3           27216          1   00:00:00        9 futex_wait_queue          /opt/stack/bin/etcd --name np0000000941 --data-dir /opt/stack/data/etcd --initial-cluster-state new --initial-cluster-token etcd-cluster-01 --initial-cluster np0000000941=http://10.19.119.8:2380 --initial-advertise-peer-urls http://10.19.119.8:2380 --advertise-client-urls http://10.19.119.8:2379 --listen-peer-urls http://0.0.0.0:2380 --listen-client-urls http://10.19.119.8:2379 --log-level=debug
Sep 04 16:00:45.816929 np0000000941 memory_tracker.sh[53656]:      49109    0.3           26436          1   00:00:00        1 ep_poll                   /usr/sbin/smbd --foreground --no-process-group
Sep 04 16:00:45.816929 np0000000941 memory_tracker.sh[53656]:      44330    0.3           26320          1   00:00:00       20 do_poll.constprop.0       /usr/sbin/libvirtd --timeout 120
Sep 04 16:00:45.816929 np0000000941 memory_tracker.sh[53656]:       1979    0.3           26228       1978   00:00:01        2 do_wait                   /usr/bin/python3
Sep 04 16:00:45.816929 np0000000941 memory_tracker.sh[53656]:       4841    0.2           20856          1   00:00:00        4 do_poll.constprop.0       /usr/libexec/packagekitd
Sep 04 16:00:45.816929 np0000000941 memory_tracker.sh[53656]:      17544    0.2           20428          1   00:00:00        1 -                         /usr/lib/systemd/systemd-journald
Sep 04 16:00:45.816929 np0000000941 memory_tracker.sh[53656]:        891    0.2           20088          1   00:00:00        2 inet_csk_accept           /usr/bin/python3
Sep 04 16:00:45.816929 np0000000941 memory_tracker.sh[53656]:        670    0.2           19496          1   00:00:00        1 ep_poll                   /usr/sbin/unbound -d -p
Sep 04 16:00:45.816929 np0000000941 memory_tracker.sh[53656]:      49191    0.2           18564          1   00:00:00        1 ep_poll                   /usr/sbin/nmbd --foreground --no-process-group
Sep 04 16:00:45.816929 np0000000941 memory_tracker.sh[53656]:      37723    0.1           15540          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlockd
Sep 04 16:00:45.816929 np0000000941 memory_tracker.sh[53656]:      44367    0.1           15540          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/virtlogd
Sep 04 16:00:45.816929 np0000000941 memory_tracker.sh[53656]:      39794    0.1           14180          1   00:00:00        1 do_poll.constprop.0       /usr/sbin/iscsid
Sep 04 16:00:45.816929 np0000000941 memory_tracker.sh[53656]:          1    0.1           13968          0   00:00:19        1 ep_poll                   /sbin/init nofb
Sep 04 16:00:45.817241 np0000000941 memory_tracker.sh[53656]:      11898    0.1           13052          1   00:00:00        1 ep_poll                   /usr/sbin/haproxy -Ws -f /etc/haproxy/haproxy.cfg -p /run/haproxy.pid -S /run/haproxy-master.sock
Sep 04 16:00:45.817241 np0000000941 memory_tracker.sh[53656]:        323    0.1           12908          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd-resolved
Sep 04 16:00:45.817241 np0000000941 memory_tracker.sh[53656]:       4245    0.1           12192       1982   00:00:02        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -v --no-timestamp -o /opt/stack/logs/devstacklog.txt.2026-09-04-155301
Sep 04 16:00:45.817241 np0000000941 memory_tracker.sh[53656]:       4250    0.1           12052       1982   00:00:00        1 pipe_read                 /usr/bin/python3.12 /opt/stack/devstack/tools/outfilter.py -o /opt/stack/logs/devstacklog.txt.2026-09-04-155301.summary.2026-09-04-155301
Sep 04 16:00:45.817241 np0000000941 memory_tracker.sh[53656]:       1982    0.1           11424       1980   00:00:12        1 pipe_read                 bash ./stack.sh
Sep 04 16:00:45.817241 np0000000941 memory_tracker.sh[53656]:        756    0.1           11232          1   00:00:00        1 ep_poll                   /usr/lib/systemd/systemd --user
Sep 04 16:00:45.817241 np0000000941 memory_tracker.sh[53656]:      46829    0.1           10036       1982   00:00:00        1 do_wait                   bash ./stack.sh
Sep 04 16:00:45.817241 np0000000941 memory_tracker.sh[53656]:      52982    0.1            9636          1   00:00:00        1 do_select                 /usr/sbin/apache2 -k start
Sep 04 16:00:45.817241 np0000000941 memory_tracker.sh[53656]:        429    0.1            9052          1   00:00:01        1 ep_poll                   /usr/lib/systemd/systemd-logind
